bin,item,x,y,z,orientation
0,51,358,268,0,WDH
0,51,403,0,0,WDH
0,51,442,563,0,WDH
0,53,800,268,0,WDH
0,7,884,563,0,WDH
0,51,0,563,0,WDH
0,53,845,0,0,WDH
0,59,0,268,0,WDH
0,28,0,0,0,WDH
0,24,0,289,190,WDH
0,27,0,578,190,WDH
0,24,455,0,190,WDH
0,24,455,289,190,WDH
0,24,0,0,190,WDH
0,34,910,429,190,DWH
0,29,910,0,190,DWH
0,48,557,578,190,WDH
0,16,300,601,323,WDH
0,33,910,429,323,DWH
0,11,0,601,323,WDH
0,42,0,0,323,WDH
0,45,421,0,323,WDH
0,45,421,268,323,WDH
0,45,837,0,323,DWH
0,45,0,333,323,WDH
0,45,494,560,342,WDH
0,47,421,2,470,WDH
0,47,0,306,470,WDH
0,47,0,573,470,WDH
0,23,910,619,470,WDH
0,66,796,4,470,WDH
0,47,0,39,470,WDH
0,47,796,269,470,WDH
0,47,421,269,470,WDH
0,52,375,561,481,WDH
0,26,723,276,635,WDH
0,13,684,535,635,DWH
0,13,1044,276,635,DWH
0,35,356,0,635,WDH
0,32,0,0,635,WDH
0,44,350,535,635,WDH
0,56,373,276,635,WDH
0,56,0,535,635,WDH
0,57,0,276,635,WDH
0,20,788,0,640,WDH
0,1,888,604,640,WDH
0,61,879,542,730,WDH
0,20,759,22,761,WDH
0,2,350,544,831,WDH
0,17,793,233,832,WDH
0,17,418,0,836,DWH
0,17,0,0,836,WDH
0,14,630,544,832,DWH
0,55,0,364,837,DWH
0,4,809,544,846,WDH
0,4,1062,544,846,DWH
0,4,759,59,882,WDH
0,9,1012,83,882,WDH
0,55,760,259,906,WDH
0,55,0,79,910,WDH
0,4,377,651,898,WDH
0,9,404,501,898,WDH
0,55,0,364,929,DWH
0,17,809,544,948,WDH
0,20,480,0,910,DWH
0,4,630,544,922,DWH
0,55,760,259,998,WDH
0,61,332,464,1002,DWH
0,61,115,66,1002,WDH
0,55,0,364,1021,DWH
0,11,760,22,985,WDH
0,9,1014,690,1022,WDH
0,29,483,22,1031,DWH
0,8,813,604,1022,DWH
0,19,630,545,1031,DWH
0,37,813,278,1090,WDH
0,22,115,22,1118,WDH
0,38,0,596,1118,WDH
0,12,0,411,1118,WDH
0,38,349,491,1118,DWH
0,37,483,22,1161,DWH
0,65,883,278,1189,DWH
0,43,809,22,1132,WDH
0,37,96,83,1202,WDH
0,63,593,507,1180,DWH
0,37,0,411,1265,WDH
0,37,483,22,1265,DWH
0,37,809,252,1288,WDH
0,5,387,411,1265,DWH
0,39,809,578,1288,WDH
0,43,849,22,1289,WDH
0,11,183,22,1301,WDH
0,13,230,259,1301,WDH
0,5,620,493,1358,DWH
0,23,483,202,1364,WDH
0,66,0,472,1364,WDH
0,10,483,0,1364,WDH
0,60,809,252,1387,WDH
0,60,343,431,1413,DWH
0,23,809,493,1441,DWH
0,23,944,0,1446,WDH
0,8,1018,553,1441,DWH
0,3,74,271,1301,WDH
0,41,129,0,1448,WDH
0,63,598,465,1506,DWH
0,15,240,207,1497,WDH
0,23,483,202,1534,WDH
0,26,74,411,1534,DWH
0,62,483,30,1545,WDH
0,26,809,247,1562,WDH
0,26,320,411,1588,DWH
0,15,1045,597,1599,DWH
0,30,879,496,1611,DWH
0,62,851,30,1616,WDH
0,10,197,5,1659,WDH
0,41,566,411,1684,DWH
0,15,197,207,1698,WDH
0,62,440,207,1704,WDH
0,40,35,411,1731,WDH
0,49,63,588,1731,WDH
0,50,483,5,1743,WDH
0,50,818,295,1759,WDH
0,30,320,439,1785,DWH
0,15,1045,597,1800,DWH
0,15,976,7,1814,WDH
0,50,171,9,1840,WDH
0,49,850,496,1829,DWH
0,6,566,379,1895,WDH
0,50,128,207,1899,WDH
0,18,440,207,1902,WDH
1,46,268,0,0,WDH
1,46,268,205,0,WDH
1,18,536,0,0,WDH
1,46,0,410,0,WDH
1,18,268,410,0,WDH
1,46,0,0,0,WDH
1,46,0,205,0,WDH
1,64,378,664,0,WDH
1,64,809,312,0,WDH
1,64,809,488,0,WDH
1,64,809,664,0,WDH
1,25,625,364,0,DWH
1,21,268,534,0,WDH
1,54,536,124,0,WDH
1,58,800,124,0,WDH
1,31,1087,64,0,DWH
1,31,130,687,0,WDH
1,36,809,522,243,WDH
1,36,809,312,243,WDH
1,36,149,200,263,WDH
