bin,item,x,y,z,orientation
0,60,0,618,0,WDH
0,60,330,412,0,WDH
0,74,330,206,0,WDH
0,73,638,412,0,WDH
0,73,638,604,0,WDH
0,12,928,567,0,WDH
0,74,0,0,0,WDH
0,73,949,0,0,WDH
0,74,330,0,0,WDH
0,73,330,624,0,WDH
0,74,0,206,0,WDH
0,66,660,0,0,WDH
0,74,0,412,0,WDH
0,66,660,201,0,WDH
0,73,949,192,0,WDH
0,38,928,412,0,WDH
0,13,417,628,243,WDH
0,13,417,416,243,WDH
0,11,770,291,243,WDH
0,13,0,254,243,WDH
0,11,770,520,243,DWH
0,11,417,187,243,WDH
0,33,770,85,243,WDH
0,11,0,25,243,WDH
0,69,0,653,243,WDH
0,69,0,466,243,WDH
0,40,569,25,243,WDH
0,46,999,520,243,DWH
0,46,320,25,243,WDH
0,46,1089,0,243,DWH
0,41,1091,249,243,DWH
0,46,320,25,363,WDH
0,46,1089,0,363,DWH
0,40,569,25,363,WDH
0,46,999,591,363,DWH
0,14,629,570,403,WDH
0,14,259,570,403,WDH
0,25,51,12,403,DWH
0,14,350,250,403,WDH
0,25,51,426,403,DWH
0,14,720,250,403,WDH
0,39,821,44,403,WDH
0,10,320,516,488,WDH
0,77,320,25,488,DWH
0,77,720,250,488,DWH
0,42,0,404,490,DWH
0,42,0,0,490,DWH
0,46,1089,0,488,DWH
0,39,821,44,503,WDH
0,40,285,624,580,WDH
0,55,285,312,580,WDH
0,55,285,0,580,WDH
0,55,747,312,580,WDH
0,44,482,624,580,WDH
0,42,0,404,590,DWH
0,42,0,0,590,DWH
0,8,878,66,608,WDH
0,10,878,312,694,DWH
0,10,491,491,694,WDH
0,77,491,0,694,DWH
0,77,0,0,694,WDH
0,77,0,372,694,WDH
0,16,863,0,713,WDH
0,37,278,498,786,DWH
0,27,878,278,786,WDH
0,37,498,620,786,WDH
0,24,0,4,786,WDH
0,1,878,476,786,WDH
0,22,342,7,786,WDH
0,32,498,442,786,WDH
0,20,684,164,786,DWH
0,65,0,434,786,DWH
0,37,0,214,786,WDH
0,37,342,214,786,WDH
0,47,653,7,786,WDH
0,61,886,0,819,WDH
0,26,648,669,939,WDH
0,70,349,0,939,WDH
0,71,737,480,939,WDH
0,71,358,480,939,WDH
0,62,0,0,939,WDH
0,64,878,278,939,WDH
0,43,0,712,939,WDH
0,54,0,248,939,WDH
0,43,358,669,939,WDH
0,54,0,480,939,WDH
0,54,358,248,939,WDH
0,48,716,248,939,DWH
0,7,878,7,991,WDH
0,47,620,0,953,WDH
0,25,820,0,1113,WDH
0,19,781,208,1160,WDH
0,3,41,0,1169,WDH
0,20,215,609,1169,WDH
0,3,202,406,1169,WDH
0,20,31,208,1169,DWH
0,27,485,208,1169,WDH
0,27,485,604,1169,WDH
0,27,189,208,1169,WDH
0,27,820,480,1169,WDH
0,27,485,406,1169,WDH
0,27,324,0,1169,WDH
0,9,0,480,1169,DWH
0,47,620,0,1120,WDH
0,29,781,218,1259,WDH
0,9,969,0,1200,WDH
0,47,820,0,1200,DWH
0,50,343,526,1321,WDH
0,52,0,301,1321,WDH
0,52,343,301,1321,WDH
0,52,334,0,1321,WDH
0,56,0,0,1321,WDH
0,34,781,216,1332,WDH
0,53,633,529,1321,WDH
0,39,967,11,1334,WDH
0,45,0,526,1303,DWH
0,28,954,474,1321,DWH
0,47,184,526,1321,DWH
0,34,781,216,1430,WDH
0,44,906,0,1434,WDH
0,57,73,237,1445,WDH
0,57,332,526,1445,WDH
0,59,374,0,1445,WDH
0,57,73,0,1445,WDH
0,57,376,275,1445,WDH
0,34,781,216,1528,WDH
0,35,737,474,1461,DWH
0,47,198,563,1488,DWH
0,44,901,11,1544,WDH
0,2,21,497,1504,DWH
0,47,954,489,1507,WDH
0,47,954,623,1507,WDH
0,67,403,303,1621,DWH
0,67,40,20,1621,DWH
0,79,374,0,1626,WDH
0,78,852,227,1626,WDH
0,10,374,282,1724,WDH
0,77,0,0,1724,DWH
0,33,852,21,1655,WDH
0,23,954,489,1674,DWH
0,31,765,497,1655,DWH
0,45,0,491,1686,DWH
0,2,499,615,1724,WDH
0,35,374,65,1757,WDH
0,2,657,16,1757,DWH
0,23,863,277,1812,WDH
0,81,847,0,1816,WDH
0,21,271,282,1816,WDH
0,21,3,282,1816,WDH
0,21,104,0,1816,WDH
0,31,539,282,1816,WDH
0,17,954,489,1838,WDH
0,17,772,489,1861,DWH
0,18,488,490,1816,WDH
0,5,954,671,1838,WDH
0,17,3,484,1887,WDH
0,17,524,615,1906,WDH
0,4,671,0,1939,DWH
0,49,385,43,1945,WDH
0,49,847,233,1976,WDH
1,72,299,402,0,WDH
1,72,0,201,0,WDH
1,72,598,0,0,WDH
1,72,0,0,0,WDH
1,72,299,0,0,WDH
1,72,0,603,0,WDH
1,72,598,201,0,WDH
1,72,0,402,0,WDH
1,72,299,201,0,WDH
1,36,852,421,0,WDH
1,36,897,3,0,WDH
1,6,598,418,0,WDH
1,6,553,619,0,WDH
1,6,299,619,0,WDH
1,6,807,619,0,WDH
1,68,897,185,0,WDH
1,15,1086,421,0,DWH
1,36,1006,217,225,WDH
1,68,908,0,225,WDH
1,36,852,421,225,WDH
1,76,299,603,225,WDH
1,76,598,402,225,DWH
1,76,807,619,225,WDH
1,12,66,433,308,WDH
1,12,39,634,308,WDH
1,12,105,232,308,WDH
1,12,365,232,308,WDH
1,51,600,30,308,WDH
1,76,625,204,308,WDH
1,76,326,405,308,WDH
1,12,340,34,308,WDH
1,15,1086,399,255,DWH
1,58,8,34,308,WDH
1,63,597,692,225,WDH
1,4,897,323,448,DWH
1,75,897,30,448,WDH
1,80,625,402,457,WDH
1,30,299,603,457,WDH
1,30,897,568,457,DWH
1,30,39,616,546,WDH
