bin,item,x,y,z,orientation
0,22,702,236,0,WDH
0,33,351,271,0,WDH
0,22,702,0,0,WDH
0,33,0,0,0,WDH
0,22,0,542,0,WDH
0,33,351,0,0,WDH
0,22,324,542,0,WDH
0,33,0,271,0,WDH
0,4,1026,354,0,DWH
0,4,648,542,0,WDH
0,4,1026,0,0,DWH
0,14,1045,0,153,DWH
0,16,341,0,153,WDH
0,14,1045,373,153,DWH
0,14,146,0,153,DWH
0,36,653,472,153,WDH
0,21,30,373,153,WDH
0,16,341,227,153,WDH
0,24,0,590,157,WDH
0,34,702,59,157,DWH
0,1,2,148,153,DWH
0,38,436,477,157,DWH
0,5,30,539,272,WDH
0,5,702,0,272,DWH
0,13,724,398,291,DWH
0,5,449,56,294,DWH
0,10,1014,0,298,DWH
0,10,1014,367,298,DWH
0,9,205,56,298,DWH
0,13,471,454,323,DWH
0,3,9,539,347,WDH
0,18,709,0,347,DWH
0,21,117,373,299,WDH
0,7,8,200,323,WDH
0,5,709,379,357,DWH
0,5,456,0,369,DWH
0,9,428,455,389,DWH
0,10,1014,0,413,DWH
0,10,1014,367,413,DWH
0,10,230,0,413,DWH
0,5,709,379,432,DWH
0,20,8,372,445,WDH
0,20,8,587,445,WDH
0,20,456,0,445,DWH
0,27,693,6,447,DWH
0,5,419,373,499,DWH
0,34,686,379,507,DWH
0,7,33,195,455,WDH
0,2,230,55,528,DWH
0,1,1014,23,528,WDH
0,1,1014,167,528,WDH
0,28,1014,311,528,DWH
0,27,671,0,560,DWH
0,8,355,379,575,WDH
0,27,0,467,575,DWH
0,14,456,0,575,DWH
0,15,686,379,614,WDH
0,7,489,626,575,WDH
0,12,686,628,614,WDH
0,15,413,377,673,WDH
0,15,719,124,673,WDH
0,6,33,195,587,DWH
0,15,48,591,698,WDH
0,15,207,100,698,DWH
0,31,1002,0,699,DWH
0,37,1001,441,699,DWH
0,1,96,447,698,WDH
0,19,489,626,707,WDH
0,1,507,0,720,DWH
0,19,460,225,720,WDH
0,2,686,377,724,WDH
0,30,667,124,792,WDH
0,30,361,377,792,WDH
0,17,758,598,792,WDH
0,30,33,168,808,WDH
0,30,0,594,808,WDH
0,19,134,455,868,WDH
0,32,1028,520,882,DWH
0,32,1028,200,885,DWH
0,32,439,0,890,DWH
0,19,495,623,882,WDH
0,6,1021,42,885,WDH
0,25,691,370,890,WDH
0,31,0,602,1040,WDH
0,31,134,153,1040,DWH
0,23,372,419,1031,WDH
0,23,686,587,1031,WDH
0,17,667,169,1031,WDH
0,11,994,520,1096,DWH
0,17,994,319,1099,WDH
0,29,454,63,1104,DWH
0,29,1021,12,1104,DWH
0,11,167,594,1226,WDH
0,28,195,113,1226,DWH
0,26,460,615,1052,WDH
0,35,686,398,1172,WDH
0,17,454,370,1258,DWH
0,35,686,587,1258,WDH
0,26,20,594,1226,DWH
0,28,264,359,1397,DWH
