bin,item,x,y,z,orientation
0,686,358,486,0,WDH
0,686,0,486,0,WDH
0,695,1003,486,0,DWH
0,701,716,486,0,WDH
0,686,318,243,0,WDH
0,686,636,0,0,WDH
0,571,676,243,0,WDH
0,600,318,0,0,WDH
0,510,1000,243,0,WDH
0,600,0,243,0,WDH
0,510,994,0,0,WDH
0,600,0,0,0,WDH
0,156,0,697,0,WDH
0,156,418,697,0,WDH
0,156,209,697,0,WDH
0,597,734,501,253,WDH
0,203,1070,264,253,DWH
0,606,734,0,253,WDH
0,597,734,264,253,WDH
0,401,1077,0,253,DWH
0,630,370,0,253,WDH
0,630,370,261,253,WDH
0,5,0,518,253,WDH
0,548,0,0,253,WDH
0,102,370,522,253,WDH
0,203,1070,549,253,DWH
0,548,0,259,253,WDH
0,420,455,664,254,WDH
0,87,181,697,254,WDH
0,299,28,697,254,WDH
0,566,0,0,456,DWH
0,99,1070,264,456,DWH
0,189,1070,614,456,DWH
0,133,0,695,456,WDH
0,614,370,522,456,WDH
0,660,313,0,463,WDH
0,421,313,299,463,WDH
0,421,689,299,463,WDH
0,190,879,0,463,WDH
0,399,0,445,463,WDH
0,185,734,501,463,WDH
0,119,809,19,584,WDH
0,588,758,230,584,WDH
0,667,407,9,584,DWH
0,137,15,457,584,WDH
0,186,752,618,584,WDH
0,72,319,522,588,WDH
0,656,68,9,588,DWH
0,120,41,696,588,WDH
0,304,1070,619,588,DWH
0,671,548,67,683,WDH
0,108,811,703,683,WDH
0,542,954,4,683,DWH
0,481,15,404,683,WDH
0,315,565,706,683,WDH
0,315,319,706,683,WDH
0,568,504,436,683,WDH
0,176,1070,411,683,DWH
0,315,261,11,683,WDH
0,568,15,145,683,WDH
0,315,15,11,683,WDH
0,178,1040,628,707,DWH
0,120,0,696,707,WDH
0,694,398,264,824,WDH
0,582,839,9,824,WDH
0,673,398,568,824,WDH
0,694,747,264,824,WDH
0,531,0,7,824,WDH
0,673,0,298,824,WDH
0,384,1040,592,824,DWH
0,534,398,25,824,WDH
0,688,0,570,824,WDH
0,103,1096,264,824,DWH
0,253,815,568,825,DWH
0,422,0,30,997,WDH
0,667,0,327,997,DWH
0,425,767,597,997,WDH
0,425,324,597,997,WDH
0,225,839,10,997,WDH
0,225,324,343,998,WDH
0,579,767,264,998,WDH
0,10,445,10,1000,WDH
0,692,8,0,1095,DWH
0,685,1,309,1095,DWH
0,604,537,470,1095,WDH
0,288,27,600,1095,DWH
0,604,894,464,1095,WDH
0,574,883,232,1095,WDH
0,604,180,238,1095,WDH
0,574,526,0,1095,WDH
0,604,180,0,1095,WDH
0,574,883,0,1095,WDH
0,604,537,232,1095,WDH
0,604,180,476,1095,WDH
0,42,985,702,1095,WDH
0,42,271,714,1095,WDH
0,42,628,708,1095,WDH
0,627,378,7,1338,WDH
0,607,0,554,1338,WDH
0,463,366,587,1338,WDH
0,495,765,554,1338,WDH
0,82,1090,578,1338,DWH
0,537,378,280,1338,WDH
0,147,1030,36,1338,DWH
0,616,0,283,1338,WDH
0,627,746,281,1338,WDH
0,627,704,7,1338,WDH
0,326,1072,295,1338,DWH
0,627,0,10,1338,WDH
0,482,607,7,1534,WDH
0,482,184,7,1534,WDH
0,260,629,554,1534,DWH
0,482,184,309,1534,WDH
0,260,1102,554,1534,DWH
0,166,24,611,1534,DWH
0,43,1035,0,1534,DWH
0,590,167,611,1534,WDH
0,569,637,309,1534,WDH
0,437,1,7,1534,DWH
0,166,41,403,1534,DWH
0,524,774,554,1536,WDH
0,447,1036,293,1536,DWH
0,509,851,5,1699,WDH
0,509,469,5,1699,WDH
0,118,938,322,1699,WDH
0,522,0,565,1699,WDH
0,502,443,583,1699,WDH
0,502,0,51,1699,WDH
0,502,469,308,1699,WDH
0,244,912,574,1699,WDH
0,502,0,308,1699,WDH
0,562,172,0,1828,DWH
0,562,420,574,1828,WDH
0,302,0,0,1828,DWH
0,599,6,574,1828,WDH
0,330,46,337,1828,DWH
0,482,817,0,1828,WDH
0,562,446,322,1828,WDH
0,523,423,0,1828,WDH
0,524,912,574,1830,WDH
0,126,944,302,1831,WDH
0,290,1,337,1990,DWH
0,660,375,0,1990,DWH
0,25,19,566,1990,DWH
0,445,863,598,1990,WDH
0,250,675,598,1990,DWH
0,660,674,0,1990,WDH
0,441,173,319,1990,DWH
0,660,674,299,1990,WDH
0,180,172,0,1990,DWH
0,528,257,566,1990,WDH
0,96,2,50,1992,DWH
0,411,427,566,2105,DWH
0,351,863,622,2105,WDH
0,221,1,102,2105,DWH
0,426,172,32,2105,DWH
0,358,0,597,2105,WDH
0,33,247,339,2110,WDH
0,380,855,339,2110,WDH
0,351,553,339,2110,WDH
0,270,3,339,2110,WDH
0,656,807,0,2110,WDH
0,656,374,0,2110,WDH
0,312,636,566,2111,DWH
1,698,468,0,0,WDH
1,640,882,610,0,WDH
1,684,882,312,0,WDH
1,684,832,0,0,WDH
1,613,0,257,0,WDH
1,698,0,514,0,WDH
1,613,0,0,0,WDH
1,599,468,312,0,WDH
1,599,468,570,0,WDH
1,367,364,514,0,DWH
1,367,364,668,0,DWH
1,661,832,0,157,WDH
1,108,911,682,157,WDH
1,560,835,312,157,WDH
1,108,682,682,157,WDH
1,560,468,312,157,WDH
1,449,468,682,157,WDH
1,200,247,541,162,DWH
1,200,0,8,162,WDH
1,505,0,372,162,DWH
1,614,468,29,162,WDH
1,505,0,125,162,WDH
1,152,266,378,162,WDH
1,388,304,4,162,WDH
1,367,1140,686,157,DWH
1,283,0,46,291,WDH
1,189,302,126,291,DWH
1,628,0,336,291,WDH
1,505,0,593,291,WDH
1,670,468,312,293,WDH
1,292,468,628,293,WDH
1,666,888,312,293,DWH
1,577,768,3,295,WDH
1,623,487,1,295,DWH
1,178,663,628,299,DWH
1,96,853,670,299,WDH
1,362,650,628,412,WDH
1,573,61,12,423,WDH
1,567,102,349,423,DWH
1,455,468,312,448,WDH
1,455,768,1,448,WDH
1,24,837,312,448,WDH
1,161,468,43,449,WDH
1,243,469,628,448,DWH
1,385,650,628,504,WDH
1,291,1124,635,448,DWH
1,363,448,0,529,WDH
1,636,0,300,529,WDH
1,636,0,0,529,WDH
1,115,0,600,529,WDH
1,489,735,0,535,WDH
1,555,448,465,535,WDH
1,593,448,269,535,WDH
1,511,1009,0,535,DWH
1,555,742,469,535,WDH
1,637,1016,269,535,DWH
1,489,742,269,535,WDH
1,497,393,628,566,WDH
1,492,650,628,576,WDH
1,477,0,0,669,WDH
1,533,400,0,669,WDH
1,665,0,267,669,WDH
1,561,0,526,669,WDH
1,167,1091,616,637,DWH
1,343,0,15,854,WDH
1,161,448,0,854,WDH
1,558,0,320,854,DWH
1,45,371,626,854,WDH
1,312,593,632,856,WDH
1,114,846,632,862,WDH
1,198,742,38,873,DWH
1,76,371,356,878,WDH
1,45,1016,356,878,WDH
1,45,1018,0,879,WDH
1,395,703,470,878,WDH
1,239,513,58,927,DWH
1,333,324,644,927,WDH
1,667,0,3,927,WDH
1,667,0,327,927,DWH
1,312,831,632,941,WDH
1,312,578,632,941,WDH
1,380,750,85,950,DWH
1,131,373,355,950,WDH
1,234,999,287,951,DWH
1,438,1005,0,952,DWH
1,357,703,470,976,WDH
1,343,0,0,1020,WDH
1,76,405,0,1020,WDH
1,101,0,305,1020,DWH
1,198,272,372,1034,WDH
1,198,742,39,1034,DWH
1,51,1005,264,1020,DWH
1,75,272,628,1020,WDH
1,270,1005,20,1026,DWH
1,178,931,628,1026,WDH
1,445,554,628,1026,WDH
1,9,2,75,1094,DWH
1,9,2,455,1094,DWH
1,9,357,0,1094,WDH
1,281,828,208,1116,WDH
1,651,353,324,1111,WDH
1,445,851,3,1111,WDH
1,75,272,628,1116,WDH
1,227,558,618,1137,WDH
1,119,812,629,1137,WDH
1,24,0,0,1167,DWH
1,131,265,0,1167,WDH
1,19,0,386,1167,DWH
1,263,595,16,1167,DWH
1,47,828,301,1186,WDH
1,141,0,682,1167,WDH
1,270,314,618,1210,WDH
1,452,879,0,1223,WDH
1,526,330,301,1223,WDH
1,19,330,14,1255,DWH
1,19,0,423,1255,WDH
1,19,0,164,1255,WDH
1,216,564,616,1235,WDH
1,216,902,616,1235,WDH
1,97,0,11,1255,WDH
1,239,601,32,1262,DWH
1,47,837,265,1276,WDH
1,454,20,693,1278,WDH
1,229,324,616,1293,WDH
1,651,324,324,1322,WDH
1,164,837,6,1322,WDH
1,369,324,13,1343,DWH
1,464,0,283,1343,DWH
1,252,22,13,1347,WDH
1,369,580,13,1361,DWH
1,222,564,627,1361,WDH
1,28,1011,608,1361,DWH
1,611,837,265,1366,WDH
1,340,0,682,1382,WDH
1,28,332,652,1391,WDH
1,515,365,324,1434,WDH
1,206,852,0,1434,WDH
1,452,0,1,1450,WDH
1,594,0,266,1450,DWH
1,75,365,42,1450,DWH
1,239,1013,571,1465,DWH
1,10,564,604,1471,WDH
1,165,572,21,1471,DWH
1,611,844,245,1478,WDH
1,123,322,604,1495,WDH
1,340,49,683,1491,WDH
1,202,832,19,1534,WDH
1,206,448,345,1534,WDH
1,422,14,266,1547,DWH
1,75,365,21,1547,DWH
1,81,0,0,1549,WDH
1,323,958,550,1555,DWH
1,10,564,604,1562,WDH
1,165,572,19,1566,DWH
1,422,844,245,1590,WDH
1,123,322,609,1593,WDH
1,96,0,670,1600,WDH
1,10,438,322,1637,WDH
1,10,846,0,1637,WDH
1,422,14,266,1637,DWH
1,75,365,21,1641,DWH
1,154,32,21,1644,WDH
1,239,605,558,1658,DWH
1,422,844,542,1658,WDH
1,228,572,19,1661,DWH
1,422,845,236,1680,WDH
1,177,322,609,1691,WDH
1,240,845,9,1728,WDH
1,422,14,266,1728,DWH
1,305,438,329,1728,WDH
1,75,365,34,1735,DWH
1,611,844,535,1749,WDH
1,190,14,12,1749,WDH
1,360,595,559,1749,DWH
1,416,844,240,1771,WDH
1,165,572,13,1771,DWH
1,75,313,559,1795,WDH
1,210,478,371,1825,WDH
1,557,10,348,1825,DWH
1,210,888,0,1826,WDH
1,75,365,34,1829,DWH
1,464,841,188,1861,WDH
1,303,841,507,1861,WDH
1,177,602,564,1868,DWH
1,415,598,34,1868,DWH
1,98,2,26,1868,WDH
1,75,320,564,1889,WDH
1,391,382,36,1923,DWH
1,28,598,376,1923,WDH
1,466,0,409,1924,DWH
1,418,841,1,1924,WDH
1,284,308,371,1924,WDH
1,210,830,220,1967,WDH
1,579,830,408,1967,DWH
1,75,175,89,1977,DWH
1,210,642,24,1977,DWH
1,229,639,597,1977,DWH
1,342,0,60,1977,DWH
1,159,320,564,1983,WDH
1,75,391,89,2027,DWH
1,229,830,29,2045,WDH
1,557,0,422,2045,DWH
1,28,598,376,2027,WDH
1,229,358,373,2046,WDH
1,47,837,525,2065,WDH
1,98,837,235,2065,WDH
1,391,175,36,2075,DWH
1,391,598,41,2075,DWH
1,28,629,597,2075,DWH
2,585,357,0,0,WDH
2,682,741,573,0,WDH
2,693,718,0,0,WDH
2,640,0,596,0,WDH
2,684,0,298,0,WDH
2,521,741,283,0,WDH
2,330,1106,573,0,DWH
2,483,357,283,0,WDH
2,684,0,0,0,WDH
2,483,357,546,0,WDH
2,260,1093,0,0,DWH
2,366,1079,283,0,DWH
2,705,137,179,163,WDH
2,705,23,446,163,DWH
2,664,212,408,163,WDH
2,664,531,152,163,WDH
2,664,212,624,163,WDH
2,203,955,10,163,WDH
2,26,569,2,163,WDH
2,541,878,412,163,WDH
2,541,878,626,163,WDH
2,536,559,604,163,WDH
2,536,921,176,163,WDH
2,122,242,2,163,WDH
2,175,2,95,163,DWH
2,536,559,368,163,WDH
2,430,531,17,371,WDH
2,680,531,145,371,WDH
2,476,993,14,371,DWH
2,320,1034,589,371,DWH
2,430,2,45,371,DWH
2,665,623,581,371,WDH
2,556,212,368,371,WDH
2,646,704,370,371,WDH
2,665,212,581,371,WDH
2,359,242,2,371,WDH
2,553,2,368,372,DWH
2,348,137,179,372,WDH
2,107,855,38,371,WDH
2,430,531,17,553,WDH
2,680,1017,0,553,DWH
2,680,531,145,553,WDH
2,430,2,45,553,DWH
2,383,704,368,553,WDH
2,646,1,368,553,DWH
2,218,208,2,553,WDH
2,277,1048,462,553,DWH
2,547,653,581,554,WDH
2,534,212,581,554,WDH
2,424,179,179,557,WDH
2,609,260,374,557,WDH
2,440,619,368,730,WDH
2,350,1017,462,730,DWH
2,28,179,179,730,WDH
2,337,474,645,730,WDH
2,337,736,645,730,WDH
2,266,212,368,730,WDH
2,337,212,645,730,WDH
2,342,159,2,733,WDH
2,308,1012,283,733,WDH
2,296,521,145,733,WDH
2,614,879,0,733,WDH
2,180,0,521,735,DWH
2,280,0,243,735,DWH
2,152,0,0,735,DWH
2,209,508,2,735,WDH
2,628,610,368,840,WDH
2,144,896,625,840,WDH
2,402,179,179,840,WDH
2,308,1012,444,840,WDH
2,144,554,625,840,WDH
2,144,212,625,840,WDH
2,628,212,368,840,WDH
2,180,0,521,853,DWH
2,141,0,202,853,DWH
2,570,529,0,865,DWH
2,108,1011,300,865,WDH
2,176,321,0,865,WDH
2,636,792,0,865,WDH
2,176,113,0,865,WDH
2,627,914,567,972,WDH
2,291,1035,451,972,WDH
2,520,561,363,972,WDH
2,472,41,462,972,DWH
2,668,591,574,972,WDH
2,668,268,574,972,WDH
2,86,270,369,972,WDH
2,29,280,166,972,WDH
2,608,36,164,972,DWH
2,554,880,31,1003,WDH
2,554,520,31,1003,WDH
2,373,25,5,1003,WDH
2,166,321,18,1003,WDH
2,166,1042,308,1007,WDH
2,670,0,524,1166,WDH
2,116,900,7,1166,WDH
2,355,0,5,1166,WDH
2,697,0,224,1166,WDH
2,632,430,210,1166,WDH
2,632,830,210,1166,WDH
2,136,430,48,1166,WDH
2,629,420,562,1166,WDH
2,602,886,524,1168,WDH
2,701,953,580,1318,WDH
2,691,9,221,1318,WDH
2,691,235,673,1318,WDH
2,695,625,625,1318,WDH
2,701,953,320,1318,WDH
2,408,473,6,1318,WDH
2,435,54,671,1318,WDH
2,408,713,6,1318,WDH
2,581,399,151,1318,WDH
2,581,676,388,1318,WDH
2,581,399,388,1318,WDH
2,581,963,83,1318,WDH
2,581,122,388,1318,WDH
2,581,676,151,1318,WDH
2,583,59,36,1318,WDH
2,42,1,388,1318,DWH
2,683,263,0,1571,WDH
2,563,494,580,1571,WDH
2,563,867,580,1571,WDH
2,331,17,580,1571,DWH
2,610,904,277,1571,WDH
2,601,271,290,1571,WDH
2,683,599,277,1571,WDH
2,610,904,0,1571,WDH
2,610,568,0,1571,WDH
2,626,37,0,1571,DWH
2,245,1,377,1571,WDH
2,479,155,580,1571,WDH
2,564,719,361,1758,WDH
2,564,719,142,1758,WDH
2,643,0,142,1758,WDH
2,461,393,332,1758,WDH
2,569,0,597,1758,WDH
2,524,393,580,1758,WDH
2,373,1082,284,1758,DWH
2,677,721,585,1758,WDH
2,677,393,77,1758,WDH
2,447,1034,581,1758,DWH
2,569,0,354,1758,WDH
2,337,1082,22,1758,DWH
2,152,0,0,1758,WDH
2,431,202,0,1758,WDH
2,431,716,0,1758,WDH
2,382,907,16,1758,WDH
2,432,4,140,1913,WDH
2,184,427,332,1913,WDH
2,52,726,591,1914,WDH
2,135,496,5,1914,DWH
2,34,402,573,1919,WDH
2,621,761,163,1919,DWH
2,37,1058,581,1919,DWH
2,144,60,344,1920,WDH
2,614,41,557,1920,WDH
2,322,1094,0,1868,DWH
2,431,14,0,1885,WDH
2,224,1086,233,1921,DWH
2,431,202,0,1928,WDH
2,431,719,16,1928,WDH
2,423,4,144,2021,WDH
2,350,402,365,2021,WDH
2,287,427,14,2024,DWH
2,399,742,590,2024,WDH
2,466,0,409,2052,DWH
2,528,296,579,2052,WDH
2,224,1086,233,2052,DWH
2,586,745,162,2058,DWH
2,289,1058,583,2058,DWH
2,403,1060,0,2059,DWH
3,551,892,404,0,DWH
3,551,892,0,0,DWH
3,633,459,282,0,WDH
3,633,0,550,0,WDH
