bin,item,x,y,z,orientation
0,68,0,257,0,WDH
0,43,918,423,0,DWH
0,68,0,514,0,WDH
0,68,0,0,0,WDH
0,68,459,0,0,WDH
0,59,918,0,0,DWH
0,68,459,257,0,WDH
0,59,459,514,0,WDH
0,10,84,16,172,WDH
0,74,414,6,172,WDH
0,73,73,250,172,WDH
0,74,414,562,172,WDH
0,74,414,284,172,WDH
0,74,1,562,172,WDH
0,74,827,562,172,WDH
0,74,827,284,172,WDH
0,74,827,6,172,WDH
0,13,834,17,316,WDH
0,71,834,284,316,WDH
0,50,0,568,316,WDH
0,31,885,562,316,WDH
0,41,414,246,316,WDH
0,55,414,548,316,WDH
0,19,414,17,316,WDH
0,73,0,256,317,WDH
0,4,214,105,321,WDH
0,4,69,50,321,DWH
0,60,834,8,451,WDH
0,34,852,562,451,WDH
0,60,414,18,451,WDH
0,21,69,15,451,WDH
0,75,426,576,451,WDH
0,75,0,576,451,WDH
0,79,834,236,451,WDH
0,43,341,256,454,WDH
0,73,0,264,462,WDH
0,26,787,460,606,WDH
0,26,787,650,606,WDH
0,19,956,2,606,WDH
0,19,503,611,606,WDH
0,19,219,611,606,WDH
0,8,794,239,606,DWH
0,19,388,2,606,WDH
0,19,956,231,606,WDH
0,19,672,2,606,WDH
0,25,0,546,609,DWH
0,10,0,312,609,WDH
0,73,0,0,609,WDH
0,39,348,256,618,WDH
0,11,1004,30,740,WDH
0,11,532,30,740,WDH
0,11,768,30,740,WDH
0,11,194,648,740,WDH
0,56,430,222,740,WDH
0,56,430,531,740,WDH
0,56,835,531,740,WDH
0,56,835,222,740,WDH
0,1,0,58,756,WDH
0,27,0,346,758,WDH
0,27,0,528,758,DWH
0,62,358,180,840,WDH
0,35,689,625,840,WDH
0,35,689,410,840,WDH
0,22,0,44,840,WDH
0,22,663,26,840,WDH
0,3,971,10,840,WDH
0,89,0,626,840,WDH
0,77,0,195,840,WDH
0,77,358,406,840,WDH
0,18,663,177,840,WDH
0,18,967,382,840,WDH
0,77,358,623,840,WDH
0,18,967,611,840,WDH
0,89,0,412,840,WDH
0,28,967,198,840,WDH
0,84,442,42,1049,WDH
0,84,0,59,1049,WDH
0,63,442,571,1049,WDH
0,51,850,350,1049,WDH
0,63,0,319,1049,WDH
0,76,0,588,1049,WDH
0,63,442,302,1049,WDH
0,69,850,549,1049,WDH
0,87,873,0,1050,WDH
0,49,901,249,1220,DWH
0,92,81,319,1220,DWH
0,49,518,302,1220,DWH
0,6,0,0,1221,WDH
0,65,391,0,1221,WDH
0,11,816,0,1230,WDH
0,4,1052,0,1230,DWH
0,56,835,222,1311,WDH
0,11,599,339,1311,WDH
0,56,835,531,1311,WDH
0,56,430,531,1311,WDH
0,92,0,310,1318,DWH
0,5,25,19,1320,WDH
0,65,391,29,1325,WDH
0,12,350,369,1318,WDH
0,2,835,0,1330,DWH
0,39,366,538,1411,WDH
0,83,754,529,1411,WDH
0,47,837,226,1411,WDH
0,61,0,386,1416,DWH
0,39,0,0,1429,WDH
0,39,388,0,1429,WDH
0,2,615,312,1411,WDH
0,7,1052,15,1350,DWH
0,16,672,538,1530,WDH
0,5,0,302,1530,DWH
0,17,366,538,1530,WDH
0,16,837,226,1530,WDH
0,2,377,314,1479,WDH
0,2,776,0,1486,WDH
0,81,418,33,1545,WDH
0,81,60,33,1545,WDH
0,20,1007,510,1530,DWH
0,2,599,314,1567,WDH
0,22,58,669,1530,WDH
0,34,837,226,1640,WDH
0,34,366,538,1640,WDH
0,30,728,538,1640,WDH
0,2,364,302,1640,WDH
0,79,0,302,1640,WDH
0,29,0,0,1685,WDH
0,16,440,0,1685,WDH
0,54,776,1,1642,WDH
0,14,1013,504,1685,DWH
0,7,1068,1,1609,DWH
0,16,122,26,1762,WDH
0,14,40,634,1735,WDH
0,2,586,302,1723,WDH
0,33,750,550,1794,DWH
0,88,40,282,1794,DWH
0,78,440,13,1794,WDH
0,66,366,557,1794,WDH
0,48,837,272,1794,WDH
0,33,297,282,1796,WDH
0,54,1024,548,1809,DWH
0,30,776,1,1840,DWH
0,36,122,26,1868,WDH
0,23,40,634,1868,WDH
0,33,567,282,1879,WDH
0,24,1050,1,1868,DWH
0,92,95,282,1989,WDH
0,30,776,1,1989,DWH
0,79,660,528,1989,WDH
0,87,837,279,1989,WDH
0,38,440,69,1989,WDH
0,54,368,624,1989,WDH
1,91,0,436,0,WDH
1,52,943,0,0,WDH
1,32,596,232,0,WDH
1,32,633,0,0,WDH
1,32,906,232,0,WDH
1,32,643,436,0,WDH
1,32,323,620,0,WDH
1,32,643,607,0,WDH
1,42,0,0,0,WDH
1,46,335,0,0,WDH
1,46,0,232,0,WDH
1,37,0,620,0,WDH
1,46,298,232,0,WDH
1,37,320,436,0,WDH
1,58,953,436,0,DWH
1,58,1012,437,169,DWH
1,15,188,255,255,WDH
1,24,961,232,255,WDH
1,15,408,618,255,WDH
1,24,423,255,255,WDH
1,40,675,510,255,WDH
1,53,678,255,255,WDH
1,53,678,0,255,WDH
1,53,413,0,255,WDH
1,86,16,25,258,WDH
1,67,0,656,264,WDH
1,69,949,488,338,DWH
1,9,959,54,264,WDH
1,45,320,444,264,WDH
1,90,0,425,265,WDH
1,44,0,0,439,WDH
1,93,513,54,485,WDH
1,44,665,444,488,DWH
1,57,320,618,484,WDH
1,72,896,575,509,WDH
1,70,18,667,484,WDH
1,70,121,250,484,WDH
1,45,1041,230,515,DWH
1,70,18,500,549,WDH
1,57,121,34,621,WDH
1,72,635,517,679,DWH
1,85,320,439,570,WDH
1,82,799,132,679,DWH
1,82,513,19,679,WDH
1,82,513,152,679,WDH
1,82,513,285,679,WDH
1,64,983,661,736,WDH
1,80,325,686,736,WDH
1,70,18,667,792,WDH
1,45,121,250,792,WDH
