bin,item,x,y,z,orientation
0,27,0,586,0,WDH
0,60,354,556,0,WDH
0,60,354,0,0,WDH
0,63,0,0,0,WDH
0,60,354,278,0,WDH
0,63,0,293,0,WDH
0,54,713,235,0,WDH
0,54,713,0,0,WDH
0,49,713,470,0,WDH
0,31,1019,470,0,DWH
0,59,0,320,193,WDH
0,14,386,35,193,WDH
0,20,310,667,193,WDH
0,20,659,478,193,DWH
0,20,819,478,193,DWH
0,59,0,54,193,WDH
0,59,386,200,193,DWH
0,50,844,211,195,WDH
0,41,743,19,195,WDH
0,6,23,599,195,WDH
0,9,655,214,195,DWH
0,1,979,513,224,DWH
0,14,577,9,195,DWH
0,11,0,330,344,WDH
0,51,0,0,344,WDH
0,8,979,478,344,DWH
0,8,441,333,344,DWH
0,8,441,0,344,DWH
0,47,618,0,372,WDH
0,20,310,667,346,WDH
0,20,659,478,346,DWH
0,20,819,478,346,DWH
0,23,0,572,372,WDH
0,23,0,701,372,WDH
0,47,669,0,440,WDH
0,24,979,478,457,DWH
0,4,414,381,457,DWH
0,44,0,0,457,WDH
0,45,414,0,457,DWH
0,34,51,219,460,WDH
0,18,668,450,499,DWH
0,5,55,548,499,WDH
0,42,647,0,508,WDH
0,4,414,634,499,WDH
0,20,1074,0,508,DWH
0,55,0,364,590,DWH
0,11,979,416,595,DWH
0,32,0,24,595,WDH
0,55,598,24,627,WDH
0,66,667,385,598,DWH
0,4,414,440,590,WDH
0,20,414,91,598,DWH
0,4,414,634,632,WDH
0,65,57,364,671,DWH
0,66,631,55,711,WDH
0,57,966,374,711,DWH
0,32,0,0,713,WDH
0,20,1080,25,661,DWH
0,39,671,399,717,DWH
0,4,414,440,723,WDH
0,59,0,340,775,WDH
0,45,0,606,775,WDH
0,34,49,11,833,WDH
0,66,631,55,833,WDH
0,57,966,374,833,DWH
0,66,672,374,844,DWH
0,31,414,108,751,DWH
0,15,420,640,765,WDH
0,21,1094,0,814,DWH
0,66,118,340,926,DWH
0,2,429,464,856,WDH
0,39,653,0,952,WDH
0,11,0,0,962,WDH
0,22,966,374,962,DWH
0,39,671,399,963,DWH
0,45,414,59,975,DWH
0,51,82,342,1045,DWH
0,12,420,640,993,WDH
0,50,711,0,1079,WDH
0,50,31,59,1079,WDH
0,50,967,374,1079,DWH
0,68,711,259,1090,DWH
0,15,414,440,1033,WDH
0,36,414,59,1116,DWH
0,10,1094,0,1028,DWH
0,16,31,318,1158,WDH
0,41,108,640,1158,WDH
0,36,31,30,1246,WDH
0,67,958,328,1246,DWH
0,68,711,12,1246,WDH
0,29,709,259,1254,DWH
0,24,386,12,1280,WDH
0,24,35,318,1284,WDH
0,24,267,594,1335,WDH
0,13,414,388,1261,WDH
0,10,386,250,1280,WDH
0,31,711,532,1410,WDH
0,58,0,0,1410,WDH
0,58,711,272,1410,WDH
0,15,1037,263,1410,DWH
0,28,1043,532,1410,DWH
0,58,711,12,1410,WDH
0,15,1037,12,1410,DWH
0,64,5,318,1420,WDH
0,17,54,646,1335,WDH
0,31,326,0,1416,WDH
0,61,363,590,1471,WDH
0,43,363,407,1479,WDH
0,3,392,238,1498,WDH
0,38,0,260,1626,WDH
0,48,363,590,1640,WDH
0,48,711,532,1640,WDH
0,48,654,0,1640,WDH
0,53,0,0,1640,WDH
0,48,674,238,1640,WDH
0,48,314,0,1640,WDH
0,13,5,630,1598,WDH
0,41,1048,0,1640,DWH
0,37,1051,512,1640,DWH
0,3,392,407,1699,WDH
0,50,9,317,1797,WDH
0,48,674,236,1841,DWH
0,48,654,0,1841,WDH
0,48,703,590,1841,WDH
0,48,363,590,1841,WDH
0,48,9,90,1841,WDH
0,49,349,11,1841,DWH
0,28,0,650,1816,WDH
0,52,1014,238,1817,DWH
0,7,994,0,1817,WDH
0,61,0,337,1964,DWH
0,15,423,376,1941,WDH
0,52,1043,558,1921,DWH
1,40,0,0,0,WDH
1,64,0,228,0,WDH
1,69,418,0,0,WDH
1,56,355,228,0,WDH
1,56,0,495,0,WDH
1,19,355,404,0,WDH
1,49,355,546,0,WDH
1,62,816,0,0,WDH
1,46,668,404,0,WDH
1,35,668,602,0,WDH
1,26,631,221,0,WDH
1,26,920,221,0,WDH
1,30,1019,404,0,WDH
1,30,0,671,0,WDH
1,33,365,654,188,WDH
1,25,960,602,0,WDH
1,25,368,12,215,WDH
