bin,item,x,y,z,orientation
0,39,0,309,0,WDH
0,16,1038,567,0,DWH
0,14,740,487,0,WDH
0,39,370,0,0,WDH
0,14,740,236,0,WDH
0,39,0,0,0,WDH
0,12,1038,236,0,DWH
0,35,740,0,0,WDH
0,39,370,309,0,WDH
0,12,316,618,0,WDH
0,28,0,618,0,WDH
0,36,13,0,144,WDH
0,36,13,458,144,WDH
0,36,13,229,144,WDH
0,36,422,458,144,WDH
0,36,422,0,144,WDH
0,36,831,0,144,WDH
0,36,422,229,144,WDH
0,36,831,458,144,WDH
0,36,831,229,144,WDH
0,8,0,699,144,WDH
0,8,166,699,144,WDH
0,16,332,699,144,WDH
0,2,940,687,144,WDH
0,13,846,487,309,WDH
0,24,0,399,309,WDH
0,41,423,0,309,WDH
0,41,423,399,309,WDH
0,41,0,0,309,WDH
0,47,846,0,309,DWH
0,26,395,492,395,WDH
0,25,768,492,395,WDH
0,18,0,246,395,WDH
0,18,395,0,395,WDH
0,18,0,0,395,WDH
0,18,0,492,395,WDH
0,18,395,246,395,WDH
0,1,854,295,398,WDH
0,42,849,0,398,WDH
0,14,551,511,514,WDH
0,23,21,293,514,DWH
0,23,21,0,514,DWH
0,7,539,0,514,WDH
0,14,851,492,514,DWH
0,14,253,260,514,WDH
0,14,551,260,514,WDH
0,14,253,511,514,WDH
0,14,241,0,514,WDH
0,4,2,586,514,WDH
0,47,849,0,558,DWH
0,21,744,0,654,WDH
0,21,372,205,654,WDH
0,21,372,410,654,WDH
0,21,0,0,654,WDH
0,21,0,205,654,WDH
0,1,744,205,654,WDH
0,21,372,0,654,WDH
0,21,372,615,654,WDH
0,31,744,402,654,WDH
0,31,0,600,660,WDH
0,19,744,642,654,WDH
0,22,0,410,654,WDH
0,27,365,38,804,WDH
0,3,851,23,804,WDH
0,47,411,348,804,DWH
0,27,2,31,804,DWH
0,45,744,306,808,WDH
0,17,86,583,814,WDH
0,6,744,642,824,WDH
0,15,351,0,902,WDH
0,33,411,583,902,WDH
0,20,0,0,902,WDH
0,5,351,303,902,WDH
0,25,691,281,913,WDH
0,24,48,539,918,WDH
0,4,851,23,902,WDH
0,9,0,267,902,WDH
0,27,0,530,997,WDH
0,9,1025,264,913,DWH
0,40,379,583,1026,WDH
0,40,379,326,1026,WDH
0,9,749,468,1026,WDH
0,9,749,654,1026,WDH
0,38,0,49,1026,WDH
0,43,452,75,1031,WDH
0,30,851,23,1048,WDH
0,10,0,267,1087,WDH
0,24,0,486,1095,WDH
0,32,806,264,1026,WDH
0,34,1025,264,1098,DWH
0,29,616,430,1220,WDH
0,30,88,604,1174,WDH
0,40,379,69,1199,WDH
0,30,919,28,1220,WDH
0,46,379,326,1220,DWH
0,34,0,0,1220,WDH
0,11,0,185,1253,DWH
0,44,616,430,1292,WDH
0,44,616,587,1292,WDH
0,37,318,79,1393,WDH
