bin,item,x,y,z,orientation
0,85,794,550,0,WDH
0,40,632,610,0,DWH
0,30,316,610,0,WDH
0,30,0,610,0,WDH
0,78,397,305,0,WDH
0,85,794,305,0,WDH
0,78,794,0,0,WDH
0,78,0,0,0,WDH
0,78,0,305,0,WDH
0,78,397,0,0,WDH
0,70,854,0,144,WDH
0,70,854,282,144,WDH
0,70,468,0,144,WDH
0,32,541,524,144,WDH
0,5,20,0,144,DWH
0,41,257,524,144,WDH
0,64,474,282,144,WDH
0,41,184,211,144,WDH
0,5,20,262,144,DWH
0,64,860,564,144,WDH
0,41,46,524,144,DWH
0,41,184,0,144,WDH
0,15,704,0,323,WDH
0,15,713,273,323,WDH
0,35,0,546,323,WDH
0,71,352,0,323,WDH
0,71,0,0,323,WDH
0,71,0,273,323,WDH
0,76,352,273,323,WDH
0,15,976,522,323,DWH
0,15,664,522,323,WDH
0,15,352,522,323,WDH
0,4,1016,0,323,DWH
0,1,1057,272,323,DWH
0,24,630,534,476,DWH
0,24,373,534,476,DWH
0,74,0,184,476,DWH
0,21,714,55,476,WDH
0,6,887,616,476,WDH
0,85,352,28,476,WDH
0,74,0,557,476,WDH
0,85,713,277,476,WDH
0,55,1075,277,461,DWH
0,85,351,277,484,WDH
0,2,10,0,476,WDH
0,43,996,71,493,WDH
0,16,1075,277,583,DWH
0,12,97,337,623,WDH
0,82,456,522,623,WDH
0,82,25,522,623,WDH
0,87,265,1,623,WDH
0,55,21,126,623,WDH
0,29,741,321,623,WDH
0,31,741,19,625,WDH
0,31,741,170,625,WDH
0,54,351,284,625,WDH
0,46,905,595,626,WDH
0,31,1002,126,631,WDH
0,34,1075,277,670,DWH
0,52,930,542,727,WDH
0,26,278,12,741,WDH
0,46,59,284,749,WDH
0,46,392,284,749,WDH
0,46,330,617,750,WDH
0,46,663,507,750,DWH
0,46,725,284,750,WDH
0,38,0,593,750,WDH
0,46,725,61,756,WDH
0,13,21,79,749,WDH
0,52,886,584,799,WDH
0,49,1076,84,756,DWH
0,87,258,1,811,WDH
0,52,74,294,850,DWH
0,25,330,297,851,WDH
0,72,330,541,851,WDH
0,54,727,303,851,WDH
0,22,17,593,855,WDH
0,33,706,1,857,WDH
0,23,1103,277,780,DWH
0,1,716,541,851,DWH
0,1,1080,27,871,DWH
0,51,878,635,871,WDH
0,47,32,53,888,WDH
0,22,32,277,929,DWH
0,20,258,1,929,WDH
0,9,32,590,970,WDH
0,54,242,277,970,WDH
0,9,990,277,970,DWH
0,54,616,277,970,WDH
0,54,319,578,976,WDH
0,54,706,39,984,WDH
0,1,693,566,989,DWH
0,54,851,578,1000,WDH
0,13,21,1,1000,WDH
0,40,1091,0,1009,DWH
0,37,258,30,1040,WDH
0,37,21,199,1043,DWH
0,14,254,240,1088,DWH
0,85,863,333,1088,WDH
0,85,489,321,1088,WDH
0,6,0,616,1094,WDH
0,6,343,616,1094,WDH
0,67,631,30,1102,WDH
0,51,878,635,1127,WDH
0,40,729,623,1127,DWH
0,37,258,30,1151,WDH
0,13,0,0,1139,WDH
0,54,0,242,1154,DWH
0,5,1076,0,1147,DWH
0,79,518,285,1229,WDH
0,9,1014,262,1229,DWH
0,18,662,86,1238,WDH
0,51,238,254,1238,DWH
0,2,387,623,1244,WDH
0,2,45,623,1244,WDH
0,18,729,623,1265,WDH
0,18,237,0,1265,WDH
0,8,17,295,1278,DWH
0,56,5,0,1278,DWH
0,63,806,262,1345,WDH
0,2,464,262,1345,WDH
0,2,464,442,1345,WDH
0,8,797,42,1354,WDH
0,8,244,343,1367,DWH
0,48,1076,0,1321,DWH
0,41,45,623,1382,WDH
0,41,613,623,1382,WDH
0,41,329,623,1382,WDH
0,17,237,0,1382,WDH
0,28,897,623,1382,WDH
0,8,24,343,1416,DWH
0,8,17,16,1417,DWH
0,23,662,42,1354,DWH
0,44,743,424,1483,WDH
0,8,464,402,1483,WDH
0,13,797,64,1492,WDH
0,44,244,315,1505,DWH
0,13,1034,25,1505,DWH
0,39,464,234,1483,WDH
0,19,1061,262,1483,DWH
0,48,806,262,1483,WDH
0,11,237,9,1548,WDH
0,65,228,638,1558,WDH
0,7,849,652,1558,WDH
0,7,580,652,1558,WDH
0,86,0,448,1558,DWH
0,65,0,96,1558,DWH
0,28,717,425,1622,WDH
0,28,442,425,1622,WDH
0,5,797,0,1631,DWH
0,3,657,0,1548,DWH
0,50,442,243,1644,WDH
0,77,228,261,1644,DWH
0,4,961,74,1644,WDH
0,80,992,283,1674,DWH
0,4,237,9,1709,WDH
0,10,772,262,1674,WDH
0,5,856,676,1789,WDH
0,5,594,676,1789,WDH
0,27,432,425,1797,WDH
0,27,712,425,1797,WDH
0,80,0,641,1789,WDH
0,36,0,24,1789,DWH
0,50,0,332,1789,DWH
0,45,628,0,1743,DWH
0,45,389,671,1789,WDH
0,73,912,0,1814,WDH
0,53,182,363,1846,DWH
0,59,432,220,1848,WDH
0,19,992,334,1873,DWH
0,42,167,24,1879,WDH
0,58,634,425,1965,WDH
1,81,480,178,0,WDH
1,81,240,356,0,WDH
1,81,240,178,0,WDH
1,81,480,0,0,WDH
1,81,0,356,0,WDH
1,81,0,178,0,WDH
1,81,240,0,0,WDH
1,81,0,0,0,WDH
1,68,480,356,0,WDH
1,68,0,534,0,WDH
1,59,720,0,0,WDH
1,60,720,200,0,WDH
1,60,480,591,0,WDH
1,60,845,356,0,WDH
1,62,786,591,0,WDH
1,75,1060,0,0,DWH
1,84,1084,535,0,DWH
1,66,0,534,243,WDH
1,69,480,356,243,WDH
1,69,807,535,253,WDH
1,57,720,0,243,WDH
1,75,1055,0,267,DWH
1,62,757,192,349,WDH
1,83,490,591,349,WDH
1,42,133,389,363,WDH
1,42,410,211,363,WDH
1,84,822,400,349,WDH
1,61,133,208,363,WDH
