bin,item,x,y,z,orientation
0,61,376,0,0,WDH
0,63,0,0,0,WDH
0,61,0,554,0,WDH
0,61,334,554,0,WDH
0,27,668,554,0,WDH
0,26,710,0,0,WDH
0,2,958,554,0,WDH
0,2,958,695,0,WDH
0,10,1008,0,0,DWH
0,61,324,288,0,WDH
0,57,0,288,0,WDH
0,27,658,288,0,WDH
0,27,948,288,0,WDH
0,25,437,5,180,WDH
0,1,89,92,180,DWH
0,1,7,555,180,WDH
0,62,374,230,180,WDH
0,65,831,174,180,WDH
0,65,831,507,180,WDH
0,65,422,507,180,WDH
0,46,1005,4,180,WDH
0,39,15,603,286,WDH
0,67,793,531,286,WDH
0,55,375,630,286,WDH
0,55,375,0,286,WDH
0,55,375,210,286,WDH
0,55,822,321,286,WDH
0,18,56,365,286,WDH
0,55,375,420,286,WDH
0,49,83,154,286,WDH
0,23,831,0,293,WDH
0,23,822,37,366,WDH
0,72,0,577,427,WDH
0,52,0,207,427,WDH
0,72,0,314,427,WDH
0,64,837,558,427,WDH
0,64,483,204,427,DWH
0,64,483,558,427,WDH
0,48,483,11,427,WDH
0,59,765,321,427,WDH
0,64,886,0,439,WDH
0,2,342,11,427,DWH
0,34,285,521,581,WDH
0,34,590,521,581,WDH
0,22,301,288,581,WDH
0,4,492,38,581,WDH
0,73,895,508,581,WDH
0,4,41,446,581,DWH
0,44,572,324,581,WDH
0,37,10,183,581,WDH
0,33,895,287,581,WDH
0,14,886,24,585,WDH
0,46,301,53,599,DWH
0,11,895,574,699,WDH
0,42,10,74,699,DWH
0,25,471,53,705,WDH
0,25,10,446,705,DWH
0,58,301,288,705,WDH
0,23,820,282,706,WDH
0,51,872,0,715,WDH
0,43,301,633,705,WDH
0,43,587,633,705,WDH
0,24,257,31,715,DWH
0,1,746,288,786,WDH
0,51,0,0,786,DWH
0,5,895,574,786,WDH
0,42,257,288,800,WDH
0,11,546,0,801,WDH
0,51,0,368,801,DWH
0,51,872,29,812,WDH
0,16,548,574,839,WDH
0,1,825,266,883,WDH
0,8,11,0,883,DWH
0,16,282,288,883,WDH
0,22,277,582,839,WDH
0,22,275,33,851,WDH
0,8,911,614,886,WDH
0,16,11,329,898,DWH
0,4,846,0,909,WDH
0,9,602,567,940,WDH
0,36,546,12,888,WDH
0,14,259,582,958,WDH
0,30,287,98,980,WDH
0,64,958,260,980,DWH
0,64,287,266,984,WDH
0,48,0,0,984,DWH
0,14,0,323,999,DWH
0,40,911,614,987,WDH
0,70,663,454,1017,DWH
0,70,822,12,1029,WDH
0,3,645,12,1052,DWH
0,35,294,548,1088,WDH
0,45,911,264,1129,WDH
0,45,911,439,1129,WDH
0,45,287,91,1129,WDH
0,19,0,375,1129,DWH
0,68,287,266,1136,WDH
0,68,0,0,1136,DWH
0,40,919,617,1148,WDH
0,17,641,401,1179,DWH
0,30,981,0,1191,WDH
0,21,628,12,1219,DWH
0,40,320,548,1219,WDH
0,50,835,0,1191,DWH
0,13,325,102,1297,WDH
0,70,854,369,1297,WDH
0,21,9,375,1306,DWH
0,40,854,617,1309,WDH
0,13,287,266,1327,WDH
0,7,0,0,1327,WDH
0,13,690,369,1328,DWH
0,12,641,671,1328,WDH
0,6,9,238,1327,WDH
0,21,628,158,1380,WDH
0,47,981,0,1340,WDH
0,71,297,544,1380,WDH
0,56,9,481,1469,WDH
0,56,854,383,1469,WDH
0,56,325,32,1469,WDH
0,15,646,0,1380,WDH
0,54,915,668,1470,WDH
0,32,287,266,1499,WDH
0,32,0,0,1499,WDH
0,28,641,671,1499,WDH
0,41,641,433,1500,DWH
0,38,0,193,1526,WDH
0,71,637,134,1539,WDH
0,41,1002,0,1555,WDH
0,28,476,589,1580,DWH
0,31,328,595,1580,DWH
0,15,667,0,1592,WDH
0,54,9,390,1656,DWH
0,54,292,21,1656,WDH
0,20,916,383,1656,DWH
0,15,888,671,1658,WDH
0,20,292,193,1703,DWH
0,31,0,0,1703,WDH
0,20,641,433,1709,WDH
0,47,641,633,1709,WDH
0,20,9,190,1731,WDH
0,20,710,164,1739,DWH
0,20,1002,0,1764,DWH
0,15,507,501,1789,DWH
0,47,276,595,1791,DWH
0,60,9,390,1844,DWH
0,60,241,0,1844,WDH
0,69,971,454,1870,DWH
0,29,635,0,1804,WDH
1,53,0,203,0,WDH
1,66,0,0,0,WDH
