bin,item,x,y,z,orientation
0,201,473,412,0,WDH
0,201,0,412,0,WDH
0,201,473,0,0,WDH
0,31,946,0,0,DWH
0,31,946,401,0,DWH
0,201,0,0,0,WDH
0,190,500,549,97,WDH
0,106,1,649,97,DWH
0,190,500,258,97,WDH
0,183,118,324,97,WDH
0,190,870,549,97,WDH
0,190,870,258,97,WDH
0,198,111,584,97,WDH
0,198,851,2,97,WDH
0,176,77,9,97,WDH
0,198,462,2,97,WDH
0,156,6,305,97,DWH
0,156,6,477,97,DWH
0,80,464,554,263,WDH
0,59,334,0,263,WDH
0,80,917,492,263,WDH
0,59,787,164,263,WDH
0,119,33,0,263,WDH
0,59,334,164,263,WDH
0,108,791,492,263,DWH
0,119,163,328,263,WDH
0,80,464,328,263,WDH
0,53,117,566,263,WDH
0,59,787,0,263,WDH
0,59,787,328,263,WDH
0,144,6,305,290,DWH
0,156,1,649,263,DWH
0,101,917,718,263,WDH
0,39,494,492,423,DWH
0,193,752,492,423,WDH
0,70,164,328,423,WDH
0,30,25,0,423,WDH
0,143,525,328,423,WDH
0,91,334,0,424,DWH
0,182,865,0,424,WDH
0,182,490,0,424,WDH
0,200,870,253,424,WDH
0,191,143,566,426,WDH
0,117,4,352,431,DWH
0,116,828,508,556,WDH
0,69,464,347,556,DWH
0,32,4,303,564,WDH
0,43,4,36,556,WDH
0,105,835,282,624,WDH
0,105,423,635,624,WDH
0,194,856,0,624,WDH
0,194,472,0,624,WDH
0,151,320,0,624,DWH
0,4,56,565,624,WDH
0,206,454,347,624,WDH
0,11,852,567,634,WDH
0,110,4,303,636,WDH
0,147,0,0,645,WDH
0,90,1062,9,742,DWH
0,206,400,527,742,WDH
0,206,688,239,742,WDH
0,206,774,527,742,WDH
0,206,400,153,742,DWH
0,151,400,1,742,WDH
0,206,4,15,742,WDH
0,29,688,18,742,WDH
0,28,1062,257,742,DWH
0,154,4,303,747,WDH
0,78,4,612,747,WDH
0,1,202,577,858,WDH
0,210,695,257,858,WDH
0,109,318,18,858,WDH
0,145,512,577,858,WDH
0,113,30,370,858,WDH
0,158,88,18,858,DWH
0,104,15,577,858,DWH
0,145,325,312,858,WDH
0,167,1063,0,858,DWH
0,145,875,577,858,WDH
0,146,691,0,861,WDH
0,1,310,0,965,WDH
0,1,15,312,965,WDH
0,1,620,0,965,WDH
0,1,930,253,965,WDH
0,1,930,0,965,WDH
0,1,57,0,965,DWH
0,38,700,253,965,DWH
0,32,396,578,969,WDH
0,32,0,578,969,WDH
0,206,326,279,969,WDH
0,168,862,579,969,WDH
0,11,474,567,1041,WDH
0,153,128,572,1041,WDH
0,168,322,18,1074,WDH
0,40,6,19,1074,WDH
0,40,10,307,1074,WDH
0,151,710,57,1074,DWH
0,151,710,312,1074,DWH
0,168,862,318,1074,WDH
0,168,862,57,1074,WDH
0,146,868,611,1085,WDH
0,46,386,297,1085,WDH
0,84,92,567,1140,WDH
0,84,477,567,1140,WDH
0,195,10,17,1190,WDH
0,180,862,513,1190,WDH
0,207,10,277,1190,WDH
0,195,419,307,1190,WDH
0,114,1100,45,1190,DWH
0,114,1100,279,1190,DWH
0,177,862,125,1190,DWH
0,204,438,9,1190,WDH
0,4,10,567,1227,WDH
0,29,354,567,1227,WDH
0,28,678,567,1227,DWH
0,37,630,30,1343,WDH
0,89,946,34,1343,WDH
0,75,994,682,1343,WDH
0,1,320,24,1343,WDH
0,1,10,24,1343,WDH
0,1,419,314,1343,WDH
0,37,729,320,1343,WDH
0,37,678,590,1343,WDH
0,113,1045,279,1343,DWH
0,46,95,277,1345,WDH
0,132,375,588,1346,WDH
0,79,10,567,1350,WDH
0,212,797,0,1452,WDH
0,117,371,662,1452,WDH
0,117,584,662,1452,WDH
0,12,160,393,1452,WDH
0,208,368,331,1452,WDH
0,208,368,0,1452,WDH
0,208,811,328,1452,WDH
0,9,956,659,1452,WDH
0,216,48,0,1452,DWH
0,132,0,591,1478,WDH
0,211,853,0,1582,WDH
0,211,466,0,1582,WDH
0,211,853,314,1582,WDH
0,79,11,554,1582,WDH
0,218,399,314,1582,WDH
0,124,876,628,1582,WDH
0,16,368,590,1585,WDH
0,213,48,22,1585,DWH
0,26,699,627,1585,DWH
0,26,327,124,1585,DWH
0,144,107,393,1586,WDH
0,30,59,543,1710,WDH
0,30,574,0,1710,WDH
0,30,931,526,1710,WDH
0,79,883,0,1710,WDH
0,79,883,263,1710,WDH
0,41,368,498,1713,DWH
0,28,699,357,1713,DWH
0,28,368,322,1713,WDH
0,30,265,0,1718,WDH
0,62,27,4,1718,DWH
0,9,647,639,1718,WDH
0,113,59,387,1727,WDH
0,38,0,363,1837,WDH
0,37,0,593,1837,WDH
0,22,931,586,1837,WDH
0,42,635,293,1837,DWH
0,42,316,391,1837,WDH
0,78,316,612,1837,WDH
0,89,635,7,1837,DWH
0,113,933,10,1838,WDH
0,6,882,166,1838,WDH
0,42,902,365,1838,WDH
0,126,0,0,1845,WDH
0,25,317,178,1845,WDH
0,131,631,612,1845,WDH
0,126,317,0,1845,WDH
0,113,29,178,1845,WDH
0,83,750,630,1943,DWH
0,63,0,344,1943,WDH
0,52,0,9,1943,WDH
0,83,882,15,1943,WDH
0,52,316,346,1943,WDH
0,175,316,515,1943,WDH
0,148,315,12,1943,WDH
0,18,631,297,1943,WDH
0,30,901,546,1947,WDH
0,70,0,603,1947,WDH
0,112,631,35,1947,DWH
0,25,51,178,1947,WDH
0,25,328,178,1947,WDH
0,126,904,365,1947,WDH
0,137,882,166,1949,WDH
0,134,882,365,2044,WDH
0,113,0,188,2047,WDH
0,75,288,189,2047,WDH
0,126,881,187,2079,WDH
0,126,923,662,2079,WDH
0,126,553,119,2079,WDH
0,133,0,540,2083,WDH
0,134,0,366,2083,WDH
0,68,506,297,2087,DWH
0,126,0,10,2084,WDH
1,96,952,661,0,WDH
1,205,0,0,0,WDH
1,138,1006,0,0,WDH
1,34,947,200,0,WDH
1,34,668,441,0,WDH
1,178,357,0,0,WDH
1,178,0,250,0,WDH
1,55,947,420,0,WDH
1,178,357,286,0,WDH
1,55,668,661,0,WDH
1,135,668,0,0,WDH
1,48,668,200,0,WDH
1,115,357,572,0,WDH
1,135,0,536,0,WDH
1,130,0,736,0,WDH
1,191,700,441,175,DWH
1,191,170,182,175,WDH
1,200,491,182,175,WDH
1,182,861,182,175,WDH
1,20,976,435,175,WDH
1,142,658,0,175,WDH
1,142,5,182,175,DWH
1,111,39,0,175,WDH
1,142,310,0,175,WDH
1,174,22,536,175,WDH
1,85,368,645,178,WDH
1,53,353,441,178,WDH
1,164,954,662,179,WDH
1,118,1011,0,179,WDH
1,6,353,441,341,WDH
1,126,353,640,344,WDH
1,219,828,0,375,WDH
1,68,692,441,375,WDH
1,68,414,0,375,WDH
1,68,0,0,375,WDH
1,166,30,441,376,WDH
1,28,422,640,441,WDH
1,35,378,210,452,WDH
1,170,0,0,452,WDH
1,35,378,0,452,WDH
1,35,770,630,452,WDH
1,35,378,420,452,WDH
1,10,0,225,452,WDH
1,35,770,420,452,WDH
1,219,770,57,459,WDH
1,219,828,0,543,WDH
1,41,0,423,510,WDH
1,124,406,630,557,WDH
1,214,378,345,599,WDH
1,202,780,387,599,WDH
1,94,0,1,599,WDH
1,7,770,634,599,WDH
1,217,378,75,599,WDH
1,219,780,24,627,WDH
1,97,61,232,605,WDH
1,23,64,423,633,WDH
1,49,1058,634,599,DWH
1,219,828,0,711,WDH
1,86,378,630,683,WDH
1,219,465,0,744,DWH
1,137,378,423,743,WDH
1,137,689,630,743,WDH
1,112,0,0,743,WDH
1,137,677,423,744,WDH
1,83,262,21,744,DWH
1,18,976,383,744,DWH
1,28,0,231,761,WDH
1,202,0,407,762,WDH
1,28,924,207,797,WDH
1,165,921,0,797,WDH
1,83,1043,622,797,DWH
1,51,432,0,832,DWH
1,53,577,207,832,WDH
1,56,407,630,832,WDH
1,53,574,0,832,WDH
1,86,366,423,870,WDH
1,65,0,0,870,WDH
1,86,732,622,870,WDH
1,98,677,425,871,WDH
1,71,1,231,886,WDH
1,83,281,0,886,DWH
1,21,962,393,888,WDH
1,202,11,423,907,WDH
1,86,929,184,913,WDH
1,71,971,0,942,WDH
1,83,1075,622,942,DWH
1,94,554,187,995,WDH
1,71,433,0,995,WDH
1,71,463,652,995,WDH
1,71,702,0,995,WDH
1,159,732,622,1026,WDH
1,159,0,229,1026,WDH
1,159,366,423,1026,WDH
1,21,0,0,1026,WDH
1,159,663,423,1026,WDH
1,137,0,407,1052,WDH
1,83,264,19,1028,DWH
1,163,1004,389,1045,WDH
1,86,929,175,1062,WDH
1,122,404,231,995,DWH
1,128,641,0,1134,WDH
1,141,648,175,1134,WDH
1,19,418,0,1134,WDH
1,86,421,622,1134,WDH
1,54,1056,621,1084,DWH
1,8,973,18,1084,WDH
1,192,0,0,1186,WDH
1,118,688,423,1186,WDH
1,61,366,423,1186,WDH
1,161,0,483,1186,WDH
1,77,732,622,1186,WDH
1,77,929,380,1186,WDH
1,186,0,252,1186,WDH
1,140,929,175,1211,WDH
1,83,344,260,1199,WDH
1,95,366,616,1283,WDH
1,60,350,0,1286,WDH
1,163,676,0,1286,WDH
1,128,554,260,1286,WDH
1,15,912,0,1287,WDH
1,118,1043,607,1297,DWH
1,98,929,179,1373,WDH
1,88,0,27,1373,WDH
1,88,366,430,1373,WDH
1,45,683,585,1373,WDH
1,66,0,213,1373,WDH
1,17,683,418,1373,WDH
1,3,973,398,1373,WDH
1,150,0,483,1374,WDH
1,33,402,616,1418,WDH
1,122,350,246,1341,WDH
1,163,676,16,1425,WDH
1,150,314,27,1429,WDH
1,17,622,246,1432,WDH
1,164,954,0,1434,WDH
1,139,686,585,1525,WDH
1,50,29,27,1525,WDH
1,150,389,418,1525,WDH
1,150,946,178,1525,WDH
1,150,20,289,1525,WDH
1,58,987,629,1483,WDH
1,50,20,478,1528,WDH
