bin,item,x,y,z,orientation
0,106,1014,530,0,DWH
0,106,1014,0,0,DWH
0,106,1014,265,0,DWH
0,184,0,402,0,WDH
0,184,507,0,0,WDH
0,184,0,0,0,WDH
0,184,507,402,0,WDH
0,171,30,586,96,DWH
0,483,31,90,96,DWH
0,633,735,45,96,WDH
0,501,308,3,96,WDH
0,633,735,575,96,WDH
0,633,735,310,96,WDH
0,633,230,575,96,WDH
0,349,305,265,96,WDH
0,184,733,36,243,WDH
0,54,74,591,243,WDH
0,145,322,35,243,WDH
0,184,733,438,243,WDH
0,299,421,301,243,DWH
0,36,7,36,246,WDH
0,145,10,325,246,WDH
0,671,0,591,339,WDH
0,575,421,579,339,WDH
0,277,827,295,339,WDH
0,681,881,579,339,WDH
0,277,421,295,339,WDH
0,277,827,11,339,WDH
0,277,10,41,339,WDH
0,277,421,11,339,WDH
0,355,0,326,342,WDH
0,661,0,9,508,WDH
0,612,445,7,508,WDH
0,189,881,403,508,DWH
0,189,430,537,508,WDH
0,189,0,227,508,WDH
0,189,437,227,508,WDH
0,349,0,530,508,WDH
0,648,881,5,508,DWH
0,529,465,227,655,WDH
0,107,930,684,655,WDH
0,121,843,7,655,WDH
0,9,445,7,655,WDH
0,458,465,533,655,WDH
0,529,0,533,655,WDH
0,529,0,227,655,WDH
0,458,930,227,655,DWH
0,134,0,0,658,WDH
0,682,412,564,792,WDH
0,430,33,540,792,WDH
0,682,826,564,792,WDH
0,430,33,240,792,WDH
0,239,6,2,792,WDH
0,682,826,288,792,WDH
0,430,447,264,792,WDH
0,417,850,7,792,WDH
0,526,445,2,793,WDH
0,182,5,0,962,WDH
0,496,875,0,962,DWH
0,3,888,517,962,WDH
0,85,247,0,962,WDH
0,3,523,0,962,WDH
0,3,474,564,962,WDH
0,182,633,254,964,WDH
0,496,47,240,964,DWH
0,24,430,254,964,DWH
0,574,875,274,1046,WDH
0,574,875,540,1046,WDH
0,352,357,0,1046,WDH
0,640,875,0,1046,WDH
0,352,0,548,1046,WDH
0,640,430,517,1046,WDH
0,640,0,0,1046,WDH
0,640,0,274,1046,WDH
0,133,633,254,1046,DWH
0,154,742,0,1046,DWH
0,119,430,270,1048,DWH
0,189,0,0,1236,WDH
0,34,437,252,1236,DWH
0,189,633,514,1236,WDH
0,661,0,606,1236,WDH
0,189,875,0,1236,DWH
0,41,1070,514,1236,DWH
0,189,0,303,1236,WDH
0,86,445,606,1236,DWH
0,515,437,0,1236,WDH
0,140,629,252,1240,DWH
0,237,681,454,1386,WDH
0,237,271,0,1386,WDH
0,673,354,655,1386,WDH
0,673,20,657,1386,WDH
0,673,691,654,1386,WDH
0,322,62,454,1386,WDH
0,39,26,285,1386,WDH
0,322,68,0,1386,DWH
0,342,1018,454,1386,DWH
0,511,347,454,1386,WDH
0,317,924,0,1386,WDH
0,511,274,200,1386,WDH
0,317,924,227,1386,WDH
0,317,608,227,1386,WDH
0,317,608,0,1386,WDH
0,613,1051,130,1661,DWH
0,624,710,627,1661,WDH
0,624,716,197,1661,WDH
0,649,352,10,1661,WDH
0,624,710,414,1661,WDH
0,649,0,10,1661,WDH
0,321,716,2,1661,WDH
