bin,item,x,y,z,orientation
0,499,409,301,0,WDH
0,499,409,0,0,WDH
0,688,0,405,0,WDH
0,688,0,0,0,WDH
0,418,859,602,0,WDH
0,499,812,301,0,WDH
0,417,409,602,0,WDH
0,499,812,0,0,WDH
0,680,803,523,166,WDH
0,484,821,13,166,WDH
0,296,36,216,166,WDH
0,296,36,528,166,WDH
0,402,409,19,166,WDH
0,402,409,297,166,WDH
0,303,823,258,166,WDH
0,505,17,1,166,WDH
0,303,386,575,166,WDH
0,551,806,306,350,WDH
0,530,403,301,350,WDH
0,530,806,0,350,WDH
0,499,0,0,350,WDH
0,499,0,301,350,WDH
0,499,403,0,350,WDH
0,417,403,607,350,WDH
0,257,853,607,350,WDH
0,438,0,602,350,WDH
0,580,741,605,512,WDH
0,580,357,201,512,WDH
0,580,0,142,512,WDH
0,362,357,7,512,WDH
0,580,741,135,512,WDH
0,472,0,610,512,WDH
0,384,357,436,512,WDH
0,580,741,370,512,WDH
0,384,357,638,512,WDH
0,339,1067,437,512,DWH
0,657,0,377,512,WDH
0,339,1067,34,512,DWH
0,175,0,0,512,WDH
0,38,806,0,512,WDH
0,38,806,0,644,WDH
0,670,932,473,753,DWH
0,363,466,173,753,WDH
0,30,1026,110,753,DWH
0,614,0,465,753,WDH
0,102,466,28,753,WDH
0,614,466,465,753,WDH
0,614,0,90,753,WDH
0,110,773,0,776,WDH
0,676,0,458,866,WDH
0,96,457,12,866,WDH
0,676,0,76,866,WDH
0,96,927,146,866,WDH
0,304,457,538,866,WDH
0,304,457,236,866,WDH
0,304,927,370,866,DWH
0,19,771,5,877,WDH
0,393,927,604,1006,WDH
0,253,0,267,1006,WDH
0,253,0,0,1006,WDH
0,459,927,146,1006,WDH
0,357,291,224,1006,WDH
0,342,291,650,1006,WDH
0,552,631,469,1006,WDH
0,552,0,534,1006,DWH
0,552,631,224,1006,WDH
0,393,927,376,1006,WDH
0,48,631,714,1006,WDH
0,48,629,0,1006,DWH
0,357,291,437,1006,WDH
0,549,291,0,1006,WDH
0,59,748,0,1012,WDH
0,110,748,0,1164,WDH
0,118,41,650,1264,WDH
0,118,405,447,1264,WDH
0,592,370,146,1264,WDH
0,392,1,146,1264,DWH
0,110,37,0,1264,WDH
0,174,655,447,1264,DWH
0,110,274,0,1264,WDH
0,110,511,0,1264,WDH
0,139,292,621,1268,WDH
0,1,930,547,1268,WDH
0,532,927,146,1268,DWH
0,110,748,0,1268,WDH
0,431,810,147,1368,WDH
0,353,941,369,1368,DWH
0,62,7,430,1368,DWH
0,610,209,523,1368,WDH
0,62,246,5,1368,WDH
0,610,209,207,1368,WDH
0,167,659,153,1368,DWH
0,103,5,53,1368,DWH
