bin,item,x,y,z,orientation
0,72,829,0,0,WDH
0,50,447,0,0,WDH
0,50,0,267,0,WDH
0,72,803,298,0,WDH
0,72,803,561,0,WDH
0,87,447,568,0,WDH
0,87,0,565,0,WDH
0,87,447,298,0,WDH
0,48,0,0,0,WDH
0,49,336,0,155,WDH
0,49,336,386,155,WDH
0,49,0,193,155,WDH
0,49,0,0,155,WDH
0,49,0,386,155,WDH
0,4,672,226,155,WDH
0,6,938,0,155,WDH
0,6,672,401,155,WDH
0,6,827,579,155,WDH
0,6,532,579,155,WDH
0,68,266,579,155,WDH
0,68,0,579,155,WDH
0,49,336,193,155,WDH
0,68,672,0,155,WDH
0,74,967,200,155,DWH
0,71,546,226,393,WDH
0,71,546,439,393,WDH
0,52,221,226,393,WDH
0,71,1027,0,393,DWH
0,8,1010,408,393,WDH
0,8,956,579,393,DWH
0,47,348,0,393,WDH
0,59,43,0,393,WDH
0,59,9,226,393,DWH
0,35,298,437,397,DWH
0,59,672,14,397,WDH
0,37,0,596,397,WDH
0,3,684,652,393,WDH
0,28,274,654,534,WDH
0,9,274,499,534,WDH
0,92,0,0,621,WDH
0,10,238,288,621,WDH
0,10,274,654,621,WDH
0,51,954,439,621,DWH
0,20,832,0,621,DWH
0,55,410,0,621,WDH
0,45,0,288,621,DWH
0,20,746,480,622,WDH
0,20,546,480,622,WDH
0,42,546,226,622,WDH
0,55,1002,0,622,DWH
0,14,28,711,621,WDH
0,25,274,483,643,WDH
0,33,721,652,643,WDH
0,27,1002,0,811,DWH
0,75,0,0,811,WDH
0,56,954,439,811,DWH
0,66,487,0,811,DWH
0,15,631,412,813,WDH
0,69,10,291,813,DWH
0,21,787,53,812,DWH
0,28,274,654,811,WDH
0,12,631,652,826,WDH
0,19,306,458,841,WDH
0,20,287,286,811,WDH
0,35,987,27,956,DWH
0,75,0,0,956,WDH
0,66,487,0,956,DWH
0,56,954,439,956,DWH
0,69,10,291,956,DWH
0,56,581,412,961,WDH
0,10,274,654,898,WDH
0,84,787,0,966,DWH
0,18,274,454,1016,WDH
0,22,0,278,1096,DWH
0,64,0,0,1096,WDH
0,64,409,0,1096,DWH
0,83,720,483,1106,WDH
0,24,987,148,1093,DWH
0,7,706,92,1128,DWH
0,10,274,654,1093,WDH
0,83,579,478,1195,WDH
0,23,286,467,1134,WDH
0,5,347,80,1223,WDH
0,24,981,92,1208,DWH
0,5,30,80,1224,DWH
0,1,706,80,1242,WDH
0,83,720,483,1284,WDH
0,89,248,487,1290,WDH
0,19,30,439,1224,DWH
0,5,347,122,1324,WDH
0,5,30,80,1325,DWH
0,83,720,483,1373,WDH
0,24,978,80,1324,DWH
0,29,706,80,1360,DWH
0,29,472,547,1401,DWH
0,89,0,487,1401,WDH
0,36,331,0,1426,DWH
0,53,0,0,1426,DWH
0,83,710,483,1462,WDH
0,54,944,48,1439,DWH
0,29,651,48,1468,WDH
0,89,238,483,1512,WDH
0,53,0,0,1528,DWH
0,40,331,0,1529,DWH
0,36,920,373,1551,DWH
0,13,0,456,1512,DWH
0,11,710,483,1551,DWH
0,89,238,483,1623,WDH
0,66,845,73,1601,WDH
0,17,630,0,1576,DWH
0,86,346,0,1646,DWH
0,66,31,62,1630,DWH
0,76,964,454,1654,DWH
0,13,0,513,1661,DWH
0,40,235,541,1734,WDH
0,64,962,45,1740,DWH
0,13,729,454,1722,DWH
0,64,331,62,1760,DWH
0,64,53,62,1769,DWH
0,58,630,0,1734,DWH
0,72,964,454,1800,DWH
0,13,0,513,1810,DWH
0,94,0,0,1896,WDH
0,80,238,471,1851,WDH
0,91,984,0,1867,DWH
0,39,718,401,1871,DWH
0,54,599,0,1910,DWH
0,13,1005,398,1950,DWH
0,70,0,435,1959,DWH
0,11,0,126,2013,DWH
0,79,236,562,2013,WDH
0,79,236,297,2013,WDH
0,79,236,32,2013,WDH
0,80,894,0,2029,DWH
1,26,1009,520,0,DWH
1,20,1027,340,0,WDH
1,34,0,260,0,WDH
1,60,0,520,0,WDH
1,34,0,0,0,WDH
1,60,344,520,0,WDH
1,60,343,241,0,WDH
1,51,343,0,0,WDH
1,60,683,0,0,WDH
1,88,688,520,0,WDH
1,88,687,241,0,WDH
1,46,1027,0,0,DWH
1,39,0,0,189,DWH
1,70,246,0,189,WDH
1,32,1027,0,189,DWH
1,32,688,520,189,WDH
1,88,687,241,189,WDH
1,38,267,241,193,WDH
1,38,267,476,193,WDH
1,2,1009,300,193,WDH
1,57,673,0,193,WDH
1,38,11,397,193,DWH
1,11,988,520,195,DWH
1,31,0,217,375,WDH
1,93,687,523,375,WDH
1,62,1027,0,375,DWH
1,31,1009,479,375,DWH
1,93,687,241,375,WDH
1,62,366,0,375,WDH
1,77,0,0,375,WDH
1,63,475,476,390,DWH
1,43,265,481,390,DWH
1,63,358,264,390,WDH
1,43,55,481,390,DWH
1,57,645,0,399,WDH
1,8,1010,313,399,WDH
1,39,248,0,626,WDH
1,85,1028,0,626,DWH
1,85,36,0,626,DWH
1,30,687,590,628,WDH
1,79,687,241,628,DWH
1,90,690,0,598,WDH
1,17,1009,454,626,DWH
1,82,36,400,649,DWH
1,25,304,476,649,DWH
1,16,304,246,656,WDH
1,25,475,476,656,DWH
1,90,651,590,786,WDH
1,67,1007,400,786,DWH
1,78,631,0,804,WDH
1,67,625,241,804,WDH
1,67,304,0,804,WDH
1,75,0,0,814,DWH
1,82,34,487,814,DWH
1,44,1028,26,809,DWH
1,41,396,482,854,DWH
1,65,355,268,814,WDH
1,78,70,0,954,DWH
1,81,0,660,979,WDH
1,8,0,494,979,WDH
1,61,651,645,990,WDH
1,61,883,592,990,DWH
1,73,345,0,1008,DWH
1,73,786,0,1008,WDH
1,73,544,0,1008,WDH
1,73,786,199,1008,WDH
