bin,item,x,y,z,orientation
0,509,0,428,0,WDH
0,509,350,428,0,WDH
0,455,370,214,0,WDH
0,455,0,214,0,WDH
0,455,0,0,0,WDH
0,468,413,648,0,WDH
0,455,370,0,0,WDH
0,468,0,648,0,WDH
0,639,826,648,0,WDH
0,468,740,209,0,WDH
0,639,700,428,0,WDH
0,514,740,0,0,WDH
0,101,1029,428,0,WDH
0,101,1051,0,0,WDH
0,672,514,626,253,WDH
0,474,838,438,253,WDH
0,495,500,209,253,WDH
0,495,402,0,253,WDH
0,474,838,209,253,WDH
0,672,176,209,253,WDH
0,643,56,0,253,WDH
0,672,514,416,253,WDH
0,501,167,419,253,WDH
0,501,181,626,253,WDH
0,147,8,419,253,DWH
0,147,878,667,253,WDH
0,101,17,209,253,WDH
0,101,1081,0,253,WDH
0,101,8,694,253,WDH
0,446,743,0,255,WDH
0,120,740,0,403,WDH
0,78,772,0,470,WDH
0,354,942,244,519,WDH
0,272,0,5,519,WDH
0,548,942,367,519,DWH
0,516,471,522,519,WDH
0,516,0,204,519,WDH
0,18,389,9,519,WDH
0,516,0,522,519,WDH
0,516,471,204,519,WDH
0,218,745,11,545,WDH
0,466,547,503,644,WDH
0,466,152,503,644,WDH
0,72,0,602,644,DWH
0,352,948,213,644,WDH
0,72,0,364,644,DWH
0,87,555,43,644,WDH
0,326,17,1,644,WDH
0,69,9,198,644,DWH
0,466,152,166,644,WDH
0,326,282,1,644,WDH
0,459,550,204,644,WDH
0,577,971,407,649,DWH
0,370,895,0,654,WDH
0,51,755,0,654,DWH
0,463,203,390,790,DWH
0,673,782,525,790,WDH
0,415,562,509,790,DWH
0,274,189,167,790,WDH
0,158,977,374,790,WDH
0,22,963,204,794,WDH
0,82,0,0,794,WDH
0,371,895,0,794,WDH
0,371,407,0,794,WDH
0,525,550,204,794,WDH
0,307,0,159,794,DWH
0,21,0,352,796,DWH
0,307,10,669,796,WDH
0,94,735,0,812,DWH
0,485,10,181,911,DWH
0,104,474,608,911,WDH
0,13,1005,167,911,DWH
0,63,865,525,911,WDH
0,63,588,204,914,WDH
0,264,483,0,914,WDH
0,344,10,23,911,WDH
0,333,963,0,914,WDH
0,365,238,23,914,WDH
0,243,456,529,975,WDH
0,469,0,453,975,WDH
0,49,0,221,975,WDH
0,190,963,147,985,DWH
0,347,838,529,985,WDH
0,39,483,0,988,WDH
0,573,548,221,988,WDH
0,333,963,0,1009,WDH
0,344,0,63,1009,WDH
0,264,231,14,1043,WDH
0,443,74,228,1072,WDH
0,1,959,155,1072,DWH
0,673,782,525,1072,WDH
0,584,0,421,1072,DWH
0,673,324,525,1072,WDH
0,168,328,205,1072,DWH
0,218,483,0,1092,WDH
0,38,548,205,1092,WDH
0,128,959,6,1095,WDH
0,413,0,14,1107,WDH
0,393,249,0,1117,WDH
0,63,0,465,1186,DWH
0,257,0,206,1186,WDH
0,485,378,206,1197,WDH
0,78,1045,531,1193,DWH
0,78,1045,222,1193,DWH
0,157,889,0,1197,WDH
0,128,329,670,1193,WDH
0,128,801,670,1193,WDH
0,128,565,670,1193,WDH
0,28,483,0,1201,WDH
0,361,0,2,1221,WDH
0,128,529,504,1262,WDH
0,128,293,504,1262,WDH
0,362,0,504,1262,WDH
0,128,765,504,1262,WDH
0,515,507,206,1262,WDH
0,515,0,206,1262,WDH
0,100,1014,206,1268,DWH
0,355,1040,484,1268,DWH
0,392,900,0,1273,WDH
0,64,496,653,1292,WDH
0,64,768,653,1292,WDH
0,21,595,21,1299,WDH
0,307,293,653,1292,WDH
0,184,318,16,1309,WDH
0,383,0,0,1309,WDH
0,49,492,421,1361,WDH
0,23,16,411,1361,WDH
0,60,600,212,1361,WDH
0,244,912,3,1361,WDH
0,244,164,210,1361,WDH
0,121,16,653,1361,WDH
0,218,1047,434,1364,DWH
0,133,600,2,1381,WDH
0,110,788,664,1381,WDH
0,185,496,656,1381,WDH
0,244,264,0,1397,WDH
0,261,0,0,1412,WDH
0,200,0,209,1361,DWH
0,263,285,661,1397,WDH
0,63,865,0,1459,WDH
0,63,544,212,1459,DWH
0,311,264,201,1459,WDH
0,100,0,409,1460,WDH
0,311,0,632,1461,WDH
0,434,910,419,1483,DWH
0,32,292,409,1460,WDH
0,135,545,587,1485,WDH
0,133,592,0,1483,WDH
0,320,2,7,1500,DWH
0,244,264,0,1495,WDH
0,591,849,0,1531,DWH
0,408,544,212,1531,DWH
0,349,44,409,1541,DWH
0,190,292,409,1553,DWH
0,383,275,206,1539,WDH
0,408,910,476,1566,DWH
0,135,545,587,1566,WDH
0,257,0,0,1585,DWH
0,190,568,212,1611,DWH
0,257,862,0,1611,WDH
0,74,924,259,1611,WDH
0,383,275,3,1593,WDH
0,133,544,2,1593,WDH
0,210,0,378,1627,DWH
0,63,865,472,1647,WDH
0,6,265,450,1634,DWH
0,129,265,227,1642,WDH
0,74,549,572,1647,WDH
0,257,5,0,1661,DWH
0,211,568,212,1692,DWH
0,572,801,2,1692,DWH
0,291,915,547,1719,WDH
0,115,49,438,1719,DWH
0,357,264,0,1696,WDH
0,129,568,571,1730,WDH
0,191,265,450,1730,DWH
0,23,49,196,1739,WDH
0,372,0,0,1739,WDH
0,136,567,197,1794,DWH
0,323,801,266,1802,WDH
0,210,801,2,1802,WDH
0,340,868,571,1802,WDH
0,279,0,508,1805,DWH
0,291,258,515,1823,DWH
