bin,item,x,y,z,orientation
0,333,829,241,0,WDH
0,393,452,520,0,WDH
0,276,904,0,0,WDH
0,393,452,241,0,WDH
0,242,0,0,0,WDH
0,152,0,482,0,WDH
0,242,452,0,0,WDH
0,242,0,241,0,WDH
0,215,829,512,0,WDH
0,239,0,0,179,WDH
0,22,433,640,179,WDH
0,85,0,640,179,WDH
0,286,0,325,179,WDH
0,286,904,0,179,DWH
0,349,904,433,179,DWH
0,59,208,640,179,WDH
0,286,422,0,179,WDH
0,286,433,325,179,WDH
0,203,132,184,328,WDH
0,160,571,385,328,WDH
0,60,6,562,328,DWH
0,160,930,172,328,WDH
0,370,136,649,328,WDH
0,370,495,194,328,WDH
0,416,80,13,328,WDH
0,301,915,6,328,WDH
0,370,185,436,328,WDH
0,370,495,3,328,WDH
0,174,522,627,328,WDH
0,174,881,627,328,WDH
0,174,881,414,328,WDH
0,60,2,184,328,DWH
0,213,713,284,594,WDH
0,213,366,284,594,WDH
0,192,0,0,594,WDH
0,238,0,291,594,WDH
0,21,737,0,594,DWH
0,341,366,0,594,WDH
0,21,1060,284,594,DWH
0,325,6,562,594,WDH
0,145,760,585,594,WDH
0,145,366,585,594,WDH
0,377,899,0,597,WDH
0,321,0,506,784,WDH
0,321,651,0,784,WDH
0,321,356,0,784,WDH
0,363,1008,301,784,DWH
0,191,946,0,784,DWH
0,304,0,0,784,WDH
0,378,682,301,784,WDH
0,304,0,253,784,WDH
0,378,356,301,784,WDH
0,346,874,588,786,WDH
0,404,299,559,786,DWH
0,346,508,588,786,WDH
0,372,521,0,1004,WDH
0,372,96,0,1004,WDH
0,54,103,679,1004,WDH
0,111,1020,693,1004,WDH
0,398,22,301,1004,DWH
0,366,567,556,1004,WDH
0,37,366,556,1004,DWH
0,257,1008,301,1004,DWH
0,344,474,301,1009,WDH
0,211,953,0,1009,DWH
0,111,356,301,1009,DWH
0,313,521,308,1156,WDH
0,412,0,0,1156,WDH
0,65,356,501,1156,DWH
0,274,983,0,1156,DWH
0,313,521,0,1156,WDH
0,18,808,616,1156,WDH
0,17,521,616,1156,WDH
0,450,0,372,1163,DWH
0,28,1012,529,1157,DWH
0,18,323,308,1163,WDH
0,226,0,269,1253,DWH
0,357,287,269,1294,WDH
0,96,788,0,1294,WDH
0,89,0,0,1294,WDH
0,96,403,0,1294,WDH
0,357,748,269,1294,WDH
0,24,537,635,1294,DWH
0,24,326,635,1294,DWH
0,64,748,646,1294,WDH
0,24,0,341,1357,WDH
0,126,0,552,1357,DWH
0,119,500,635,1383,WDH
0,119,252,635,1383,WDH
0,87,364,0,1383,WDH
0,67,1,0,1383,WDH
0,87,802,0,1383,WDH
0,167,270,260,1386,WDH
0,167,755,260,1386,WDH
0,98,755,615,1394,WDH
0,105,17,390,1438,DWH
0,87,364,0,1484,WDH
0,265,755,278,1484,WDH
0,265,252,298,1484,WDH
0,87,802,0,1484,WDH
0,67,1,32,1486,WDH
0,98,755,615,1491,WDH
0,86,416,656,1486,WDH
0,96,0,298,1543,DWH
0,59,262,643,1486,DWH
0,450,755,295,1585,WDH
0,96,364,8,1585,WDH
0,357,252,269,1585,WDH
0,236,755,2,1585,WDH
0,29,0,0,1589,WDH
0,127,755,615,1589,WDH
0,127,423,637,1608,WDH
0,96,0,237,1630,DWH
0,93,168,643,1635,WDH
0,179,798,0,1677,WDH
0,179,356,0,1677,WDH
0,244,687,351,1677,WDH
0,156,319,351,1677,WDH
0,80,755,588,1702,WDH
0,114,2,0,1694,WDH
0,26,2,184,1721,DWH
0,200,792,15,1757,WDH
0,254,359,5,1757,WDH
0,31,423,637,1721,WDH
0,97,116,656,1744,WDH
0,236,773,547,1797,WDH
0,51,11,5,1809,DWH
0,96,359,351,1803,WDH
0,18,1033,351,1803,WDH
0,68,744,351,1803,WDH
0,75,82,426,1809,WDH
0,200,792,15,1860,WDH
0,29,433,603,1860,WDH
0,254,359,5,1861,WDH
0,335,773,547,1888,WDH
0,342,0,0,1888,DWH
0,132,82,656,1865,WDH
0,118,359,351,1890,WDH
0,128,0,414,1911,WDH
0,195,793,0,1963,WDH
0,105,339,598,1965,WDH
0,254,359,5,1965,WDH
0,56,923,351,1937,WDH
0,432,20,5,1992,DWH
0,194,806,545,1992,WDH
0,103,415,351,1992,WDH
0,128,0,414,2008,WDH
0,132,82,656,1992,WDH
0,107,804,365,1937,DWH
0,195,792,15,2066,WDH
0,128,339,600,2070,WDH
0,322,359,37,2070,WDH
0,179,806,376,2107,DWH
1,431,951,618,0,WDH
1,360,951,309,0,DWH
1,436,0,0,0,WDH
1,436,0,472,0,WDH
1,436,321,236,0,WDH
1,436,0,236,0,WDH
1,436,321,472,0,WDH
1,436,321,0,0,WDH
1,360,642,0,0,WDH
1,109,260,708,0,WDH
1,360,951,0,0,DWH
1,109,0,708,0,WDH
1,360,642,490,0,WDH
1,360,642,245,0,WDH
1,48,774,735,0,WDH
1,433,0,602,259,WDH
1,390,347,301,259,WDH
1,21,1033,545,259,DWH
1,390,347,568,259,WDH
1,33,728,545,259,WDH
1,145,728,301,259,WDH
1,213,347,0,259,WDH
1,145,694,0,259,WDH
1,213,0,0,259,WDH
1,213,0,301,259,WDH
1,34,1090,0,259,DWH
1,139,813,566,451,WDH
1,256,385,0,451,WDH
1,223,92,288,451,DWH
1,388,807,0,451,WDH
1,223,396,288,451,WDH
1,389,423,592,451,WDH
1,366,799,288,451,WDH
1,225,4,0,451,WDH
1,107,243,721,451,WDH
1,10,0,699,451,WDH
1,334,7,0,609,WDH
1,35,815,626,609,DWH
1,169,461,0,609,WDH
1,35,269,569,609,WDH
1,107,89,569,609,WDH
1,11,959,626,609,WDH
1,45,496,678,609,WDH
1,169,887,287,609,WDH
1,222,814,0,609,WDH
1,158,94,255,609,WDH
1,169,461,339,609,WDH
1,107,281,713,613,WDH
1,10,26,688,613,WDH
1,35,858,18,776,WDH
1,172,0,572,776,WDH
1,172,0,304,776,WDH
1,159,858,501,776,WDH
1,107,1050,43,776,WDH
1,180,461,16,776,WDH
1,172,429,304,776,WDH
1,159,858,162,776,WDH
1,172,429,572,776,WDH
1,302,0,34,777,WDH
1,35,1048,18,942,WDH
1,159,902,162,942,WDH
1,159,564,162,942,WDH
1,159,564,501,942,WDH
1,159,902,501,942,WDH
1,153,186,44,942,WDH
1,164,142,314,942,WDH
1,302,162,570,942,WDH
1,95,610,5,942,WDH
1,130,10,44,942,DWH
1,54,795,1,942,WDH
1,59,0,572,942,DWH
1,81,9,337,942,DWH
1,330,830,162,1103,WDH
1,12,570,162,1103,DWH
1,415,805,511,1103,WDH
1,8,570,511,1103,DWH
1,244,11,570,1103,WDH
1,132,9,44,1103,DWH
1,423,186,16,1104,WDH
1,296,142,308,1104,WDH
1,121,570,7,1103,WDH
1,397,868,0,1104,WDH
1,128,570,178,1221,DWH
1,330,803,178,1227,WDH
1,362,803,527,1227,WDH
1,66,570,511,1227,DWH
1,244,11,570,1227,WDH
1,132,0,0,1227,DWH
1,13,9,301,1152,DWH
1,335,142,288,1247,WDH
1,250,177,0,1247,WDH
1,18,670,0,1282,WDH
1,206,0,575,1347,WDH
1,154,803,203,1350,WDH
1,194,0,302,1353,WDH
1,140,793,544,1353,WDH
1,281,441,353,1353,DWH
1,53,882,5,1313,WDH
1,9,570,178,1318,WDH
1,18,2,82,1348,DWH
1,69,177,0,1397,WDH
1,43,0,575,1454,WDH
1,195,793,208,1454,WDH
1,226,506,353,1466,DWH
1,69,47,301,1466,WDH
1,69,853,544,1467,WDH
1,56,923,14,1479,WDH
1,184,55,0,1496,WDH
1,25,607,175,1491,WDH
1,43,67,575,1557,WDH
1,43,873,208,1557,WDH
1,281,753,488,1570,WDH
1,190,444,369,1570,DWH
1,263,55,286,1565,WDH
1,184,0,0,1609,WDH
1,106,873,8,1601,WDH
1,43,0,575,1655,WDH
1,43,873,208,1655,WDH
1,281,753,473,1684,WDH
1,190,444,369,1684,DWH
1,41,607,175,1627,WDH
1,43,0,310,1714,WDH
1,190,0,1,1722,WDH
1,43,0,575,1753,WDH
1,56,923,0,1729,WDH
1,445,890,194,1753,WDH
1,391,810,488,1798,WDH
1,320,367,449,1798,WDH
1,120,607,175,1787,WDH
1,269,0,0,1836,WDH
1,62,0,342,1812,WDH
1,16,0,571,1851,WDH
1,120,890,5,1851,WDH
1,190,672,342,1911,DWH
1,190,363,342,1911,DWH
1,210,1005,372,1911,DWH
1,25,1054,194,1887,WDH
1,190,20,33,1947,WDH
1,112,672,114,1911,DWH
1,115,0,344,1951,WDH
1,16,0,571,1975,WDH
1,330,346,491,2025,WDH
1,210,756,372,2025,DWH
1,210,991,372,2034,DWH
1,91,948,0,1975,WDH
1,25,1005,194,2025,WDH
1,178,0,0,2061,WDH
1,49,672,114,2067,WDH
2,422,422,304,0,WDH
2,332,0,583,0,WDH
2,250,821,304,0,WDH
2,6,881,594,0,WDH
2,250,796,0,0,WDH
2,267,403,0,0,WDH
2,245,422,594,0,WDH
2,223,0,0,0,WDH
2,256,0,304,0,WDH
2,151,0,583,150,WDH
2,394,796,0,150,WDH
2,185,821,304,150,WDH
2,442,417,306,158,WDH
2,15,514,612,158,WDH
2,14,888,592,158,WDH
2,445,63,317,158,WDH
2,134,2,15,158,WDH
2,297,403,9,159,WDH
2,15,0,583,291,WDH
2,115,888,612,291,WDH
2,353,845,306,291,WDH
2,405,0,0,291,WDH
2,303,417,306,291,WDH
2,362,384,0,296,WDH
2,74,514,612,296,WDH
2,137,812,0,296,WDH
2,104,0,315,296,WDH
2,139,0,254,426,WDH
2,139,0,0,426,WDH
2,332,0,508,426,WDH
2,139,427,0,426,WDH
2,260,427,254,426,WDH
2,425,427,521,426,WDH
2,425,854,0,426,WDH
2,257,845,603,426,WDH
2,394,815,303,427,WDH
2,71,1099,290,577,DWH
2,340,252,483,577,DWH
2,441,0,23,577,WDH
2,243,366,1,577,WDH
2,136,776,571,577,WDH
2,346,0,474,577,DWH
2,346,0,222,577,WDH
2,418,776,313,577,WDH
2,268,366,229,577,WDH
2,312,746,0,581,WDH
2,288,463,474,581,DWH
2,353,440,476,728,DWH
2,412,745,21,728,WDH
2,432,27,75,791,DWH
2,432,41,495,791,WDH
2,178,784,528,791,WDH
2,62,374,1,782,WDH
2,210,745,290,791,WDH
2,108,374,243,792,WDH
2,246,771,0,863,WDH
2,251,440,476,864,DWH
2,330,0,0,906,DWH
2,387,0,410,906,DWH
2,347,741,530,907,WDH
2,210,772,271,921,WDH
2,62,408,0,921,WDH
2,108,408,228,928,WDH
2,210,772,36,985,WDH
2,387,335,473,991,WDH
2,312,733,534,1030,WDH
2,286,0,407,1030,DWH
2,175,0,34,1030,WDH
2,296,802,272,1044,WDH
2,115,429,1,1060,WDH
2,389,395,228,1064,WDH
2,210,772,0,1108,WDH
2,314,315,496,1115,WDH
2,371,692,563,1174,WDH
2,262,0,59,1174,WDH
2,384,0,426,1174,DWH
2,295,772,235,1183,WDH
2,104,445,228,1222,WDH
2,447,391,0,1195,WDH
2,314,308,496,1242,WDH
2,271,772,12,1231,WDH
2,262,0,59,1311,WDH
2,384,0,426,1311,DWH
2,295,772,235,1311,WDH
2,312,746,566,1312,WDH
2,104,445,228,1343,WDH
2,115,429,1,1352,WDH
2,261,317,530,1369,WDH
2,115,771,1,1381,WDH
2,295,811,248,1448,WDH
2,405,4,92,1448,WDH
2,405,2,456,1448,DWH
2,300,746,566,1456,WDH
2,353,388,233,1464,WDH
2,368,317,530,1508,WDH
2,447,388,24,1487,WDH
2,314,4,63,1576,WDH
2,347,0,408,1576,DWH
2,314,811,222,1576,WDH
2,427,811,6,1516,WDH
2,1,679,570,1597,DWH
2,57,909,583,1597,WDH
2,353,411,233,1600,WDH
2,156,311,571,1635,WDH
2,68,388,24,1644,WDH
2,438,863,262,1703,WDH
2,6,0,571,1703,WDH
2,141,19,24,1703,WDH
2,141,19,291,1703,WDH
2,438,863,0,1703,WDH
2,16,894,524,1734,WDH
2,16,517,255,1736,WDH
2,13,677,42,1644,DWH
2,16,311,571,1761,WDH
2,101,679,530,1734,DWH
2,47,414,7,1778,WDH
2,71,388,277,1736,DWH
2,224,832,0,1861,WDH
2,202,27,277,1861,WDH
2,6,0,571,1861,WDH
2,374,518,240,1861,DWH
2,218,907,480,1861,WDH
2,224,832,240,1861,WDH
2,224,6,7,1861,WDH
2,176,566,530,1885,WDH
2,2,311,571,1885,WDH
2,47,414,7,1913,WDH
2,42,677,7,1843,DWH
2,311,925,530,2020,WDH
2,240,0,520,2020,DWH
2,216,566,530,2020,WDH
2,255,807,7,2020,WDH
2,216,879,240,2020,WDH
2,448,0,0,2020,WDH
2,448,0,260,2020,WDH
2,146,518,240,2020,WDH
2,70,280,542,2031,WDH
2,79,367,0,2048,WDH
3,248,0,0,0,WDH
3,248,0,524,0,WDH
3,248,0,262,0,WDH
3,248,479,0,0,WDH
3,337,479,262,0,WDH
3,337,479,533,0,WDH
3,288,958,457,0,DWH
3,337,958,0,0,DWH
3,418,156,520,139,WDH
3,418,312,0,139,WDH
3,155,9,0,139,WDH
3,99,6,537,139,DWH
3,99,6,262,139,DWH
3,418,156,262,139,WDH
3,418,635,0,139,WDH
3,201,516,303,149,WDH
3,201,978,28,149,DWH
3,162,868,565,149,WDH
3,220,516,570,149,WDH
3,232,820,332,149,WDH
3,324,820,28,348,WDH
3,161,0,282,348,WDH
3,30,405,32,348,WDH
3,349,405,230,348,WDH
3,349,405,535,348,WDH
3,151,810,591,348,WDH
3,349,0,535,348,WDH
3,272,0,2,351,WDH
3,151,810,342,351,WDH
3,161,59,283,492,WDH
3,82,892,10,492,WDH
3,273,31,548,492,WDH
3,273,430,244,492,WDH
3,273,436,548,492,WDH
3,273,835,244,492,WDH
3,324,841,536,492,WDH
3,49,625,24,497,WDH
3,72,396,0,497,WDH
3,429,0,0,497,WDH
3,72,664,10,631,WDH
3,429,844,244,631,WDH
3,253,520,536,631,WDH
3,253,199,536,631,WDH
3,19,20,536,631,DWH
3,235,499,244,631,WDH
3,82,892,10,636,WDH
3,435,0,280,636,WDH
3,199,844,524,636,WDH
3,410,0,0,644,WDH
3,122,323,0,644,WDH
3,77,341,280,636,DWH
3,180,514,599,778,WDH
3,36,681,0,778,DWH
3,50,213,599,778,WDH
3,275,594,298,778,WDH
3,53,909,596,778,WDH
3,367,905,298,778,WDH
3,367,905,0,778,WDH
3,209,32,142,787,DWH
3,44,0,547,780,DWH
3,6,351,26,787,WDH
3,19,341,249,813,DWH
3,71,60,13,787,WDH
3,63,32,142,924,WDH
3,410,917,0,943,WDH
3,410,917,271,943,WDH
3,78,665,0,943,DWH
3,79,214,599,943,WDH
3,418,594,324,944,WDH
3,418,917,582,944,WDH
3,418,594,582,944,WDH
3,319,347,22,949,WDH
3,287,5,481,949,DWH
3,361,341,248,962,DWH
3,375,31,51,1044,DWH
3,209,850,0,1086,WDH
3,410,917,309,1086,WDH
3,63,214,534,1087,WDH
3,19,662,22,1084,DWH
3,180,526,309,1153,WDH
3,23,8,481,1153,DWH
3,41,345,309,1153,DWH
3,163,361,22,1153,WDH
3,315,874,580,1153,WDH
3,358,526,580,1153,WDH
3,209,0,0,1177,DWH
3,63,218,544,1207,WDH
3,375,850,0,1223,WDH
3,58,917,309,1229,WDH
3,19,671,0,1233,DWH
3,181,887,589,1322,WDH
3,183,218,34,1322,WDH
3,145,218,300,1322,WDH
3,149,0,82,1322,DWH
3,183,526,564,1322,WDH
3,427,0,452,1322,DWH
3,306,612,320,1322,WDH
3,375,863,0,1356,WDH
3,163,216,574,1327,WDH
3,39,960,309,1377,WDH
3,129,648,6,1382,DWH
3,104,863,44,1489,WDH
3,408,0,467,1514,DWH
3,371,528,309,1514,WDH
3,403,552,589,1514,WDH
3,403,60,6,1514,DWH
3,403,896,589,1514,WDH
3,435,307,6,1514,WDH
3,44,325,547,1496,DWH
3,39,960,309,1524,WDH
3,37,325,266,1514,DWH
3,7,648,6,1559,DWH
3,375,863,0,1610,WDH
3,375,16,463,1634,DWH
3,122,309,6,1660,WDH
3,38,570,307,1660,WDH
3,61,553,616,1661,WDH
3,271,806,617,1661,WDH
3,374,26,36,1661,WDH
3,122,330,249,1665,DWH
3,211,940,309,1671,WDH
3,41,329,659,1665,WDH
3,7,651,0,1707,DWH
3,399,868,64,1743,WDH
3,82,0,492,1767,DWH
3,409,307,13,1801,WDH
3,315,574,341,1801,WDH
3,331,574,596,1814,WDH
3,331,307,246,1814,DWH
3,331,0,0,1814,DWH
3,40,953,596,1814,WDH
3,70,940,351,1816,WDH
3,113,283,647,1825,WDH
3,6,648,13,1855,DWH
3,399,868,0,1901,WDH
3,430,22,379,1908,DWH
3,173,242,0,1970,WDH
3,173,574,341,1970,WDH
3,331,861,598,1983,WDH
3,40,251,278,1983,WDH
3,218,966,265,1983,DWH
3,339,25,27,1983,DWH
3,187,504,595,1983,WDH
3,187,259,483,1983,DWH
3,6,654,0,2013,DWH
3,82,892,31,2059,WDH
4,309,886,0,0,WDH
4,94,309,669,0,WDH
4,439,309,0,0,WDH
4,439,309,223,0,WDH
4,231,618,230,0,WDH
4,439,309,446,0,WDH
4,231,618,460,0,WDH
4,439,0,490,0,WDH
4,231,618,0,0,WDH
4,289,886,618,0,WDH
4,360,0,0,0,WDH
4,360,0,245,0,WDH
4,109,618,690,0,WDH
4,309,886,206,0,WDH
4,309,886,412,0,WDH
4,32,646,690,250,WDH
4,378,899,0,256,WDH
4,321,309,0,256,WDH
4,282,899,255,256,DWH
4,20,1065,475,256,DWH
4,20,1065,255,256,DWH
4,321,604,0,256,WDH
4,321,0,490,256,WDH
4,321,604,301,256,WDH
4,426,309,602,256,WDH
4,321,309,301,256,WDH
4,71,28,21,259,WDH
4,364,65,150,259,DWH
4,149,529,491,476,WDH
4,34,46,555,476,DWH
4,33,15,250,476,DWH
4,270,196,250,476,WDH
4,270,196,503,476,WDH
4,350,537,0,476,WDH
4,165,525,250,476,WDH
4,147,169,0,476,WDH
4,270,911,0,489,WDH
4,88,595,682,489,WDH
4,270,911,506,489,WDH
4,270,911,253,489,WDH
4,125,10,0,476,DWH
4,392,592,129,666,DWH
4,392,233,237,666,WDH
4,83,0,245,666,WDH
4,220,233,488,666,DWH
4,232,0,420,666,DWH
4,148,169,13,666,WDH
4,33,503,488,667,WDH
4,396,911,259,676,WDH
4,396,911,7,676,WDH
4,396,988,511,676,DWH
4,90,503,672,673,WDH
4,383,814,531,676,DWH
4,20,0,25,688,DWH
4,40,592,486,861,DWH
4,187,233,237,861,WDH
4,187,592,129,861,DWH
4,187,233,482,861,WDH
4,339,169,13,861,WDH
4,329,988,486,864,DWH
4,414,837,18,864,WDH
4,255,837,253,864,WDH
4,434,0,245,866,DWH
4,83,17,665,866,WDH
4,53,797,486,908,DWH
4,46,0,0,911,DWH
4,414,233,215,1026,WDH
4,189,468,454,1026,DWH
4,414,233,450,1026,DWH
4,299,233,1,1026,WDH
4,299,623,71,1026,DWH
4,329,970,486,1039,DWH
4,434,0,200,1039,DWH
4,257,840,274,1043,WDH
4,187,883,0,1044,WDH
4,6,756,529,1074,DWH
4,55,9,607,1064,DWH
4,189,526,454,1201,DWH
4,189,846,256,1201,WDH
4,299,233,1,1204,WDH
4,434,623,43,1204,DWH
4,187,220,482,1206,DWH
4,221,233,217,1206,WDH
4,257,846,44,1212,WDH
4,430,0,179,1212,DWH
4,221,1007,519,1214,DWH
4,6,793,519,1232,DWH
4,20,13,1,1164,WDH
4,55,0,608,1279,DWH
4,7,939,0,1362,WDH
4,73,0,289,1376,DWH
4,264,211,572,1376,WDH
4,305,846,223,1376,WDH
4,317,540,487,1376,DWH
4,305,211,309,1376,WDH
4,50,540,254,1377,WDH
4,40,612,10,1377,WDH
4,433,1016,499,1382,DWH
4,361,254,67,1382,WDH
4,61,783,487,1390,DWH
4,40,0,0,1390,WDH
4,23,865,10,1510,WDH
4,102,545,223,1542,WDH
4,44,572,10,1542,WDH
4,221,783,499,1542,DWH
4,294,211,347,1557,WDH
4,382,0,286,1557,DWH
4,291,0,7,1557,DWH
4,395,846,248,1557,WDH
4,395,211,602,1557,WDH
4,327,564,469,1557,DWH
4,336,226,7,1564,DWH
4,55,0,608,1494,DWH
4,298,1016,499,1572,DWH
4,53,865,43,1669,WDH
4,221,783,503,1709,DWH
4,221,525,220,1709,WDH
4,44,572,10,1711,WDH
4,424,565,497,1750,DWH
4,424,1022,513,1750,DWH
4,214,201,603,1753,WDH
4,4,13,306,1753,DWH
4,359,860,233,1753,WDH
4,278,211,343,1754,WDH
4,336,226,7,1754,DWH
4,306,0,0,1756,DWH
4,92,25,608,1709,DWH
4,5,865,21,1835,WDH
4,221,789,519,1876,DWH
4,102,559,256,1876,WDH
4,214,496,35,1880,WDH
4,53,610,497,1926,DWH
4,53,1026,486,1926,DWH
4,91,0,296,1934,DWH
4,214,201,603,1934,WDH
4,214,860,233,1934,WDH
4,102,170,7,1944,WDH
4,102,258,256,1944,WDH
4,124,0,0,1944,DWH
4,20,0,620,1948,DWH
4,401,924,0,2015,WDH
5,411,624,202,0,WDH
5,440,724,658,0,WDH
5,440,938,202,0,WDH
5,219,938,366,0,WDH
5,217,624,0,0,WDH
5,277,362,658,0,WDH
5,205,628,464,0,WDH
5,437,310,464,0,WDH
5,277,0,658,0,WDH
5,406,904,0,0,WDH
5,345,0,232,0,WDH
5,345,0,0,0,WDH
5,177,305,0,0,WDH
5,143,0,464,0,WDH
5,177,305,212,0,WDH
5,343,1015,531,0,DWH
5,91,1058,548,192,DWH
5,283,564,448,283,WDH
5,280,208,214,283,WDH
5,280,208,0,283,WDH
5,142,923,0,283,WDH
5,230,260,646,283,WDH
5,100,639,672,283,WDH
5,283,564,224,283,WDH
5,386,7,428,283,DWH
5,142,923,258,283,WDH
5,283,564,0,283,WDH
5,386,225,428,283,WDH
5,376,6,0,283,DWH
5,168,1019,516,371,DWH
5,443,292,6,530,WDH
5,421,755,448,530,WDH
5,279,292,215,530,WDH
5,416,171,669,530,WDH
5,416,0,425,530,DWH
5,116,0,22,530,WDH
5,301,586,674,530,WDH
5,307,463,427,530,WDH
5,144,857,5,530,WDH
5,307,0,183,530,WDH
5,307,171,427,530,WDH
5,144,577,5,530,WDH
5,144,874,215,530,WDH
5,144,594,215,530,WDH
5,290,1015,448,578,DWH
5,191,356,183,793,WDH
5,191,653,183,793,WDH
5,20,356,631,793,WDH
5,20,940,6,793,WDH
5,84,648,6,793,WDH
5,352,292,6,793,WDH
5,426,1015,448,793,DWH
5,446,950,183,793,WDH
5,266,356,429,793,WDH
5,407,0,395,793,WDH
5,407,0,183,793,WDH
5,426,0,607,793,WDH
5,441,586,641,799,WDH
5,381,696,433,799,WDH
5,84,0,0,800,WDH
5,33,696,450,1010,WDH
5,293,950,189,1010,WDH
5,433,1015,436,1010,DWH
5,433,0,616,1010,WDH
5,212,390,177,1018,WDH
5,138,0,395,1018,WDH
5,52,292,0,1018,WDH
5,52,488,0,1018,WDH
5,131,740,631,1018,WDH
5,166,710,177,1018,DWH
5,402,356,631,1018,WDH
5,131,940,6,1018,WDH
5,197,0,177,1018,WDH
5,138,356,429,1019,WDH
5,124,0,0,1022,WDH
5,3,684,0,1018,WDH
5,27,736,451,1200,WDH
5,401,1007,208,1200,DWH
5,401,1007,524,1200,DWH
5,276,31,599,1200,WDH
5,351,31,135,1247,WDH
5,351,31,367,1247,WDH
5,291,388,20,1255,WDH
5,395,388,246,1255,DWH
5,395,356,599,1255,WDH
5,188,710,198,1255,WDH
5,109,32,0,1200,WDH
5,27,970,0,1255,WDH
5,171,714,642,1255,WDH
5,373,684,0,1266,WDH
5,102,1007,524,1371,DWH
5,401,1007,208,1371,DWH
5,433,0,616,1375,WDH
5,404,709,423,1375,WDH
5,259,0,369,1434,WDH
5,338,0,150,1434,WDH
5,278,353,491,1451,WDH
5,336,334,246,1451,WDH
5,243,336,18,1454,WDH
5,168,673,202,1454,WDH
5,20,1020,54,1434,WDH
5,316,674,655,1488,WDH
5,381,685,4,1492,WDH
5,102,1010,539,1537,DWH
5,117,0,0,1451,WDH
5,243,1010,208,1542,DWH
5,433,0,616,1565,WDH
5,135,98,141,1623,DWH
5,338,681,436,1587,WDH
5,252,341,253,1641,WDH
5,327,341,469,1641,DWH
5,310,647,217,1661,WDH
5,207,343,6,1661,WDH
5,252,647,1,1698,WDH
5,198,646,659,1691,WDH
5,234,1010,539,1703,DWH
5,433,1014,198,1747,DWH
5,249,14,551,1755,WDH
5,421,69,141,1775,WDH
5,292,62,362,1775,WDH
5,208,646,452,1776,WDH
5,155,343,328,1834,WDH
5,155,343,584,1834,WDH
5,379,1003,25,1661,WDH
5,323,343,16,1858,DWH
5,243,646,224,1858,WDH
5,252,672,8,1888,WDH
5,444,1029,539,1911,DWH
5,198,646,659,1911,WDH
5,252,1014,234,1937,DWH
5,323,31,591,1941,WDH
6,258,0,474,0,WDH
6,258,328,0,0,WDH
6,258,328,246,0,WDH
6,258,0,228,0,WDH
6,449,631,214,0,WDH
6,385,0,0,0,WDH
6,285,631,647,0,WDH
6,348,631,428,0,WDH
6,348,968,0,0,DWH
6,258,328,492,0,WDH
6,348,968,317,0,DWH
6,449,631,0,0,WDH
6,241,973,641,0,WDH
6,212,988,0,208,DWH
6,138,657,428,208,WDH
