bin,item,x,y,z,orientation
0,257,719,542,0,WDH
0,213,1067,0,0,DWH
0,257,360,532,0,WDH
0,210,1067,320,0,DWH
0,253,0,0,0,WDH
0,648,360,266,0,WDH
0,223,1067,624,0,DWH
0,648,0,273,0,WDH
0,648,360,0,0,WDH
0,257,719,0,0,WDH
0,648,0,539,0,WDH
0,257,719,271,0,WDH
0,180,234,17,206,WDH
0,693,0,497,206,WDH
0,180,468,17,206,WDH
0,238,585,534,206,WDH
0,700,415,170,206,WDH
0,700,0,170,206,WDH
0,180,0,17,206,WDH
0,360,830,111,206,DWH
0,111,830,0,206,WDH
0,111,1028,729,206,WDH
0,205,1069,0,208,DWH
0,205,1069,299,208,DWH
0,79,1042,598,208,WDH
0,300,357,300,357,WDH
0,300,357,570,357,WDH
0,87,764,8,357,WDH
0,199,558,173,357,WDH
0,87,989,8,357,WDH
0,638,0,220,357,WDH
0,299,764,608,357,WDH
0,638,0,530,357,WDH
0,199,357,173,357,WDH
0,299,764,376,357,WDH
0,299,764,144,357,WDH
0,65,28,8,359,WDH
0,459,228,8,359,WDH
0,694,0,344,542,WDH
0,228,0,688,542,WDH
0,441,379,570,542,WDH
0,520,788,599,542,WDH
0,694,0,0,542,WDH
0,502,788,0,542,WDH
0,537,379,0,542,WDH
0,479,788,302,542,WDH
0,537,379,285,542,WDH
0,35,200,688,542,WDH
0,330,319,8,716,WDH
0,330,778,8,716,WDH
0,94,424,629,716,WDH
0,254,7,126,716,DWH
0,126,55,618,716,DWH
0,359,769,243,716,WDH
0,359,301,243,716,WDH
0,84,810,608,717,WDH
0,206,200,688,732,WDH
0,202,0,0,716,WDH
0,698,768,0,833,WDH
0,698,768,376,833,WDH
0,68,422,650,833,WDH
0,468,330,0,833,WDH
0,468,330,325,833,WDH
0,421,1,151,834,DWH
0,91,0,661,840,WDH
0,188,0,0,859,WDH
0,164,0,140,953,WDH
0,164,0,379,953,WDH
0,70,297,670,971,WDH
0,421,330,321,971,WDH
0,450,829,294,971,WDH
0,70,539,670,971,WDH
0,188,0,0,971,WDH
0,267,829,3,971,WDH
0,136,0,631,971,WDH
0,254,330,27,971,WDH
0,188,829,650,971,WDH
0,161,0,201,1010,DWH
0,10,670,5,1091,WDH
0,3,159,4,1091,WDH
0,10,955,5,1091,WDH
0,270,412,170,1091,WDH
0,75,85,633,1091,WDH
0,326,395,493,1091,WDH
0,468,802,515,1091,WDH
0,326,833,168,1091,WDH
0,135,401,16,1091,WDH
0,23,0,344,1093,WDH
0,219,0,178,1093,WDH
0,173,54,220,1174,DWH
0,342,71,0,1233,WDH
0,342,461,323,1233,WDH
0,270,850,0,1233,WDH
0,342,71,317,1233,WDH
0,270,850,323,1233,WDH
0,270,460,0,1233,WDH
0,68,202,646,1233,WDH
0,68,894,646,1233,WDH
0,68,548,646,1233,WDH
0,113,53,643,1233,DWH
0,607,505,220,1372,WDH
0,607,505,439,1372,WDH
0,346,893,650,1372,WDH
0,128,17,486,1372,WDH
0,281,879,430,1372,WDH
0,291,866,0,1372,WDH
0,281,505,0,1372,WDH
0,291,866,215,1372,WDH
0,336,187,243,1372,WDH
0,303,30,0,1372,DWH
0,336,187,0,1372,WDH
0,346,519,658,1372,WDH
0,336,262,486,1372,DWH
0,139,17,632,1393,DWH
0,70,17,632,1495,WDH
0,181,17,632,1606,WDH
0,596,505,356,1606,WDH
0,475,505,0,1606,WDH
0,175,862,634,1606,WDH
0,175,505,634,1606,WDH
0,103,0,0,1606,DWH
0,103,1043,0,1606,DWH
0,64,17,401,1609,DWH
0,201,262,233,1610,DWH
0,165,177,0,1610,WDH
0,166,1093,409,1610,DWH
0,165,275,515,1664,DWH
0,86,254,266,1664,WDH
0,164,505,356,1695,WDH
0,164,505,595,1696,WDH
0,164,832,356,1696,DWH
0,204,1043,28,1696,DWH
0,204,0,643,1696,WDH
0,201,25,0,1702,WDH
0,173,630,0,1702,WDH
0,12,11,375,1702,DWH
0,118,186,254,1752,DWH
0,42,256,645,1752,WDH
0,204,505,398,1752,WDH
0,118,832,390,1753,WDH
0,42,500,645,1753,WDH
0,238,797,0,1765,WDH
0,570,62,0,1765,WDH
0,676,506,0,1765,DWH
0,121,6,643,1765,WDH
0,95,6,394,1802,DWH
0,110,168,278,1826,DWH
0,627,832,317,1826,WDH
0,165,428,413,1826,WDH
0,170,256,643,1826,WDH
0,20,500,643,1827,WDH
0,237,6,271,1918,WDH
0,85,555,296,1918,DWH
0,11,491,26,1918,WDH
0,276,6,8,1918,WDH
0,45,0,670,1918,WDH
0,386,832,2,1918,WDH
0,474,900,317,1922,DWH
0,198,500,643,1937,WDH
0,45,252,670,1925,WDH
0,12,533,643,2016,WDH
0,652,805,461,2016,WDH
0,362,94,271,2016,WDH
