bin,item,x,y,z,orientation
0,36,421,0,0,WDH
0,36,0,280,0,WDH
0,36,0,0,0,WDH
0,1,642,560,0,WDH
0,7,1063,280,0,DWH
0,19,321,560,0,WDH
0,7,959,560,0,WDH
0,19,742,280,0,WDH
0,19,0,560,0,WDH
0,19,842,0,0,WDH
0,19,421,280,0,WDH
0,40,0,612,147,WDH
0,40,0,384,147,WDH
0,30,715,639,147,WDH
0,39,359,404,147,WDH
0,39,359,622,147,WDH
0,34,715,480,147,WDH
0,34,586,225,147,WDH
0,34,0,24,147,WDH
0,34,307,24,147,WDH
0,3,1022,388,147,DWH
0,3,903,5,147,WDH
0,30,0,183,147,WDH
0,30,293,183,147,WDH
0,9,893,229,147,WDH
0,9,614,28,147,WDH
0,32,720,639,342,WDH
0,20,85,5,342,DWH
0,45,738,5,342,WDH
0,45,738,305,342,WDH
0,45,322,5,342,WDH
0,28,41,384,342,WDH
0,10,376,305,347,WDH
0,24,376,568,347,WDH
0,35,90,646,342,WDH
0,12,359,573,449,WDH
0,26,888,0,466,WDH
0,6,914,322,466,WDH
0,6,562,0,466,WDH
0,26,0,0,474,WDH
0,26,0,322,474,WDH
0,14,359,305,468,WDH
0,18,697,322,468,DWH
0,8,697,619,474,WDH
0,4,366,145,466,WDH
0,15,352,0,466,WDH
0,35,90,646,487,WDH
0,23,1074,166,558,DWH
0,23,787,0,558,WDH
0,31,378,575,545,WDH
0,31,33,63,566,WDH
0,28,41,384,566,WDH
0,23,697,668,600,WDH
0,31,359,314,576,WDH
0,33,562,0,555,DWH
0,4,914,322,555,DWH
0,17,787,166,558,WDH
0,33,697,322,600,DWH
0,15,389,3,609,WDH
0,13,41,646,632,WDH
0,8,1025,0,657,DWH
0,27,761,0,657,WDH
0,13,1060,322,657,DWH
0,1,359,573,671,WDH
0,22,33,408,692,WDH
0,22,33,170,692,WDH
0,17,33,19,692,WDH
0,41,697,614,699,WDH
0,44,359,314,702,WDH
0,5,562,0,718,DWH
0,33,697,322,763,DWH
0,29,801,172,699,WDH
0,25,0,654,771,WDH
0,21,896,322,712,DWH
0,11,359,173,623,WDH
0,5,1046,9,781,DWH
0,16,330,18,752,WDH
0,22,359,572,817,WDH
0,2,157,229,828,DWH
0,2,0,229,828,DWH
0,5,17,18,829,WDH
0,2,685,653,861,WDH
0,43,333,322,863,WDH
0,21,1057,322,796,DWH
0,29,801,25,802,WDH
0,5,607,6,907,DWH
0,43,801,172,933,DWH
0,43,321,609,953,WDH
0,29,333,175,933,WDH
0,16,0,654,946,WDH
0,8,1025,0,970,DWH
0,38,21,433,1008,WDH
0,38,21,212,1008,WDH
0,2,17,18,1018,WDH
0,37,333,322,1041,WDH
0,37,685,609,1041,WDH
0,2,607,6,1096,WDH
0,37,1032,6,1096,DWH
0,11,1032,345,1018,WDH
0,42,864,163,1104,DWH
