bin,item,x,y,z,orientation
0,62,1059,293,0,DWH
0,429,706,558,0,WDH
0,384,353,558,0,WDH
0,384,679,0,0,WDH
0,384,326,0,0,WDH
0,264,1072,558,0,DWH
0,384,0,558,0,WDH
0,46,1032,0,0,DWH
0,384,706,293,0,WDH
0,384,0,293,0,WDH
0,417,0,0,0,WDH
0,384,353,293,0,WDH
0,346,722,253,209,WDH
0,27,305,5,209,WDH
0,393,710,9,209,WDH
0,143,1,563,209,DWH
0,393,42,28,209,DWH
0,403,762,528,209,WDH
0,376,286,238,209,WDH
0,346,244,565,209,WDH
0,194,628,0,325,WDH
0,194,0,271,325,WDH
0,32,942,0,325,WDH
0,194,0,542,325,WDH
0,133,628,271,325,WDH
0,121,987,271,325,WDH
0,194,0,0,325,WDH
0,194,314,542,325,WDH
0,194,314,0,325,WDH
0,194,314,271,325,WDH
0,129,628,506,327,WDH
0,286,1058,506,327,DWH
0,184,313,46,425,WDH
0,159,777,63,425,DWH
0,339,5,42,425,DWH
0,358,302,528,425,WDH
0,358,302,216,425,WDH
0,389,798,276,425,WDH
0,358,771,528,425,WDH
0,389,50,398,425,DWH
0,306,963,34,427,WDH
0,368,985,0,559,DWH
0,40,308,216,559,DWH
0,30,308,604,559,WDH
0,399,2,398,559,DWH
0,245,780,0,559,DWH
0,167,798,404,559,WDH
0,368,516,216,559,DWH
0,399,810,536,559,WDH
0,40,307,0,562,WDH
0,361,0,0,562,DWH
0,423,887,290,710,WDH
0,74,246,19,710,WDH
0,423,887,565,710,WDH
0,408,504,218,710,WDH
0,424,81,295,710,WDH
0,233,133,458,710,WDH
0,408,648,457,710,DWH
0,138,10,38,710,DWH
0,341,925,20,710,WDH
0,395,164,108,710,WDH
0,74,18,582,710,DWH
0,374,435,492,710,DWH
0,359,107,624,710,WDH
0,359,559,2,710,WDH
0,420,887,518,900,WDH
0,420,887,357,900,WDH
0,420,887,679,900,WDH
0,420,504,57,900,WDH
0,420,107,505,900,DWH
0,420,268,505,900,DWH
0,202,480,461,907,DWH
0,182,8,185,907,DWH
0,202,8,682,907,DWH
0,407,579,270,907,WDH
0,162,429,619,907,DWH
0,162,283,22,907,WDH
0,407,196,172,907,WDH
0,197,38,37,907,WDH
0,407,579,555,907,WDH
0,407,914,72,907,WDH
0,390,579,397,1129,DWH
0,280,579,241,1129,WDH
0,371,887,50,1129,WDH
0,277,196,219,1129,WDH
0,126,0,0,1134,WDH
0,156,0,201,1134,DWH
0,299,429,505,1134,DWH
0,91,338,12,1134,DWH
0,126,0,0,1200,WDH
0,222,3,628,1134,DWH
0,90,733,529,1262,WDH
0,25,360,281,1262,WDH
0,90,733,218,1262,WDH
0,9,113,497,1262,DWH
0,169,341,551,1262,WDH
0,25,360,11,1269,WDH
0,110,25,7,1269,WDH
0,300,733,20,1262,WDH
0,20,131,281,1262,WDH
0,217,1055,0,1262,DWH
0,129,330,555,1337,WDH
0,300,934,221,1337,WDH
0,240,20,477,1337,DWH
0,136,428,299,1337,WDH
0,388,760,419,1337,WDH
0,85,0,0,1340,WDH
0,100,355,0,1344,WDH
0,37,721,0,1353,DWH
0,278,993,1,1378,WDH
0,72,131,281,1378,WDH
0,294,539,294,1431,WDH
0,287,2,541,1431,WDH
0,223,806,495,1431,WDH
0,266,933,246,1431,WDH
0,100,355,0,1431,WDH
0,223,372,495,1431,WDH
0,83,39,28,1436,WDH
0,89,902,0,1460,WDH
0,286,721,0,1436,DWH
0,293,137,296,1466,DWH
0,39,394,663,1517,WDH
0,422,23,541,1517,WDH
0,355,352,0,1517,WDH
0,250,627,663,1517,WDH
0,428,49,0,1517,WDH
0,396,921,228,1517,DWH
0,56,937,634,1517,WDH
0,396,582,257,1517,DWH
0,101,386,257,1517,DWH
0,142,901,0,1518,WDH
0,83,56,288,1561,WDH
0,161,758,22,1533,DWH
0,302,49,269,1642,WDH
0,24,582,257,1672,WDH
0,24,582,456,1672,WDH
0,50,1003,257,1672,DWH
0,144,0,0,1672,WDH
0,141,901,663,1672,WDH
0,57,721,0,1672,DWH
0,144,49,518,1672,WDH
0,203,919,0,1675,WDH
0,60,348,0,1675,WDH
0,275,602,663,1675,WDH
0,38,369,624,1675,WDH
0,25,0,248,1696,WDH
0,6,386,257,1676,DWH
0,229,386,596,1780,DWH
0,429,577,257,1780,WDH
0,429,0,245,1780,WDH
0,429,366,0,1780,WDH
0,180,1060,0,1780,DWH
0,429,0,490,1780,WDH
0,414,732,0,1780,WDH
0,429,0,0,1780,WDH
0,348,943,257,1780,DWH
0,348,577,502,1780,WDH
0,124,943,596,1780,WDH
0,14,386,271,1792,DWH
0,322,969,285,1986,WDH
0,60,285,19,1986,WDH
0,129,0,410,1986,DWH
0,240,285,220,1986,WDH
0,85,0,55,1986,DWH
0,240,648,530,1986,WDH
0,243,1011,556,1986,DWH
0,240,285,530,1986,WDH
0,203,732,5,1986,WDH
0,203,648,299,1986,WDH
0,121,1053,44,1986,DWH
0,312,309,299,2086,WDH
0,391,306,5,2086,WDH
0,373,508,530,2086,WDH
0,143,29,276,2086,WDH
0,296,1058,0,2086,DWH
0,242,24,5,2086,WDH
0,373,995,285,2086,DWH
0,137,125,530,2086,WDH
0,281,787,0,2087,WDH
0,316,761,285,2087,WDH
1,401,806,0,0,WDH
1,362,412,258,0,WDH
1,362,412,0,0,WDH
1,401,806,276,0,WDH
1,250,1047,556,0,DWH
1,401,349,556,0,WDH
1,401,698,556,0,WDH
1,401,0,556,0,WDH
1,364,0,278,0,WDH
1,364,0,0,0,WDH
1,378,376,0,162,WDH
1,238,391,624,162,WDH
1,378,64,0,162,DWH
1,307,959,644,162,WDH
1,386,808,0,162,WDH
1,378,376,312,162,WDH
1,337,68,432,162,DWH
1,378,808,332,162,WDH
1,91,822,644,162,DWH
1,431,348,229,292,WDH
1,431,0,446,292,WDH
1,200,682,461,292,WDH
1,405,358,0,292,WDH
1,415,0,0,292,WDH
1,405,0,229,292,WDH
1,289,0,678,292,WDH
1,406,706,0,292,WDH
1,357,666,229,292,WDH
1,33,1038,502,292,DWH
1,43,583,678,292,WDH
1,67,1038,229,292,DWH
1,349,348,461,292,WDH
1,58,322,678,292,WDH
1,177,1033,0,292,DWH
1,229,785,639,297,WDH
1,344,8,0,510,DWH
1,344,8,370,510,DWH
1,361,639,0,510,WDH
1,361,639,307,510,WDH
1,30,1092,0,510,DWH
1,394,274,0,510,WDH
1,40,645,614,510,WDH
1,394,274,556,510,WDH
1,152,1037,502,510,DWH
1,394,274,278,510,WDH
1,325,1048,208,512,DWH
1,202,0,741,510,WDH
1,356,883,542,655,WDH
1,211,454,30,655,WDH
1,291,279,38,655,DWH
1,131,520,261,655,WDH
1,155,844,14,655,WDH
1,131,523,559,655,WDH
1,131,880,261,655,WDH
1,143,280,563,655,DWH
1,146,279,269,655,DWH
1,83,0,52,657,DWH
1,25,0,368,657,DWH
1,25,0,467,734,DWH
1,25,0,94,738,DWH
1,334,893,294,773,WDH
1,139,545,572,773,WDH
1,281,969,16,773,WDH
1,94,531,68,773,WDH
1,54,324,510,773,DWH
1,314,285,296,773,WDH
1,134,581,272,773,WDH
1,187,279,88,773,WDH
1,131,880,559,773,WDH
1,25,0,467,809,DWH
1,25,9,88,813,DWH
1,344,0,0,891,DWH
1,381,0,370,891,WDH
1,30,798,630,891,DWH
1,381,279,88,891,WDH
1,189,0,630,891,WDH
1,179,609,88,891,WDH
1,262,452,630,891,WDH
1,179,662,370,891,WDH
1,265,994,370,891,DWH
1,179,330,370,891,WDH
1,167,994,698,891,WDH
1,17,969,16,891,DWH
1,249,1,520,1038,DWH
1,249,212,62,1038,WDH
1,370,886,74,1038,WDH
1,370,234,619,1038,WDH
1,370,532,74,1038,WDH
1,428,937,295,1038,WDH
1,428,588,571,1038,WDH
1,428,634,295,1038,WDH
1,244,316,329,1038,WDH
1,288,12,1,1038,DWH
1,401,891,564,1038,WDH
1,268,24,353,1038,WDH
1,430,920,0,1198,WDH
1,430,920,268,1198,WDH
1,434,215,268,1198,WDH
1,412,558,268,1198,WDH
1,282,1,564,1198,DWH
1,430,600,0,1198,WDH
1,412,238,0,1198,WDH
1,409,537,564,1198,WDH
1,398,213,564,1198,WDH
1,49,27,295,1198,DWH
1,382,891,562,1200,WDH
1,325,12,1,1200,DWH
1,83,924,536,1340,WDH
1,147,15,6,1340,DWH
1,3,558,159,1427,WDH
1,72,0,567,1427,DWH
1,208,537,513,1427,WDH
1,266,985,70,1427,DWH
1,136,215,12,1427,WDH
1,224,985,377,1427,DWH
1,198,188,429,1429,DWH
1,275,600,0,1427,WDH
1,151,215,268,1429,WDH
1,125,2,12,1437,DWH
1,187,0,315,1427,DWH
1,196,250,434,1492,DWH
1,183,220,15,1518,WDH
1,378,808,528,1518,WDH
1,333,591,530,1518,DWH
1,1,945,36,1518,WDH
1,390,797,243,1518,WDH
1,277,559,156,1518,DWH
1,188,17,624,1518,WDH
1,125,0,0,1540,DWH
1,4,559,29,1527,WDH
1,322,0,297,1545,DWH
1,280,260,278,1531,WDH
1,54,261,619,1552,WDH
1,116,261,434,1552,WDH
1,92,12,278,1645,DWH
1,223,806,0,1645,WDH
1,223,806,345,1648,WDH
1,92,68,0,1648,WDH
1,92,437,0,1648,WDH
1,92,558,248,1648,DWH
1,92,310,248,1658,DWH
1,320,874,691,1648,WDH
1,320,591,691,1648,WDH
1,188,0,653,1648,WDH
1,196,23,248,1716,DWH
1,128,287,631,1669,WDH
1,223,806,0,1722,WDH
1,92,437,0,1722,WDH
1,9,578,248,1722,DWH
1,196,806,403,1725,WDH
1,224,0,0,1722,WDH
1,136,310,293,1729,DWH
1,196,0,463,1778,DWH
1,196,806,345,1788,WDH
1,196,434,0,1799,WDH
1,196,811,0,1799,WDH
1,116,371,655,1788,WDH
1,147,662,643,1788,WDH
1,147,951,643,1788,WDH
1,331,0,0,1817,WDH
1,16,566,310,1799,DWH
1,322,295,380,1817,WDH
1,100,24,380,1838,DWH
1,3,841,299,1848,WDH
1,208,792,1,1859,WDH
1,100,426,28,1859,WDH
1,116,371,655,1889,WDH
1,178,935,643,1889,WDH
1,178,662,643,1889,WDH
1,19,20,28,1895,WDH
1,16,609,328,1901,DWH
1,208,0,392,1924,DWH
1,322,338,398,1915,WDH
1,100,841,372,1932,WDH
1,337,829,19,1945,WDH
1,337,426,19,1945,WDH
1,243,0,108,1973,DWH
1,272,229,7,1973,DWH
1,236,598,646,1992,WDH
1,156,298,652,1992,WDH
1,236,881,646,1992,WDH
1,208,0,392,2010,DWH
1,210,622,345,2003,DWH
1,55,912,327,2018,WDH
1,293,298,417,2013,WDH
1,208,426,29,2070,WDH
1,55,874,37,2070,WDH
1,208,0,392,2096,DWH
1,208,298,392,2110,DWH
1,208,841,345,2110,DWH
1,206,183,184,2096,WDH
2,190,666,480,0,WDH
2,190,967,480,0,DWH
2,190,616,0,0,WDH
2,190,917,0,0,WDH
2,263,983,243,0,WDH
2,204,308,0,0,WDH
2,204,0,0,0,WDH
2,204,308,240,0,WDH
2,204,0,240,0,WDH
2,114,222,701,0,WDH
2,142,333,480,0,WDH
2,142,0,480,0,WDH
2,101,616,243,0,WDH
2,114,0,701,0,WDH
2,114,444,701,0,WDH
2,283,666,723,0,WDH
2,13,10,17,156,WDH
2,319,8,244,156,WDH
2,265,288,240,156,WDH
2,317,273,13,156,WDH
2,270,616,0,158,WDH
2,270,0,480,158,WDH
2,270,374,480,158,WDH
2,297,436,671,158,WDH
2,297,218,671,158,WDH
2,263,990,0,158,WDH
2,247,1061,480,158,DWH
2,297,0,671,158,WDH
2,257,748,480,158,WDH
2,432,616,202,159,WDH
2,274,1000,276,161,WDH
2,80,654,709,189,WDH
2,181,1,254,301,WDH
2,291,50,65,301,WDH
2,187,987,296,301,WDH
2,54,286,259,301,WDH
2,55,852,541,319,WDH
2,298,294,0,303,WDH
2,206,1006,0,319,WDH
2,38,175,504,320,WDH
2,206,618,501,320,WDH
2,185,388,506,320,WDH
2,38,774,70,323,WDH
2,38,774,275,323,WDH
2,291,0,617,320,DWH
2,313,175,710,319,WDH
2,320,616,0,323,DWH
2,168,622,283,323,DWH
2,253,448,728,319,WDH
2,120,1006,0,416,DWH
2,209,50,65,416,WDH
2,220,618,501,416,WDH
2,220,942,501,416,DWH
2,210,274,254,418,WDH
2,209,388,504,418,WDH
2,146,1,254,418,WDH
2,209,995,283,419,WDH
2,128,255,42,425,WDH
2,209,175,524,425,WDH
2,238,765,0,426,DWH
2,283,3,504,320,WDH
2,38,559,38,453,DWH
2,292,3,612,435,DWH
2,313,175,710,445,WDH
2,283,651,732,376,WDH
2,91,622,283,470,DWH
2,389,151,252,534,WDH
2,161,8,269,534,DWH
2,274,16,47,534,WDH
2,274,619,493,534,DWH
2,221,998,18,534,DWH
2,387,917,499,534,DWH
2,161,380,567,536,WDH
2,276,257,29,544,WDH
2,307,919,284,547,WDH
2,307,813,2,547,DWH
2,120,619,0,556,DWH
2,292,175,541,543,WDH
2,91,782,284,547,DWH
2,127,17,612,569,DWH
2,283,3,504,517,WDH
2,283,479,732,517,WDH
2,64,230,710,571,WDH
2,127,619,283,605,DWH
2,318,651,732,569,WDH
2,432,619,5,675,WDH
2,118,380,12,675,DWH
2,352,3,218,675,WDH
2,352,800,542,675,WDH
2,191,919,284,675,WDH
2,284,3,23,675,WDH
2,385,380,281,675,DWH
2,8,982,7,675,DWH
2,234,619,497,675,DWH
2,323,177,504,677,WDH
2,193,0,505,707,DWH
2,135,774,303,682,DWH
2,64,176,710,740,WDH
2,135,584,283,743,WDH
2,340,0,0,848,WDH
2,340,0,248,848,WDH
2,416,791,0,848,WDH
2,88,405,248,848,DWH
2,45,919,284,848,WDH
2,284,177,504,848,WDH
2,426,619,497,848,WDH
2,416,405,0,848,WDH
2,347,959,497,848,DWH
2,320,0,496,852,DWH
2,161,776,261,859,DWH
2,111,177,699,909,WDH
2,135,586,261,920,WDH
2,227,360,308,1018,DWH
2,411,0,308,1018,WDH
2,371,619,497,1018,WDH
2,307,919,284,1018,WDH
2,337,0,0,1018,WDH
2,35,405,1,1020,WDH
2,377,959,475,1020,DWH
2,123,787,3,1020,WDH
2,111,785,257,993,DWH
2,172,0,647,982,WDH
2,87,177,659,1049,WDH
2,247,490,197,1148,DWH
2,247,668,197,1148,DWH
2,247,213,0,1148,WDH
2,247,157,197,1148,WDH
2,251,846,197,1148,DWH
2,251,546,0,1148,WDH
2,251,1043,197,1148,DWH
2,251,893,0,1148,WDH
2,56,647,544,1148,WDH
2,279,950,544,1148,WDH
2,157,7,375,1148,DWH
2,288,196,375,1148,WDH
2,111,23,136,1148,DWH
2,135,23,0,1148,WDH
2,135,0,650,1178,DWH
2,128,134,631,1214,WDH
2,193,558,21,1301,WDH
2,317,607,546,1301,WDH
2,317,897,317,1301,WDH
2,317,897,90,1301,WDH
2,86,950,544,1308,WDH
2,102,7,375,1308,DWH
2,317,213,0,1309,WDH
2,317,213,227,1309,WDH
2,317,558,197,1309,DWH
2,232,213,454,1309,WDH
2,135,23,134,1288,DWH
2,256,145,637,1333,WDH
2,135,0,0,1325,WDH
2,71,786,366,1309,DWH
2,80,23,637,1355,DWH
2,15,3,327,1448,DWH
2,317,897,613,1448,WDH
2,193,558,21,1448,WDH
2,317,897,159,1448,WDH
2,317,897,386,1448,WDH
2,256,694,547,1448,DWH
2,333,558,197,1458,DWH
2,333,213,382,1458,WDH
2,375,213,0,1458,DWH
2,120,145,637,1475,WDH
2,80,572,547,1448,DWH
2,80,15,0,1502,WDH
2,71,3,216,1465,WDH
2,135,0,650,1542,DWH
2,339,261,21,1580,DWH
2,80,775,349,1536,DWH
2,150,897,64,1448,WDH
2,192,558,21,1593,WDH
2,192,213,382,1593,WDH
2,216,694,547,1593,DWH
2,18,145,637,1593,WDH
2,216,558,249,1593,DWH
2,82,897,541,1595,WDH
2,375,897,159,1595,DWH
2,15,3,335,1596,DWH
2,80,558,541,1635,DWH
2,389,988,398,1719,DWH
2,201,907,171,1719,WDH
2,339,261,21,1719,DWH
2,201,213,383,1736,WDH
2,52,558,0,1736,WDH
2,306,558,249,1738,WDH
2,306,680,541,1738,WDH
2,333,236,610,1753,WDH
2,184,43,335,1753,DWH
2,119,31,35,1692,DWH
2,96,897,36,1753,WDH
2,389,988,398,1856,DWH
2,410,193,0,1856,WDH
2,201,897,159,1858,WDH
2,192,637,555,1864,WDH
2,84,5,10,1864,DWH
2,15,560,281,1864,WDH
2,76,558,0,1875,WDH
2,333,213,335,1875,WDH
2,382,289,555,1879,WDH
2,76,23,589,1888,WDH
2,68,24,288,1888,DWH
2,389,978,386,1995,DWH
2,410,193,0,1995,WDH
2,148,897,159,1997,WDH
2,21,213,288,2007,WDH
2,52,637,555,2007,WDH
2,304,558,0,2007,WDH
2,76,558,253,2012,WDH
2,76,7,589,2019,WDH
2,377,273,552,2019,WDH
2,254,0,0,2008,DWH
2,325,0,285,2038,DWH
2,77,897,34,1957,WDH
3,255,363,436,0,WDH
3,255,673,0,0,WDH
3,255,0,382,0,WDH
3,255,685,223,0,WDH
3,84,713,649,0,WDH
3,231,363,649,0,WDH
3,216,1007,545,0,DWH
3,255,363,223,0,WDH
3,267,363,0,0,WDH
3,255,685,436,0,WDH
3,255,1007,223,0,DWH
3,255,0,595,0,WDH
3,332,0,0,0,WDH
3,332,0,191,0,WDH
3,263,995,0,0,WDH
3,70,152,403,152,WDH
3,70,152,216,152,WDH
3,70,152,590,152,WDH
3,252,963,640,152,WDH
3,252,392,216,152,WDH
3,252,667,623,152,WDH
3,104,211,0,152,WDH
3,31,3,216,152,DWH
3,31,3,478,152,DWH
3,166,679,430,152,WDH
3,99,720,0,152,WDH
3,99,965,426,152,WDH
3,329,392,623,152,WDH
3,104,425,393,152,WDH
3,99,669,216,152,WDH
3,59,944,216,152,WDH
3,166,455,0,152,WDH
3,326,49,0,152,DWH
3,70,1000,29,161,WDH
3,170,455,4,345,WDH
3,115,944,223,345,WDH
3,255,0,518,345,DWH
3,255,0,305,345,WDH
3,219,213,564,345,DWH
3,68,679,434,345,WDH
3,115,0,39,345,DWH
3,290,966,429,348,WDH
3,170,205,4,348,WDH
3,44,644,220,348,WDH
3,309,737,1,348,WDH
3,219,403,467,348,WDH
3,44,345,220,348,WDH
3,309,678,625,348,WDH
3,44,941,626,348,WDH
3,44,369,626,349,WDH
3,237,1004,0,350,WDH
3,86,391,223,496,WDH
