bin,item,x,y,z,orientation
0,225,357,0,0,WDH
0,226,714,233,0,WDH
0,225,357,232,0,WDH
0,226,714,0,0,WDH
0,225,0,232,0,WDH
0,226,714,466,0,WDH
0,242,0,464,0,WDH
0,242,353,464,0,WDH
0,221,1023,307,0,DWH
0,221,1023,0,0,DWH
0,225,0,0,0,WDH
0,130,0,677,0,WDH
0,45,1023,614,0,DWH
0,176,465,677,0,WDH
0,176,253,677,0,WDH
0,1,867,699,0,WDH
0,1,711,699,0,WDH
0,201,716,293,216,WDH
0,201,716,0,216,WDH
0,40,711,586,216,WDH
0,189,547,128,224,DWH
0,199,0,622,224,WDH
0,133,0,6,224,WDH
0,206,0,192,224,WDH
0,206,276,416,224,WDH
0,206,276,628,224,WDH
0,124,547,416,224,DWH
0,68,276,6,224,WDH
0,206,276,204,224,WDH
0,199,0,404,224,WDH
0,124,547,628,224,DWH
0,76,1031,584,226,DWH
0,76,1031,72,226,DWH
0,76,1031,328,226,DWH
0,84,726,221,377,DWH
0,188,748,10,377,WDH
0,22,731,597,380,WDH
0,202,255,237,448,WDH
0,218,278,503,448,WDH
0,79,8,212,448,DWH
0,101,2,528,448,DWH
0,115,313,4,448,WDH
0,103,1040,136,448,DWH
0,103,1040,488,448,DWH
0,159,0,0,449,WDH
0,95,705,367,454,WDH
0,84,705,4,454,DWH
0,8,705,591,455,WDH
0,181,719,267,531,DWH
0,95,726,43,531,WDH
0,224,290,4,569,WDH
0,224,5,4,569,DWH
0,105,339,574,569,WDH
0,144,1044,458,569,DWH
0,9,1046,136,569,DWH
0,46,714,591,569,WDH
0,224,290,289,569,WDH
0,224,5,419,569,DWH
0,122,705,4,598,WDH
0,64,705,250,606,WDH
0,81,373,0,692,WDH
0,227,0,0,692,WDH
0,81,0,478,692,WDH
0,81,373,206,692,WDH
0,204,0,279,692,WDH
0,3,1046,136,692,DWH
0,3,1044,458,692,DWH
0,3,705,445,692,WDH
0,3,705,633,692,WDH
0,67,0,684,692,WDH
0,78,373,412,692,WDH
0,78,705,250,692,WDH
0,78,373,607,692,WDH
0,109,705,3,693,WDH
0,14,673,0,838,WDH
0,85,944,354,883,DWH
0,207,0,569,883,WDH
0,222,396,609,883,WDH
0,222,0,338,883,WDH
0,112,1013,121,883,WDH
0,24,396,66,883,DWH
0,153,0,111,883,WDH
0,179,0,13,883,WDH
0,153,396,382,883,WDH
0,85,775,354,883,DWH
0,112,996,242,883,WDH
0,112,1113,398,883,DWH
0,112,775,242,883,WDH
0,112,1113,619,883,DWH
0,128,673,5,908,WDH
0,63,748,459,1027,WDH
0,208,323,56,1027,WDH
0,208,0,247,1027,WDH
0,208,0,56,1027,WDH
0,208,425,649,1027,WDH
0,208,425,458,1027,WDH
0,208,748,649,1027,WDH
0,208,323,247,1027,WDH
0,120,646,224,1027,WDH
0,75,1071,576,1027,DWH
0,63,899,248,1027,WDH
0,120,646,10,1027,WDH
0,197,0,438,1027,WDH
0,137,899,91,1027,WDH
0,197,0,639,1027,WDH
0,147,1033,438,1027,WDH
0,52,84,9,1229,DWH
0,241,776,454,1229,WDH
0,241,776,68,1229,WDH
0,241,312,454,1229,WDH
0,241,312,68,1229,WDH
0,104,35,448,1229,DWH
0,191,181,650,1338,WDH
0,191,902,181,1338,WDH
0,182,31,95,1338,DWH
0,191,564,181,1338,WDH
0,96,789,52,1338,WDH
0,191,524,394,1338,WDH
0,24,924,584,1338,WDH
0,21,519,648,1338,WDH
0,111,212,445,1338,WDH
0,87,862,371,1338,WDH
0,125,231,17,1338,WDH
0,136,13,350,1338,DWH
0,125,231,231,1338,WDH
0,157,1034,25,1338,WDH
0,175,564,37,1338,WDH
0,47,0,655,1338,DWH
0,235,181,588,1481,WDH
0,214,259,74,1481,WDH
0,203,19,299,1481,DWH
0,235,532,336,1481,WDH
0,32,625,182,1481,WDH
0,76,3,90,1481,WDH
0,205,883,312,1481,WDH
0,235,889,60,1481,WDH
0,205,883,576,1481,WDH
0,235,532,588,1481,WDH
0,214,259,331,1481,WDH
0,72,581,13,1485,WDH
0,89,10,601,1485,DWH
0,224,804,555,1694,WDH
0,195,389,192,1694,WDH
0,224,804,270,1694,WDH
0,44,804,5,1694,WDH
0,195,389,516,1694,WDH
0,158,0,299,1694,WDH
0,216,0,469,1694,WDH
0,118,496,3,1694,WDH
0,175,280,48,1694,WDH
0,79,0,8,1695,DWH
0,65,804,339,1818,WDH
0,65,804,3,1818,WDH
0,186,0,0,1818,DWH
0,16,340,282,1824,WDH
0,183,96,331,1824,WDH
0,64,59,538,1824,WDH
0,65,392,504,1824,WDH
0,186,506,20,1824,WDH
0,152,916,688,1824,WDH
0,183,262,20,1838,WDH
0,107,7,0,1901,DWH
0,241,854,0,1901,DWH
0,19,966,464,1901,WDH
0,92,506,34,1907,WDH
0,212,392,503,1907,WDH
0,119,392,284,1907,WDH
0,132,59,333,1907,WDH
0,64,0,538,1909,WDH
0,20,885,666,1915,WDH
0,51,262,0,1921,WDH
0,14,514,0,1999,WDH
0,95,552,233,1999,WDH
0,121,110,538,1999,WDH
0,138,392,593,2010,WDH
0,20,59,9,2010,DWH
0,20,885,492,2010,WDH
0,52,59,310,2010,WDH
0,241,854,0,2010,DWH
0,126,242,23,2019,WDH
0,61,1005,669,2019,WDH
0,179,12,538,1999,DWH
0,92,513,233,2066,WDH
0,179,637,492,2010,WDH
0,179,787,590,2010,DWH
0,141,620,10,2069,WDH
0,186,130,542,2071,DWH
0,186,242,233,2115,DWH
0,183,392,542,2115,WDH
0,183,885,492,2115,WDH
0,16,0,0,2115,DWH
0,143,854,42,2119,DWH
0,141,242,10,2119,WDH
1,125,0,214,0,WDH
1,125,288,214,0,WDH
1,125,0,0,0,WDH
1,136,300,428,0,WDH
1,125,288,0,0,WDH
1,53,863,207,0,WDH
1,53,871,620,0,WDH
1,53,871,428,0,WDH
1,123,576,0,0,WDH
1,185,863,0,0,WDH
1,123,576,208,0,WDH
1,136,0,428,0,WDH
1,185,271,627,0,WDH
1,185,600,428,0,WDH
1,146,600,635,0,WDH
1,185,0,627,0,WDH
1,30,691,585,142,WDH
1,190,576,416,142,WDH
1,30,863,0,142,WDH
1,30,863,212,142,WDH
1,7,331,585,142,WDH
1,219,331,254,142,DWH
1,231,0,0,142,WDH
1,219,0,254,142,WDH
1,219,0,487,142,WDH
1,102,863,424,142,WDH
1,113,326,0,142,WDH
1,102,1037,585,142,DWH
1,224,576,1,143,DWH
1,179,0,742,142,WDH
1,91,567,0,266,DWH
1,236,418,585,304,WDH
1,213,782,585,304,WDH
1,116,845,370,304,DWH
1,211,59,565,304,WDH
1,2,867,0,304,DWH
1,56,350,0,304,DWH
1,233,1003,0,304,DWH
1,233,400,332,304,WDH
1,236,36,332,304,WDH
1,40,38,74,305,WDH
1,101,591,0,350,DWH
1,127,1115,232,475,DWH
1,109,792,479,475,WDH
1,161,413,466,475,WDH
1,109,792,232,475,WDH
1,230,0,273,475,WDH
1,209,413,232,475,WDH
1,100,827,0,475,WDH
1,217,413,0,475,WDH
1,196,0,0,475,WDH
1,175,413,693,475,WDH
1,48,59,559,477,WDH
1,232,0,236,628,WDH
1,232,318,0,628,WDH
1,232,318,236,628,WDH
1,232,0,0,628,WDH
1,149,943,178,628,DWH
1,149,279,667,628,WDH
1,31,943,0,628,WDH
1,5,892,496,628,WDH
1,31,636,496,628,WDH
1,42,279,472,628,WDH
1,163,636,304,628,WDH
1,67,636,0,628,WDH
1,67,636,152,628,WDH
1,168,0,472,628,WDH
1,174,62,675,628,WDH
1,83,1100,178,629,DWH
1,211,899,0,817,WDH
1,211,899,229,817,WDH
1,93,595,0,817,WDH
1,50,319,628,817,WDH
1,93,595,239,817,WDH
1,50,55,203,817,DWH
1,93,595,478,817,WDH
1,116,29,0,817,WDH
1,43,904,496,817,WDH
1,86,261,203,817,WDH
1,97,238,0,817,WDH
1,56,286,411,817,WDH
1,145,6,479,817,WDH
1,63,0,650,818,WDH
1,80,926,0,990,WDH
1,162,941,229,990,WDH
1,117,607,582,990,WDH
1,164,376,700,990,WDH
1,110,594,194,990,WDH
1,110,594,0,990,WDH
1,167,309,494,990,WDH
1,57,334,247,990,WDH
1,110,594,388,990,WDH
1,167,49,0,990,WDH
1,57,334,0,990,WDH
1,102,69,494,990,WDH
1,167,943,496,990,DWH
1,167,49,206,990,WDH
1,182,0,650,1016,WDH
1,138,0,0,1153,WDH
1,122,951,494,1153,DWH
1,138,370,0,1153,WDH
1,184,407,247,1153,WDH
1,122,309,494,1153,WDH
1,184,0,247,1153,WDH
1,122,740,0,1153,WDH
1,122,814,247,1153,WDH
1,122,630,494,1153,WDH
1,122,63,494,1158,DWH
1,98,1061,19,1153,DWH
1,39,280,178,1257,WDH
1,35,616,585,1257,WDH
1,102,878,0,1257,DWH
1,39,0,574,1257,WDH
1,15,588,0,1257,WDH
1,35,616,396,1257,WDH
1,39,280,0,1257,WDH
1,35,588,183,1257,WDH
1,39,0,396,1257,WDH
1,35,308,574,1257,WDH
1,39,308,396,1257,WDH
1,10,0,0,1257,WDH
1,10,0,198,1257,WDH
1,28,891,591,1257,WDH
1,28,891,396,1257,WDH
1,129,1024,0,1316,DWH
1,102,901,250,1257,WDH
1,49,0,220,1420,WDH
1,106,535,520,1420,DWH
1,26,0,15,1420,WDH
1,82,796,632,1420,WDH
1,4,366,3,1420,WDH
1,165,673,242,1420,WDH
1,54,340,237,1420,WDH
1,44,0,490,1420,DWH
1,77,976,230,1420,DWH
1,69,705,19,1420,WDH
1,49,265,500,1420,DWH
1,144,1044,0,1420,DWH
1,164,976,490,1420,WDH
1,170,442,443,1549,WDH
1,170,602,0,1549,WDH
1,170,709,443,1549,WDH
1,170,335,0,1549,WDH
1,175,760,663,1549,WDH
1,175,544,663,1549,WDH
1,175,328,663,1549,WDH
1,175,226,443,1549,WDH
1,175,112,663,1549,WDH
1,175,10,443,1549,WDH
1,175,119,192,1549,WDH
1,53,55,0,1549,WDH
1,170,335,220,1549,WDH
1,100,605,230,1549,WDH
1,100,869,0,1549,WDH
1,175,978,346,1554,WDH
1,36,976,490,1573,WDH
1,58,976,654,1549,WDH
1,37,978,217,1554,WDH
1,139,233,410,1693,WDH
1,102,68,681,1693,WDH
1,102,100,23,1693,WDH
1,139,611,445,1693,WDH
1,12,598,622,1693,WDH
1,178,308,587,1693,WDH
1,28,348,22,1693,WDH
1,114,340,217,1693,WDH
1,114,611,27,1693,WDH
1,37,5,458,1693,WDH
1,113,140,169,1693,DWH
1,23,649,232,1694,WDH
1,140,910,15,1694,WDH
1,13,982,443,1705,DWH
1,99,1010,255,1706,WDH
1,94,993,0,1819,DWH
1,186,978,394,1819,DWH
1,132,611,220,1816,WDH
1,172,340,23,1847,DWH
1,172,140,410,1847,WDH
1,8,611,425,1847,WDH
1,88,25,23,1851,WDH
1,62,612,14,1847,WDH
1,155,611,663,1847,WDH
1,37,976,698,1819,WDH
1,129,938,496,1906,WDH
1,173,938,14,1906,WDH
1,173,938,255,1906,WDH
1,160,342,670,1847,WDH
1,145,85,260,1850,WDH
1,160,73,670,1851,WDH
1,132,611,220,1913,WDH
1,171,480,425,1847,DWH
1,70,25,1,1957,WDH
1,118,611,474,1957,WDH
1,150,340,48,1957,DWH
1,150,73,431,1957,WDH
1,34,611,2,1959,WDH
1,128,919,435,2012,WDH
1,128,919,207,2012,WDH
1,128,611,246,2012,WDH
1,151,904,2,2012,WDH
1,83,938,681,1979,WDH
1,83,611,663,1979,WDH
1,119,73,451,2085,WDH
1,119,73,232,2085,WDH
1,115,512,2,2085,WDH
2,34,1010,250,0,DWH
2,150,336,250,0,WDH
2,150,362,552,0,WDH
2,150,692,0,0,WDH
2,150,0,552,0,WDH
2,148,336,0,0,WDH
2,134,0,0,0,WDH
2,187,724,552,0,WDH
2,134,0,276,0,WDH
2,101,698,250,0,WDH
2,83,1074,552,0,DWH
2,83,1054,0,0,DWH
2,60,822,663,122,WDH
2,74,612,246,122,WDH
2,38,0,256,122,WDH
2,38,253,472,122,WDH
2,38,0,86,122,WDH
2,38,306,86,122,WDH
2,38,516,670,122,WDH
2,38,559,472,122,WDH
2,68,253,642,122,WDH
2,133,612,60,122,WDH
2,59,0,426,122,WDH
2,133,900,240,122,WDH
2,59,0,633,122,WDH
2,38,306,256,122,WDH
2,11,900,426,122,DWH
2,29,893,14,122,DWH
2,27,1073,494,185,DWH
2,41,1054,12,185,DWH
2,238,0,396,344,WDH
2,239,353,56,344,DWH
2,228,353,611,344,WDH
2,238,0,618,344,WDH
2,239,665,680,344,WDH
2,229,353,386,344,WDH
2,239,0,236,344,WDH
2,239,0,76,344,WDH
2,166,642,309,344,WDH
2,166,642,460,344,WDH
2,6,513,131,347,DWH
2,240,887,242,347,WDH
2,220,642,16,347,DWH
2,71,865,16,357,DWH
2,63,1023,484,381,DWH
2,180,887,460,318,DWH
2,108,1026,16,424,WDH
2,90,0,220,580,WDH
2,237,0,594,580,WDH
2,200,0,385,580,WDH
2,25,1023,613,580,WDH
2,90,290,95,580,DWH
2,200,267,631,580,WDH
2,142,642,445,580,WDH
2,154,642,310,580,WDH
2,142,809,674,580,WDH
2,142,0,54,580,WDH
2,135,544,680,580,WDH
2,63,353,386,584,WDH
2,137,865,420,605,DWH
2,63,865,230,605,WDH
2,32,484,128,613,DWH
2,50,642,34,615,DWH
2,166,995,0,636,WDH
2,154,860,0,615,DWH
2,169,1023,470,580,WDH
2,34,349,393,782,WDH
2,70,0,350,832,WDH
2,187,0,0,832,DWH
2,79,642,310,832,WDH
2,187,290,95,832,WDH
2,63,670,0,782,DWH
2,50,951,613,826,WDH
2,131,665,622,832,WDH
2,18,416,621,832,WDH
2,66,933,310,803,WDH
2,76,160,621,832,WDH
2,66,0,609,832,DWH
2,17,993,0,868,WDH
2,210,309,350,899,WDH
2,156,872,0,868,DWH
2,73,290,95,951,WDH
2,55,0,240,951,WDH
2,203,0,0,951,WDH
2,156,949,492,933,WDH
2,6,533,95,951,DWH
2,220,618,350,951,WDH
2,177,0,423,951,WDH
2,194,658,42,980,DWH
2,192,965,662,993,WDH
2,223,592,651,1005,WDH
2,33,933,310,1016,WDH
2,223,0,609,1046,WDH
2,17,993,0,1068,WDH
2,198,309,350,1075,WDH
2,169,449,631,1005,DWH
2,198,287,144,1163,WDH
2,215,18,237,1163,WDH
2,215,18,51,1163,WDH
2,193,850,42,1146,DWH
2,234,555,350,1219,WDH
2,169,0,466,1211,WDH
