bin,item,x,y,z,orientation
0,224,874,0,0,DWH
0,211,437,0,0,WDH
0,211,0,0,0,WDH
0,211,0,312,0,WDH
0,43,437,655,0,WDH
0,224,874,397,0,DWH
0,114,0,624,0,WDH
0,224,437,312,0,WDH
0,443,10,469,147,DWH
0,445,17,0,147,DWH
0,341,773,0,147,WDH
0,341,773,339,147,WDH
0,341,306,0,147,WDH
0,133,1024,678,147,WDH
0,279,331,339,147,WDH
0,135,306,649,150,WDH
0,8,562,679,150,WDH
0,64,856,687,147,WDH
0,116,620,51,263,WDH
0,116,930,51,263,WDH
0,128,24,25,263,DWH
0,12,324,79,263,WDH
0,137,385,270,263,DWH
0,187,711,259,263,WDH
0,127,0,480,264,WDH
0,127,0,660,264,WDH
0,145,587,687,271,WDH
0,133,1024,698,263,WDH
0,83,385,15,331,DWH
0,326,0,12,331,DWH
0,326,711,301,331,WDH
0,83,625,0,332,DWH
0,73,791,0,332,WDH
0,137,0,514,334,WDH
0,71,414,270,334,DWH
0,145,587,687,360,WDH
0,118,28,530,407,WDH
0,287,43,15,407,DWH
0,287,725,297,407,WDH
0,73,791,0,413,WDH
0,20,385,15,414,DWH
0,27,385,416,414,WDH
0,117,585,649,449,WDH
0,454,378,0,495,WDH
0,454,906,334,495,DWH
0,456,64,397,495,DWH
0,454,809,0,495,WDH
0,452,46,0,495,DWH
0,148,685,334,495,DWH
0,151,378,397,508,WDH
0,60,593,645,539,WDH
0,118,0,43,662,WDH
0,27,674,348,662,DWH
0,287,0,325,662,DWH
0,60,569,652,666,WDH
0,451,882,388,666,DWH
0,218,767,0,666,WDH
0,136,361,336,666,DWH
0,185,357,11,666,WDH
0,434,0,399,750,DWH
0,317,0,4,750,DWH
0,117,686,348,756,DWH
0,195,342,0,793,WDH
0,371,377,348,793,DWH
0,44,690,619,793,DWH
0,218,906,334,793,DWH
0,218,767,0,793,WDH
0,135,690,363,852,DWH
0,434,0,399,852,DWH
0,408,29,12,852,DWH
0,50,709,652,920,WDH
0,371,377,348,920,DWH
0,218,906,367,920,DWH
0,218,767,0,920,WDH
0,195,342,0,920,WDH
0,70,705,387,949,DWH
0,412,0,399,958,DWH
0,426,0,0,958,DWH
0,71,584,305,1047,DWH
0,71,881,305,1047,WDH
0,20,839,0,1047,WDH
0,71,480,0,1047,WDH
0,105,894,602,1047,WDH
0,22,371,305,1047,DWH
0,135,403,551,1047,DWH
0,202,0,0,1055,WDH
0,32,30,305,1061,WDH
0,53,0,618,1061,WDH
0,249,814,0,1127,WDH
0,182,801,328,1127,WDH
0,443,453,0,1127,WDH
0,45,586,328,1127,DWH
0,117,313,357,1152,WDH
0,70,383,542,1152,DWH
0,121,811,615,1152,WDH
0,155,24,294,1152,WDH
0,202,4,0,1155,WDH
0,126,0,550,1173,WDH
0,249,453,296,1243,DWH
0,249,814,0,1243,WDH
0,45,801,588,1243,WDH
0,227,0,414,1256,WDH
0,111,481,2,1244,WDH
0,182,801,328,1245,WDH
0,339,0,48,1256,WDH
0,171,0,508,1354,WDH
0,435,814,7,1354,WDH
0,315,453,307,1354,DWH
0,157,0,3,1354,WDH
0,59,241,30,1354,WDH
0,315,0,169,1354,WDH
0,37,801,588,1359,WDH
0,144,479,30,1361,WDH
0,281,801,328,1363,WDH
0,282,853,350,1492,WDH
0,282,14,31,1492,DWH
0,428,540,437,1492,DWH
0,428,837,543,1492,WDH
0,77,215,18,1492,WDH
0,186,207,498,1492,WDH
0,436,0,418,1492,DWH
0,186,207,156,1492,WDH
0,359,551,7,1492,DWH
0,433,820,0,1493,WDH
0,224,843,0,1658,WDH
0,360,408,350,1658,WDH
0,86,526,655,1658,WDH
0,43,220,156,1658,WDH
0,18,208,350,1658,DWH
0,18,7,418,1658,DWH
0,246,883,543,1658,WDH
0,154,853,350,1659,WDH
0,18,0,0,1659,DWH
0,38,200,0,1659,WDH
0,179,540,5,1665,DWH
0,61,583,15,1805,DWH
0,404,457,344,1805,WDH
0,404,844,32,1805,WDH
0,379,860,542,1805,WDH
0,39,903,350,1809,WDH
0,39,45,380,1809,DWH
0,39,610,655,1809,WDH
0,191,235,15,1809,WDH
0,50,3,623,1809,WDH
0,288,201,344,1809,DWH
0,33,0,144,1810,DWH
0,129,0,31,1810,WDH
0,379,853,512,1916,WDH
0,61,583,15,1916,DWH
0,141,0,147,1916,DWH
0,343,899,0,1923,WDH
0,7,482,344,1923,WDH
0,89,610,621,1929,WDH
0,89,853,323,1929,WDH
0,89,3,395,1929,DWH
0,343,242,15,1934,WDH
0,169,206,344,1934,DWH
0,50,0,652,1934,WDH
0,59,0,0,1949,WDH
