bin,item,x,y,z,orientation
0,35,0,564,0,WDH
0,35,325,564,0,WDH
0,35,748,282,0,WDH
0,1,975,564,0,WDH
0,35,650,564,0,WDH
0,86,0,0,0,WDH
0,86,0,282,0,WDH
0,86,374,0,0,WDH
0,86,748,0,0,WDH
0,86,374,282,0,WDH
0,20,1073,282,0,DWH
0,27,378,2,185,WDH
0,2,0,300,185,WDH
0,2,378,186,185,DWH
0,2,0,36,185,WDH
0,5,748,39,185,WDH
0,27,975,556,185,DWH
0,4,642,322,191,WDH
0,4,406,598,191,WDH
0,29,0,573,191,WDH
0,27,791,564,191,DWH
0,33,975,385,201,WDH
0,31,690,322,287,WDH
0,59,419,564,287,WDH
0,59,47,564,287,WDH
0,16,446,371,300,WDH
0,20,0,425,300,WDH
0,67,791,564,300,WDH
0,67,446,0,300,DWH
0,67,0,214,300,WDH
0,47,0,0,300,WDH
0,89,690,37,301,WDH
0,1,975,358,307,WDH
0,32,290,428,300,WDH
0,13,0,592,414,WDH
0,59,388,576,414,WDH
0,31,670,337,414,WDH
0,57,174,143,505,WDH
0,7,948,337,489,WDH
0,33,174,556,492,WDH
0,33,0,551,492,DWH
0,14,0,236,505,DWH
0,59,791,564,505,WDH
0,14,0,0,505,DWH
0,38,718,5,515,WDH
0,37,367,556,541,WDH
0,38,174,224,581,WDH
0,21,682,372,537,WDH
0,44,0,556,606,WDH
0,25,948,337,606,WDH
0,40,771,564,632,WDH
0,56,811,0,633,WDH
0,12,469,22,505,WDH
0,76,240,143,699,WDH
0,48,392,594,684,WDH
0,10,4,224,632,DWH
0,18,29,6,632,DWH
0,76,805,407,771,DWH
0,49,784,1,771,WDH
0,46,27,555,758,WDH
0,76,240,22,819,WDH
0,76,413,407,820,DWH
0,11,4,224,820,DWH
0,22,887,633,891,WDH
0,88,745,0,891,WDH
0,68,838,350,891,WDH
0,37,4,539,908,WDH
0,18,29,6,838,DWH
0,82,354,0,939,WDH
0,82,447,350,940,WDH
0,25,195,95,939,DWH
0,18,447,693,940,WDH
0,11,4,224,969,DWH
0,56,745,51,1050,WDH
0,56,18,539,1054,WDH
0,48,861,390,1054,WDH
0,28,846,641,1056,WDH
0,62,380,24,1077,WDH
0,46,447,350,1078,WDH
0,16,4,0,1050,DWH
0,23,4,224,1118,DWH
0,66,819,0,1187,WDH
0,77,4,514,1191,WDH
0,77,819,327,1191,WDH
0,77,819,563,1191,WDH
0,56,390,0,1208,WDH
0,53,450,299,1228,WDH
0,15,447,687,1146,WDH
0,48,4,135,1267,DWH
0,77,820,91,1329,WDH
0,77,820,327,1337,WDH
0,77,820,563,1337,WDH
0,77,4,514,1337,WDH
0,77,399,63,1345,WDH
0,28,399,299,1385,WDH
0,50,4,61,1403,DWH
0,84,473,501,1385,DWH
0,48,819,63,1475,WDH
0,48,819,549,1483,WDH
0,48,819,306,1483,WDH
0,48,4,514,1483,WDH
0,77,399,63,1491,WDH
0,30,486,299,1519,WDH
0,44,4,290,1535,WDH
0,44,4,66,1535,WDH
0,34,486,487,1561,DWH
0,48,819,63,1611,WDH
0,73,4,514,1619,WDH
0,53,819,306,1619,WDH
0,53,819,556,1619,WDH
0,48,440,56,1637,WDH
0,48,0,243,1687,WDH
0,48,0,0,1687,WDH
0,10,440,299,1670,WDH
0,55,461,469,1708,DWH
0,48,819,56,1747,WDH
0,71,708,299,1776,WDH
0,71,708,531,1776,WDH
0,43,440,56,1776,WDH
0,71,0,486,1784,WDH
0,22,87,25,1823,WDH
0,55,78,222,1823,WDH
0,48,465,452,1870,DWH
0,6,753,56,1883,WDH
0,10,440,282,1858,WDH
0,71,708,299,1954,WDH
0,71,708,531,1954,WDH
0,8,508,60,1954,WDH
0,71,0,486,1957,WDH
0,34,0,241,1985,WDH
0,22,0,44,1988,WDH
0,6,493,452,2006,DWH
0,3,753,78,2034,WDH
1,24,995,533,0,DWH
1,72,383,0,0,WDH
1,83,753,0,0,WDH
1,83,995,230,0,DWH
1,63,383,230,0,WDH
1,41,0,0,0,WDH
1,83,383,481,0,WDH
1,41,0,239,0,WDH
1,83,692,624,0,WDH
1,83,692,230,0,WDH
1,83,692,427,0,WDH
1,79,0,478,0,WDH
1,15,92,684,0,WDH
1,19,390,678,0,WDH
1,39,1009,230,213,DWH
1,64,0,225,213,WDH
1,42,696,460,213,DWH
1,64,0,0,213,WDH
1,42,753,0,213,WDH
1,78,329,478,213,WDH
1,58,696,230,213,WDH
1,58,383,230,213,WDH
1,60,350,0,217,WDH
1,60,0,450,217,WDH
1,65,995,533,217,DWH
1,10,59,650,238,WDH
1,19,329,678,244,WDH
1,10,0,266,436,WDH
1,61,329,478,436,WDH
1,9,1009,230,436,DWH
1,35,0,0,436,WDH
1,39,427,247,441,WDH
1,39,718,247,441,WDH
1,39,718,34,441,WDH
1,42,696,460,441,DWH
1,80,325,0,455,WDH
1,35,0,436,455,WDH
1,9,1009,523,461,DWH
1,19,383,667,488,WDH
1,61,346,460,624,WDH
1,9,1009,230,624,DWH
1,70,68,54,627,DWH
1,26,918,523,646,WDH
1,85,363,0,646,WDH
1,85,90,436,646,DWH
1,70,752,34,659,DWH
1,8,466,235,659,WDH
1,54,696,460,665,DWH
1,81,114,0,795,DWH
1,45,346,649,732,WDH
1,51,717,0,835,DWH
1,81,363,0,835,WDH
1,36,1016,196,812,DWH
1,26,402,249,835,WDH
1,74,75,436,835,DWH
1,74,907,523,835,WDH
1,69,667,551,869,DWH
1,52,421,494,812,WDH
1,74,37,104,970,WDH
1,36,390,32,1010,WDH
1,74,983,197,1010,DWH
1,17,717,0,1011,WDH
1,87,75,436,1026,DWH
1,75,907,580,1026,WDH
1,75,421,301,1026,WDH
1,60,667,494,1090,DWH
1,60,143,109,1161,DWH
