bin,item,x,y,z,orientation
0,37,399,0,0,WDH
0,26,1086,0,0,DWH
0,14,0,656,0,WDH
0,14,1054,514,0,DWH
0,20,759,514,0,WDH
0,46,759,0,0,WDH
0,47,0,328,0,WDH
0,46,759,257,0,WDH
0,37,399,560,0,WDH
0,47,0,0,0,WDH
0,37,399,280,0,WDH
0,1,1086,268,0,DWH
0,33,0,568,153,WDH
0,33,337,24,153,WDH
0,33,0,296,153,WDH
0,33,759,177,153,DWH
0,33,0,24,153,WDH
0,33,337,568,153,WDH
0,30,759,27,153,WDH
0,7,1000,16,153,WDH
0,7,1054,615,153,DWH
0,33,337,296,153,WDH
0,29,695,554,156,WDH
0,7,1063,177,159,DWH
0,38,0,573,278,WDH
0,25,726,651,278,WDH
0,40,373,582,278,WDH
0,41,671,318,278,WDH
0,41,0,42,278,WDH
0,41,373,318,278,WDH
0,41,298,42,278,WDH
0,41,596,42,278,WDH
0,19,894,64,278,DWH
0,19,1055,598,278,DWH
0,38,0,306,278,WDH
0,1,1103,0,283,DWH
0,13,1107,207,283,DWH
0,12,0,0,436,WDH
0,22,373,306,436,WDH
0,12,397,0,436,WDH
0,22,641,306,436,WDH
0,16,217,506,445,WDH
0,10,780,516,446,WDH
0,32,794,66,445,WDH
0,32,0,286,445,WDH
0,25,28,511,445,DWH
0,27,692,313,521,WDH
0,23,0,80,521,WDH
0,6,311,18,521,WDH
0,18,217,539,521,WDH
0,18,311,205,521,WDH
0,18,692,506,523,WDH
0,32,0,286,554,WDH
0,33,768,14,554,WDH
0,17,1077,516,523,DWH
0,33,337,296,613,WDH
0,33,0,568,613,WDH
0,33,337,568,613,WDH
0,31,674,392,617,WDH
0,31,674,616,617,WDH
0,29,0,1,617,WDH
0,33,359,14,617,WDH
0,33,0,296,663,WDH
0,5,696,14,679,WDH
0,3,337,296,738,WDH
0,39,0,66,738,WDH
0,34,710,351,738,WDH
0,2,921,592,738,DWH
0,34,648,627,738,WDH
0,44,0,588,738,WDH
0,44,324,588,738,WDH
0,15,341,101,742,WDH
0,9,986,14,679,DWH
0,13,1107,612,705,DWH
0,5,0,350,788,WDH
0,25,657,63,802,WDH
0,11,290,366,833,WDH
0,17,547,302,833,DWH
0,14,295,588,935,WDH
0,20,0,588,935,WDH
0,8,620,588,935,WDH
0,14,710,351,935,WDH
0,15,986,14,909,DWH
0,15,341,66,909,WDH
0,35,0,296,911,WDH
0,21,939,588,935,DWH
0,25,12,107,936,WDH
0,36,572,66,970,WDH
0,21,335,302,970,DWH
0,17,547,302,1015,DWH
0,24,986,14,1076,DWH
0,2,369,54,1076,DWH
0,42,669,593,1091,WDH
0,28,266,610,1091,WDH
0,28,112,410,1091,DWH
0,45,55,43,1110,WDH
0,45,593,4,1114,WDH
0,8,710,351,1091,WDH
0,43,939,588,1110,WDH
0,4,366,331,1145,DWH
