bin,item,x,y,z,orientation
0,26,0,480,0,WDH
0,2,908,136,0,WDH
0,64,342,240,0,WDH
0,64,0,0,0,WDH
0,54,753,480,0,WDH
0,64,342,0,0,WDH
0,54,684,306,0,WDH
0,64,0,240,0,WDH
0,54,529,480,0,WDH
0,54,684,136,0,WDH
0,54,294,659,0,WDH
0,37,684,0,0,WDH
0,17,0,656,0,WDH
0,54,529,650,0,WDH
0,17,294,480,0,WDH
0,23,1004,256,0,DWH
0,23,1004,548,0,DWH
0,7,753,657,0,WDH
0,36,965,0,0,WDH
0,32,987,544,168,DWH
0,32,987,256,168,DWH
0,63,401,340,226,WDH
0,52,768,340,226,DWH
0,31,802,0,226,WDH
0,52,401,622,226,WDH
0,65,0,0,226,WDH
0,65,401,0,226,WDH
0,65,0,340,226,WDH
0,19,768,664,168,WDH
0,47,0,686,226,WDH
0,29,222,680,226,WDH
0,38,963,484,285,WDH
0,6,987,256,285,WDH
0,29,954,664,285,WDH
0,14,0,600,345,WDH
0,14,768,340,345,WDH
0,14,768,507,345,WDH
0,51,401,622,345,WDH
0,62,0,0,345,WDH
0,62,0,300,345,WDH
0,55,372,0,345,WDH
0,49,758,0,345,WDH
0,52,444,427,347,WDH
0,46,954,426,365,WDH
0,45,372,275,347,WDH
0,13,963,280,417,WDH
0,8,222,641,360,DWH
0,44,755,674,345,WDH
0,24,756,280,489,DWH
0,51,88,416,489,WDH
0,51,88,208,489,WDH
0,51,88,0,489,WDH
0,51,401,622,489,WDH
0,51,1008,426,489,DWH
0,48,782,0,489,WDH
0,50,372,425,466,WDH
0,20,386,40,491,WDH
0,13,372,275,513,WDH
0,13,963,280,566,WDH
0,44,23,641,489,WDH
0,41,746,280,624,DWH
0,42,422,0,624,WDH
0,28,381,425,624,WDH
0,1,782,0,627,WDH
0,41,999,426,633,DWH
0,30,23,410,633,WDH
0,46,23,172,633,WDH
0,8,248,645,554,DWH
0,51,401,622,633,WDH
0,25,22,3,633,WDH
0,4,755,674,587,WDH
0,13,431,279,662,WDH
0,13,963,280,715,WDH
0,50,381,425,731,WDH
0,50,422,0,731,WDH
0,13,684,279,731,WDH
0,13,693,425,731,WDH
0,56,862,0,734,WDH
0,56,951,457,739,DWH
0,46,80,172,754,WDH
0,3,40,435,762,WDH
0,3,381,617,777,WDH
0,33,103,18,801,WDH
0,7,433,242,811,WDH
0,9,755,608,824,DWH
0,53,987,287,864,WDH
0,23,80,172,880,WDH
0,7,693,425,880,WDH
0,56,852,8,889,WDH
0,51,400,34,889,WDH
0,56,961,462,889,DWH
0,7,442,434,889,WDH
0,11,734,287,880,WDH
0,59,83,408,932,WDH
0,3,414,653,947,WDH
0,18,80,14,951,WDH
0,39,65,645,731,WDH
0,39,734,0,734,DWH
0,67,386,243,975,WDH
0,39,248,645,754,DWH
0,15,372,14,1033,WDH
0,27,1030,507,1046,DWH
0,15,701,415,1046,WDH
0,21,991,249,1046,DWH
0,21,982,0,1046,WDH
0,60,14,189,1048,WDH
0,51,386,434,1053,WDH
0,16,767,627,1013,DWH
0,3,364,645,1117,WDH
0,43,14,12,1158,WDH
0,51,102,434,1177,WDH
0,35,716,249,1174,WDH
0,5,440,434,1197,WDH
0,18,401,85,1209,WDH
0,35,969,603,1226,WDH
0,35,716,415,1226,WDH
0,22,949,0,1226,WDH
0,10,995,401,1226,WDH
0,10,995,199,1226,WDH
0,18,424,249,1238,WDH
0,40,155,248,1249,WDH
0,53,705,645,1268,WDH
0,35,422,633,1287,WDH
0,35,169,467,1321,WDH
0,35,0,0,1348,WDH
0,53,744,245,1363,WDH
0,39,65,645,1226,WDH
0,61,949,0,1417,WDH
0,61,987,245,1417,DWH
0,61,987,513,1417,DWH
0,58,471,407,1405,WDH
0,40,716,419,1416,WDH
0,40,401,57,1416,WDH
0,68,180,262,1448,WDH
0,16,693,605,1450,WDH
0,34,488,245,1445,WDH
0,39,734,0,1229,DWH
0,9,466,605,1476,WDH
0,39,248,645,1249,DWH
0,12,119,475,1510,WDH
0,12,0,0,1537,WDH
0,66,899,106,1653,WDH
0,57,934,401,1653,DWH
0,61,448,360,1683,WDH
0,12,387,73,1615,WDH
1,61,268,245,0,WDH
1,61,0,490,0,WDH
1,61,268,0,0,WDH
1,61,0,245,0,WDH
1,61,0,0,0,WDH
