bin,item,x,y,z,orientation
0,85,388,254,0,WDH
0,74,467,0,0,WDH
0,6,1075,254,0,DWH
0,89,0,0,0,WDH
0,86,727,254,0,WDH
0,78,0,254,0,WDH
0,85,0,559,0,WDH
0,86,727,512,0,WDH
0,85,388,520,0,WDH
0,47,903,0,0,WDH
0,49,1075,530,149,DWH
0,32,817,0,149,WDH
0,83,0,0,149,WDH
0,32,456,249,149,DWH
0,32,456,0,149,WDH
0,83,0,330,149,WDH
0,42,0,660,149,WDH
0,18,456,610,149,WDH
0,49,1075,254,149,DWH
0,70,721,266,151,WDH
0,70,721,536,151,WDH
0,52,705,249,219,WDH
0,52,721,536,219,WDH
0,72,503,0,261,WDH
0,22,876,0,261,WDH
0,62,85,249,261,DWH
0,72,1042,211,261,DWH
0,30,346,249,261,WDH
0,30,362,536,261,WDH
0,56,4,630,261,WDH
0,19,1080,584,261,DWH
0,17,199,0,261,WDH
0,12,721,435,271,DWH
0,59,721,267,271,WDH
0,65,3,25,261,DWH
0,26,388,248,381,WDH
0,26,776,452,381,DWH
0,26,0,248,381,WDH
0,26,388,544,381,WDH
0,26,0,544,381,WDH
0,4,789,254,381,WDH
0,24,199,38,381,WDH
0,20,593,60,381,WDH
0,49,1080,308,381,DWH
0,56,860,31,385,WDH
0,15,1072,600,385,DWH
0,27,0,0,393,DWH
0,68,0,248,473,WDH
0,68,460,248,473,WDH
0,28,0,543,473,WDH
0,10,520,544,473,WDH
0,52,778,600,473,WDH
0,10,427,0,475,WDH
0,10,171,0,475,WDH
0,10,984,0,505,WDH
0,27,683,0,475,DWH
0,49,1072,324,492,DWH
0,2,928,600,529,WDH
0,88,493,543,529,WDH
0,55,25,40,531,WDH
0,56,341,40,531,WDH
0,34,0,295,558,WDH
0,83,0,510,558,WDH
0,62,341,248,558,WDH
0,42,722,248,558,WDH
0,51,928,5,561,WDH
0,5,1072,349,605,DWH
0,21,683,17,605,WDH
0,42,962,665,657,WDH
0,42,405,73,657,WDH
0,62,456,510,660,WDH
0,42,25,248,660,WDH
0,1,87,510,661,WDH
0,62,619,248,674,WDH
0,55,0,0,661,WDH
0,51,303,248,674,WDH
0,60,922,50,715,WDH
0,58,87,510,760,WDH
0,69,1033,338,746,DWH
0,62,421,510,776,WDH
0,7,970,600,769,WDH
0,6,402,17,769,WDH
0,62,615,248,790,WDH
0,63,837,510,660,DWH
0,55,0,0,791,WDH
0,31,0,208,772,WDH
0,60,303,208,828,WDH
0,62,40,545,877,WDH
0,36,963,0,861,WDH
0,71,1033,324,893,DWH
0,86,421,548,893,WDH
0,54,369,17,910,WDH
0,67,638,17,910,WDH
0,45,640,269,910,WDH
0,38,969,642,920,WDH
0,69,107,7,922,WDH
0,31,0,208,932,WDH
0,16,795,539,922,DWH
0,82,303,208,974,WDH
0,90,0,591,993,WDH
0,67,922,17,1033,WDH
0,29,969,332,1041,WDH
0,90,361,591,1044,WDH
0,67,638,17,1078,WDH
0,48,107,7,1078,WDH
0,54,369,17,1082,WDH
0,45,958,600,1082,WDH
0,67,638,269,1082,WDH
0,31,0,258,1092,WDH
0,41,774,566,1115,DWH
0,84,303,208,1131,DWH
