bin,item,x,y,z,orientation
0,150,906,550,0,WDH
0,41,906,743,0,WDH
0,112,324,419,0,WDH
0,112,0,614,0,WDH
0,112,303,0,0,WDH
0,112,615,419,0,WDH
0,112,594,0,0,WDH
0,112,0,407,0,WDH
0,130,906,212,0,WDH
0,130,885,0,0,WDH
0,110,0,212,0,WDH
0,130,906,381,0,WDH
0,112,615,212,0,WDH
0,112,615,626,0,WDH
0,199,0,0,0,WDH
0,112,324,212,0,WDH
0,112,324,626,0,WDH
0,116,36,396,283,DWH
0,60,442,6,283,WDH
0,219,789,158,283,WDH
0,122,356,188,283,WDH
0,219,338,499,283,WDH
0,219,789,499,283,WDH
0,223,10,3,283,DWH
0,47,961,13,283,WDH
0,82,334,497,399,WDH
0,82,897,44,399,DWH
0,82,787,497,399,WDH
0,75,4,456,399,DWH
0,123,465,191,399,WDH
0,14,415,0,403,WDH
0,189,0,0,403,WDH
0,38,0,297,403,WDH
0,16,228,297,403,WDH
0,23,981,225,528,WDH
0,127,334,474,528,WDH
0,23,722,225,528,WDH
0,127,771,474,528,WDH
0,23,981,14,528,WDH
0,23,463,225,528,WDH
0,7,0,447,529,DWH
0,127,26,70,541,WDH
0,50,463,20,536,WDH
0,127,803,436,606,WDH
0,127,366,436,606,WDH
0,3,981,14,610,WDH
0,50,949,225,610,WDH
0,50,706,225,610,WDH
0,50,463,225,610,WDH
0,127,0,403,619,DWH
0,87,0,0,619,WDH
0,3,439,0,626,WDH
0,7,890,453,684,DWH
0,135,366,495,684,WDH
0,87,19,401,700,DWH
0,58,851,183,700,WDH
0,58,529,183,700,WDH
0,87,0,0,714,WDH
0,47,961,0,703,WDH
0,33,439,0,719,WDH
0,93,827,523,775,WDH
0,159,368,555,775,WDH
0,159,439,169,786,WDH
0,58,898,169,786,WDH
0,58,0,347,795,WDH
0,40,0,617,795,WDH
0,224,22,10,809,WDH
0,63,976,29,814,WDH
0,201,777,523,871,WDH
0,8,362,523,871,WDH
0,40,898,169,872,DWH
0,171,470,205,882,WDH
0,45,439,0,824,WDH
0,11,27,378,882,WDH
0,58,27,108,919,WDH
0,5,0,621,900,WDH
0,44,921,16,946,WDH
0,27,898,584,979,WDH
0,189,898,169,979,DWH
0,189,362,523,979,WDH
0,116,362,221,989,WDH
0,51,439,0,991,WDH
0,22,0,427,1004,WDH
0,194,0,41,1005,DWH
0,46,34,626,1034,WDH
0,64,777,523,979,DWH
0,22,905,646,1110,WDH
0,116,445,221,1110,WDH
0,22,377,7,1110,WDH
0,22,905,383,1113,WDH
0,62,473,523,1113,WDH
0,121,890,0,1113,DWH
0,14,0,415,1120,WDH
0,189,0,0,1120,DWH
0,64,333,221,1110,DWH
0,193,883,270,1233,WDH
0,81,737,0,1233,WDH
0,107,480,0,1233,DWH
0,103,0,628,1183,WDH
0,228,457,454,1236,DWH
0,6,50,43,1254,DWH
0,172,777,611,1233,WDH
0,172,22,415,1254,WDH
0,64,368,0,1233,DWH
0,64,771,270,1233,DWH
0,24,480,264,1340,WDH
0,12,930,0,1340,WDH
0,71,480,0,1340,WDH
0,222,883,270,1345,WDH
0,170,0,0,1364,DWH
0,198,22,608,1364,WDH
0,174,476,458,1366,DWH
0,27,883,569,1386,WDH
0,52,333,240,1364,DWH
0,46,0,410,1407,WDH
0,52,328,429,1407,DWH
0,64,771,569,1386,DWH
0,170,480,0,1487,DWH
0,174,812,0,1487,WDH
0,189,812,261,1490,WDH
0,111,0,609,1509,WDH
0,176,0,23,1509,DWH
0,176,476,436,1509,DWH
0,142,908,587,1514,WDH
0,52,332,0,1487,DWH
0,46,0,415,1556,WDH
0,53,328,206,1539,DWH
0,165,497,0,1628,DWH
0,165,821,0,1628,WDH
0,163,867,324,1628,WDH
0,228,328,429,1658,WDH
0,189,0,0,1658,DWH
0,141,757,587,1663,WDH
0,1,55,609,1657,WDH
0,54,30,420,1705,WDH
0,64,328,726,1658,WDH
0,64,522,726,1658,WDH
0,192,432,0,1776,WDH
0,71,790,292,1776,WDH
0,101,790,0,1776,WDH
0,165,328,402,1788,WDH
0,214,0,0,1792,WDH
0,91,782,556,1801,WDH
0,54,30,609,1809,WDH
0,27,21,366,1857,WDH
0,180,348,64,1912,WDH
0,180,790,278,1917,WDH
0,180,790,0,1917,WDH
0,186,782,559,1936,WDH
0,186,328,343,1936,DWH
0,214,21,18,1939,DWH
0,54,21,609,1961,WDH
0,57,592,484,1936,DWH
0,55,62,376,1985,WDH
0,91,332,0,2070,WDH
1,181,442,0,0,WDH
1,202,0,565,0,WDH
