bin,item,x,y,z,orientation
0,39,800,282,0,WDH
0,39,0,0,0,WDH
0,39,800,0,0,WDH
0,39,0,282,0,WDH
0,39,400,0,0,WDH
0,39,400,282,0,WDH
0,11,788,564,0,WDH
0,11,0,564,0,WDH
0,11,394,564,0,WDH
0,25,799,596,66,WDH
0,24,57,567,66,WDH
0,24,428,567,66,WDH
0,27,400,282,138,WDH
0,39,400,0,138,WDH
0,39,0,0,138,WDH
0,39,0,282,138,WDH
0,27,800,283,138,WDH
0,27,800,0,138,WDH
0,5,0,564,190,WDH
0,5,400,565,190,WDH
0,7,800,566,191,WDH
0,7,1034,566,191,DWH
0,42,33,0,282,DWH
0,45,362,0,282,WDH
0,7,538,308,282,WDH
0,45,801,0,282,WDH
0,7,1006,308,282,WDH
0,7,772,308,282,WDH
0,12,0,498,310,WDH
0,30,458,539,310,WDH
0,4,902,626,310,WDH
0,10,0,217,401,WDH
0,10,0,0,401,WDH
0,10,538,308,401,WDH
0,22,839,146,404,WDH
0,30,362,7,404,WDH
0,42,0,511,413,WDH
0,19,408,545,413,WDH
0,24,869,567,441,WDH
0,14,0,106,470,DWH
0,7,538,328,470,WDH
0,8,801,0,404,WDH
0,35,376,5,510,WDH
0,35,917,171,510,DWH
0,14,0,511,529,WDH
0,31,485,557,522,WDH
0,9,320,328,589,WDH
0,21,0,0,589,DWH
0,43,306,0,608,WDH
0,46,869,567,565,WDH
0,17,869,226,608,WDH
0,31,101,557,646,WDH
0,34,505,557,674,WDH
0,37,435,277,680,WDH
0,18,12,0,722,WDH
0,18,12,251,722,WDH
0,13,306,16,731,WDH
0,1,940,178,746,WDH
0,3,924,406,746,WDH
0,3,924,623,746,WDH
0,15,0,582,798,WDH
0,1,505,557,849,WDH
0,1,505,329,850,WDH
0,44,0,0,891,DWH
0,44,0,318,891,WDH
0,36,374,76,919,WDH
0,29,852,174,919,WDH
0,29,852,618,919,WDH
0,29,852,396,919,WDH
0,28,0,554,987,WDH
0,6,567,600,1017,WDH
0,16,505,299,1018,WDH
0,20,12,4,1097,DWH
0,44,75,318,1097,WDH
0,2,805,223,1146,WDH
0,2,805,384,1146,WDH
0,2,1079,271,1146,DWH
0,28,805,545,1146,WDH
0,36,374,76,1153,WDH
0,6,0,554,1194,WDH
0,6,238,554,1194,DWH
0,6,567,600,1209,WDH
0,2,531,439,1209,WDH
0,2,531,278,1209,WDH
0,33,0,169,1303,WDH
0,33,0,0,1303,WDH
0,32,0,338,1303,WDH
0,2,966,545,1353,WDH
0,2,805,545,1353,DWH
0,41,805,223,1363,WDH
0,47,0,554,1387,WDH
0,47,374,76,1387,WDH
0,38,274,554,1387,DWH
0,40,531,600,1401,WDH
0,47,531,278,1426,WDH
0,23,958,491,1570,WDH
0,26,25,369,1589,WDH
0,26,25,184,1591,WDH
0,40,42,10,1591,WDH
0,23,805,259,1600,WDH
