bin,item,x,y,z,orientation
0,213,0,588,0,WDH
0,64,927,684,0,WDH
0,179,927,326,0,DWH
0,64,413,588,0,DWH
0,232,0,294,0,WDH
0,232,0,0,0,WDH
0,185,556,326,0,WDH
0,158,556,0,0,WDH
0,115,917,0,0,WDH
0,204,556,589,0,WDH
0,237,770,267,170,WDH
0,36,464,615,170,WDH
0,237,306,267,170,WDH
0,36,849,615,170,WDH
0,150,24,267,170,DWH
0,121,10,0,170,WDH
0,46,87,661,170,WDH
0,167,436,0,170,WDH
0,118,934,0,171,WDH
0,47,306,627,170,DWH
0,5,38,267,320,DWH
0,41,184,0,320,WDH
0,49,963,3,329,WDH
0,16,456,11,329,WDH
0,81,646,227,329,WDH
0,211,788,476,329,WDH
0,22,328,229,329,WDH
0,49,686,3,329,WDH
0,177,368,498,329,WDH
0,8,0,680,320,WDH
0,35,0,0,320,DWH
0,210,0,289,397,DWH
0,104,686,3,437,WDH
0,104,328,229,437,DWH
0,5,686,351,441,WDH
0,56,686,619,441,WDH
0,2,1049,351,441,DWH
0,20,456,11,441,WDH
0,20,988,619,441,WDH
0,62,0,0,442,DWH
0,24,0,304,496,DWH
0,104,712,0,521,WDH
0,104,336,208,521,DWH
0,1,686,351,521,WDH
0,24,0,0,579,DWH
0,44,686,628,530,WDH
0,8,1039,351,563,DWH
0,65,20,536,579,DWH
0,182,278,163,605,WDH
0,159,818,55,605,WDH
0,175,303,432,605,WDH
0,21,459,0,563,WDH
0,57,989,715,563,WDH
0,1,686,383,631,WDH
0,70,0,151,662,DWH
0,2,74,4,662,WDH
0,54,1046,364,662,DWH
0,65,0,536,682,DWH
0,31,686,147,605,DWH
0,206,330,63,719,WDH
0,206,330,425,719,WDH
0,175,857,9,719,WDH
0,69,697,653,667,WDH
0,37,736,364,741,WDH
0,57,989,715,707,WDH
0,229,0,151,770,DWH
0,65,0,536,787,DWH
0,206,330,63,823,WDH
0,206,330,425,823,WDH
0,96,736,2,833,WDH
0,60,80,8,779,WDH
0,19,1046,364,787,DWH
0,62,701,617,823,WDH
0,37,701,379,843,WDH
0,2,1032,675,851,WDH
0,166,18,151,892,DWH
0,66,10,670,892,WDH
0,94,317,358,927,DWH
0,111,318,25,927,WDH
0,102,761,0,930,WDH
0,86,701,358,955,DWH
0,50,1025,305,931,DWH
0,66,18,9,927,WDH
0,47,1082,618,968,DWH
0,94,0,456,1027,WDH
0,86,318,34,1027,WDH
0,111,642,358,1058,WDH
0,111,857,0,1058,WDH
0,11,0,214,1027,WDH
0,66,482,547,1027,DWH
0,9,1030,352,1058,DWH
0,69,19,9,1058,WDH
0,57,774,691,1058,WDH
0,162,48,532,1130,WDH
0,162,423,25,1130,WDH
0,111,857,0,1156,WDH
0,10,1025,660,1109,WDH
0,128,634,367,1156,WDH
0,108,0,214,1164,WDH
0,57,482,532,1158,DWH
0,9,1025,394,1192,DWH
0,128,423,25,1246,WDH
0,107,0,524,1246,WDH
0,39,64,0,1213,WDH
0,128,814,25,1254,WDH
0,57,774,691,1202,WDH
0,128,634,367,1279,WDH
0,153,3,224,1288,WDH
0,31,1036,711,1257,WDH
0,57,476,547,1302,DWH
0,107,0,566,1369,WDH
0,61,3,1,1369,WDH
0,128,423,25,1369,WDH
0,183,834,0,1377,WDH
0,39,1026,424,1326,DWH
0,64,820,716,1346,WDH
0,183,620,399,1402,WDH
0,93,0,234,1417,WDH
0,181,52,581,1490,WDH
0,34,64,6,1490,WDH
0,19,1050,400,1490,DWH
0,235,396,6,1492,WDH
0,218,834,1,1499,WDH
0,134,620,399,1524,WDH
0,31,1036,711,1428,WDH
0,64,476,624,1446,DWH
0,114,0,234,1558,WDH
0,64,820,711,1514,WDH
0,59,0,0,1631,WDH
0,166,0,554,1631,WDH
0,72,1054,285,1639,DWH
0,147,400,0,1639,DWH
0,166,721,0,1639,WDH
0,124,620,402,1656,WDH
0,160,0,226,1682,WDH
0,31,831,703,1682,WDH
0,53,519,604,1614,DWH
0,95,0,522,1763,WDH
0,169,810,0,1771,WDH
0,134,400,0,1771,WDH
0,90,6,0,1768,WDH
0,17,1054,535,1774,DWH
0,17,1054,285,1774,DWH
0,99,621,396,1804,WDH
0,227,22,203,1805,WDH
0,31,386,522,1763,DWH
0,108,400,0,1903,WDH
0,107,764,11,1906,WDH
0,134,22,520,1949,WDH
0,221,0,0,1951,DWH
0,72,782,589,1963,WDH
0,134,830,285,1963,WDH
0,14,597,459,1963,DWH
0,133,765,0,2027,WDH
0,221,268,0,2027,WDH
0,7,0,388,2081,WDH
0,7,0,22,2081,DWH
0,38,0,617,2081,WDH
1,214,0,653,0,WDH
1,192,882,633,0,WDH
1,195,882,207,0,WDH
1,83,295,202,0,WDH
1,83,295,0,0,WDH
1,106,599,0,0,WDH
1,106,599,621,0,WDH
1,106,295,611,0,WDH
1,106,599,207,0,WDH
1,106,882,0,0,WDH
1,106,0,446,0,WDH
1,106,295,404,0,WDH
1,106,599,414,0,WDH
1,112,0,0,0,WDH
1,195,882,420,0,WDH
1,112,0,223,0,WDH
1,150,806,250,273,WDH
1,151,806,1,273,WDH
1,99,0,226,273,WDH
1,55,0,4,273,WDH
1,55,414,2,273,WDH
1,103,414,532,273,WDH
1,99,0,533,273,WDH
1,103,414,224,273,WDH
1,150,806,532,274,WDH
1,33,1077,251,427,DWH
1,75,708,0,427,WDH
1,75,354,0,427,WDH
1,230,425,510,427,WDH
1,164,0,0,427,WDH
1,230,425,251,427,WDH
1,142,0,251,427,WDH
1,230,751,251,427,WDH
1,230,751,510,427,WDH
1,58,1062,0,427,DWH
1,168,0,460,427,WDH
1,58,1077,532,427,DWH
1,139,445,249,647,WDH
1,139,0,482,647,WDH
1,12,1050,482,647,DWH
1,130,0,241,647,WDH
1,130,0,0,647,WDH
1,151,445,0,647,WDH
1,125,851,249,647,WDH
1,125,826,0,647,WDH
1,186,728,482,647,WDH
1,186,406,482,647,WDH
1,235,802,476,805,WDH
1,200,396,3,805,WDH
1,78,329,553,805,WDH
1,163,27,12,805,DWH
1,78,42,367,805,DWH
1,78,329,266,805,WDH
1,235,802,112,805,WDH
1,213,487,610,952,WDH
1,116,552,352,952,WDH
1,117,98,632,952,WDH
1,171,908,50,952,WDH
1,115,235,101,952,WDH
1,116,552,94,952,WDH
1,52,18,235,952,DWH
1,113,900,560,952,WDH
1,204,186,368,952,WDH
1,113,900,280,952,WDH
1,23,0,0,952,WDH
1,92,1,248,1124,WDH
1,134,830,536,1124,WDH
1,92,33,544,1124,WDH
1,72,782,54,1124,WDH
1,122,391,276,1124,WDH
1,123,423,544,1124,WDH
1,123,833,240,1124,WDH
1,67,528,54,1124,WDH
1,69,236,52,1124,WDH
1,26,1,4,1145,DWH
1,200,406,260,1259,WDH
1,200,812,260,1259,WDH
1,200,378,577,1259,WDH
1,227,0,523,1259,WDH
1,89,812,19,1259,WDH
1,200,0,260,1259,WDH
1,200,784,577,1259,WDH
1,45,529,17,1262,WDH
1,61,198,25,1279,WDH
1,17,0,10,1343,DWH
1,40,208,1,1404,WDH
1,144,871,551,1404,WDH
1,135,833,25,1404,WDH
1,137,53,273,1404,WDH
1,144,871,262,1404,WDH
1,144,502,551,1404,WDH
1,135,464,314,1404,WDH
1,122,0,523,1405,WDH
1,45,550,19,1415,WDH
1,148,110,551,1543,WDH
1,148,137,1,1543,WDH
1,7,406,294,1544,WDH
1,91,502,551,1550,WDH
1,91,37,273,1550,WDH
1,199,891,0,1550,WDH
1,199,891,323,1550,WDH
1,217,529,1,1568,WDH
1,12,871,665,1550,WDH
1,32,458,303,1664,WDH
1,110,178,4,1664,WDH
1,110,151,556,1664,WDH
1,82,37,273,1678,WDH
1,73,865,488,1678,WDH
1,231,865,256,1678,WDH
1,176,865,1,1678,WDH
1,176,502,551,1678,WDH
