bin,item,x,y,z,orientation
0,35,0,636,0,WDH
0,41,455,643,0,WDH
0,54,455,318,0,WDH
0,54,910,0,0,DWH
0,68,0,318,0,WDH
0,68,455,0,0,WDH
0,58,910,424,0,DWH
0,68,0,0,0,WDH
0,60,873,16,123,WDH
0,49,915,538,123,WDH
0,31,373,525,123,DWH
0,31,267,316,123,WDH
0,64,582,314,123,WDH
0,64,582,577,123,WDH
0,67,564,13,123,WDH
0,19,12,3,123,WDH
0,19,12,351,123,WDH
0,19,12,177,123,WDH
0,19,309,62,123,WDH
0,48,96,641,123,WDH
0,49,915,236,123,WDH
0,13,320,655,315,WDH
0,24,881,510,315,WDH
0,33,42,255,315,DWH
0,33,247,466,315,WDH
0,32,556,510,315,WDH
0,40,358,0,315,DWH
0,32,231,255,315,WDH
0,44,898,255,315,WDH
0,44,556,255,315,WDH
0,44,898,0,315,WDH
0,44,556,0,315,WDH
0,28,9,3,315,WDH
0,6,66,656,315,WDH
0,14,526,201,448,WDH
0,14,883,603,448,WDH
0,14,526,399,448,WDH
0,12,283,467,448,WDH
0,12,24,220,448,WDH
0,12,24,404,448,WDH
0,34,276,264,448,WDH
0,11,360,655,448,WDH
0,4,592,597,448,WDH
0,7,883,0,448,WDH
0,7,526,0,448,WDH
0,7,883,201,448,WDH
0,7,883,402,448,WDH
0,46,313,0,448,DWH
0,37,64,0,449,WDH
0,40,69,588,457,DWH
0,3,0,611,590,WDH
0,26,636,606,618,WDH
0,42,903,606,618,WDH
0,53,852,303,618,WDH
0,6,382,606,618,WDH
0,42,127,0,618,WDH
0,53,464,0,618,WDH
0,53,852,0,618,WDH
0,9,157,303,618,WDH
0,59,462,303,618,WDH
0,2,0,611,667,WDH
0,36,0,403,618,DWH
0,3,585,90,759,WDH
0,30,440,319,759,WDH
0,30,840,32,759,WDH
0,30,840,319,759,WDH
0,17,163,405,759,WDH
0,27,154,23,764,WDH
0,2,0,611,764,WDH
0,2,931,616,764,WDH
0,20,309,611,765,WDH
0,1,688,647,765,WDH
0,38,866,0,835,DWH
0,29,512,319,835,WDH
0,18,585,2,836,DWH
0,10,0,375,840,WDH
0,15,287,2,858,WDH
0,15,11,611,858,WDH
0,21,986,539,858,DWH
0,45,123,2,858,DWH
0,38,866,0,892,DWH
0,28,430,623,860,WDH
0,15,688,623,861,WDH
0,54,430,298,925,WDH
0,38,866,0,949,DWH
0,45,602,0,925,WDH
0,9,61,366,938,WDH
0,26,11,611,960,WDH
0,9,287,2,960,WDH
0,6,106,12,962,DWH
0,45,952,676,964,WDH
0,45,688,676,964,WDH
0,54,854,199,1006,DWH
0,45,424,623,994,WDH
0,6,866,0,1006,WDH
0,45,602,17,1029,WDH
0,56,366,308,1045,WDH
0,9,61,308,1079,WDH
0,56,61,5,1107,WDH
0,56,797,308,1126,WDH
0,52,688,623,1068,WDH
0,9,0,595,1107,WDH
0,12,445,627,1107,WDH
0,56,366,308,1164,WDH
0,16,1056,623,1068,DWH
0,22,560,0,1133,WDH
0,39,866,0,1148,WDH
0,56,129,0,1226,WDH
0,9,61,308,1220,WDH
0,56,797,308,1245,WDH
0,23,0,595,1249,WDH
0,56,366,308,1283,WDH
0,43,798,644,1249,WDH
0,56,0,0,1345,WDH
0,8,396,618,1274,WDH
0,56,798,341,1364,WDH
0,19,611,30,1307,WDH
0,50,898,0,1324,WDH
0,16,1079,651,1283,DWH
0,43,431,45,1345,DWH
0,65,0,303,1361,WDH
0,50,0,556,1391,WDH
0,8,591,303,1402,DWH
0,8,299,303,1402,WDH
0,43,821,672,1423,WDH
0,51,49,54,1464,WDH
0,50,346,618,1477,WDH
0,51,784,303,1483,WDH
0,43,599,45,1499,WDH
0,50,898,0,1505,WDH
0,16,1079,651,1499,DWH
0,25,434,4,1519,DWH
0,25,0,303,1566,WDH
0,55,0,470,1572,DWH
0,51,402,303,1605,WDH
0,69,0,5,1668,WDH
0,62,234,631,1668,WDH
0,63,821,651,1605,WDH
0,47,599,4,1673,WDH
0,57,899,15,1687,WDH
0,57,899,194,1687,WDH
0,57,899,373,1687,WDH
0,66,402,7,1732,DWH
0,66,18,303,1779,WDH
0,66,18,457,1786,WDH
0,61,314,303,1809,WDH
0,66,618,216,1809,DWH
0,66,106,149,1844,WDH
0,5,1109,609,1713,DWH
0,5,3,709,1786,WDH
