bin,item,x,y,z,orientation
0,14,704,618,0,WDH
0,27,372,548,0,WDH
0,14,1000,484,0,DWH
0,14,1000,208,0,DWH
0,33,332,229,0,WDH
0,33,332,0,0,WDH
0,33,0,548,0,WDH
0,40,0,0,0,WDH
0,4,704,413,0,WDH
0,40,0,274,0,WDH
0,31,704,0,0,WDH
0,4,704,208,0,WDH
0,12,1034,48,0,WDH
0,23,436,295,199,WDH
0,23,0,8,199,WDH
0,30,0,553,199,WDH
0,30,436,553,199,WDH
0,30,0,266,199,WDH
0,17,689,0,199,WDH
0,17,909,484,199,DWH
0,22,909,294,199,WDH
0,5,326,44,199,WDH
0,15,783,294,199,DWH
0,6,689,0,292,WDH
0,5,969,618,292,WDH
0,36,477,591,322,WDH
0,36,0,591,322,WDH
0,29,0,266,322,WDH
0,10,375,266,324,WDH
0,10,0,0,324,WDH
0,1,909,294,357,WDH
0,3,326,44,357,WDH
0,8,1101,0,233,DWH
0,32,664,3,360,WDH
0,13,745,285,346,DWH
0,2,325,3,473,WDH
0,2,406,285,473,WDH
0,2,570,537,473,WDH
0,24,1027,528,450,DWH
0,24,0,53,473,WDH
0,24,909,311,473,WDH
0,24,0,627,473,WDH
0,13,406,517,473,DWH
0,37,37,285,482,WDH
0,22,681,0,505,DWH
0,37,871,0,505,WDH
0,13,745,285,527,DWH
0,11,604,546,581,WDH
0,20,405,81,581,WDH
0,18,431,314,581,WDH
0,22,956,650,622,WDH
0,39,909,270,645,WDH
0,16,13,627,645,WDH
0,39,74,81,645,WDH
0,34,119,344,645,WDH
0,37,681,0,663,WDH
0,9,406,517,654,DWH
0,19,1050,20,663,DWH
0,20,603,599,757,WDH
0,20,405,284,767,WDH
0,20,405,81,767,WDH
0,21,757,270,708,DWH
0,34,954,584,780,WDH
0,20,681,67,818,WDH
0,26,65,390,870,WDH
0,26,65,180,870,WDH
0,25,915,343,870,WDH
0,9,405,487,858,DWH
0,41,0,634,870,WDH
0,9,1043,0,896,DWH
0,7,65,47,870,WDH
0,9,603,599,943,WDH
0,9,405,5,953,DWH
0,9,405,290,953,WDH
0,14,734,270,953,DWH
0,38,681,67,1005,WDH
0,38,888,599,1005,WDH
0,14,428,520,1062,DWH
0,14,915,343,1081,WDH
0,14,129,355,1086,WDH
0,14,129,180,1086,WDH
0,41,0,634,1100,WDH
0,19,1000,13,1100,DWH
0,14,47,5,1118,WDH
0,19,603,599,1147,WDH
0,19,405,309,1157,WDH
0,19,655,309,1157,WDH
0,28,405,5,1157,DWH
0,14,825,13,1253,DWH
0,19,853,599,1253,WDH
0,19,353,616,1260,WDH
0,21,673,13,1253,DWH
0,38,905,309,1279,WDH
0,7,147,180,1284,WDH
0,8,206,313,1284,WDH
0,19,0,0,1316,WDH
0,8,0,701,1333,WDH
0,8,1000,150,1333,WDH
0,35,1000,2,1333,WDH
0,35,603,648,1380,WDH
