bin,item,x,y,z,orientation
0,226,0,614,0,WDH
0,342,0,307,0,WDH
0,138,685,614,0,WDH
0,342,470,307,0,WDH
0,434,940,451,0,DWH
0,342,0,0,0,WDH
0,271,369,614,0,WDH
0,342,470,0,0,WDH
0,377,940,0,0,DWH
0,461,0,0,141,WDH
0,461,0,282,141,WDH
0,223,557,0,141,WDH
0,303,1051,0,141,DWH
0,223,0,564,141,WDH
0,177,557,275,141,WDH
0,181,953,509,142,DWH
0,189,494,599,142,WDH
0,38,953,315,142,WDH
0,29,948,509,190,WDH
0,433,412,319,226,WDH
0,95,345,599,226,DWH
0,400,803,0,226,WDH
0,95,1004,350,226,WDH
0,460,14,467,226,DWH
0,67,816,350,226,WDH
0,336,336,0,226,WDH
0,336,17,0,226,DWH
0,274,513,599,227,WDH
0,192,936,502,251,DWH
0,38,381,354,356,WDH
0,92,659,358,356,WDH
0,158,320,548,356,WDH
0,177,2,482,356,DWH
0,158,780,548,356,WDH
0,158,948,88,356,DWH
0,340,381,3,357,WDH
0,382,2,13,357,DWH
0,30,626,354,440,WDH
0,107,483,545,442,WDH
0,107,81,545,442,WDH
0,88,920,0,442,DWH
0,169,909,410,442,DWH
0,166,347,0,449,WDH
0,195,352,354,449,WDH
0,382,11,0,449,DWH
0,158,352,62,511,WDH
0,158,0,548,511,WDH
0,158,460,548,511,WDH
0,144,920,454,511,DWH
0,303,626,358,511,WDH
0,282,920,0,515,DWH
0,169,0,153,541,DWH
0,38,331,354,541,WDH
0,282,812,41,582,WDH
0,124,0,0,541,WDH
0,456,147,548,597,WDH
0,90,616,354,597,DWH
0,473,775,354,597,WDH
0,124,0,548,597,DWH
0,456,350,41,597,WDH
0,227,0,147,606,DWH
0,282,831,0,649,WDH
0,163,305,343,625,WDH
0,240,616,619,606,DWH
0,431,147,558,698,WDH
0,401,305,52,698,WDH
0,331,0,60,698,DWH
0,401,775,494,698,WDH
0,196,1001,316,698,WDH
0,196,775,316,698,WDH
0,144,775,7,716,WDH
0,120,609,343,704,DWH
0,124,0,557,705,DWH
0,163,286,343,730,WDH
