bin,item,x,y,z,orientation
0,464,1080,433,0,DWH
0,464,832,699,0,WDH
0,464,1080,192,0,DWH
0,630,305,0,0,WDH
0,630,305,209,0,WDH
0,711,832,0,0,WDH
0,429,313,650,0,WDH
0,669,0,650,0,WDH
0,429,832,192,0,WDH
0,429,561,650,0,WDH
0,618,0,222,0,WDH
0,26,1080,753,0,WDH
0,570,568,206,0,WDH
0,618,0,0,0,WDH
0,26,1080,674,0,WDH
0,570,568,0,0,WDH
0,570,0,444,0,WDH
0,570,528,444,0,WDH
0,570,264,444,0,WDH
0,75,1111,0,0,DWH
0,124,832,531,0,WDH
0,124,832,363,0,WDH
0,311,32,8,291,DWH
0,172,2,222,291,DWH
0,680,124,577,291,WDH
0,680,179,288,291,WDH
0,631,460,571,291,WDH
0,631,845,282,291,WDH
0,416,7,627,291,DWH
0,656,855,551,291,WDH
0,658,515,277,291,WDH
0,637,188,32,291,WDH
0,658,515,3,291,WDH
0,658,910,8,291,WDH
0,705,918,308,473,DWH
0,705,459,308,473,WDH
0,593,0,0,473,WDH
0,520,393,608,473,WDH
0,396,765,608,473,DWH
0,9,944,0,473,DWH
0,77,0,608,473,WDH
0,705,485,0,473,WDH
0,705,0,308,473,WDH
0,581,882,546,600,WDH
0,581,524,273,600,WDH
0,581,524,546,600,WDH
0,581,882,0,600,WDH
0,581,882,273,600,WDH
0,581,524,0,600,WDH
0,581,166,0,600,WDH
0,153,11,273,600,DWH
0,153,11,548,600,DWH
0,490,4,0,600,DWH
0,635,147,508,600,WDH
0,635,147,273,600,WDH
0,94,387,2,800,WDH
0,554,0,514,800,WDH
0,662,0,208,800,WDH
0,94,0,2,800,WDH
0,624,930,62,800,DWH
0,624,518,535,800,WDH
0,624,478,209,800,WDH
0,408,970,552,800,DWH
0,112,788,19,800,DWH
0,576,970,408,913,DWH
0,599,198,473,913,WDH
0,687,150,209,913,WDH
0,121,4,473,913,DWH
0,578,939,0,913,DWH
0,648,564,523,913,WDH
0,398,19,209,913,DWH
0,648,564,209,913,WDH
0,123,369,2,913,WDH
0,104,15,2,913,WDH
0,275,779,0,929,DWH
0,670,1033,498,1073,DWH
0,670,709,136,1073,WDH
0,721,0,604,1073,WDH
0,721,0,368,1073,WDH
0,287,0,3,1073,WDH
0,590,358,342,1073,WDH
0,590,0,122,1073,WDH
0,626,358,136,1073,WDH
0,659,358,588,1073,WDH
0,543,673,440,1073,WDH
0,543,673,640,1073,WDH
0,143,629,3,1073,WDH
0,143,358,3,1073,WDH
0,97,1051,16,1073,DWH
0,328,1033,365,1073,WDH
0,383,1036,0,1281,DWH
0,383,1036,290,1281,DWH
0,5,652,370,1288,WDH
0,5,268,370,1288,WDH
0,5,268,0,1288,WDH
0,5,652,0,1288,WDH
0,70,8,0,1288,DWH
0,70,8,309,1288,DWH
0,255,8,618,1288,WDH
0,167,1038,586,1288,DWH
0,173,799,447,1348,DWH
0,410,799,51,1348,WDH
0,655,268,386,1348,WDH
0,655,268,32,1348,WDH
0,342,0,0,1356,DWH
0,255,0,388,1356,WDH
0,255,0,603,1369,WDH
0,523,1038,586,1376,DWH
0,106,263,454,1430,DWH
0,547,558,0,1430,WDH
0,547,558,420,1430,WDH
0,394,305,37,1430,DWH
0,334,0,0,1438,DWH
0,254,1038,0,1430,DWH
0,492,19,551,1450,DWH
0,255,5,336,1438,WDH
0,523,1043,586,1465,DWH
0,252,5,19,1505,DWH
0,127,5,336,1522,DWH
0,640,276,387,1522,WDH
0,620,276,19,1522,WDH
0,460,820,19,1522,WDH
0,186,704,387,1522,DWH
0,384,1015,536,1554,DWH
0,252,0,0,1569,DWH
0,694,562,551,1616,WDH
0,381,150,357,1616,DWH
0,562,574,3,1616,WDH
0,251,1019,9,1616,DWH
0,557,287,133,1616,DWH
0,285,313,3,1616,WDH
0,169,13,384,1616,DWH
