bin,item,x,y,z,orientation
0,80,0,526,0,WDH
0,80,749,0,0,WDH
0,33,0,263,0,WDH
0,33,0,0,0,WDH
0,63,392,0,0,WDH
0,80,749,291,0,WDH
0,76,1077,0,0,DWH
0,63,392,285,0,WDH
0,45,749,582,0,WDH
0,29,392,570,0,WDH
0,39,750,597,173,WDH
0,39,750,355,173,WDH
0,39,384,113,173,WDH
0,39,18,597,173,WDH
0,39,18,355,173,WDH
0,39,384,355,173,WDH
0,39,384,597,173,WDH
0,39,18,113,173,WDH
0,39,750,113,173,WDH
0,37,728,608,371,WDH
0,65,364,587,371,WDH
0,7,1004,342,371,DWH
0,65,0,334,371,WDH
0,8,664,154,371,WDH
0,65,0,587,371,WDH
0,8,934,64,371,DWH
0,69,364,339,371,WDH
0,58,712,382,371,WDH
0,37,332,102,371,WDH
0,37,0,102,371,WDH
0,2,712,339,581,WDH
0,9,993,339,581,DWH
0,15,728,608,586,WDH
0,15,469,469,586,DWH
0,53,0,469,586,WDH
0,53,0,0,586,DWH
0,53,323,0,586,DWH
0,16,750,64,587,WDH
0,70,912,361,705,DWH
0,73,469,469,705,WDH
0,25,469,234,708,WDH
0,1,0,19,708,WDH
0,1,274,19,708,WDH
0,70,0,226,708,WDH
0,73,0,517,708,WDH
0,28,750,64,709,WDH
0,35,840,562,828,WDH
0,35,840,284,828,WDH
0,3,50,39,828,WDH
0,3,299,39,828,WDH
0,31,895,26,828,WDH
0,57,464,554,828,WDH
0,57,67,231,828,WDH
0,57,464,268,828,WDH
0,56,57,518,831,WDH
0,4,751,26,828,DWH
0,38,489,426,986,WDH
0,75,175,421,986,WDH
0,68,884,583,986,WDH
0,68,884,326,986,WDH
0,47,493,227,986,WDH
0,17,31,263,986,WDH
0,47,98,641,986,WDH
0,17,260,263,986,WDH
0,38,489,633,986,WDH
0,45,0,0,988,WDH
0,80,912,0,990,WDH
0,76,431,54,995,WDH
0,14,20,421,986,DWH
0,45,31,6,1153,WDH
0,22,912,54,1164,WDH
0,56,489,433,1164,DWH
0,71,217,301,1166,DWH
0,5,503,34,1166,WDH
0,71,894,563,1172,WDH
0,71,894,291,1172,WDH
0,5,503,227,1172,WDH
0,76,0,682,1172,WDH
0,21,196,301,1301,DWH
0,74,510,0,1314,WDH
0,74,875,261,1314,WDH
0,74,510,261,1314,WDH
0,74,875,0,1314,WDH
0,76,776,522,1314,WDH
0,17,17,421,1314,DWH
0,76,776,680,1314,WDH
0,49,539,522,1314,DWH
0,81,109,34,1318,WDH
0,59,188,261,1395,DWH
0,11,109,34,1466,WDH
0,43,816,503,1487,WDH
0,43,816,166,1487,WDH
0,28,527,15,1487,DWH
0,72,109,221,1499,DWH
0,25,510,517,1489,WDH
0,46,816,5,1487,WDH
0,23,223,166,1597,WDH
0,23,171,517,1597,WDH
0,23,901,166,1597,WDH
0,23,562,166,1597,WDH
0,23,901,467,1597,WDH
0,21,510,525,1606,WDH
0,14,223,11,1562,WDH
0,26,223,652,1710,WDH
0,36,223,166,1710,WDH
0,50,223,418,1710,WDH
0,50,551,166,1710,WDH
0,52,891,633,1710,WDH
0,87,850,166,1710,WDH
0,55,522,418,1710,WDH
0,87,850,376,1710,WDH
0,79,522,633,1710,WDH
0,66,495,5,1597,WDH
0,17,65,238,1597,DWH
0,13,53,195,1777,DWH
0,66,816,5,1682,WDH
0,6,173,598,1930,WDH
0,6,891,610,1937,WDH
0,25,574,183,1930,WDH
0,27,543,619,1937,WDH
0,39,874,368,1937,WDH
0,77,527,424,1937,WDH
0,77,893,182,1937,WDH
0,39,280,232,1937,DWH
0,12,11,193,2025,DWH
0,81,142,613,2025,WDH
0,20,891,610,2031,WDH
0,25,527,189,2047,WDH
1,24,738,250,0,WDH
1,22,738,484,0,WDH
1,61,376,0,0,WDH
1,85,0,286,0,WDH
1,61,376,239,0,WDH
1,42,0,553,0,WDH
1,42,376,478,0,WDH
