bin,item,x,y,z,orientation
0,702,0,303,0,WDH
0,702,517,303,0,WDH
0,702,0,0,0,WDH
0,84,1034,359,0,DWH
0,3,434,606,0,WDH
0,3,831,606,0,WDH
0,702,517,0,0,WDH
0,338,0,606,0,WDH
0,58,1034,0,0,DWH
0,509,874,616,130,WDH
0,509,874,392,130,WDH
0,462,177,605,130,WDH
0,462,167,157,130,WDH
0,191,167,17,130,WDH
0,287,76,431,130,WDH
0,597,878,12,130,WDH
0,597,516,12,130,WDH
0,555,879,169,130,WDH
0,480,503,181,130,WDH
0,54,19,615,130,DWH
0,555,513,394,130,WDH
0,555,513,617,130,WDH
0,325,5,63,130,DWH
0,302,886,428,373,DWH
0,678,0,318,373,WDH
0,678,886,0,373,DWH
0,678,458,321,373,WDH
0,175,0,639,373,WDH
0,175,458,642,373,WDH
0,678,458,0,373,WDH
0,448,0,0,373,WDH
0,229,364,314,515,WDH
0,612,388,0,515,WDH
0,612,814,0,515,WDH
0,612,814,314,515,WDH
0,490,29,0,515,WDH
0,490,5,314,515,WDH
0,47,889,628,515,WDH
0,183,0,628,516,WDH
0,184,328,627,516,WDH
0,90,658,667,516,WDH
0,46,360,647,639,WDH
0,46,62,647,639,WDH
0,462,336,0,655,WDH
0,462,336,235,655,WDH
0,487,304,470,655,WDH
0,462,0,235,655,WDH
0,487,0,470,655,WDH
0,462,0,0,655,WDH
0,271,672,0,655,WDH
0,271,672,240,655,WDH
0,416,996,0,655,DWH
0,416,1017,480,655,DWH
0,416,672,480,655,WDH
0,105,417,699,725,WDH
0,175,0,647,725,WDH
0,159,672,694,641,WDH
0,159,856,694,655,WDH
0,159,1070,349,655,WDH
0,131,417,647,864,WDH
0,463,685,416,892,WDH
0,463,88,223,892,WDH
0,72,374,0,892,WDH
0,4,85,0,892,WDH
0,276,749,0,892,WDH
0,131,459,649,945,WDH
0,463,685,416,971,WDH
0,463,130,225,971,WDH
0,189,685,157,982,WDH
0,195,1077,183,982,DWH
0,138,333,5,982,WDH
0,52,14,10,982,WDH
0,136,955,5,982,WDH
0,136,685,5,982,WDH
0,189,685,157,1050,WDH
0,189,851,416,1050,WDH
0,109,388,225,1050,WDH
0,395,363,416,1050,WDH
0,137,90,225,1050,DWH
0,136,851,675,1050,WDH
0,160,0,0,1077,WDH
0,21,261,0,1079,WDH
0,276,851,184,1115,DWH
0,136,685,6,1093,WDH
0,57,502,5,1079,WDH
0,432,406,416,1144,WDH
0,252,38,225,1144,DWH
0,82,1040,0,1093,WDH
0,33,405,196,1147,WDH
0,63,169,0,1165,WDH
0,90,694,185,1115,DWH
0,276,851,312,1201,DWH
0,16,0,0,1165,DWH
0,166,519,133,1244,WDH
0,109,91,225,1258,WDH
0,395,363,416,1258,WDH
0,19,79,416,1258,DWH
0,276,851,349,1287,DWH
0,185,160,0,1266,WDH
0,180,519,42,1324,DWH
0,16,0,0,1290,DWH
0,483,475,424,1355,DWH
0,270,0,414,1355,WDH
0,323,851,349,1373,DWH
0,8,91,225,1355,WDH
0,138,160,0,1375,WDH
0,34,512,0,1410,WDH
0,619,41,399,1451,DWH
0,270,376,349,1451,WDH
0,620,868,349,1456,DWH
0,34,156,0,1472,WDH
0,107,512,8,1498,WDH
0,38,33,383,1552,DWH
0,38,783,311,1552,WDH
0,352,216,494,1552,WDH
0,352,728,494,1552,WDH
0,38,326,311,1552,WDH
0,521,55,0,1560,WDH
0,107,512,0,1578,WDH
0,26,517,4,1662,WDH
0,702,0,537,1662,WDH
0,450,938,481,1662,DWH
0,51,998,268,1662,WDH
0,626,517,478,1662,WDH
0,256,517,164,1662,WDH
0,57,326,303,1662,WDH
0,16,0,377,1662,WDH
0,697,0,0,1672,WDH
0,256,481,0,1796,WDH
0,256,0,314,1796,WDH
0,116,425,628,1796,WDH
0,598,962,314,1796,DWH
0,59,0,628,1796,WDH
0,256,481,314,1796,WDH
0,57,777,628,1796,WDH
0,256,0,0,1796,WDH
0,671,420,12,1925,WDH
0,380,0,520,1925,WDH
0,261,0,5,1925,WDH
0,380,0,200,1925,WDH
0,87,866,266,1925,WDH
0,221,420,548,1925,WDH
0,295,866,452,1925,DWH
0,221,420,256,1925,WDH
0,6,871,44,1925,DWH
0,598,743,574,2075,WDH
0,572,298,311,2075,WDH
0,631,37,405,2075,DWH
0,631,436,8,2075,WDH
0,580,285,571,2075,WDH
0,16,60,245,2075,WDH
0,598,743,308,2075,WDH
0,134,60,2,2079,WDH
1,431,644,248,0,WDH
1,431,377,586,0,WDH
1,431,0,586,0,WDH
1,431,644,0,0,WDH
1,286,1021,0,0,DWH
1,458,0,293,0,WDH
1,141,1021,341,0,WDH
1,458,0,0,0,WDH
1,431,754,586,0,WDH
1,458,322,293,0,WDH
1,458,322,0,0,WDH
1,20,1131,586,0,DWH
1,227,431,643,214,WDH
1,227,519,150,214,WDH
1,227,876,150,214,WDH
1,85,735,7,214,WDH
