bin,item,x,y,z,orientation
0,30,0,518,0,WDH
0,65,816,269,0,WDH
0,76,0,0,0,WDH
0,55,429,269,0,WDH
0,65,845,0,0,WDH
0,56,798,542,0,WDH
0,65,429,542,0,WDH
0,29,416,0,0,WDH
0,29,0,269,0,WDH
0,14,0,292,164,WDH
0,14,429,572,164,WDH
0,14,416,43,164,WDH
0,4,816,41,164,WDH
0,64,816,199,164,WDH
0,40,0,561,166,WDH
0,17,323,298,166,WDH
0,17,0,72,166,WDH
0,10,868,542,168,WDH
0,4,658,269,166,DWH
0,3,1110,0,164,DWH
0,11,752,572,262,WDH
0,27,33,328,281,WDH
0,21,436,2,281,WDH
0,21,449,531,281,WDH
0,6,843,310,281,WDH
0,9,783,11,281,WDH
0,32,13,531,298,WDH
0,19,494,269,289,WDH
0,27,24,72,289,WDH
0,8,337,269,289,DWH
0,27,863,573,340,WDH
0,63,0,533,408,WDH
0,32,395,137,424,DWH
0,42,696,257,424,WDH
0,32,0,97,426,DWH
0,11,462,573,424,WDH
0,17,745,11,425,WDH
0,26,1103,0,340,DWH
0,1,863,586,477,WDH
0,43,498,573,496,WDH
0,63,0,533,529,WDH
0,40,696,294,531,WDH
0,63,333,137,534,WDH
0,63,0,170,536,DWH
0,26,395,0,424,WDH
0,10,754,0,548,WDH
0,12,863,573,552,WDH
0,59,792,58,652,WDH
0,22,9,546,652,DWH
0,59,211,573,652,WDH
0,59,537,573,652,WDH
0,62,590,330,663,WDH
0,58,9,95,663,DWH
0,25,333,137,663,DWH
0,7,863,573,705,WDH
0,15,0,533,813,DWH
0,34,9,62,813,WDH
0,5,940,402,813,WDH
0,67,590,356,813,WDH
0,66,9,292,813,WDH
0,66,346,196,813,DWH
0,43,792,58,815,WDH
0,43,495,604,815,WDH
0,46,168,556,815,WDH
0,53,879,573,854,WDH
0,43,792,58,971,WDH
0,43,514,573,971,WDH
0,7,346,182,1003,DWH
0,77,0,388,1003,DWH
0,62,652,330,1006,WDH
0,57,70,15,1006,DWH
0,71,290,548,971,DWH
0,28,936,594,1011,WDH
0,64,813,230,1153,WDH
0,15,907,62,1127,WDH
0,50,589,631,1127,WDH
0,16,373,223,1153,DWH
0,13,53,413,1153,WDH
0,13,53,611,1153,WDH
0,22,611,310,1153,DWH
0,13,53,215,1185,WDH
0,13,53,17,1185,WDH
0,13,290,611,1185,WDH
0,36,936,594,1185,WDH
0,79,923,305,1265,WDH
0,39,946,3,1313,WDH
0,51,612,607,1313,WDH
0,51,378,249,1313,DWH
0,51,612,283,1314,DWH
0,48,0,420,1314,DWH
0,61,0,0,1346,WDH
0,39,259,582,1346,WDH
0,15,0,252,1346,WDH
0,5,974,669,1365,WDH
0,50,845,398,1435,WDH
0,60,0,0,1518,WDH
0,75,307,252,1518,DWH
0,75,946,3,1518,DWH
0,78,612,607,1518,WDH
0,75,0,420,1518,DWH
0,41,566,230,1519,DWH
0,51,259,582,1551,WDH
0,15,0,242,1531,WDH
0,2,1013,607,1552,DWH
0,49,858,345,1621,WDH
0,51,32,9,1744,WDH
0,68,610,213,1744,DWH
0,24,971,607,1751,WDH
0,31,610,607,1751,WDH
0,31,0,420,1751,DWH
0,54,307,252,1751,WDH
0,54,946,3,1751,WDH
0,34,285,518,1756,WDH
0,23,0,274,1716,WDH
0,47,881,402,1822,WDH
0,52,46,36,1949,WDH
0,41,611,276,1949,DWH
0,78,239,559,1949,WDH
0,52,620,634,1964,WDH
0,52,930,634,1964,WDH
0,73,0,508,1964,DWH
0,24,269,274,1971,WDH
1,70,295,220,0,WDH
1,70,0,0,0,WDH
1,70,295,0,0,WDH
1,70,0,440,0,WDH
1,70,0,220,0,WDH
1,37,295,440,0,WDH
1,37,590,0,0,WDH
1,35,295,619,0,WDH
1,35,635,440,0,WDH
1,20,635,647,0,WDH
1,45,590,179,0,WDH
1,23,930,231,0,WDH
1,23,0,660,0,WDH
1,44,930,0,0,WDH
1,72,954,604,0,WDH
1,74,971,387,0,WDH
1,75,590,181,235,WDH
1,38,672,440,253,WDH
1,38,319,206,253,WDH
1,33,280,0,253,WDH
1,38,48,206,253,WDH
1,74,366,619,253,WDH
1,74,26,440,253,WDH
1,18,53,0,253,WDH
1,69,941,0,259,WDH
1,72,954,604,273,WDH
1,80,384,440,256,WDH
1,80,642,0,256,WDH
