bin,item,x,y,z,orientation
0,537,363,212,0,WDH
0,537,709,0,0,WDH
0,648,970,636,0,WDH
0,469,363,636,0,WDH
0,324,1055,301,0,DWH
0,531,1055,0,0,DWH
0,537,363,0,0,WDH
0,893,0,272,0,WDH
0,789,666,636,0,WDH
0,893,0,0,0,WDH
0,537,0,544,0,WDH
0,537,709,424,0,WDH
0,537,709,212,0,WDH
0,537,363,424,0,WDH
0,259,1,4,267,DWH
0,884,246,419,267,WDH
0,894,758,24,267,WDH
0,884,743,419,267,WDH
0,894,276,24,267,WDH
0,314,18,369,267,DWH
0,1,0,0,396,DWH
0,884,743,0,396,WDH
0,894,758,421,396,WDH
0,884,246,0,396,WDH
0,894,276,421,396,WDH
0,126,0,362,402,DWH
0,95,831,131,523,WDH
0,74,0,438,523,DWH
0,409,246,54,523,WDH
0,409,276,421,525,WDH
0,95,861,421,525,DWH
0,263,0,0,525,DWH
0,60,17,275,525,WDH
0,165,966,2,525,WDH
0,420,870,408,604,DWH
0,420,429,51,604,WDH
0,282,868,156,604,WDH
0,62,260,118,604,DWH
0,155,5,68,604,WDH
0,111,10,455,604,DWH
0,420,429,421,606,WDH
0,243,274,562,606,DWH
0,218,10,294,659,WDH
0,203,454,79,695,WDH
0,14,35,623,695,WDH
0,71,947,358,695,DWH
0,280,875,79,695,WDH
0,51,263,117,695,DWH
0,263,16,27,695,DWH
0,418,420,480,697,WDH
0,218,41,462,695,WDH
0,245,274,562,717,DWH
0,203,845,433,762,DWH
0,203,861,14,762,DWH
0,203,454,14,763,WDH
0,203,47,14,772,WDH
0,203,438,433,779,WDH
0,155,0,633,772,WDH
0,142,39,419,789,WDH
0,559,845,433,833,DWH
0,218,274,562,833,DWH
0,104,965,14,833,DWH
0,468,454,14,833,WDH
0,650,0,0,840,WDH
0,418,454,347,847,DWH
0,198,17,623,862,WDH
0,98,0,398,882,WDH
0,650,427,0,936,WDH
0,649,785,426,936,WDH
0,559,854,2,936,DWH
0,468,274,462,936,WDH
0,559,31,44,937,WDH
0,98,0,616,969,WDH
0,76,0,398,983,WDH
0,74,934,398,1035,DWH
0,505,480,0,1035,DWH
0,46,866,0,1039,WDH
0,59,374,448,1039,WDH
0,418,0,0,1040,WDH
0,123,0,607,1070,WDH
0,59,936,360,1112,DWH
0,59,374,448,1118,WDH
0,97,772,54,1118,WDH
0,171,456,54,1112,DWH
0,712,52,63,1122,WDH
0,88,0,607,1157,WDH
0,428,861,360,1191,DWH
0,477,772,11,1198,WDH
0,681,456,4,1198,DWH
0,649,333,457,1198,WDH
0,712,0,0,1209,WDH
0,233,3,551,1260,WDH
0,444,3,11,1297,DWH
0,884,743,360,1297,WDH
0,643,370,360,1297,DWH
0,644,292,11,1297,WDH
0,457,772,11,1298,WDH
0,163,4,491,1342,WDH
0,81,904,357,1424,WDH
0,631,0,27,1424,DWH
0,480,382,387,1424,DWH
0,470,687,551,1424,WDH
0,725,302,31,1427,WDH
0,861,12,512,1427,WDH
0,729,785,6,1428,WDH
0,266,687,387,1424,WDH
0,599,382,574,1522,WDH
0,679,12,8,1522,DWH
0,230,382,347,1522,WDH
0,110,974,588,1522,WDH
0,541,288,8,1535,WDH
0,66,904,357,1524,WDH
0,91,0,589,1538,WDH
0,512,698,24,1538,WDH
0,207,673,350,1559,WDH
0,212,755,543,1634,DWH
0,884,0,168,1634,WDH
0,99,0,6,1634,WDH
0,179,497,271,1634,DWH
0,152,497,5,1634,DWH
0,769,346,598,1634,WDH
0,196,260,7,1634,WDH
0,388,974,418,1634,DWH
