bin,item,x,y,z,orientation
0,736,909,0,0,DWH
0,331,356,631,0,WDH
0,471,909,429,0,DWH
0,891,444,320,0,WDH
0,396,0,631,0,WDH
0,891,0,320,0,WDH
0,891,465,0,0,WDH
0,18,648,631,0,WDH
0,719,0,0,0,WDH
0,606,0,639,95,WDH
0,857,465,0,95,WDH
0,857,0,320,95,WDH
0,732,390,572,95,WDH
0,811,871,320,95,DWH
0,701,390,320,95,WDH
0,373,1116,320,95,DWH
0,373,1116,516,95,DWH
0,678,855,0,95,WDH
0,790,1,56,97,WDH
0,641,435,31,255,WDH
0,810,7,205,255,WDH
0,810,873,54,255,DWH
0,428,1,597,255,WDH
0,636,360,573,255,WDH
0,729,887,437,255,DWH
0,28,67,7,255,WDH
0,259,390,320,256,WDH
0,354,733,320,256,DWH
0,79,395,342,356,WDH
0,169,873,5,388,DWH
0,114,0,371,388,DWH
0,49,0,47,388,WDH
0,488,425,7,394,WDH
0,488,794,527,394,WDH
0,178,335,600,394,WDH
0,79,456,369,414,WDH
0,140,20,7,468,DWH
0,140,425,7,477,WDH
0,140,425,412,477,WDH
0,258,90,544,471,WDH
0,258,1012,0,471,DWH
0,369,962,412,477,DWH
0,140,20,7,516,DWH
0,488,425,504,525,WDH
0,358,425,0,525,WDH
0,488,425,191,525,WDH
0,358,718,0,525,WDH
0,229,90,544,530,WDH
0,258,1011,0,530,DWH
0,582,932,402,557,WDH
0,582,932,621,557,WDH
0,582,0,219,564,WDH
0,582,0,0,564,WDH
0,136,1020,31,589,DWH
0,176,308,0,608,WDH
0,115,308,331,608,WDH
0,392,793,0,605,WDH
0,123,90,544,605,DWH
0,189,932,402,609,DWH
0,189,0,0,616,DWH
0,184,527,668,608,WDH
0,551,777,331,609,DWH
0,136,1012,0,668,DWH
0,160,925,461,680,DWH
0,160,414,16,680,WDH
0,115,308,331,681,WDH
0,160,35,16,689,WDH
0,302,19,556,689,WDH
0,392,102,337,689,DWH
0,392,793,0,689,WDH
0,184,581,691,696,WDH
0,546,1023,43,747,DWH
0,566,439,0,751,WDH
0,566,961,461,751,DWH
0,392,740,476,754,WDH
0,169,308,363,754,WDH
0,169,0,0,760,WDH
0,169,4,363,775,DWH
0,240,804,0,775,DWH
0,514,705,667,784,WDH
0,188,1023,159,819,DWH
0,736,432,0,837,DWH
0,161,432,429,837,DWH
0,483,961,461,837,DWH
0,213,4,4,840,WDH
0,238,751,396,838,DWH
0,213,4,363,855,WDH
0,92,804,0,855,DWH
0,67,725,670,864,WDH
0,188,1023,159,904,DWH
0,224,0,0,915,WDH
0,736,0,291,932,WDH
0,182,432,415,932,DWH
0,483,961,461,932,DWH
0,184,0,595,932,WDH
0,289,432,0,932,DWH
0,238,751,396,935,DWH
0,403,769,0,935,DWH
0,67,723,667,954,WDH
0,188,1023,159,989,DWH
0,224,33,0,997,WDH
0,180,961,461,1027,DWH
0,369,0,531,1027,WDH
0,180,432,0,1027,WDH
0,178,0,291,1027,WDH
0,279,459,645,1027,WDH
0,566,459,291,1027,DWH
0,182,743,0,1032,DWH
0,238,743,391,1032,DWH
0,497,689,665,1044,WDH
0,217,1023,159,1074,DWH
0,369,0,23,1079,WDH
0,180,397,19,1104,WDH
0,171,0,291,1104,WDH
0,103,961,476,1104,DWH
0,171,0,600,1107,WDH
0,358,387,649,1107,WDH
0,103,387,419,1113,WDH
0,123,708,425,1129,DWH
0,123,708,222,1129,WDH
0,123,708,19,1129,WDH
0,551,445,291,1113,WDH
0,501,0,10,1162,WDH
0,217,997,131,1162,DWH
0,584,394,19,1185,WDH
0,441,956,425,1185,DWH
0,468,4,291,1185,WDH
0,128,41,598,1188,WDH
0,571,398,649,1188,WDH
0,217,414,419,1194,WDH
0,123,708,19,1206,WDH
0,240,748,425,1206,DWH
0,435,714,222,1206,WDH
0,551,387,291,1216,WDH
0,238,1002,131,1252,DWH
0,403,38,19,1252,WDH
0,661,192,450,1284,WDH
0,36,1,420,1284,DWH
0,286,957,453,1284,DWH
0,133,737,13,1284,WDH
0,446,100,274,1284,WDH
0,310,394,19,1286,WDH
0,343,714,409,1286,DWH
0,374,705,236,1291,WDH
0,446,417,277,1319,WDH
0,403,0,0,1346,WDH
0,281,997,73,1349,DWH
0,115,235,422,1389,WDH
0,571,705,53,1385,WDH
0,161,952,409,1389,DWH
0,352,0,602,1392,WDH
0,292,0,254,1392,DWH
0,64,356,0,1392,WDH
0,63,704,425,1394,DWH
0,27,705,236,1400,WDH
0,184,348,259,1427,WDH
0,782,3,0,1440,WDH
0,653,999,0,1440,DWH
0,640,281,428,1462,WDH
0,454,692,0,1472,WDH
0,766,961,447,1483,DWH
0,901,364,16,1490,WDH
0,869,712,447,1499,DWH
0,405,6,254,1499,WDH
0,766,2,428,1499,DWH
0,266,704,233,1499,WDH
0,472,424,262,1515,WDH
0,421,359,509,1602,WDH
0,571,708,50,1607,WDH
0,193,961,447,1634,DWH
0,571,708,256,1652,WDH
0,128,13,349,1652,WDH
0,128,358,22,1652,WDH
0,272,6,589,1652,WDH
0,365,735,445,1652,DWH
0,365,1004,53,1652,DWH
0,527,149,66,1654,WDH
0,184,0,0,1654,DWH
0,184,364,290,1655,WDH
0,281,513,445,1692,DWH
0,184,364,445,1692,DWH
0,254,708,11,1694,WDH
0,281,1018,504,1729,DWH
0,409,728,257,1739,WDH
0,18,153,12,1739,DWH
0,727,1001,11,1748,DWH
0,868,358,12,1748,DWH
0,22,13,349,1748,WDH
0,526,0,0,1748,DWH
0,457,735,445,1748,DWH
0,431,0,570,1749,WDH
0,474,525,481,1779,DWH
0,184,376,485,1780,DWH
0,18,708,51,1799,WDH
0,25,998,525,1816,DWH
0,262,725,261,1832,WDH
0,184,204,5,1832,DWH
0,824,363,31,1861,DWH
0,203,980,1,1861,WDH
0,109,1000,177,1861,DWH
0,441,735,451,1862,DWH
0,474,0,360,1862,WDH
0,105,0,0,1865,DWH
0,69,20,570,1871,WDH
0,203,349,481,1871,DWH
0,474,525,451,1881,DWH
0,70,688,31,1887,WDH
0,70,1037,500,1912,DWH
0,237,196,31,1922,DWH
0,237,706,261,1922,WDH
0,792,363,26,1966,DWH
0,50,0,332,1966,WDH
0,812,735,434,1966,DWH
0,175,998,41,1966,DWH
0,135,0,10,1966,DWH
0,292,1,590,1975,WDH
0,439,370,527,1975,DWH
0,474,525,434,1983,DWH
0,208,671,41,1983,WDH
0,104,1023,434,2001,DWH
0,260,671,238,2014,WDH
0,117,180,10,2014,DWH
0,812,735,434,2082,DWH
0,825,0,524,2082,WDH
0,393,0,47,2082,DWH
0,589,0,275,2082,WDH
0,727,670,10,2085,WDH
0,788,360,10,2085,DWH
0,374,920,238,2085,WDH
0,425,489,524,2085,DWH
0,498,1023,605,2105,DWH
1,845,453,570,0,WDH
1,742,396,285,0,WDH
1,742,396,0,0,WDH
1,845,0,570,0,WDH
1,742,792,0,0,WDH
1,744,792,285,0,WDH
1,742,0,0,0,WDH
1,742,0,285,0,WDH
1,709,906,570,0,WDH
1,311,0,571,159,WDH
1,824,906,436,159,DWH
1,94,906,286,159,WDH
1,502,397,587,159,WDH
1,476,366,382,163,WDH
1,864,12,0,163,DWH
1,661,301,0,163,WDH
1,502,850,0,163,WDH
1,72,796,563,159,DWH
1,72,796,286,159,DWH
1,859,906,603,267,WDH
1,900,0,274,267,WDH
1,726,906,286,267,WDH
1,900,0,504,267,WDH
1,873,483,274,267,DWH
1,777,0,0,267,WDH
1,43,0,734,267,WDH
1,708,483,613,267,WDH
1,628,410,0,267,WDH
1,699,811,0,270,WDH
1,201,263,734,267,WDH
1,72,796,563,339,DWH
1,72,796,286,339,DWH
1,812,0,20,445,WDH
1,825,906,351,445,DWH
1,621,0,308,445,WDH
1,659,483,255,445,DWH
1,485,931,0,447,DWH
