bin,item,x,y,z,orientation
0,14,335,500,0,WDH
0,12,935,0,0,WDH
0,41,0,0,0,WDH
0,41,0,250,0,WDH
0,41,331,0,0,WDH
0,45,331,250,0,WDH
0,18,600,500,0,WDH
0,45,0,500,0,WDH
0,18,666,250,0,WDH
0,18,662,0,0,WDH
0,18,600,670,0,WDH
0,13,873,482,0,WDH
0,13,873,661,0,WDH
0,9,939,247,0,WDH
0,4,335,708,0,WDH
0,36,747,482,187,WDH
0,33,400,0,187,WDH
0,32,763,0,187,WDH
0,28,70,0,187,DWH
0,1,335,486,190,WDH
0,1,335,264,190,WDH
0,50,0,414,190,DWH
0,6,953,265,175,WDH
0,16,712,265,187,WDH
0,15,670,0,299,WDH
0,15,0,641,299,WDH
0,24,392,484,299,WDH
0,24,592,276,299,WDH
0,30,374,0,299,WDH
0,30,0,276,299,WDH
0,30,296,276,299,WDH
0,43,0,0,299,WDH
0,15,0,484,299,WDH
0,11,963,484,303,WDH
0,7,698,478,303,WDH
0,15,848,683,303,WDH
0,19,896,276,320,WDH
0,26,0,666,454,WDH
0,34,744,0,454,WDH
0,1,0,0,454,WDH
0,1,372,0,454,WDH
0,1,0,444,454,WDH
0,5,372,444,454,WDH
0,1,0,222,454,WDH
0,1,372,222,454,WDH
0,33,965,449,458,DWH
0,33,743,449,459,DWH
0,16,946,266,470,WDH
0,35,0,639,557,WDH
0,27,357,36,557,WDH
0,35,0,237,557,WDH
0,35,0,438,557,WDH
0,35,372,243,557,WDH
0,8,714,40,557,WDH
0,27,0,36,557,WDH
0,36,372,444,565,WDH
0,51,973,322,572,DWH
0,20,197,237,686,WDH
0,20,197,438,686,WDH
0,20,197,639,686,WDH
0,46,504,346,686,WDH
0,46,504,593,686,WDH
0,37,912,286,686,WDH
0,38,860,571,686,WDH
0,23,18,237,686,DWH
0,23,18,533,686,DWH
0,31,714,40,690,WDH
0,21,0,0,690,WDH
0,39,277,0,690,WDH
0,3,0,205,845,DWH
0,51,722,553,857,WDH
0,51,722,286,857,WDH
0,22,714,99,845,WDH
0,19,0,549,845,DWH
0,31,376,286,857,WDH
0,11,173,549,857,WDH
0,7,450,549,857,WDH
0,10,53,11,858,WDH
0,17,197,223,857,DWH
0,39,277,0,892,WDH
0,48,0,219,925,DWH
0,25,993,621,969,WDH
0,40,722,286,969,WDH
0,42,722,507,969,WDH
0,2,1079,269,969,DWH
0,39,714,69,993,WDH
0,47,364,223,1002,DWH
0,47,173,549,1011,DWH
0,29,0,549,995,DWH
0,44,371,563,1013,DWH
0,44,0,15,1053,WDH
0,44,265,15,1094,WDH
0,49,4,219,1132,WDH
0,29,993,621,1132,WDH
0,29,1067,409,1181,DWH
0,44,798,82,1195,WDH
0,29,678,295,1213,DWH
0,29,851,334,1213,WDH
0,44,789,529,1213,DWH
0,10,371,339,1263,DWH
