bin,item,x,y,z,orientation
0,27,400,556,0,WDH
0,12,800,556,0,WDH
0,12,754,0,0,WDH
0,12,754,275,0,WDH
0,51,0,278,0,WDH
0,51,377,0,0,WDH
0,51,377,278,0,WDH
0,51,0,0,0,WDH
0,27,0,556,0,WDH
0,64,1103,122,0,DWH
0,64,1103,336,0,DWH
0,70,828,556,119,WDH
0,70,445,556,119,WDH
0,70,445,272,119,WDH
0,10,662,36,119,DWH
0,76,0,550,119,WDH
0,56,0,19,119,WDH
0,76,0,260,119,WDH
0,56,331,19,119,WDH
0,57,828,36,119,WDH
0,56,828,225,119,DWH
0,18,1086,315,126,DWH
0,59,1107,59,126,DWH
0,39,486,575,262,WDH
0,39,863,575,262,WDH
0,39,451,291,262,WDH
0,62,1070,329,262,DWH
0,7,132,569,262,WDH
0,7,97,285,262,WDH
0,37,750,0,267,WDH
0,37,260,0,267,WDH
0,35,60,0,267,DWH
0,48,830,275,267,DWH
0,50,16,670,267,DWH
0,26,946,575,367,WDH
0,26,652,575,367,WDH
0,60,532,0,367,WDH
0,60,886,0,367,WDH
0,60,476,275,367,WDH
0,26,238,0,367,WDH
0,72,97,285,371,WDH
0,82,830,275,371,WDH
0,32,132,569,371,WDH
0,17,446,569,371,DWH
0,67,473,70,463,DWH
0,26,946,577,463,WDH
0,26,652,577,463,WDH
0,15,830,21,463,WDH
0,29,184,64,463,WDH
0,23,132,417,532,DWH
0,15,830,275,531,WDH
0,67,453,64,561,DWH
0,23,817,555,561,WDH
0,62,482,577,545,DWH
0,7,886,0,545,WDH
0,36,652,577,559,DWH
0,48,184,64,589,DWH
0,41,119,592,602,WDH
0,62,207,391,602,WDH
0,41,877,324,612,WDH
0,41,817,555,631,WDH
0,63,505,298,659,WDH
0,73,450,0,659,WDH
0,73,845,0,659,WDH
0,5,489,577,659,DWH
0,67,125,326,710,DWH
0,41,845,316,713,WDH
0,47,657,555,678,DWH
0,49,125,37,693,WDH
0,25,825,547,732,WDH
0,67,488,50,801,DWH
0,67,125,326,808,DWH
0,9,845,72,794,WDH
0,24,845,316,814,WDH
0,30,482,614,794,DWH
0,73,87,28,838,WDH
0,24,845,528,852,WDH
0,46,643,591,817,WDH
0,65,482,28,899,WDH
0,65,482,309,899,WDH
0,34,23,326,906,WDH
0,34,23,512,906,WDH
0,61,845,28,918,WDH
0,61,845,222,923,WDH
0,13,495,591,936,DWH
0,49,23,37,970,WDH
0,49,845,451,970,WDH
0,13,643,641,970,WDH
0,10,309,102,970,DWH
0,3,265,698,906,WDH
0,50,95,722,906,WDH
0,49,559,301,1042,WDH
0,49,196,409,1042,WDH
0,49,559,12,1042,WDH
