bin,item,x,y,z,orientation
0,50,1039,314,0,WDH
0,50,1023,0,0,WDH
0,62,1084,597,0,DWH
0,20,0,628,0,WDH
0,75,682,0,0,WDH
0,65,682,597,0,WDH
0,75,0,0,0,WDH
0,75,341,0,0,WDH
0,44,211,628,0,WDH
0,75,341,314,0,WDH
0,44,432,628,0,WDH
0,69,682,314,0,WDH
0,75,0,314,0,WDH
0,55,1023,158,0,WDH
0,1,455,308,145,WDH
0,1,265,0,145,WDH
0,34,23,0,145,DWH
0,4,238,597,145,WDH
0,4,661,597,145,WDH
0,8,111,308,145,WDH
0,19,606,0,145,WDH
0,19,796,308,145,WDH
0,58,0,655,146,WDH
0,27,1102,601,148,DWH
0,38,1041,115,194,DWH
0,24,455,308,264,WDH
0,41,0,0,264,WDH
0,3,552,0,266,WDH
0,28,783,308,266,WDH
0,15,0,262,267,WDH
0,39,60,579,269,WDH
0,39,386,579,269,WDH
0,13,712,620,269,WDH
0,6,368,21,266,DWH
0,70,712,289,345,WDH
0,3,71,262,347,WDH
0,39,42,1,331,WDH
0,59,542,21,345,WDH
0,4,688,620,381,WDH
0,8,0,566,381,WDH
0,8,344,566,381,WDH
0,45,919,45,345,DWH
0,14,0,276,427,WDH
0,10,688,320,427,WDH
0,53,361,288,427,DWH
0,2,6,64,443,WDH
0,59,542,21,443,WDH
0,6,368,1,397,DWH
0,36,1036,284,427,DWH
0,30,32,566,503,WDH
0,30,360,566,503,WDH
0,4,789,620,505,WDH
0,72,0,0,543,WDH
0,72,542,21,543,WDH
0,11,742,403,537,WDH
0,38,542,386,537,WDH
0,38,324,365,537,WDH
0,5,0,365,537,WDH
0,36,1036,284,554,DWH
0,72,0,0,635,WDH
0,31,433,57,635,WDH
0,51,0,607,614,WDH
0,49,383,585,614,WDH
0,53,742,620,629,WDH
0,26,800,57,635,DWH
0,38,1047,668,635,WDH
0,49,760,365,639,WDH
0,29,0,368,668,WDH
0,32,336,370,673,WDH
0,70,338,34,728,WDH
0,54,1040,379,681,DWH
0,31,0,1,728,DWH
0,51,0,607,742,WDH
0,48,756,691,742,WDH
0,35,418,602,749,WDH
0,17,800,34,757,WDH
0,10,408,2,810,WDH
0,10,408,302,810,WDH
0,61,800,304,774,DWH
0,47,0,368,774,WDH
0,48,1006,372,810,DWH
0,69,51,19,821,WDH
0,55,1047,668,771,WDH
0,6,800,663,869,WDH
0,77,0,531,870,WDH
0,52,538,604,892,WDH
0,42,756,2,897,WDH
0,77,408,2,920,DWH
0,46,408,387,920,WDH
0,61,800,304,933,DWH
0,47,0,368,933,WDH
0,45,408,602,892,DWH
0,47,1006,413,937,DWH
0,33,0,0,965,WDH
0,46,254,89,965,DWH
0,40,571,570,1033,DWH
0,77,23,578,1033,WDH
0,68,756,2,1034,WDH
0,55,1050,690,965,WDH
0,12,807,664,1000,WDH
0,68,408,11,1083,WDH
0,77,408,279,1083,WDH
0,45,442,599,1072,DWH
0,68,793,279,1096,WDH
0,47,0,368,1092,WDH
0,7,27,0,1113,DWH
0,45,279,149,1128,DWH
0,40,175,599,1204,WDH
0,40,571,570,1204,DWH
0,68,756,2,1204,WDH
0,55,1050,664,1159,WDH
0,56,800,598,1204,WDH
0,45,0,602,1204,DWH
0,67,436,289,1246,WDH
0,21,408,86,1251,WDH
0,9,0,348,1251,WDH
0,45,442,570,1252,DWH
0,45,800,276,1264,WDH
0,21,800,405,1264,WDH
0,64,0,19,1280,DWH
0,56,129,601,1375,WDH
0,67,756,12,1375,WDH
0,25,595,547,1375,DWH
0,56,848,598,1395,WDH
0,71,408,86,1436,DWH
0,57,0,348,1436,WDH
0,57,408,436,1436,DWH
0,25,881,270,1446,WDH
0,37,655,270,1446,WDH
0,37,0,0,1476,WDH
0,60,0,181,1476,WDH
0,60,633,459,1566,DWH
0,73,778,44,1566,WDH
0,73,44,614,1566,WDH
0,57,793,599,1586,WDH
0,63,408,86,1632,WDH
0,57,0,341,1632,WDH
0,37,887,270,1632,WDH
0,23,338,310,1632,WDH
0,43,402,472,1632,DWH
0,23,0,19,1658,WDH
0,18,588,310,1632,WDH
0,76,0,603,1784,WDH
0,66,778,42,1784,WDH
0,76,793,542,1784,WDH
0,22,588,458,1792,DWH
0,16,0,181,1702,WDH
0,74,809,287,1814,WDH
0,43,338,124,1825,WDH
0,74,598,9,1825,DWH
