bin,item,x,y,z,orientation
0,1,672,0,0,WDH
0,20,352,0,0,WDH
0,1,672,222,0,WDH
0,50,0,284,0,WDH
0,20,352,234,0,WDH
0,20,0,556,0,WDH
0,20,352,468,0,WDH
0,6,672,444,0,WDH
0,19,0,0,0,WDH
0,14,1036,28,0,DWH
0,41,913,620,0,WDH
0,8,543,707,0,WDH
0,9,1008,335,0,DWH
0,8,728,707,0,WDH
0,8,358,707,0,WDH
0,51,352,6,171,WDH
0,51,352,354,171,WDH
0,51,0,383,171,DWH
0,7,809,108,171,DWH
0,44,0,3,171,DWH
0,28,854,390,183,WDH
0,2,997,0,184,DWH
0,10,352,702,183,WDH
0,28,809,354,278,WDH
0,48,3,435,297,DWH
0,51,352,354,297,WDH
0,48,405,5,297,WDH
0,48,800,5,297,WDH
0,25,38,3,302,DWH
0,12,948,608,373,WDH
0,12,948,376,373,WDH
0,33,368,299,424,WDH
0,33,368,0,424,WDH
0,33,0,0,424,WDH
0,34,0,598,424,WDH
0,33,0,299,424,WDH
0,31,736,0,424,WDH
0,5,736,256,424,WDH
0,42,855,538,469,WDH
0,18,1025,379,469,WDH
0,17,385,598,424,WDH
0,38,790,0,568,WDH
0,48,0,0,568,WDH
0,4,0,349,568,WDH
0,30,395,300,568,WDH
0,38,395,0,568,WDH
0,30,0,579,571,WDH
0,47,824,379,576,WDH
0,18,395,561,600,WDH
0,26,11,250,697,WDH
0,32,156,0,697,WDH
0,32,325,250,697,WDH
0,40,857,0,697,WDH
0,32,704,464,697,WDH
0,52,1026,250,697,DWH
0,52,647,250,697,WDH
0,52,478,0,697,WDH
0,44,11,476,700,WDH
0,26,421,474,702,DWH
0,5,0,0,697,DWH
0,24,0,573,831,WDH
0,2,527,0,902,WDH
0,42,855,0,902,WDH
0,18,1025,302,902,WDH
0,23,156,279,911,WDH
0,23,156,0,911,WDH
0,23,527,243,911,DWH
0,46,815,461,911,WDH
0,15,421,619,911,WDH
0,24,0,573,973,WDH
0,11,949,215,1009,WDH
0,13,526,0,1009,WDH
0,44,815,461,1055,WDH
0,14,872,0,1009,WDH
0,27,156,310,1071,WDH
0,45,546,199,1071,DWH
0,45,156,61,1071,WDH
0,26,458,562,1106,WDH
0,27,68,562,1115,WDH
0,45,872,204,1156,WDH
0,21,546,6,1169,WDH
0,35,900,622,1186,WDH
0,35,900,453,1186,WDH
0,35,909,0,1193,WDH
0,15,626,207,1256,DWH
0,39,274,101,1256,WDH
0,36,87,375,1262,WDH
0,49,336,365,1262,WDH
0,3,120,39,1256,DWH
0,29,516,558,1310,WDH
0,37,238,558,1310,WDH
0,37,61,558,1310,DWH
0,49,795,207,1341,WDH
0,16,1087,169,1341,DWH
0,49,546,6,1396,WDH
0,43,869,400,1426,DWH
0,16,1087,444,1426,DWH
0,16,965,16,1433,WDH
0,22,246,111,1527,WDH
0,36,61,375,1537,WDH
