bin,item,x,y,z,orientation
0,59,0,0,0,WDH
0,35,589,584,0,WDH
0,35,912,584,0,WDH
0,2,905,322,0,WDH
0,2,589,322,0,WDH
0,20,0,644,0,WDH
0,30,280,644,0,WDH
0,59,0,322,0,WDH
0,59,589,0,0,WDH
0,14,198,154,103,WDH
0,14,198,399,103,WDH
0,14,913,21,103,WDH
0,11,526,176,103,WDH
0,5,11,45,103,DWH
0,43,9,345,103,DWH
0,58,839,553,103,WDH
0,58,552,439,103,DWH
0,58,839,266,103,WDH
0,30,526,6,103,WDH
0,22,0,650,105,WDH
0,22,280,650,109,WDH
0,13,208,10,103,WDH
0,15,921,154,237,WDH
0,15,573,381,237,WDH
0,1,573,154,237,WDH
0,47,198,493,237,WDH
0,18,0,0,237,DWH
0,47,198,154,237,WDH
0,25,839,626,237,WDH
0,25,858,405,237,WDH
0,30,0,595,237,DWH
0,30,0,350,237,DWH
0,16,573,619,237,WDH
0,29,1002,0,237,WDH
0,32,170,586,333,WDH
0,32,170,350,333,WDH
0,10,0,0,333,WDH
0,32,573,154,333,WDH
0,37,910,154,333,WDH
0,17,573,390,333,DWH
0,63,790,390,346,WDH
0,16,326,114,333,DWH
0,21,0,257,346,DWH
0,16,337,154,415,WDH
0,41,1001,712,346,WDH
0,41,790,712,346,WDH
0,26,865,443,468,WDH
0,31,524,448,468,WDH
0,16,976,262,468,WDH
0,35,201,457,478,WDH
0,2,660,181,478,WDH
0,3,18,74,478,WDH
0,24,17,420,496,DWH
0,19,337,154,497,WDH
0,29,1002,5,449,WDH
0,38,967,599,551,WDH
0,38,694,599,551,WDH
0,38,999,326,551,DWH
0,57,201,420,581,WDH
0,57,608,154,581,WDH
0,12,0,257,496,WDH
0,17,0,40,593,WDH
0,48,373,119,626,DWH
0,46,0,414,617,DWH
0,27,608,444,551,WDH
0,8,674,597,680,WDH
0,8,957,597,680,WDH
0,19,1026,326,680,DWH
0,33,1002,5,661,WDH
0,61,332,154,701,WDH
0,67,250,444,701,WDH
0,67,639,154,701,WDH
0,48,0,0,729,WDH
0,48,33,419,760,DWH
0,33,70,217,729,WDH
0,23,1014,246,815,DWH
0,42,645,544,815,DWH
0,67,882,564,815,WDH
0,69,391,265,858,WDH
0,46,4,18,798,WDH
0,34,1008,1,820,DWH
0,28,33,419,829,DWH
0,36,244,557,858,WDH
0,9,33,220,888,WDH
0,21,4,51,941,WDH
0,61,575,551,965,WDH
0,64,909,564,972,WDH
0,56,917,0,972,WDH
0,66,1,419,972,DWH
0,64,983,233,974,DWH
0,39,345,279,979,DWH
0,64,551,294,979,WDH
0,36,302,551,1000,WDH
0,27,617,129,858,WDH
0,46,4,217,1061,WDH
0,21,4,51,1091,WDH
0,46,612,622,1117,WDH
0,56,917,448,1145,WDH
0,56,20,419,1145,DWH
0,56,252,551,1145,WDH
0,56,917,0,1145,WDH
0,56,917,224,1145,WDH
0,34,306,319,1149,WDH
0,40,624,130,1122,WDH
0,70,551,310,1150,WDH
0,40,982,676,1145,WDH
0,21,4,51,1241,WDH
0,4,20,252,1204,WDH
0,34,624,551,1260,DWH
0,34,306,310,1298,WDH
0,54,886,437,1318,WDH
0,54,31,442,1318,DWH
0,54,886,198,1318,WDH
0,54,270,557,1318,WDH
0,51,886,9,1318,WDH
0,49,597,91,1322,WDH
0,71,568,294,1333,WDH
0,34,0,0,1391,WDH
0,34,637,539,1409,WDH
0,34,270,325,1447,WDH
0,6,10,232,1405,WDH
0,65,956,677,1345,WDH
0,45,245,0,1391,DWH
0,44,980,0,1523,WDH
0,60,270,557,1537,WDH
0,60,886,198,1537,DWH
0,4,10,425,1537,WDH
0,4,597,91,1537,WDH
0,4,10,592,1537,WDH
0,34,0,0,1547,WDH
0,68,536,274,1547,WDH
0,62,637,539,1558,DWH
0,71,270,243,1596,DWH
0,44,3,248,1596,WDH
0,49,955,637,1637,WDH
0,68,536,274,1728,WDH
0,54,63,0,1696,WDH
0,51,893,0,1707,WDH
0,53,914,189,1739,WDH
0,50,0,499,1739,DWH
0,45,597,86,1739,WDH
0,45,187,668,1739,WDH
0,45,412,668,1739,WDH
0,55,214,337,1810,WDH
0,52,637,611,1783,WDH
0,7,914,440,1739,WDH
0,52,936,611,1852,WDH
0,45,3,248,1783,DWH
1,7,0,0,0,WDH
1,7,0,161,0,WDH
