bin,item,x,y,z,orientation
0,540,1035,321,0,DWH
0,442,307,635,0,WDH
0,1,0,635,0,WDH
0,651,528,321,0,WDH
0,209,528,599,0,WDH
0,209,875,599,0,WDH
0,131,985,0,0,DWH
0,636,0,314,0,WDH
0,636,528,0,0,WDH
0,618,0,0,0,WDH
0,586,917,275,97,WDH
0,138,247,28,97,WDH
0,127,0,20,97,WDH
0,555,9,182,97,DWH
0,686,547,536,97,WDH
0,686,547,232,97,WDH
0,584,849,581,97,WDH
0,611,897,34,97,WDH
0,674,515,19,97,WDH
0,686,245,536,97,WDH
0,555,9,511,97,DWH
0,686,245,232,97,WDH
0,573,737,556,294,WDH
0,693,306,539,294,WDH
0,703,67,3,294,WDH
0,693,306,238,294,WDH
0,703,458,3,294,WDH
0,605,850,22,294,WDH
0,573,737,272,294,WDH
0,645,24,429,294,DWH
0,288,13,239,294,WDH
0,2,38,568,430,WDH
0,382,837,272,430,WDH
0,382,434,272,430,WDH
0,501,449,593,430,WDH
0,523,23,272,430,WDH
0,347,829,593,430,WDH
0,493,369,0,434,WDH
0,493,0,0,434,WDH
0,510,1024,0,434,DWH
0,114,738,0,434,WDH
0,712,483,311,511,WDH
0,592,0,0,511,WDH
0,697,973,436,511,DWH
0,552,973,0,511,DWH
0,364,829,593,511,DWH
0,646,483,0,511,WDH
0,579,0,322,511,WDH
0,683,436,572,513,WDH
0,552,0,578,513,WDH
0,201,981,19,639,DWH
0,593,141,57,639,DWH
0,702,538,12,639,WDH
0,381,808,603,639,DWH
0,251,988,384,639,DWH
0,254,2,313,639,DWH
0,254,2,57,639,DWH
0,47,483,321,642,WDH
0,468,0,580,642,WDH
0,422,437,581,643,WDH
0,254,840,321,642,DWH
0,344,422,580,721,WDH
0,92,507,299,745,WDH
0,651,0,0,745,WDH
0,533,507,0,745,WDH
0,610,0,278,745,WDH
0,468,0,579,745,WDH
0,359,981,376,745,WDH
0,47,981,19,745,DWH
0,468,762,580,745,WDH
0,154,464,576,785,WDH
0,563,40,489,841,WDH
0,467,211,350,841,WDH
0,33,768,416,841,DWH
0,646,929,350,841,DWH
0,567,298,31,841,WDH
0,364,3,351,841,WDH
0,646,750,39,841,WDH
0,18,466,372,841,WDH
0,167,23,14,841,DWH
0,505,481,576,842,WDH
0,154,466,576,928,WDH
0,118,0,561,966,WDH
0,363,764,610,966,DWH
0,331,23,6,966,DWH
0,160,0,388,966,WDH
0,9,466,355,966,WDH
0,13,301,0,969,DWH
0,230,858,289,969,WDH
0,230,453,0,969,WDH
0,77,934,582,969,WDH
0,427,835,0,969,WDH
0,440,211,350,970,WDH
0,487,429,615,985,WDH
0,454,835,13,1059,WDH
0,454,429,564,1059,WDH
0,155,450,338,1059,WDH
0,347,805,602,1059,WDH
0,230,47,547,1064,WDH
0,295,69,377,1064,WDH
0,230,453,0,1064,WDH
0,230,858,289,1064,WDH
0,204,8,24,1064,DWH
0,13,287,45,1066,DWH
0,422,869,0,1141,WDH
0,98,497,557,1141,WDH
0,155,848,582,1141,WDH
0,471,488,293,1146,WDH
0,98,0,176,1158,DWH
0,524,0,7,1158,WDH
0,29,848,291,1158,WDH
0,29,453,2,1158,WDH
0,48,0,521,1158,WDH
0,524,284,41,1163,DWH
0,345,287,293,1163,DWH
0,98,488,557,1228,WDH
0,155,848,582,1228,WDH
0,98,834,2,1228,WDH
0,331,13,176,1237,DWH
0,393,483,2,1237,WDH
0,468,757,279,1237,WDH
0,317,461,279,1237,WDH
0,504,13,520,1245,WDH
0,216,0,0,1245,WDH
0,192,303,0,1245,DWH
0,528,301,279,1260,DWH
0,547,499,557,1307,WDH
0,98,895,0,1307,WDH
0,470,856,539,1315,WDH
0,173,8,0,1331,WDH
0,471,541,0,1331,WDH
0,83,490,279,1331,WDH
0,56,164,557,1331,WDH
0,56,9,176,1331,DWH
0,224,12,557,1331,DWH
0,341,1009,279,1333,WDH
0,298,757,279,1333,WDH
0,449,323,3,1342,DWH
0,510,304,279,1355,DWH
0,603,558,524,1389,DWH
0,483,1028,698,1389,WDH
0,483,819,698,1389,WDH
0,600,709,524,1389,WDH
0,562,964,0,1389,WDH
0,600,973,524,1389,WDH
0,678,964,213,1414,DWH
0,112,757,279,1414,DWH
0,671,0,653,1428,WDH
0,213,420,213,1428,WDH
0,613,206,254,1428,WDH
0,613,0,254,1428,WDH
0,408,0,117,1428,WDH
0,408,420,371,1428,DWH
0,310,315,681,1428,WDH
0,310,420,54,1428,WDH
0,575,0,453,1428,WDH
0,575,210,453,1428,WDH
0,310,658,54,1428,WDH
0,168,282,12,1428,DWH
0,168,0,14,1428,WDH
0,63,558,384,1428,WDH
0,241,664,213,1428,DWH
0,510,757,279,1675,WDH
0,449,1019,263,1675,DWH
0,202,0,464,1727,DWH
0,470,709,483,1727,DWH
0,332,0,0,1734,WDH
0,220,306,464,1734,WDH
0,367,367,0,1734,DWH
0,449,976,45,1727,WDH
0,449,1022,579,1727,DWH
0,440,647,0,1734,WDH
0,449,758,263,1750,WDH
0,306,1058,275,1754,DWH
0,228,0,333,1734,WDH
0,498,367,329,1734,WDH
0,54,691,542,1794,WDH
0,71,256,28,1805,WDH
0,220,314,519,1805,WDH
0,148,14,464,1801,DWH
0,341,28,84,1805,WDH
0,141,1022,579,1806,DWH
0,141,976,45,1806,WDH
0,306,647,0,1825,WDH
0,216,755,275,1829,WDH
0,173,1058,275,1835,DWH
0,71,256,0,1880,WDH
0,71,256,301,1880,WDH
0,51,401,640,1880,WDH
0,677,691,478,1880,DWH
0,87,0,437,1880,WDH
0,137,0,606,1880,WDH
0,266,15,39,1886,DWH
0,51,951,0,1891,WDH
0,51,1022,579,1891,DWH
0,83,684,0,1906,WDH
0,530,748,294,1914,WDH
0,530,1022,310,1923,DWH
0,148,310,291,1952,WDH
0,29,303,0,1952,WDH
0,440,269,633,1985,WDH
0,530,0,656,1985,WDH
0,224,508,595,1985,DWH
0,54,691,478,1986,WDH
0,180,15,16,1993,DWH
0,440,30,449,1988,WDH
0,547,684,19,2003,WDH
0,406,1018,19,1996,DWH
0,406,1022,579,1996,DWH
0,406,684,291,2005,WDH
0,445,1022,331,2014,DWH
0,56,296,16,2030,WDH
0,47,296,284,2030,WDH
0,452,0,572,2079,WDH
0,430,775,485,2079,DWH
0,88,378,585,2079,WDH
0,231,15,18,2079,DWH
0,236,0,421,2079,WDH
0,263,631,16,2085,WDH
0,397,965,0,2091,DWH
0,445,1022,579,2091,DWH
0,160,736,301,2100,WDH
1,672,0,0,0,WDH
1,596,720,0,0,WDH
1,313,1099,0,0,DWH
1,672,0,335,0,WDH
1,532,1118,317,0,DWH
1,698,720,599,0,WDH
1,672,360,335,0,WDH
1,672,360,0,0,WDH
1,614,720,317,0,WDH
1,198,304,670,0,WDH
1,198,0,670,0,WDH
1,653,0,70,166,WDH
1,653,0,455,166,WDH
1,339,425,82,166,DWH
1,339,425,461,166,DWH
1,59,720,8,166,WDH
1,160,731,558,173,DWH
1,262,711,317,173,DWH
1,263,904,317,173,WDH
1,177,904,585,173,WDH
1,87,1071,70,173,DWH
1,595,687,325,273,WDH
1,412,81,688,273,WDH
1,664,687,8,273,WDH
1,595,303,8,273,WDH
1,559,316,317,273,WDH
1,179,697,634,273,WDH
1,179,323,634,273,WDH
1,338,1091,610,273,DWH
1,218,1084,317,273,DWH
1,418,23,8,273,DWH
1,559,6,317,273,DWH
1,75,1071,8,281,DWH
1,702,252,335,408,WDH
1,292,35,316,408,DWH
1,133,23,658,408,WDH
1,396,1074,32,408,DWH
1,396,1077,640,408,DWH
1,229,323,635,414,WDH
1,229,651,635,414,WDH
1,52,687,0,414,WDH
1,653,687,209,414,DWH
1,677,252,9,414,WDH
1,133,35,16,414,DWH
1,279,1087,232,415,DWH
1,705,323,375,516,DWH
1,240,0,688,516,WDH
1,240,1077,566,516,DWH
1,396,1016,46,516,WDH
1,518,660,644,516,WDH
1,52,0,8,517,DWH
1,59,0,337,517,DWH
1,677,334,13,520,DWH
1,653,660,219,521,DWH
1,291,660,3,523,WDH
1,507,1047,219,527,DWH
1,548,209,52,520,DWH
1,705,0,503,623,WDH
1,291,660,3,623,WDH
1,240,1064,566,623,DWH
1,240,0,351,623,WDH
1,240,460,375,623,DWH
1,240,790,688,623,WDH
1,518,460,649,623,WDH
1,677,334,13,626,DWH
1,240,0,77,626,DWH
1,677,660,318,628,WDH
1,64,1010,43,624,WDH
1,160,1032,219,643,WDH
1,236,166,69,666,DWH
1,89,284,380,623,WDH
1,84,1032,392,643,WDH
1,66,660,219,628,WDH
1,439,681,25,723,WDH
1,307,10,573,723,DWH
1,686,158,536,723,WDH
1,281,460,649,726,WDH
1,465,781,644,730,WDH
1,541,461,375,730,DWH
