bin,item,x,y,z,orientation
0,727,0,444,0,WDH
0,711,291,222,0,WDH
0,463,1039,444,0,DWH
0,720,0,0,0,WDH
0,381,793,444,0,WDH
0,711,291,0,0,WDH
0,381,853,659,0,WDH
0,720,0,222,0,WDH
0,418,1103,0,0,DWH
0,800,555,659,0,WDH
0,800,257,659,0,WDH
0,896,567,0,0,WDH
0,896,835,0,0,WDH
0,2,0,670,0,WDH
0,896,257,444,0,WDH
0,896,835,215,0,WDH
0,896,525,444,0,WDH
0,896,567,215,0,WDH
0,304,1099,659,0,WDH
0,589,1103,201,0,DWH
0,565,3,465,267,WDH
0,282,706,343,269,DWH
0,665,291,634,269,WDH
0,591,291,0,269,WDH
0,308,706,0,269,WDH
0,591,291,317,269,WDH
0,118,1010,551,272,DWH
0,118,2,214,272,WDH
0,565,37,9,272,WDH
0,314,1003,343,272,WDH
0,605,1099,77,277,DWH
0,430,44,682,277,WDH
0,594,797,723,272,WDH
0,14,719,0,334,WDH
0,553,295,0,334,WDH
0,553,295,402,334,WDH
0,538,10,444,334,WDH
0,155,719,309,335,DWH
0,118,2,214,339,WDH
0,565,2,9,339,WDH
0,419,1025,542,339,DWH
0,445,980,356,367,WDH
0,703,1099,77,370,DWH
0,532,426,0,413,WDH
0,532,0,364,413,WDH
0,744,448,364,413,WDH
0,276,874,0,413,DWH
0,798,0,0,413,WDH
0,180,1025,577,421,DWH
0,430,448,688,413,WDH
0,122,909,364,440,WDH
0,608,769,693,413,WDH
0,647,290,698,413,WDH
0,334,769,0,501,WDH
0,838,376,0,501,WDH
0,544,1025,577,501,DWH
0,297,279,456,501,DWH
0,708,0,0,501,DWH
0,103,0,456,501,DWH
0,744,440,356,503,WDH
0,87,461,682,508,WDH
0,85,901,356,518,WDH
0,430,769,682,540,WDH
0,161,376,342,600,WDH
0,571,769,0,600,WDH
0,161,0,0,600,DWH
0,631,0,474,600,WDH
0,419,1025,577,600,DWH
0,593,305,0,602,WDH
0,328,376,647,602,WDH
0,307,853,318,607,WDH
0,285,776,651,635,WDH
0,596,368,318,680,WDH
0,596,755,0,680,WDH
0,408,29,0,680,DWH
0,180,1034,620,682,DWH
0,14,0,470,687,DWH
0,122,466,651,689,WDH
0,437,329,0,691,WDH
0,638,863,328,696,WDH
0,285,785,620,713,WDH
0,693,347,635,696,DWH
0,739,434,34,762,WDH
0,749,61,465,762,DWH
0,830,887,7,762,WDH
0,739,434,327,762,WDH
0,289,1050,677,762,WDH
0,816,0,0,763,WDH
0,520,0,285,763,WDH
0,40,478,620,767,WDH
0,314,797,620,792,WDH
0,638,863,328,792,WDH
0,682,785,638,888,WDH
0,307,863,361,888,WDH
0,14,870,0,908,WDH
0,205,5,463,908,WDH
0,334,405,165,917,WDH
0,430,616,16,917,WDH
0,87,308,7,917,WDH
0,87,0,7,917,WDH
0,334,361,472,917,WDH
0,334,0,165,917,WDH
0,138,1041,620,917,DWH
0,285,785,656,977,WDH
0,205,0,533,977,WDH
0,205,863,313,977,WDH
0,208,863,7,982,WDH
0,553,3,52,1013,DWH
0,110,549,9,1013,WDH
0,553,452,218,1013,WDH
0,110,452,620,1013,WDH
0,22,3,533,1046,WDH
0,63,865,313,1046,WDH
0,138,1050,620,1025,DWH
0,538,766,620,1055,WDH
0,238,927,0,1059,WDH
0,538,485,620,1082,WDH
0,538,646,0,1082,WDH
0,596,3,242,1083,WDH
0,22,488,274,1083,WDH
0,505,3,3,1083,WDH
0,294,377,56,1083,WDH
0,22,866,313,1128,WDH
0,22,3,533,1128,WDH
0,505,866,572,1133,WDH
0,508,941,27,1134,WDH
0,538,636,56,1160,WDH
0,122,485,620,1160,WDH
0,387,315,242,1165,WDH
0,387,636,262,1165,DWH
0,387,3,242,1165,WDH
0,387,65,12,1167,WDH
0,468,377,12,1176,WDH
0,584,3,533,1210,WDH
0,572,866,313,1210,WDH
0,387,941,1,1217,DWH
0,387,795,576,1217,WDH
0,670,642,1,1238,WDH
0,670,496,576,1238,WDH
0,584,3,283,1242,WDH
0,450,496,296,1242,WDH
0,572,20,12,1244,WDH
0,468,407,47,1255,WDH
0,682,941,1,1298,WDH
0,584,3,533,1298,WDH
0,525,814,296,1298,WDH
0,613,814,565,1298,WDH
0,670,642,1,1331,WDH
0,441,528,416,1331,DWH
0,441,68,247,1331,WDH
0,83,24,0,1331,WDH
0,659,520,264,1331,WDH
0,314,443,1,1334,DWH
0,62,135,570,1387,WDH
0,62,847,320,1387,WDH
0,62,847,580,1387,WDH
0,314,956,1,1387,WDH
0,306,0,537,1387,DWH
0,122,642,52,1424,WDH
0,450,318,0,1431,WDH
0,450,318,280,1431,WDH
0,682,0,280,1431,WDH
0,450,0,0,1431,WDH
0,328,642,238,1431,DWH
0,578,528,570,1431,WDH
0,62,847,320,1482,WDH
0,314,956,1,1482,WDH
0,62,847,580,1482,WDH
0,457,140,580,1482,WDH
0,468,636,0,1502,WDH
0,611,458,0,1520,DWH
0,876,0,0,1520,WDH
0,365,528,570,1520,WDH
0,113,0,324,1520,WDH
0,222,636,187,1520,DWH
0,113,256,324,1520,WDH
0,64,0,533,1501,DWH
0,431,847,320,1577,DWH
0,594,519,350,1520,DWH
0,328,871,0,1577,WDH
0,83,145,570,1578,WDH
0,297,636,26,1581,WDH
0,338,145,333,1623,WDH
0,876,0,0,1631,WDH
0,611,458,0,1631,DWH
0,365,528,570,1631,WDH
0,299,636,187,1631,DWH
0,331,847,720,1578,WDH
0,473,847,266,1650,WDH
0,247,847,453,1650,WDH
0,613,871,0,1664,WDH
0,613,204,570,1673,WDH
0,306,15,501,1650,DWH
0,430,621,0,1678,WDH
0,619,503,331,1664,DWH
0,553,47,0,1742,WDH
0,611,150,402,1712,WDH
0,6,528,608,1747,WDH
0,85,894,615,1747,WDH
0,611,458,0,1741,DWH
0,299,641,193,1741,DWH
0,659,929,463,1747,WDH
0,134,850,267,1750,WDH
0,247,909,0,1751,WDH
0,559,150,565,1760,WDH
0,430,0,593,1764,DWH
0,430,621,0,1773,WDH
0,430,472,308,1808,DWH
0,528,47,175,1812,WDH
0,659,47,23,1812,WDH
0,659,178,403,1822,WDH
