bin,item,x,y,z,orientation
0,438,566,0,0,WDH
0,438,283,230,0,WDH
0,438,0,460,0,WDH
0,438,283,463,0,WDH
0,332,816,425,0,WDH
0,332,816,616,0,WDH
0,340,0,230,0,WDH
0,340,0,0,0,WDH
0,292,1082,505,0,DWH
0,362,566,448,0,WDH
0,340,283,0,0,WDH
0,292,1082,233,0,DWH
0,362,566,233,0,WDH
0,337,842,0,0,WDH
0,113,0,693,0,WDH
0,113,539,696,0,WDH
0,337,816,233,0,WDH
0,113,283,696,0,WDH
0,98,1114,27,0,DWH
0,73,295,5,239,WDH
0,393,781,432,239,WDH
0,73,542,5,239,WDH
0,435,781,616,239,WDH
0,276,0,12,239,WDH
0,220,1108,35,239,DWH
0,220,1121,459,239,DWH
0,435,0,156,239,WDH
0,435,398,616,239,WDH
0,435,398,392,239,WDH
0,435,383,156,239,WDH
0,120,1082,202,239,DWH
0,349,0,380,239,WDH
0,349,0,610,239,WDH
0,419,797,202,243,WDH
0,326,803,0,243,WDH
0,181,801,431,442,WDH
0,96,530,1,442,WDH
0,338,375,479,442,WDH
0,338,14,434,442,DWH
0,77,819,628,442,WDH
0,338,375,118,442,WDH
0,338,14,28,442,DWH
0,77,801,219,445,WDH
0,274,834,0,446,WDH
0,170,1127,438,445,DWH
0,108,801,3,549,WDH
0,274,834,661,561,WDH
0,243,29,6,561,DWH
0,406,293,76,561,WDH
0,406,293,458,561,WDH
0,225,866,455,561,WDH
0,358,24,342,561,DWH
0,114,801,219,563,WDH
0,108,801,3,613,WDH
0,20,1115,242,563,DWH
0,311,35,413,662,DWH
0,202,876,232,662,WDH
0,280,870,444,662,WDH
0,437,311,630,666,WDH
0,429,554,225,666,WDH
0,266,571,52,666,WDH
0,367,871,640,666,WDH
0,437,339,27,666,DWH
0,426,549,403,666,WDH
0,437,591,630,666,WDH
0,426,324,307,666,DWH
0,1,0,222,668,WDH
0,434,0,0,668,WDH
0,361,837,0,677,WDH
0,353,870,225,757,WDH
0,286,870,478,757,WDH
0,366,0,396,757,DWH
0,306,804,5,874,WDH
0,290,871,233,930,WDH
0,108,871,424,930,WDH
0,108,0,180,930,WDH
0,86,28,404,932,DWH
0,23,506,5,946,WDH
0,439,357,225,946,WDH
0,38,584,594,946,WDH
0,260,871,640,946,WDH
0,299,892,0,968,WDH
0,280,327,594,946,WDH
0,133,348,5,946,DWH
0,42,871,227,1000,DWH
0,199,0,113,1000,WDH
0,86,0,396,1009,DWH
0,423,527,45,1018,DWH
0,158,340,302,1018,DWH
0,228,585,640,1020,WDH
0,228,871,640,1023,WDH
0,38,871,14,1027,WDH
0,38,299,612,1041,WDH
0,225,348,5,1048,DWH
0,211,0,444,1091,DWH
0,144,871,268,1091,DWH
0,144,0,24,1091,DWH
0,207,521,5,1101,WDH
0,217,897,5,1101,WDH
0,144,348,266,1101,WDH
0,207,284,600,1115,WDH
0,14,660,661,1108,WDH
0,14,923,661,1108,WDH
0,96,754,389,1105,DWH
0,211,0,372,1177,DWH
0,211,897,257,1177,DWH
0,144,0,0,1177,DWH
0,44,452,5,1187,WDH
0,217,934,0,1185,WDH
0,207,284,600,1198,WDH
0,274,284,421,1187,WDH
0,283,660,661,1204,WDH
0,225,979,667,1204,WDH
0,311,0,413,1262,DWH
0,31,897,253,1262,DWH
0,375,330,34,1262,WDH
0,19,42,7,1263,DWH
0,48,897,0,1269,WDH
0,207,258,600,1281,WDH
0,306,277,380,1290,WDH
0,181,659,655,1301,WDH
0,151,897,393,1357,WDH
0,40,0,383,1357,DWH
0,405,42,5,1357,WDH
0,199,924,41,1357,DWH
0,405,483,5,1357,WDH
0,207,283,600,1364,WDH
0,40,217,383,1384,WDH
0,274,659,655,1410,WDH
0,323,0,602,1453,WDH
0,172,0,265,1453,DWH
0,406,705,1,1453,WDH
0,406,217,1,1453,WDH
0,325,0,0,1453,DWH
0,325,359,676,1453,WDH
0,407,774,393,1454,WDH
0,40,248,383,1480,WDH
0,133,626,676,1513,WDH
0,52,882,0,1558,DWH
0,306,0,367,1558,DWH
0,298,248,600,1558,WDH
0,405,0,0,1558,WDH
0,405,441,0,1558,WDH
0,171,882,387,1567,WDH
0,306,220,367,1576,WDH
0,247,753,393,1567,DWH
0,57,904,0,1652,DWH
0,248,220,587,1652,WDH
0,34,904,489,1652,WDH
0,306,0,367,1652,DWH
0,355,456,27,1654,WDH
0,355,30,27,1654,WDH
0,105,220,367,1670,WDH
0,408,938,24,1722,DWH
0,255,753,393,1690,DWH
0,106,954,494,1746,DWH
0,248,220,587,1746,WDH
0,128,0,0,1761,WDH
0,11,334,0,1761,WDH
0,105,0,509,1746,DWH
0,11,220,316,1777,WDH
0,291,681,0,1761,DWH
0,408,916,0,1818,DWH
0,248,220,587,1833,WDH
0,436,793,465,1833,WDH
0,295,0,3,1846,WDH
0,48,416,2,1846,DWH
0,291,220,316,1857,WDH
0,75,669,2,1857,DWH
0,12,18,528,1853,DWH
0,52,936,0,1914,DWH
0,100,220,551,1920,WDH
0,52,853,387,1925,WDH
0,273,326,0,1939,WDH
0,100,0,0,1939,WDH
0,48,326,255,1951,WDH
0,273,658,0,1951,DWH
0,12,0,529,1956,DWH
0,354,202,537,2003,WDH
0,277,936,1,2003,DWH
0,347,853,387,2014,DWH
0,48,27,34,2019,WDH
0,273,326,0,2028,WDH
0,226,192,348,1951,DWH
0,48,326,255,2040,WDH
0,48,658,0,2040,DWH
0,12,0,529,2059,DWH
1,356,440,0,0,WDH
1,335,0,293,0,WDH
1,422,838,0,0,WDH
1,422,850,538,0,WDH
1,382,440,284,0,WDH
1,364,440,538,0,WDH
1,399,849,284,0,WDH
1,377,0,586,0,WDH
1,335,0,0,0,WDH
1,411,568,165,153,WDH
1,411,904,165,153,WDH
1,251,278,2,153,WDH
1,251,17,494,153,WDH
1,231,300,175,153,WDH
1,251,10,197,153,WDH
1,251,17,667,153,WDH
1,126,692,19,153,WDH
1,126,4,29,153,WDH
1,352,307,412,153,WDH
1,352,307,626,153,WDH
1,396,928,605,153,WDH
1,56,105,389,153,WDH
1,396,616,370,153,WDH
1,396,616,605,153,WDH
1,126,966,19,153,WDH
1,396,928,370,153,WDH
1,220,568,2,153,DWH
1,239,278,3,364,WDH
1,84,920,166,364,WDH
1,67,920,283,364,DWH
1,403,0,506,364,DWH
1,285,616,346,364,WDH
1,29,616,166,364,WDH
1,204,982,614,364,WDH
1,399,616,605,364,WDH
1,135,10,181,364,WDH
1,84,16,3,365,WDH
1,331,61,370,365,WDH
1,190,929,0,365,WDH
1,190,618,0,365,WDH
1,394,292,175,372,DWH
1,159,275,626,372,WDH
