bin,item,x,y,z,orientation
0,81,0,0,0,WDH
0,72,758,289,0,WDH
0,83,379,556,0,WDH
0,83,0,556,0,WDH
0,11,1070,289,0,DWH
0,83,0,289,0,WDH
0,83,461,0,0,WDH
0,55,840,0,0,WDH
0,83,379,289,0,WDH
0,55,758,545,0,WDH
0,57,1044,545,0,DWH
0,51,1126,0,0,DWH
0,90,0,306,143,WDH
0,80,461,61,143,WDH
0,90,424,573,143,WDH
0,90,0,573,143,WDH
0,21,931,73,143,DWH
0,7,424,324,143,WDH
0,8,848,582,143,DWH
0,61,726,324,145,WDH
0,59,1070,289,145,DWH
0,63,0,78,146,WDH
0,63,232,74,146,DWH
0,36,1006,644,150,WDH
0,17,1110,73,166,DWH
0,16,0,363,256,WDH
0,21,750,363,256,DWH
0,21,1006,644,256,WDH
0,7,931,289,256,WDH
0,47,0,614,256,WDH
0,37,363,596,256,WDH
0,48,363,363,256,WDH
0,47,251,0,256,DWH
0,16,0,0,256,DWH
0,31,455,0,260,WDH
0,15,912,0,260,DWH
0,14,727,596,260,WDH
0,31,455,0,332,WDH
0,20,727,596,341,WDH
0,20,912,0,341,DWH
0,28,363,596,366,WDH
0,37,363,359,373,WDH
0,34,996,639,373,WDH
0,34,0,91,373,WDH
0,7,727,347,373,WDH
0,68,1029,276,373,DWH
0,37,0,250,373,DWH
0,35,0,614,375,WDH
0,47,251,0,375,DWH
0,4,455,0,404,WDH
0,20,703,618,424,WDH
0,20,912,67,424,WDH
0,28,363,596,452,WDH
0,62,455,0,478,WDH
0,1,0,235,491,DWH
0,2,0,575,491,WDH
0,3,972,337,491,WDH
0,3,0,44,491,WDH
0,43,363,355,491,WDH
0,43,972,528,491,DWH
0,43,655,355,491,WDH
0,38,222,44,494,DWH
0,7,879,20,507,WDH
0,59,716,657,507,WDH
0,62,539,20,562,WDH
0,59,460,657,538,WDH
0,17,337,632,538,DWH
0,36,1006,644,612,WDH
0,36,103,624,612,WDH
0,23,586,366,612,WDH
0,36,337,436,612,WDH
0,85,0,0,621,WDH
0,96,972,337,621,DWH
0,73,0,271,621,DWH
0,52,286,271,621,WDH
0,73,879,20,621,WDH
0,6,716,657,621,WDH
0,33,460,657,646,WDH
0,60,539,20,646,DWH
0,51,737,20,646,DWH
0,5,54,634,710,WDH
0,54,340,414,710,DWH
0,97,552,369,710,WDH
0,58,973,629,710,WDH
0,59,460,657,817,WDH
0,35,972,369,817,WDH
0,35,0,361,817,WDH
0,93,0,0,817,WDH
0,75,538,0,817,WDH
0,56,1019,0,817,WDH
0,56,716,657,817,DWH
0,56,1019,185,817,DWH
0,38,663,369,875,WDH
0,67,33,634,875,WDH
0,67,359,369,875,WDH
0,75,277,1,922,WDH
0,75,758,1,922,WDH
0,71,921,594,879,WDH
0,67,64,57,921,DWH
0,49,728,621,921,DWH
0,45,410,641,926,WDH
0,45,41,375,926,WDH
0,64,972,369,926,WDH
0,91,359,0,1027,WDH
0,75,759,0,1027,WDH
0,55,359,371,996,WDH
0,29,41,572,996,WDH
0,12,770,369,998,WDH
0,67,901,635,1037,WDH
0,10,645,371,998,DWH
0,26,41,72,1042,DWH
0,67,359,633,1062,WDH
0,41,728,621,1042,DWH
0,3,137,375,1062,WDH
0,17,14,378,1062,DWH
0,67,455,168,1131,WDH
0,67,55,633,1131,WDH
0,67,763,311,1132,DWH
0,67,763,108,1132,WDH
0,58,994,368,1077,DWH
0,67,936,637,1158,WDH
0,10,515,50,1131,WDH
0,41,327,16,1131,WDH
0,67,41,172,1181,WDH
0,51,759,0,1132,WDH
0,27,359,371,1137,WDH
0,26,359,566,1183,WDH
0,50,1073,75,1132,DWH
0,27,164,379,1198,DWH
0,67,0,637,1252,WDH
0,67,455,168,1252,WDH
0,67,759,311,1253,WDH
