bin,item,x,y,z,orientation
0,171,667,0,0,WDH
0,171,291,448,0,WDH
0,171,0,448,0,WDH
0,173,873,644,0,WDH
0,154,0,0,0,WDH
0,171,376,0,0,WDH
0,173,861,221,0,WDH
0,146,335,650,0,WDH
0,126,958,0,0,WDH
0,171,570,221,0,WDH
0,196,0,221,0,WDH
0,173,873,448,0,WDH
0,171,582,448,0,WDH
0,171,279,221,0,WDH
0,146,0,650,0,WDH
0,41,689,650,0,WDH
0,24,346,14,229,WDH
0,24,0,14,229,WDH
0,197,417,218,229,WDH
0,197,873,423,229,DWH
0,197,0,218,229,WDH
0,58,692,16,229,DWH
0,197,0,529,229,WDH
0,197,861,0,229,DWH
0,124,417,535,229,DWH
0,6,686,544,238,DWH
0,181,286,604,377,WDH
0,181,840,4,377,WDH
0,151,891,540,377,WDH
0,164,176,34,377,WDH
0,164,176,287,377,WDH
0,151,891,240,377,WDH
0,87,5,24,377,DWH
0,151,542,240,377,WDH
0,79,14,637,377,WDH
0,79,568,37,377,WDH
0,28,20,252,377,DWH
0,79,688,540,380,DWH
0,193,891,1,548,DWH
0,54,620,25,548,WDH
0,152,891,426,548,DWH
0,152,448,184,548,WDH
0,217,0,512,548,WDH
0,217,0,184,548,WDH
0,115,448,512,548,DWH
0,103,0,29,548,WDH
0,103,310,29,548,WDH
0,90,652,512,551,DWH
0,193,815,260,686,WDH
0,193,383,561,686,WDH
0,60,13,9,686,WDH
0,10,45,280,686,WDH
0,160,808,539,686,WDH
0,186,793,10,686,WDH
0,186,346,10,686,WDH
0,104,62,574,686,WDH
0,186,361,311,686,WDH
0,104,894,574,820,WDH
0,10,0,309,820,WDH
0,186,0,590,820,WDH
0,99,808,346,820,WDH
0,186,447,590,820,WDH
0,140,804,0,825,WDH
0,51,32,10,825,WDH
0,144,316,10,825,WDH
0,115,316,399,825,WDH
0,26,644,425,825,DWH
0,12,389,0,911,WDH
0,66,31,0,911,WDH
0,191,808,27,915,WDH
0,123,936,352,954,WDH
0,123,936,596,954,WDH
0,123,12,346,954,WDH
0,123,24,596,959,WDH
0,123,632,596,959,WDH
0,123,328,596,959,WDH
0,123,632,352,961,WDH
0,123,328,352,961,WDH
0,191,377,27,989,WDH
0,130,15,68,989,WDH
0,12,825,4,1013,WDH
0,140,946,404,1015,DWH
0,49,64,385,1015,WDH
0,49,24,596,1020,WDH
0,1,299,629,1020,WDH
0,100,568,603,1020,WDH
0,1,339,352,1022,DWH
0,57,550,352,1022,WDH
0,66,0,0,1083,WDH
0,191,789,0,1087,WDH
0,191,358,0,1087,WDH
0,12,358,319,1118,WDH
0,91,0,629,1105,WDH
0,34,33,352,1105,WDH
0,65,1005,319,1105,DWH
0,64,773,319,1118,DWH
0,42,773,612,1115,WDH
0,19,529,667,1116,WDH
0,131,301,667,1116,WDH
