bin,item,x,y,z,orientation
0,613,337,236,0,WDH
0,658,324,472,0,WDH
0,613,337,0,0,WDH
0,613,0,236,0,WDH
0,613,0,0,0,WDH
0,658,0,472,0,WDH
0,438,330,705,0,WDH
0,588,1021,0,0,DWH
0,560,674,645,0,WDH
0,386,0,705,0,WDH
0,588,1021,347,0,DWH
0,588,674,215,0,WDH
0,588,674,0,0,WDH
0,588,674,430,0,WDH
0,404,1017,703,0,WDH
0,588,694,430,221,WDH
0,560,0,645,221,WDH
0,588,0,215,221,WDH
0,588,347,430,221,WDH
0,560,674,645,221,WDH
0,588,694,215,221,WDH
0,588,694,0,221,WDH
0,481,1041,404,221,DWH
0,588,0,0,221,WDH
0,588,347,0,221,WDH
0,588,347,215,221,WDH
0,557,1041,0,221,DWH
0,588,0,430,221,WDH
0,481,315,645,222,WDH
0,540,989,701,245,WDH
0,620,767,512,442,WDH
0,620,294,512,442,WDH
0,620,294,184,442,WDH
0,620,767,184,442,WDH
0,231,10,6,442,DWH
0,399,13,404,442,DWH
0,196,941,1,442,WDH
0,196,642,1,442,WDH
0,196,343,1,442,WDH
0,620,294,184,535,WDH
0,231,0,0,535,DWH
0,620,767,184,535,WDH
0,620,294,512,535,WDH
0,620,767,512,535,WDH
0,240,284,0,543,WDH
0,240,600,0,543,WDH
0,413,0,398,543,DWH
0,429,916,0,543,WDH
0,663,133,561,628,WDH
0,663,133,282,628,WDH
0,50,2,654,628,DWH
0,663,871,561,628,WDH
0,663,871,3,628,WDH
0,663,502,561,628,WDH
0,130,4,509,628,DWH
0,663,133,3,628,WDH
0,130,4,364,628,DWH
0,663,502,282,628,WDH
0,663,502,3,628,WDH
0,663,871,282,628,WDH
0,540,0,180,628,DWH
0,540,0,0,628,DWH
0,311,157,0,808,DWH
0,604,856,606,808,WDH
0,592,360,0,808,WDH
0,676,339,586,808,WDH
0,592,800,303,808,WDH
0,592,800,0,808,WDH
0,439,156,415,808,WDH
0,669,409,303,808,WDH
0,273,161,586,808,DWH
0,193,0,420,814,DWH
0,59,0,611,814,DWH
0,193,11,224,824,DWH
0,193,11,33,824,DWH
0,585,161,12,948,WDH
0,606,609,246,948,WDH
0,105,0,620,948,DWH
0,410,1023,10,948,WDH
0,124,609,12,948,WDH
0,193,0,429,948,DWH
0,608,161,260,948,WDH
0,358,1023,170,948,DWH
0,124,800,592,948,WDH
0,585,339,590,949,WDH
0,203,158,586,953,DWH
0,105,3,12,953,DWH
0,193,15,232,953,DWH
0,106,3,594,1081,DWH
0,210,552,295,1081,WDH
0,210,552,549,1081,WDH
0,604,161,578,1081,WDH
0,210,894,549,1081,WDH
0,210,894,295,1081,WDH
0,46,943,12,1081,WDH
0,669,161,12,1081,WDH
0,446,3,232,1081,DWH
0,669,552,12,1081,WDH
0,669,161,295,1081,WDH
0,410,0,0,1083,DWH
0,662,525,0,1221,WDH
0,662,525,216,1221,WDH
0,624,202,603,1221,WDH
0,639,902,0,1221,WDH
0,639,902,250,1221,WDH
0,619,189,0,1221,WDH
0,26,24,0,1221,DWH
0,619,189,402,1221,WDH
0,619,189,201,1221,WDH
0,619,557,500,1221,WDH
0,552,893,500,1221,WDH
0,367,606,706,1221,WDH
0,367,923,706,1221,WDH
0,455,0,238,1226,DWH
0,107,0,536,1226,DWH
0,93,38,222,1375,DWH
0,55,0,621,1375,DWH
0,638,201,562,1453,WDH
0,587,0,192,1453,DWH
0,580,1023,48,1453,DWH
0,553,612,274,1453,WDH
0,612,612,4,1453,WDH
0,580,1023,444,1453,DWH
0,638,201,284,1453,WDH
0,314,0,31,1453,WDH
0,638,201,6,1453,WDH
0,638,612,562,1453,WDH
0,428,25,623,1454,DWH
0,606,198,6,1628,WDH
0,519,15,656,1628,WDH
0,453,256,656,1628,WDH
0,585,806,0,1628,WDH
0,184,624,562,1628,WDH
0,410,2,346,1628,DWH
0,648,162,346,1628,WDH
0,124,1006,248,1628,DWH
0,37,6,6,1628,DWH
0,519,999,656,1628,WDH
0,203,625,0,1628,DWH
0,226,616,248,1630,WDH
0,445,616,248,1705,WDH
0,170,14,203,1760,DWH
0,672,177,197,1760,WDH
0,321,616,559,1760,DWH
0,14,304,4,1760,WDH
0,599,823,588,1760,WDH
0,34,1010,187,1760,DWH
0,54,1007,7,1760,WDH
0,410,2,608,1760,DWH
0,458,649,27,1760,WDH
0,648,162,515,1760,WDH
0,206,10,1,1760,WDH
0,226,616,269,1761,WDH
0,346,614,248,1836,WDH
0,140,9,302,1889,DWH
0,74,630,561,1889,DWH
0,393,1006,197,1889,DWH
0,418,332,34,1889,WDH
0,399,804,559,1889,WDH
0,670,0,538,1894,WDH
0,670,177,213,1894,WDH
0,532,989,5,1894,WDH
0,555,592,220,1894,WDH
0,460,415,531,1894,DWH
0,233,10,7,1894,WDH
0,304,612,0,1894,WDH
0,360,621,583,1987,WDH
0,435,916,595,1987,WDH
0,55,331,7,1988,WDH
0,302,1006,197,1989,DWH
0,140,0,325,1987,DWH
