bin,item,x,y,z,orientation
0,182,0,281,0,WDH
0,182,358,0,0,WDH
0,182,358,281,0,WDH
0,208,0,562,0,WDH
0,219,381,562,0,WDH
0,117,986,609,0,WDH
0,38,716,609,0,WDH
0,116,1018,270,0,DWH
0,68,716,203,0,WDH
0,182,0,0,0,WDH
0,68,716,0,0,WDH
0,68,716,406,0,WDH
0,38,1018,0,0,DWH
0,80,866,9,194,WDH
0,183,0,172,194,WDH
0,183,452,506,194,WDH
0,210,452,4,194,WDH
0,183,0,506,194,WDH
0,112,0,37,194,WDH
0,206,452,222,194,WDH
0,58,904,607,194,WDH
0,191,945,252,195,DWH
0,21,194,8,194,WDH
0,213,125,294,326,WDH
0,213,125,567,326,WDH
0,137,574,253,326,WDH
0,195,486,602,326,WDH
0,151,197,15,326,WDH
0,137,14,510,326,DWH
0,195,486,364,326,WDH
0,196,876,10,326,WDH
0,176,6,304,326,DWH
0,202,517,8,332,WDH
0,200,981,403,332,DWH
0,11,32,21,332,DWH
0,8,970,262,332,WDH
0,228,533,627,502,WDH
0,228,533,414,502,WDH
0,228,509,39,502,WDH
0,190,900,562,502,WDH
0,155,23,8,502,DWH
0,185,909,334,502,WDH
0,228,166,627,505,WDH
0,228,166,414,505,WDH
0,145,23,549,505,DWH
0,185,909,106,505,WDH
0,145,318,271,505,WDH
0,145,609,271,505,WDH
0,31,216,39,506,WDH
0,76,166,243,505,DWH
0,105,6,243,508,DWH
0,23,5,289,620,DWH
0,119,514,26,703,WDH
0,84,936,584,703,WDH
0,205,463,535,703,WDH
0,59,33,4,703,DWH
0,177,183,466,703,DWH
0,133,913,334,708,WDH
0,164,250,26,708,WDH
0,56,27,271,708,WDH
0,21,336,271,709,WDH
0,47,0,466,709,DWH
0,134,556,271,709,WDH
0,14,900,26,711,WDH
0,138,36,290,814,WDH
0,95,469,15,814,WDH
0,95,809,584,814,WDH
0,88,930,360,814,WDH
0,42,198,481,814,DWH
0,95,38,15,814,WDH
0,95,378,584,814,WDH
0,12,998,8,833,DWH
0,56,4,549,833,DWH
0,56,609,277,833,WDH
0,56,318,277,833,WDH
0,39,17,8,900,WDH
0,91,219,471,900,WDH
0,39,627,584,900,DWH
0,107,266,8,900,WDH
0,12,888,584,900,WDH
0,83,618,8,900,WDH
0,23,17,269,908,WDH
0,88,930,360,908,WDH
0,37,322,248,931,WDH
0,23,37,549,931,DWH
0,51,668,277,931,WDH
0,178,1092,0,932,DWH
0,85,35,295,1000,WDH
0,93,953,584,1000,WDH
0,93,13,8,1000,DWH
0,86,205,501,1000,DWH
0,207,350,501,1000,WDH
0,123,718,0,1000,WDH
0,91,266,182,1002,WDH
0,164,930,343,1002,WDH
0,158,266,0,1002,WDH
0,23,35,485,1015,DWH
0,178,1092,0,1015,DWH
0,51,656,261,1018,WDH
0,11,501,0,1002,WDH
0,72,702,0,1103,WDH
0,150,1018,0,1103,DWH
0,4,482,182,1103,DWH
0,153,656,485,1103,DWH
0,55,266,573,1103,WDH
0,186,0,391,1103,DWH
0,186,266,182,1103,DWH
0,48,930,584,1103,WDH
0,186,0,0,1103,DWH
0,92,1018,323,1107,DWH
0,80,656,261,1107,WDH
