bin,item,x,y,z,orientation
0,691,972,0,0,DWH
0,785,544,340,0,WDH
0,548,972,416,0,DWH
0,778,0,624,0,WDH
0,882,544,0,0,WDH
0,892,0,0,0,WDH
0,892,0,312,0,WDH
0,437,544,611,0,WDH
0,168,418,624,0,DWH
0,596,539,584,180,WDH
0,770,857,584,180,WDH
0,572,34,308,180,WDH
0,894,368,0,180,WDH
0,884,6,0,180,WDH
0,830,39,589,180,WDH
0,894,368,287,180,WDH
0,891,803,292,180,WDH
0,891,803,0,180,WDH
0,199,368,574,185,DWH
0,509,24,279,391,DWH
0,509,896,286,391,DWH
0,130,835,24,391,WDH
0,57,16,9,391,WDH
0,509,552,286,393,DWH
0,220,380,547,393,DWH
0,130,430,24,393,WDH
0,200,368,287,393,DWH
0,481,896,324,478,DWH
0,481,0,324,478,DWH
0,509,552,286,481,DWH
0,130,835,0,481,WDH
0,130,25,24,481,WDH
0,254,340,590,482,DWH
0,130,430,0,483,WDH
0,46,340,295,502,DWH
0,288,33,293,555,DWH
0,438,907,276,555,DWH
0,159,25,48,571,WDH
0,394,540,322,571,DWH
0,159,835,24,571,WDH
0,190,424,25,573,WDH
0,158,340,590,572,WDH
0,46,347,295,584,DWH
0,522,424,6,659,WDH
0,327,904,355,659,DWH
0,327,0,355,659,DWH
0,130,19,6,671,WDH
0,254,333,295,671,DWH
0,130,835,0,671,WDH
0,823,575,385,675,DWH
0,205,357,563,675,DWH
0,749,767,537,768,WDH
0,476,952,43,768,DWH
0,271,636,0,768,WDH
0,810,152,159,768,WDH
0,271,38,524,768,DWH
0,665,173,489,768,WDH
0,265,167,8,768,WDH
0,665,601,135,768,DWH
0,265,1,81,768,DWH
0,198,581,547,768,DWH
0,712,0,0,906,WDH
0,294,0,596,906,WDH
0,874,835,0,906,WDH
0,874,437,0,906,WDH
0,610,0,285,906,WDH
0,372,835,609,906,WDH
0,809,835,296,906,WDH
0,874,437,296,906,WDH
0,268,524,596,906,WDH
0,607,0,555,1075,WDH
0,715,392,549,1075,WDH
0,378,0,27,1075,WDH
0,715,0,264,1075,WDH
0,623,878,15,1075,WDH
0,378,439,27,1075,WDH
0,437,775,611,1075,WDH
0,378,392,312,1075,WDH
0,809,873,264,1076,WDH
0,171,720,642,1253,WDH
0,138,56,0,1253,DWH
0,108,359,676,1253,WDH
0,698,11,214,1253,DWH
0,108,2,676,1253,WDH
0,685,248,439,1253,WDH
0,294,716,214,1253,WDH
0,294,716,428,1253,WDH
0,294,716,0,1253,WDH
0,294,192,0,1253,WDH
0,66,948,642,1253,WDH
0,609,221,214,1253,WDH
0,454,0,66,1420,WDH
0,572,334,278,1420,WDH
0,836,668,280,1420,WDH
0,572,0,278,1420,WDH
0,572,0,559,1420,WDH
0,760,866,17,1420,WDH
0,572,334,559,1420,WDH
0,724,1002,454,1420,DWH
0,572,668,559,1420,WDH
