bin,item,x,y,z,orientation
0,461,0,294,0,WDH
0,271,855,0,0,WDH
0,361,398,588,0,WDH
0,461,0,0,0,WDH
0,382,855,310,0,WDH
0,361,0,588,0,WDH
0,156,460,292,0,WDH
0,156,460,0,0,WDH
0,28,855,640,0,WDH
0,36,482,9,166,WDH
0,275,50,38,166,DWH
0,275,411,192,166,WDH
0,204,812,212,166,WDH
0,204,384,526,166,WDH
0,275,50,439,166,DWH
0,49,837,2,166,WDH
0,204,812,526,166,WDH
0,421,423,605,311,WDH
0,464,0,0,311,WDH
0,286,0,583,311,WDH
0,438,401,0,311,WDH
0,436,423,301,311,WDH
0,339,824,304,311,WDH
0,436,824,0,311,WDH
0,359,891,605,311,WDH
0,438,0,301,311,WDH
0,129,798,604,485,WDH
0,283,401,2,485,WDH
0,65,0,319,485,WDH
0,67,250,309,485,WDH
0,447,477,343,485,DWH
0,126,879,17,485,WDH
0,425,0,475,485,WDH
0,202,798,340,489,WDH
0,169,0,3,489,WDH
0,345,26,303,607,WDH
0,421,424,302,607,WDH
0,340,892,220,607,WDH
0,139,9,572,607,DWH
0,340,892,530,607,WDH
0,340,196,530,607,WDH
0,340,544,530,607,WDH
0,56,884,27,607,WDH
0,249,369,20,608,WDH
0,48,752,101,608,DWH
0,163,8,29,611,WDH
0,49,21,616,779,WDH
0,371,18,20,779,WDH
0,245,452,530,779,WDH
0,207,956,0,779,DWH
0,417,10,302,779,WDH
0,245,846,530,779,WDH
0,192,424,155,780,DWH
0,42,732,305,780,DWH
0,97,755,0,785,DWH
0,87,414,20,780,WDH
0,170,1,544,922,WDH
0,118,415,530,922,WDH
0,372,958,0,922,DWH
0,470,14,20,922,DWH
0,98,746,303,922,WDH
0,288,809,524,922,WDH
0,246,414,150,923,DWH
0,142,763,0,924,DWH
0,12,477,0,928,WDH
0,195,468,184,1056,WDH
0,440,497,530,1056,WDH
0,75,999,525,1056,DWH
0,67,0,18,1056,WDH
0,195,0,184,1056,WDH
0,447,0,519,1056,WDH
0,268,936,43,1056,DWH
0,91,554,16,1060,WDH
0,36,224,1,1060,WDH
0,25,865,191,1178,WDH
0,25,399,191,1178,WDH
0,25,632,191,1178,WDH
0,250,0,306,1178,WDH
0,21,0,1,1178,DWH
0,250,794,580,1178,WDH
0,250,399,320,1178,WDH
0,250,399,580,1178,WDH
0,250,794,320,1178,WDH
0,123,913,0,1178,WDH
0,468,0,566,1178,WDH
0,70,547,1,1201,WDH
0,6,204,1,1201,WDH
0,467,318,533,1367,WDH
0,324,879,10,1367,WDH
0,362,23,11,1367,WDH
0,264,38,251,1367,WDH
0,348,404,1,1367,WDH
0,467,779,533,1367,WDH
0,459,401,262,1367,WDH
0,467,779,226,1367,WDH
0,257,3,591,1367,WDH
0,213,948,364,1566,DWH
0,335,779,2,1566,WDH
0,351,483,519,1566,WDH
0,98,765,299,1566,DWH
0,152,331,273,1566,WDH
0,338,0,509,1566,WDH
0,338,0,26,1566,DWH
0,152,331,37,1567,WDH
0,48,1067,640,1700,DWH
0,249,0,559,1700,WDH
0,249,0,278,1700,WDH
0,381,725,21,1700,WDH
0,364,0,1,1700,WDH
0,216,725,526,1700,WDH
0,364,725,249,1700,WDH
0,216,383,212,1700,WDH
0,216,383,526,1700,WDH
0,145,383,37,1700,WDH
0,48,1103,326,1700,DWH
0,106,594,37,1877,WDH
0,334,930,7,1877,DWH
0,351,0,198,1877,WDH
0,351,465,519,1877,WDH
0,351,0,519,1877,WDH
0,77,0,4,1877,WDH
0,309,465,221,1877,WDH
0,77,297,4,1877,WDH
0,309,930,396,1877,DWH
0,259,468,508,2007,WDH
0,276,938,374,2007,DWH
0,195,0,505,2007,WDH
0,304,0,200,2007,WDH
0,169,938,5,2007,DWH
0,304,457,200,2007,WDH
0,112,624,20,2007,WDH
0,132,0,0,2008,WDH
0,132,245,0,2008,WDH
0,7,262,8,2086,WDH
0,44,0,20,2086,WDH
0,294,410,414,2125,WDH
0,78,55,370,2125,DWH
0,78,770,0,2129,WDH
