bin,item,x,y,z,orientation
0,39,308,0,0,WDH
0,39,0,239,0,WDH
0,39,308,205,0,WDH
0,30,0,0,0,WDH
0,13,665,89,0,WDH
0,13,410,411,0,WDH
0,12,1081,2,0,DWH
0,43,32,494,0,DWH
0,43,250,622,0,WDH
0,9,921,61,0,DWH
0,28,918,585,0,WDH
0,28,663,263,0,DWH
0,28,918,330,0,WDH
0,28,596,585,0,WDH
0,23,458,603,225,WDH
0,2,604,441,225,WDH
0,23,883,133,225,WDH
0,21,114,615,225,WDH
0,2,393,441,225,WDH
0,21,658,26,225,DWH
0,44,815,605,225,WDH
0,44,815,370,225,WDH
0,37,350,8,258,DWH
0,19,0,239,258,WDH
0,8,40,8,264,WDH
0,22,900,111,420,WDH
0,22,510,373,420,WDH
0,22,176,619,420,WDH
0,22,662,30,420,DWH
0,40,850,600,420,WDH
0,32,907,332,420,WDH
0,41,516,594,420,WDH
0,22,441,30,423,DWH
0,22,10,235,423,WDH
0,35,0,0,428,WDH
0,14,107,630,626,WDH
0,14,662,27,626,DWH
0,24,414,563,626,WDH
0,21,6,10,626,WDH
0,42,768,607,626,WDH
0,29,860,334,626,WDH
0,17,872,102,626,WDH
0,36,6,235,629,WDH
0,15,414,374,626,WDH
0,31,391,5,629,DWH
0,4,467,22,755,DWH
0,26,40,271,773,WDH
0,27,835,586,813,WDH
0,1,89,28,813,WDH
0,1,682,71,813,DWH
0,18,79,565,813,WDH
0,18,889,57,813,WDH
0,27,835,332,813,WDH
0,27,430,586,813,WDH
0,5,415,401,784,WDH
0,16,467,22,851,DWH
0,20,0,278,887,WDH
0,18,889,291,984,WDH
0,8,455,22,984,DWH
0,18,538,332,984,WDH
0,19,914,566,984,WDH
0,38,908,0,984,WDH
0,17,0,563,984,WDH
0,17,538,607,984,WDH
0,36,0,278,1009,WDH
0,34,89,28,988,WDH
0,9,368,563,984,DWH
0,33,682,13,988,DWH
0,26,906,9,1155,DWH
0,25,906,383,1155,DWH
0,6,0,323,1155,WDH
0,25,614,383,1165,DWH
0,7,401,28,1155,DWH
0,11,355,350,1155,WDH
0,36,20,28,1178,WDH
0,16,0,625,1165,WDH
0,11,355,544,1205,DWH
0,25,906,383,1269,DWH
0,26,906,9,1269,DWH
0,16,691,41,1238,DWH
0,25,614,383,1274,DWH
0,34,401,38,1252,DWH
0,45,11,47,1322,WDH
0,34,11,350,1270,WDH
0,10,11,596,1294,WDH
0,26,866,0,1383,WDH
0,9,323,350,1287,WDH
0,45,850,292,1383,WDH
0,10,323,510,1337,DWH
0,10,655,0,1367,DWH
0,45,0,0,1453,WDH
0,33,534,595,1383,WDH
0,17,872,608,1383,WDH
0,3,592,350,1383,WDH
0,5,866,130,1497,WDH
0,3,431,0,1442,WDH
0,3,431,173,1442,WDH
0,10,31,385,1460,WDH
0,5,887,292,1514,WDH
0,5,372,449,1523,DWH
