bin,item,x,y,z,orientation
0,442,982,522,0,DWH
0,239,0,681,0,WDH
0,450,757,0,0,WDH
0,401,330,217,0,WDH
0,391,660,217,0,WDH
0,391,435,0,0,WDH
0,401,0,217,0,WDH
0,401,0,449,0,WDH
0,256,627,646,0,WDH
0,369,330,449,0,WDH
0,345,0,0,0,WDH
0,86,335,681,0,WDH
0,158,1079,0,0,DWH
0,336,627,449,0,WDH
0,336,982,217,0,DWH
0,249,779,248,215,WDH
0,249,318,248,215,WDH
0,249,779,544,215,WDH
0,249,318,544,215,WDH
0,31,538,10,215,WDH
0,31,889,10,215,WDH
0,287,39,430,215,DWH
0,287,39,20,215,DWH
0,28,323,22,215,DWH
0,323,103,315,307,WDH
0,323,861,315,307,WDH
0,228,427,670,307,WDH
0,228,11,670,307,WDH
0,228,219,670,307,WDH
0,280,563,0,307,DWH
0,371,1,22,307,WDH
0,263,909,670,307,WDH
0,217,635,670,307,WDH
0,323,482,315,307,WDH
0,459,797,0,307,WDH
0,220,342,0,308,DWH
0,421,0,0,453,WDH
0,84,591,0,453,DWH
0,72,865,629,453,WDH
0,370,420,302,453,WDH
0,451,475,587,453,WDH
0,377,801,0,453,WDH
0,367,28,611,453,WDH
0,426,60,302,453,WDH
0,427,840,302,453,WDH
0,79,342,0,458,DWH
0,426,360,0,600,WDH
0,22,392,618,600,WDH
0,426,720,309,600,WDH
0,426,360,309,600,WDH
0,77,1080,0,600,DWH
0,426,0,309,600,WDH
0,77,1080,208,600,DWH
0,426,0,0,600,WDH
0,266,793,618,600,WDH
0,367,0,618,600,WDH
0,426,720,0,600,WDH
0,312,1080,416,600,DWH
0,73,9,51,740,WDH
0,403,84,239,740,WDH
0,403,582,239,740,WDH
0,243,234,3,740,WDH
0,243,657,3,740,WDH
0,270,890,620,749,WDH
0,270,190,620,749,WDH
0,270,540,620,749,WDH
0,174,24,629,749,DWH
0,155,1086,0,749,DWH
0,236,1082,324,753,DWH
0,453,435,517,855,WDH
0,281,931,270,855,WDH
0,470,435,220,855,WDH
0,273,847,59,855,WDH
0,365,0,467,855,WDH
0,365,0,94,855,WDH
0,366,899,526,855,WDH
0,145,435,19,855,WDH
0,38,1086,0,862,DWH
0,320,888,171,982,DWH
0,412,496,563,982,WDH
0,50,992,566,982,DWH
0,320,496,232,982,WDH
0,470,0,543,982,WDH
0,470,0,246,982,WDH
0,273,317,7,982,DWH
0,273,888,10,982,WDH
0,104,0,31,982,WDH
0,49,496,0,982,WDH
0,430,395,565,1102,WDH
0,351,0,246,1102,WDH
0,430,784,565,1102,WDH
0,279,0,574,1102,WDH
0,378,395,246,1102,WDH
0,225,317,7,1102,DWH
0,299,850,0,1102,WDH
0,378,789,246,1102,WDH
0,153,510,0,1109,WDH
0,168,30,7,1109,WDH
0,368,828,301,1226,WDH
0,368,416,0,1226,WDH
0,368,416,301,1226,WDH
0,462,25,284,1226,WDH
0,363,4,0,1226,WDH
0,394,822,602,1226,WDH
0,394,404,602,1226,WDH
0,368,828,0,1226,WDH
0,420,0,563,1227,WDH
0,203,56,627,1351,WDH
0,428,68,302,1351,WDH
0,428,68,2,1351,WDH
0,428,468,7,1351,WDH
0,428,854,7,1351,WDH
0,347,454,307,1351,WDH
0,347,847,307,1351,WDH
0,308,1100,602,1353,DWH
0,203,404,602,1353,WDH
0,203,752,602,1353,WDH
0,454,907,618,1511,WDH
0,422,0,619,1511,WDH
0,445,296,639,1511,WDH
0,319,612,448,1511,WDH
0,319,612,644,1511,WDH
0,319,0,26,1511,WDH
0,404,590,236,1511,WDH
0,404,608,40,1511,WDH
0,445,0,418,1511,WDH
0,404,295,40,1511,WDH
0,352,907,407,1511,WDH
0,352,921,11,1511,WDH
0,319,295,222,1511,WDH
0,319,316,423,1511,WDH
0,319,0,222,1511,WDH
0,388,907,224,1511,WDH
0,376,350,423,1796,WDH
0,376,918,605,1796,WDH
0,376,642,616,1796,WDH
0,24,73,26,1796,WDH
0,24,74,619,1796,WDH
0,376,918,407,1796,WDH
0,376,642,418,1796,WDH
0,376,329,222,1796,WDH
0,376,979,0,1796,WDH
0,448,27,222,1796,WDH
0,405,614,224,1800,WDH
0,414,591,0,1800,WDH
0,359,296,0,1800,WDH
0,183,907,224,1801,WDH
0,183,296,639,1801,WDH
0,472,27,365,1801,WDH
0,189,920,198,1973,WDH
0,277,317,621,1973,WDH
0,108,0,365,1977,WDH
0,286,311,21,2045,WDH
0,10,591,0,2046,DWH
0,38,337,249,2076,WDH
0,38,624,586,2076,DWH
0,354,775,479,2076,WDH
0,340,1,395,2076,DWH
0,261,886,16,2076,WDH
0,51,320,404,2076,WDH
0,164,69,36,2076,WDH
0,313,886,198,2084,WDH
0,185,27,222,2084,WDH
0,277,317,621,2084,WDH
0,253,619,112,2108,DWH
0,30,350,67,2107,WDH
1,355,0,556,0,WDH
1,227,860,618,0,DWH
1,213,986,700,0,WDH
1,335,0,278,0,WDH
1,355,986,0,0,DWH
1,433,0,0,0,WDH
1,355,986,350,0,DWH
1,437,390,0,0,WDH
1,437,390,309,0,WDH
1,397,390,618,0,WDH
1,437,688,0,0,WDH
1,437,688,309,0,WDH
1,393,446,289,180,WDH
1,393,446,0,180,WDH
1,125,26,0,180,WDH
1,210,18,556,183,WDH
1,285,883,589,183,WDH
1,88,994,43,183,WDH
1,285,989,232,183,DWH
1,157,462,590,184,WDH
1,57,61,268,186,WDH
1,10,0,0,273,WDH
1,7,0,260,273,WDH
1,286,446,578,273,WDH
1,194,883,578,279,WDH
1,161,18,536,279,WDH
1,403,446,199,279,WDH
1,65,713,10,279,WDH
1,54,944,247,279,DWH
1,65,446,10,279,WDH
1,88,994,0,280,WDH
1,38,725,578,273,DWH
1,7,54,262,336,WDH
1,129,50,13,336,WDH
1,64,469,644,336,WDH
1,73,1039,22,385,DWH
1,89,876,583,385,WDH
1,403,446,199,385,WDH
1,384,0,571,391,WDH
1,78,713,21,391,WDH
1,54,944,247,391,DWH
1,65,446,10,391,WDH
1,33,0,282,399,WDH
1,129,0,33,415,WDH
1,75,455,599,415,WDH
1,161,816,578,497,WDH
1,350,139,10,497,DWH
1,78,1005,0,497,WDH
1,403,446,199,497,WDH
1,356,0,485,499,WDH
1,5,713,8,499,WDH
1,34,944,217,503,DWH
1,285,350,589,503,WDH
1,171,0,0,497,DWH
1,171,0,242,497,DWH
1,59,468,8,503,WDH
1,455,82,547,605,WDH
1,455,175,161,605,DWH
1,428,468,540,605,WDH
1,428,854,540,605,WDH
1,428,854,240,605,WDH
1,428,468,240,605,WDH
1,230,714,0,605,DWH
1,221,197,7,605,WDH
1,103,919,1,605,WDH
1,230,474,0,613,WDH
1,225,0,293,633,DWH
1,74,0,0,633,DWH
1,202,471,207,757,WDH
1,354,775,479,757,WDH
1,375,490,418,757,DWH
1,243,817,243,757,WDH
1,340,0,208,760,WDH
1,340,0,524,760,WDH
1,19,106,0,761,WDH
1,205,831,0,761,WDH
1,264,474,29,765,WDH
1,465,376,426,873,WDH
1,346,3,426,873,WDH
1,238,382,655,873,WDH
1,465,808,426,873,WDH
1,441,997,0,873,DWH
1,143,619,655,873,WDH
1,143,71,688,873,WDH
1,183,821,0,873,DWH
1,327,51,207,873,WDH
1,183,924,655,873,WDH
1,269,817,316,873,WDH
1,29,101,0,873,WDH
1,81,518,207,874,WDH
1,18,526,0,888,WDH
1,357,808,426,1050,WDH
1,332,329,300,1050,WDH
1,461,405,0,1050,WDH
1,271,647,300,1050,DWH
1,463,0,0,1050,WDH
1,461,0,300,1050,WDH
1,141,808,688,1050,WDH
1,386,329,592,1050,WDH
1,425,0,589,1050,WDH
1,357,734,0,1050,WDH
1,139,1098,32,1050,DWH
1,2,1017,691,1050,WDH
1,179,1032,266,1050,WDH
1,2,808,277,1051,WDH
1,1,1090,0,1186,DWH
1,1,973,267,1186,WDH
1,107,9,0,1211,WDH
1,150,916,417,1211,WDH
1,108,0,589,1211,WDH
1,253,738,0,1211,WDH
1,129,667,305,1216,DWH
1,235,24,312,1216,WDH
1,235,429,12,1216,WDH
1,129,418,305,1217,DWH
1,1,418,684,1216,WDH
1,196,808,688,1216,WDH
1,192,871,0,1302,DWH
1,444,405,0,1302,WDH
1,82,405,333,1302,WDH
1,57,9,289,1302,WDH
1,129,816,408,1309,WDH
1,129,0,591,1309,WDH
1,30,405,657,1309,WDH
