bin,item,x,y,z,orientation
0,782,0,558,0,WDH
0,782,764,279,0,WDH
0,865,0,0,0,WDH
0,341,1102,558,0,DWH
0,782,393,279,0,WDH
0,865,0,279,0,WDH
0,782,786,0,0,WDH
0,903,742,558,0,WDH
0,865,393,0,0,WDH
0,782,371,558,0,WDH
0,813,815,3,182,WDH
0,758,758,550,182,WDH
0,758,758,260,182,WDH
0,668,3,398,182,DWH
0,807,292,543,182,WDH
0,807,292,246,182,WDH
0,8,50,4,182,DWH
0,840,240,14,182,WDH
0,505,59,254,182,WDH
0,717,700,561,323,WDH
0,434,1060,0,323,DWH
0,812,0,287,323,WDH
0,372,1042,287,323,DWH
0,777,710,0,323,WDH
0,777,0,561,323,WDH
0,666,0,0,323,WDH
0,777,345,287,323,WDH
0,777,350,561,323,WDH
0,777,360,0,323,WDH
0,717,695,287,323,WDH
0,198,1047,561,323,DWH
0,857,24,390,520,DWH
0,596,388,572,520,WDH
0,857,800,245,520,WDH
0,942,694,571,520,WDH
0,857,360,245,520,WDH
0,834,48,16,520,DWH
0,493,821,23,520,WDH
0,407,437,5,520,WDH
0,932,659,550,635,WDH
0,932,659,264,635,WDH
0,172,974,614,635,WDH
0,401,230,690,635,WDH
0,832,0,0,635,DWH
0,773,929,0,635,WDH
0,926,230,0,635,WDH
0,811,582,0,635,WDH
0,720,0,418,635,DWH
0,881,230,477,635,WDH
0,881,230,264,635,WDH
0,759,974,264,635,DWH
0,427,488,3,844,WDH
0,427,0,3,844,WDH
0,427,244,3,844,WDH
0,841,667,623,844,WDH
0,780,0,608,844,WDH
0,841,325,623,844,WDH
0,841,327,391,844,WDH
0,592,1011,428,844,WDH
0,820,0,380,844,WDH
0,841,0,163,844,WDH
0,592,1009,660,844,WDH
0,841,342,163,844,WDH
0,841,669,391,844,WDH
0,841,684,163,844,WDH
0,852,1026,30,844,DWH
0,508,732,20,844,WDH
0,847,550,0,1093,WDH
0,32,1026,0,1093,DWH
0,919,0,415,1093,WDH
0,267,550,366,1093,WDH
0,366,550,612,1093,WDH
0,919,0,0,1093,WDH
0,131,976,375,1094,WDH
0,366,895,612,1094,WDH
0,683,108,640,1170,WDH
0,921,204,154,1170,WDH
0,921,204,397,1170,WDH
0,915,2,282,1170,DWH
0,876,520,376,1170,WDH
0,323,569,16,1170,WDH
0,876,880,144,1170,WDH
0,876,520,608,1170,WDH
0,876,880,608,1170,WDH
0,876,880,376,1170,WDH
0,876,520,144,1170,WDH
0,42,249,8,1170,WDH
0,546,12,31,1170,DWH
0,568,980,4,1170,WDH
0,568,720,4,1170,WDH
0,116,928,612,1410,WDH
0,116,616,612,1410,WDH
0,32,521,0,1410,DWH
0,291,15,31,1410,DWH
0,291,542,318,1410,DWH
0,52,731,0,1410,WDH
0,291,271,640,1410,WDH
0,52,731,306,1410,WDH
0,285,40,640,1410,WDH
0,595,204,31,1411,DWH
0,285,204,440,1411,WDH
