bin,item,x,y,z,orientation
0,32,938,598,0,WDH
0,132,540,598,0,WDH
0,556,540,0,0,WDH
0,242,0,652,0,WDH
0,556,540,299,0,WDH
0,625,0,326,0,WDH
0,529,1087,271,0,DWH
0,625,0,0,0,WDH
0,529,1087,0,0,DWH
0,406,317,652,0,WDH
0,36,5,4,113,WDH
0,312,2,174,113,DWH
0,698,635,299,113,WDH
0,403,1,599,113,WDH
0,403,546,599,113,WDH
0,698,635,0,113,WDH
0,659,211,0,113,WDH
0,659,211,299,113,WDH
0,368,862,602,113,WDH
0,118,1102,269,114,DWH
0,478,337,607,115,DWH
0,201,1088,58,114,DWH
0,442,1087,276,190,DWH
0,682,635,0,249,WDH
0,301,635,348,249,WDH
0,1,317,599,249,DWH
0,111,0,0,249,DWH
0,217,862,599,249,WDH
0,325,0,300,249,DWH
0,229,10,574,251,WDH
0,142,334,131,251,DWH
0,217,524,604,251,WDH
0,468,1059,0,255,DWH
0,355,1059,261,290,DWH
0,162,205,120,251,DWH
0,162,205,0,251,WDH
0,368,862,602,343,WDH
0,563,694,5,343,WDH
0,333,353,597,343,DWH
0,520,57,494,343,DWH
0,536,325,125,343,WDH
0,633,326,313,343,WDH
0,636,668,294,343,WDH
0,68,6,18,343,DWH
0,34,530,596,345,WDH
0,97,1061,15,351,DWH
0,6,1070,264,366,DWH
0,162,205,120,388,DWH
0,427,524,595,438,WDH
0,48,325,1,388,WDH
0,35,694,5,471,WDH
0,294,1061,261,471,DWH
0,240,828,595,471,WDH
0,156,6,455,471,DWH
0,195,385,125,475,WDH
0,229,328,261,475,DWH
0,1,352,595,475,DWH
0,142,594,261,475,WDH
0,111,0,18,475,DWH
0,37,1066,0,476,DWH
0,163,524,595,512,WDH
0,26,0,318,475,WDH
0,100,756,0,555,WDH
0,1,352,595,561,DWH
0,142,773,539,561,WDH
0,447,675,217,561,DWH
0,156,6,455,561,DWH
0,124,862,268,561,WDH
0,694,328,71,567,DWH
0,446,0,14,567,DWH
0,95,1073,9,578,DWH
0,126,586,574,592,DWH
0,100,675,4,623,WDH
0,503,0,318,602,WDH
0,451,773,553,651,WDH
0,394,0,473,651,DWH
0,167,316,580,651,DWH
0,355,685,217,654,DWH
0,186,870,268,654,WDH
0,268,273,4,669,DWH
0,351,0,0,669,DWH
0,167,563,553,682,DWH
0,167,1030,0,682,DWH
0,141,720,0,691,WDH
0,27,280,0,733,WDH
0,46,2,0,733,DWH
0,46,187,553,733,WDH
0,46,864,552,733,WDH
0,84,280,354,733,WDH
0,84,540,354,733,WDH
0,447,0,473,733,DWH
0,46,864,274,735,WDH
0,126,1030,0,764,DWH
0,98,563,553,764,WDH
0,157,720,0,769,WDH
0,27,280,0,807,WDH
0,313,863,597,814,WDH
0,308,29,60,814,DWH
0,308,247,580,814,WDH
0,128,280,354,825,WDH
0,54,0,473,825,DWH
0,537,554,354,825,WDH
0,523,864,274,825,WDH
0,359,839,9,854,WDH
0,446,588,536,855,DWH
0,677,334,9,881,WDH
0,229,280,562,896,WDH
0,217,864,593,896,WDH
0,18,0,0,896,DWH
0,128,554,325,928,WDH
0,230,280,322,928,WDH
0,523,864,274,928,WDH
0,517,0,398,928,DWH
0,383,860,0,936,WDH
0,111,658,540,957,DWH
0,634,246,0,962,WDH
0,267,706,0,962,DWH
0,250,281,584,990,WDH
0,217,902,604,990,WDH
0,18,0,0,990,DWH
0,342,285,351,1031,WDH
0,482,700,320,1031,DWH
0,523,874,285,1031,WDH
0,258,37,416,1031,DWH
0,18,843,39,1039,WDH
0,128,658,540,1046,DWH
0,428,246,0,1063,WDH
0,308,281,584,1084,WDH
0,141,874,604,1084,WDH
0,313,0,0,1084,DWH
0,258,37,416,1132,DWH
0,342,285,351,1132,WDH
0,482,1020,424,1132,WDH
0,637,750,0,1132,WDH
0,294,695,540,1143,DWH
0,142,283,0,1143,WDH
0,141,930,587,1162,WDH
0,250,25,39,1166,DWH
0,250,318,584,1166,WDH
0,105,980,6,1233,DWH
0,680,649,372,1233,WDH
0,675,318,299,1233,WDH
0,675,318,14,1233,WDH
0,293,1058,309,1233,DWH
0,684,0,491,1233,DWH
0,179,695,591,1233,DWH
0,675,649,14,1233,WDH
0,164,930,585,1240,WDH
0,577,334,584,1254,WDH
0,593,25,14,1254,DWH
0,496,268,678,1415,WDH
0,689,268,268,1415,WDH
0,689,628,0,1415,WDH
0,689,268,473,1415,WDH
0,591,632,456,1415,WDH
0,615,314,0,1415,WDH
0,615,0,0,1415,WDH
0,234,1009,268,1415,WDH
0,615,0,268,1415,DWH
0,618,992,0,1415,DWH
0,560,632,268,1415,WDH
0,591,0,582,1415,WDH
0,510,897,662,1415,WDH
0,594,897,456,1415,WDH
0,199,578,717,1415,WDH
0,476,34,678,1650,WDH
0,664,271,0,1650,WDH
0,391,79,357,1650,DWH
0,664,965,630,1650,WDH
0,391,232,510,1650,WDH
0,695,546,0,1650,WDH
0,391,264,678,1650,WDH
0,62,15,0,1650,WDH
0,655,839,209,1650,WDH
