bin,item,x,y,z,orientation
0,282,350,402,0,WDH
0,492,1050,0,0,DWH
0,492,1050,540,0,DWH
0,282,700,0,0,WDH
0,282,0,201,0,WDH
0,282,700,201,0,WDH
0,282,700,603,0,WDH
0,282,0,0,0,WDH
0,282,700,402,0,WDH
0,282,350,201,0,WDH
0,282,350,0,0,WDH
0,282,350,603,0,WDH
0,282,0,603,0,WDH
0,492,1050,270,0,DWH
0,282,0,402,0,WDH
0,888,853,13,276,WDH
0,888,65,266,276,WDH
0,4,10,567,276,DWH
0,392,29,1,276,WDH
0,789,161,540,276,WDH
0,852,374,1,276,WDH
0,789,515,540,276,WDH
0,638,869,540,276,WDH
0,789,452,240,276,WDH
0,539,806,287,276,WDH
0,16,1000,0,464,DWH
0,20,1000,410,464,DWH
0,286,0,0,464,WDH
0,286,0,401,464,WDH
0,286,500,401,464,WDH
0,286,500,0,464,WDH
0,116,807,594,557,DWH
0,712,395,589,557,WDH
0,712,412,323,557,WDH
0,697,372,46,557,WDH
0,877,0,574,557,WDH
0,712,0,323,557,WDH
0,697,0,46,557,WDH
0,241,824,350,557,DWH
0,508,744,5,557,DWH
0,852,1000,358,559,DWH
0,392,1000,13,559,DWH
0,693,432,349,748,WDH
0,693,432,0,748,WDH
0,676,0,391,748,WDH
0,405,904,0,748,DWH
0,676,0,0,748,WDH
0,556,904,446,748,DWH
0,19,663,699,748,WDH
0,156,457,699,748,WDH
0,90,1,0,866,DWH
0,90,111,543,866,DWH
0,380,485,275,866,WDH
0,665,486,0,866,WDH
0,40,845,486,866,DWH
0,380,140,0,866,WDH
0,381,831,0,866,WDH
0,380,969,486,866,DWH
0,381,831,243,866,WDH
0,206,8,275,866,DWH
0,117,250,543,866,WDH
0,76,542,546,866,WDH
0,546,139,275,866,WDH
0,169,663,699,880,WDH
0,146,0,616,866,DWH
0,86,428,699,887,WDH
0,112,262,699,866,WDH
0,113,663,692,1021,WDH
0,92,14,0,1073,DWH
0,330,746,324,1073,WDH
0,330,746,0,1073,WDH
0,463,35,543,1073,WDH
0,673,244,0,1073,WDH
0,590,506,247,1073,DWH
0,235,919,648,1073,WDH
0,201,21,280,1076,WDH
0,172,663,650,1124,WDH
0,218,14,253,1170,WDH
0,238,0,512,1196,WDH
0,148,476,0,1199,WDH
0,645,762,0,1199,WDH
0,218,812,374,1199,WDH
0,148,954,615,1199,WDH
0,10,0,0,1201,WDH
0,10,476,207,1203,DWH
0,113,324,17,1199,DWH
0,148,668,615,1218,WDH
0,111,24,267,1243,WDH
0,830,36,512,1271,WDH
0,288,783,0,1271,WDH
0,28,13,0,1271,WDH
0,28,509,207,1271,DWH
0,44,974,548,1275,DWH
0,180,763,370,1272,DWH
0,9,954,370,1272,WDH
0,163,506,0,1275,WDH
0,83,584,615,1302,WDH
0,122,331,0,1302,DWH
0,44,954,527,1346,DWH
0,23,58,267,1322,WDH
0,357,28,491,1367,WDH
0,782,778,0,1367,WDH
0,42,14,0,1367,WDH
0,262,526,207,1367,DWH
0,164,511,0,1367,WDH
0,134,1023,353,1367,WDH
0,134,806,353,1368,WDH
0,171,14,261,1406,WDH
0,153,526,606,1406,WDH
0,122,331,0,1406,DWH
0,28,929,587,1417,WDH
0,199,355,293,1406,DWH
0,145,778,55,1480,WDH
0,106,0,0,1482,WDH
0,607,14,478,1489,WDH
0,61,506,0,1489,DWH
0,153,806,353,1489,WDH
0,122,506,409,1489,WDH
0,138,278,19,1510,DWH
0,84,14,263,1510,WDH
0,234,490,585,1512,WDH
0,114,784,585,1512,WDH
0,283,761,0,1540,WDH
0,106,0,0,1558,WDH
0,199,356,260,1540,DWH
0,743,450,485,1600,WDH
0,743,46,485,1600,WDH
0,798,854,455,1600,WDH
0,141,7,262,1600,WDH
0,114,512,1,1600,DWH
0,157,313,1,1600,DWH
0,449,845,4,1633,DWH
0,106,35,1,1634,WDH
0,226,23,262,1688,WDH
0,171,53,455,1688,DWH
0,886,755,455,1688,WDH
0,886,270,455,1688,WDH
0,430,514,4,1688,DWH
0,743,885,0,1703,DWH
0,106,74,2,1710,WDH
0,727,296,333,1795,WDH
0,170,530,626,1795,WDH
0,727,768,333,1795,WDH
0,211,867,626,1795,WDH
0,476,22,333,1795,DWH
0,33,305,626,1795,WDH
0,395,818,0,1795,WDH
0,425,391,0,1795,WDH
0,359,9,0,1795,WDH
0,852,1001,0,1936,DWH
0,875,392,333,1936,WDH
0,560,426,607,1936,WDH
0,875,15,274,1936,WDH
0,561,842,0,1936,DWH
0,786,812,432,1936,WDH
0,561,811,673,1936,WDH
0,875,15,0,1936,WDH
0,740,33,548,1936,WDH
0,106,392,73,1937,WDH
0,28,391,0,2013,DWH
0,254,670,11,1937,DWH
0,3,502,302,2116,WDH
0,7,372,0,2116,WDH
0,7,70,0,2116,DWH
0,220,1003,326,2116,DWH
0,220,1003,0,2116,DWH
0,238,0,512,2120,WDH
0,106,466,580,2120,WDH
1,476,0,0,0,WDH
1,500,497,556,0,WDH
1,722,937,0,0,DWH
1,731,497,279,0,WDH
1,515,0,550,0,WDH
1,338,0,274,0,WDH
1,359,937,429,0,DWH
1,639,497,0,0,WDH
1,431,122,8,142,WDH
1,431,132,247,142,WDH
1,431,16,603,142,WDH
1,711,844,484,142,WDH
1,754,670,15,142,WDH
1,711,844,662,142,WDH
1,291,564,601,142,WDH
1,842,397,260,142,WDH
1,842,387,21,142,WDH
1,291,960,245,142,WDH
1,109,588,489,142,WDH
1,291,960,6,142,WDH
1,291,680,245,142,WDH
1,842,281,616,142,WDH
1,169,5,247,142,DWH
1,58,132,484,142,WDH
1,58,0,0,142,DWH
1,144,353,484,142,WDH
1,206,1,367,283,DWH
1,25,660,245,403,WDH
1,201,397,20,403,DWH
1,25,989,155,403,DWH
1,485,281,488,403,WDH
1,164,14,603,404,WDH
1,504,16,20,404,WDH
1,214,660,20,405,WDH
1,467,762,488,405,WDH
1,252,1010,0,403,WDH
1,24,190,344,404,WDH
1,226,1044,155,499,DWH
1,107,652,245,499,WDH
1,61,397,75,499,DWH
1,467,281,499,499,WDH
1,242,660,20,509,WDH
1,446,727,499,509,WDH
1,106,0,580,522,WDH
1,556,0,0,522,WDH
1,252,1002,4,533,WDH
1,782,0,487,604,WDH
1,42,462,523,604,DWH
1,258,999,165,604,DWH
1,357,652,46,604,DWH
1,834,792,484,610,WDH
1,158,418,46,610,DWH
1,119,170,334,559,WDH
1,879,22,4,640,WDH
1,188,1015,8,663,WDH
1,743,0,485,726,WDH
1,743,404,436,726,DWH
1,743,652,25,726,DWH
1,68,1007,166,726,DWH
1,7,759,436,727,WDH
1,266,394,4,727,DWH
1,551,0,0,742,DWH
1,249,1,455,813,DWH
1,705,810,43,813,WDH
1,581,766,444,813,WDH
1,752,309,469,813,WDH
1,752,353,73,813,WDH
1,191,1,77,863,DWH
1,781,30,455,917,DWH
1,654,816,547,917,WDH
1,744,835,15,917,WDH
1,654,816,254,917,WDH
1,328,335,328,917,WDH
1,328,335,72,917,WDH
1,328,335,584,917,WDH
1,405,0,0,949,DWH
1,835,872,0,1076,WDH
1,94,438,672,1076,WDH
1,410,438,351,1076,WDH
1,410,895,351,1076,DWH
1,94,663,672,1076,WDH
1,551,0,0,1076,WDH
1,357,0,351,1076,WDH
1,357,434,0,1076,WDH
1,49,0,698,1076,WDH
1,237,483,632,1198,WDH
1,737,771,286,1198,WDH
1,737,771,0,1198,WDH
1,685,831,572,1198,WDH
1,415,377,0,1198,WDH
1,287,17,0,1198,WDH
1,637,394,310,1198,WDH
1,287,17,337,1198,WDH
1,94,17,674,1226,WDH
1,199,242,674,1226,WDH
1,691,801,18,1349,WDH
1,820,824,258,1349,WDH
1,820,824,549,1349,WDH
1,820,355,19,1349,WDH
1,720,2,29,1349,WDH
1,154,430,639,1349,WDH
1,77,4,634,1349,WDH
1,317,9,320,1349,WDH
1,365,406,310,1350,WDH
1,184,270,639,1357,DWH
1,194,40,632,1502,WDH
1,410,783,0,1502,WDH
1,471,25,0,1502,WDH
1,67,844,642,1502,WDH
1,410,783,321,1502,WDH
1,410,462,0,1502,DWH
1,504,402,457,1502,WDH
1,514,1,341,1503,WDH
1,703,834,252,1622,WDH
1,703,418,543,1622,WDH
1,344,23,311,1622,WDH
1,685,9,574,1622,WDH
1,820,824,549,1622,WDH
1,594,828,3,1622,WDH
1,142,473,4,1622,WDH
1,881,463,230,1622,WDH
1,276,0,0,1624,WDH
1,191,0,0,1776,WDH
1,191,0,294,1776,WDH
1,36,378,0,1776,WDH
1,3,378,294,1776,WDH
1,3,707,0,1776,WDH
1,3,378,566,1776,WDH
1,231,0,588,1776,WDH
1,220,718,294,1776,WDH
1,220,718,531,1776,WDH
1,172,1044,515,1776,DWH
1,172,1047,19,1776,DWH
