bin,item,x,y,z,orientation
0,26,1102,0,0,DWH
0,32,360,289,0,WDH
0,32,0,0,0,WDH
0,32,0,289,0,WDH
0,32,360,0,0,WDH
0,42,0,578,0,WDH
0,43,720,0,0,WDH
0,43,376,578,0,WDH
0,48,720,242,0,WDH
0,48,758,578,0,WDH
0,59,376,578,168,WDH
0,34,763,0,168,WDH
0,34,371,269,168,WDH
0,34,371,0,168,WDH
0,59,763,269,168,WDH
0,28,0,286,168,WDH
0,59,785,578,168,WDH
0,28,0,0,168,WDH
0,38,0,603,170,WDH
0,66,376,466,325,WDH
0,66,0,251,325,WDH
0,47,746,56,325,WDH
0,66,376,114,325,WDH
0,47,746,310,325,WDH
0,47,746,564,325,WDH
0,1,7,13,325,WDH
0,20,1,603,342,WDH
0,49,386,63,452,WDH
0,49,652,63,452,WDH
0,49,330,336,452,WDH
0,60,50,112,452,WDH
0,64,918,567,452,WDH
0,64,596,567,452,WDH
0,64,918,21,452,WDH
0,64,918,294,452,WDH
0,64,596,294,452,WDH
0,49,64,336,452,WDH
0,55,252,576,454,WDH
0,6,0,581,454,DWH
0,10,247,567,603,WDH
0,18,29,567,622,DWH
0,7,65,211,673,DWH
0,7,240,42,673,WDH
0,7,240,217,673,WDH
0,7,240,392,673,WDH
0,17,598,0,673,WDH
0,16,991,0,679,WDH
0,14,1004,642,679,WDH
0,10,600,294,679,DWH
0,54,846,294,679,WDH
0,12,247,613,702,WDH
0,18,0,584,703,DWH
0,24,600,643,679,WDH
0,12,938,409,777,WDH
0,5,963,0,777,DWH
0,5,321,426,777,DWH
0,30,94,0,777,WDH
0,8,600,1,785,WDH
0,56,600,241,785,DWH
0,55,0,496,785,DWH
0,12,938,619,785,WDH
0,2,321,426,852,DWH
0,1,361,0,852,DWH
0,53,0,0,852,WDH
0,53,937,1,852,DWH
0,37,937,362,856,DWH
0,9,650,643,820,WDH
0,3,599,361,934,WDH
0,31,0,496,934,DWH
0,53,599,0,934,DWH
0,30,0,0,973,WDH
0,53,297,473,967,DWH
0,50,893,0,970,WDH
0,22,918,323,993,WDH
0,22,918,555,999,WDH
0,24,591,647,999,WDH
0,51,17,2,1045,DWH
0,50,260,38,1045,WDH
0,63,0,476,1059,DWH
0,51,599,283,1059,DWH
0,65,247,476,1085,DWH
0,6,602,24,1059,DWH
0,65,842,24,1111,WDH
0,37,842,336,1116,WDH
0,9,967,646,1116,WDH
0,21,0,25,1189,DWH
0,9,694,646,1140,WDH
0,30,0,0,1253,WDH
0,65,247,476,1221,WDH
0,13,616,283,1209,DWH
0,8,7,476,1209,DWH
0,65,876,0,1247,WDH
0,65,876,312,1253,WDH
0,33,511,45,1227,WDH
0,13,7,23,1325,WDH
0,19,7,249,1325,WDH
0,4,667,633,1319,WDH
0,9,967,624,1295,WDH
0,57,0,488,1357,WDH
0,58,0,658,1357,WDH
0,29,616,323,1357,DWH
0,11,356,39,1325,DWH
0,41,842,45,1383,WDH
0,11,461,422,1357,DWH
0,27,858,469,1389,WDH
0,27,858,323,1389,WDH
0,62,520,64,1436,WDH
0,61,0,265,1472,WDH
0,41,0,0,1472,WDH
0,9,967,646,1474,WDH
0,60,616,632,1488,WDH
0,15,619,310,1537,DWH
0,57,0,484,1537,WDH
0,57,0,654,1540,WDH
0,61,842,0,1570,WDH
0,11,351,0,1526,DWH
0,52,1007,293,1599,DWH
0,27,858,240,1599,DWH
0,62,506,0,1631,WDH
0,40,64,265,1661,WDH
0,62,29,0,1661,WDH
0,25,961,646,1661,WDH
0,39,632,246,1709,DWH
0,57,518,645,1709,WDH
0,44,453,390,1558,DWH
0,27,64,478,1717,WDH
0,39,858,14,1759,WDH
0,45,1004,240,1787,DWH
0,23,212,645,1720,WDH
0,62,536,0,1826,WDH
0,45,16,246,1851,WDH
0,62,0,0,1856,WDH
0,23,858,240,1809,DWH
0,40,524,246,1884,WDH
0,23,552,459,1884,WDH
0,67,908,615,1889,WDH
0,27,533,615,1889,WDH
0,27,16,465,1927,WDH
1,35,334,371,0,WDH
1,35,0,525,0,WDH
1,35,0,217,0,WDH
1,35,612,0,0,WDH
1,46,0,0,0,WDH
1,35,334,525,0,WDH
1,35,334,217,0,WDH
1,35,278,0,0,WDH
1,35,0,371,0,WDH
1,36,668,217,0,WDH
1,36,964,217,0,DWH
1,36,668,438,0,WDH
