bin,item,x,y,z,orientation
0,664,949,0,0,DWH
0,843,0,252,0,WDH
0,843,0,0,0,WDH
0,916,0,504,0,WDH
0,916,501,558,0,WDH
0,916,501,279,0,WDH
0,916,501,0,0,WDH
0,819,949,421,0,DWH
0,723,6,26,148,DWH
0,903,16,386,148,DWH
0,610,811,5,148,WDH
0,689,388,8,148,WDH
0,637,774,549,148,WDH
0,637,308,258,148,WDH
0,637,308,549,148,WDH
0,637,774,258,148,WDH
0,790,818,0,291,WDH
0,138,2,295,291,DWH
0,370,27,610,291,WDH
0,861,145,295,291,WDH
0,861,510,295,291,WDH
0,625,366,610,291,WDH
0,806,4,8,291,WDH
0,861,875,295,291,WDH
0,625,803,610,291,WDH
0,808,402,0,294,WDH
0,226,484,11,447,WDH
0,783,424,226,447,WDH
0,783,424,533,447,WDH
0,783,832,533,447,WDH
0,783,832,226,447,WDH
0,180,835,39,447,WDH
0,264,4,61,447,DWH
0,708,152,2,447,DWH
0,114,7,604,447,DWH
0,708,152,421,447,DWH
0,351,5,335,448,DWH
0,727,495,336,614,WDH
0,727,0,336,614,WDH
0,93,0,672,614,WDH
0,93,324,672,614,WDH
0,319,990,0,614,DWH
0,112,648,672,614,WDH
0,247,990,414,614,DWH
0,727,495,0,614,WDH
0,727,0,0,614,WDH
0,742,394,213,726,WDH
0,742,709,213,726,WDH
0,742,394,4,726,WDH
0,742,394,631,726,WDH
0,680,70,2,726,WDH
0,742,709,422,726,WDH
0,742,79,631,726,WDH
0,742,394,422,726,WDH
0,742,1031,185,726,DWH
0,742,709,4,726,WDH
0,666,1024,500,726,DWH
0,635,108,185,726,WDH
0,699,106,408,726,WDH
0,119,1037,42,726,WDH
0,97,7,296,726,DWH
0,742,709,631,726,WDH
0,499,2,414,992,WDH
0,748,888,394,992,WDH
0,748,888,617,992,WDH
0,50,20,587,992,DWH
0,418,54,0,992,WDH
0,816,864,206,992,WDH
0,418,271,0,992,WDH
0,816,512,459,992,WDH
0,418,18,177,992,DWH
0,816,488,206,992,WDH
0,825,529,11,992,WDH
0,816,864,18,992,WDH
0,261,201,676,992,WDH
0,886,486,647,992,WDH
0,759,213,424,992,WDH
0,759,189,171,992,WDH
0,744,366,257,1248,WDH
0,744,0,520,1248,WDH
0,744,711,0,1248,WDH
0,744,690,520,1248,WDH
0,744,711,257,1248,WDH
0,400,1056,612,1248,DWH
0,744,345,520,1248,WDH
0,744,366,0,1248,WDH
0,636,0,249,1248,WDH
0,649,0,0,1248,WDH
0,136,1056,306,1248,DWH
0,136,1056,0,1248,DWH
0,271,916,2,1468,WDH
0,915,903,522,1468,WDH
0,662,43,79,1468,WDH
0,882,121,294,1468,WDH
0,882,512,567,1468,WDH
0,882,121,567,1468,WDH
0,882,512,21,1468,WDH
0,915,903,204,1468,WDH
0,882,512,294,1468,WDH
0,448,5,338,1468,DWH
0,448,5,589,1468,DWH
0,226,889,614,1656,WDH
0,711,425,0,1656,WDH
0,902,441,586,1656,WDH
0,901,29,0,1656,WDH
0,711,425,293,1656,WDH
0,783,832,307,1656,WDH
0,783,832,0,1656,WDH
0,708,6,293,1656,WDH
0,708,6,565,1656,WDH
0,857,0,142,1818,WDH
0,857,0,491,1818,WDH
0,284,832,477,1818,WDH
0,284,832,129,1818,WDH
0,284,426,238,1820,WDH
0,580,460,5,1820,WDH
0,391,424,588,1822,WDH
0,142,0,0,1820,WDH
0,103,239,0,1820,WDH
0,126,832,0,1822,WDH
0,284,832,129,1903,WDH
