bin,item,x,y,z,orientation
0,49,310,472,0,WDH
0,13,706,288,0,WDH
0,13,706,0,0,WDH
0,13,706,144,0,WDH
0,50,353,236,0,WDH
0,50,353,0,0,WDH
0,50,0,236,0,WDH
0,50,0,0,0,WDH
0,49,0,472,0,WDH
0,38,681,481,0,DWH
0,38,881,440,0,WDH
0,20,1012,138,0,DWH
0,9,1052,0,0,WDH
0,38,881,640,0,WDH
0,52,239,0,239,WDH
0,52,239,341,239,WDH
0,44,581,0,239,WDH
0,8,49,528,239,DWH
0,8,49,264,239,DWH
0,8,49,0,239,DWH
0,35,959,0,255,DWH
0,14,645,530,258,WDH
0,14,645,685,258,WDH
0,23,829,453,258,WDH
0,39,891,553,389,WDH
0,15,26,472,389,DWH
0,15,26,152,389,DWH
0,33,886,332,389,WDH
0,6,638,67,389,WDH
0,43,942,77,389,WDH
0,43,593,585,389,WDH
0,18,674,230,389,DWH
0,31,239,380,390,DWH
0,19,239,41,390,WDH
0,28,242,529,482,WDH
0,10,242,10,487,WDH
0,28,242,218,487,WDH
0,34,806,307,575,WDH
0,12,3,508,575,DWH
0,34,806,43,575,WDH
0,4,614,549,575,DWH
0,4,627,16,575,DWH
0,30,793,571,575,WDH
0,4,63,217,575,DWH
0,7,281,589,605,WDH
0,14,622,307,575,WDH
0,29,242,10,610,WDH
0,17,242,272,610,WDH
0,11,941,353,711,WDH
0,51,898,0,711,WDH
0,3,645,0,719,DWH
0,3,417,549,719,WDH
0,46,32,538,720,WDH
0,48,827,541,720,WDH
0,8,52,244,719,DWH
0,7,292,272,777,WDH
0,31,827,211,823,WDH
0,36,232,0,785,WDH
0,2,478,568,809,WDH
0,35,53,568,854,WDH
0,48,827,541,854,WDH
0,6,645,163,809,DWH
0,6,645,0,809,WDH
0,7,232,243,890,WDH
0,5,893,0,823,WDH
0,19,860,202,915,WDH
0,40,3,243,869,DWH
0,52,485,499,936,WDH
0,2,3,535,988,WDH
0,2,827,541,988,WDH
0,40,232,14,915,WDH
0,21,232,243,1003,WDH
0,29,827,17,1020,WDH
0,29,827,279,1020,WDH
0,51,474,498,1087,DWH
0,25,617,39,995,DWH
0,51,0,498,1115,DWH
0,1,0,226,1071,DWH
0,47,881,568,1115,WDH
0,42,216,226,1161,WDH
0,32,153,36,1117,WDH
0,21,879,58,1195,WDH
0,17,876,312,1195,WDH
0,6,633,677,1199,WDH
0,51,0,498,1227,DWH
0,27,617,39,1256,DWH
0,22,421,523,1199,DWH
0,45,881,568,1273,WDH
0,37,0,226,1267,DWH
0,25,208,226,1311,WDH
0,26,130,571,1339,WDH
0,25,208,35,1331,WDH
0,16,1047,0,1353,DWH
0,41,639,498,1199,WDH
0,22,923,296,1362,WDH
0,16,580,35,1466,WDH
0,16,446,498,1489,DWH
0,16,944,647,1490,WDH
0,24,17,161,1519,DWH
0,26,155,525,1550,WDH
