bin,item,x,y,z,orientation
0,214,833,583,0,WDH
0,192,425,0,0,WDH
0,218,0,269,0,WDH
0,218,0,0,0,WDH
0,245,425,583,0,WDH
0,217,821,0,0,WDH
0,205,0,538,0,WDH
0,205,425,286,0,WDH
0,246,821,261,0,WDH
0,173,807,278,177,WDH
0,190,812,30,177,WDH
0,190,379,592,177,WDH
0,143,72,288,177,WDH
0,130,6,6,177,WDH
0,173,807,559,177,WDH
0,173,370,5,177,WDH
0,84,425,319,178,WDH
0,84,0,576,178,WDH
0,190,812,562,330,WDH
0,151,385,583,330,WDH
0,173,374,0,330,WDH
0,232,11,0,330,WDH
0,151,14,319,330,WDH
0,173,807,0,330,WDH
0,173,807,281,330,WDH
0,97,3,578,336,WDH
0,130,432,303,336,WDH
0,118,0,283,482,WDH
0,118,786,0,482,WDH
0,118,0,0,482,WDH
0,118,393,0,482,WDH
0,118,796,303,482,WDH
0,178,432,583,482,WDH
0,214,0,566,482,WDH
0,214,796,586,482,WDH
0,118,393,283,488,WDH
0,212,0,283,651,WDH
0,212,770,0,651,WDH
0,212,393,0,651,WDH
0,160,786,562,651,WDH
0,160,402,566,651,WDH
0,118,0,0,651,WDH
0,214,0,566,651,WDH
0,212,786,283,651,WDH
0,135,377,283,655,WDH
0,162,839,0,818,WDH
0,164,740,313,818,WDH
0,164,740,554,818,WDH
0,67,25,313,818,WDH
0,164,339,0,818,WDH
0,104,14,0,818,WDH
0,114,416,554,818,WDH
0,164,240,313,818,WDH
0,81,27,568,820,WDH
0,36,0,450,818,WDH
0,51,37,655,980,WDH
0,51,233,336,980,WDH
0,79,765,468,980,WDH
0,233,250,521,980,WDH
0,79,765,96,980,WDH
0,233,446,6,980,DWH
0,154,0,0,983,WDH
0,22,0,336,985,DWH
0,172,446,190,1093,WDH
0,12,1020,537,1093,DWH
0,32,446,7,1093,WDH
0,230,0,570,1093,WDH
0,100,876,57,1093,DWH
0,175,0,343,1093,WDH
0,167,538,541,1093,WDH
0,157,49,7,1097,WDH
0,70,907,56,1221,WDH
0,135,36,558,1221,WDH
0,135,442,558,1221,WDH
0,99,365,61,1221,WDH
0,135,442,276,1221,WDH
0,135,36,276,1221,WDH
0,215,848,252,1221,WDH
0,204,4,9,1221,WDH
0,215,848,546,1221,WDH
0,116,464,0,1383,DWH
0,6,706,307,1383,WDH
