bin,item,x,y,z,orientation
0,202,896,0,0,WDH
0,109,908,323,0,WDH
0,109,908,542,0,WDH
0,178,360,632,0,WDH
0,178,0,632,0,WDH
0,223,454,323,0,WDH
0,223,442,0,0,WDH
0,224,0,0,0,WDH
0,223,0,323,0,WDH
0,55,720,632,0,WDH
0,119,428,535,227,WDH
0,119,442,18,227,WDH
0,41,428,336,227,WDH
0,48,0,331,227,WDH
0,205,0,502,227,WDH
0,38,905,41,227,WDH
0,184,893,435,228,DWH
0,78,19,2,228,WDH
0,193,468,193,358,WDH
0,138,446,519,358,WDH
0,36,548,0,358,WDH
0,138,843,519,358,WDH
0,140,11,15,358,WDH
0,93,846,49,358,WDH
0,32,980,400,358,WDH
0,98,16,576,358,WDH
0,98,38,255,358,WDH
0,149,358,325,511,WDH
0,132,0,284,511,WDH
0,174,368,43,511,WDH
0,144,737,21,511,WDH
0,152,358,589,511,WDH
0,87,0,565,511,WDH
0,174,737,599,511,WDH
0,174,0,43,511,WDH
0,174,737,231,511,DWH
0,174,978,231,511,DWH
0,39,0,683,720,WDH
0,226,0,363,720,WDH
0,107,418,276,720,WDH
0,107,418,0,720,WDH
0,123,823,0,720,WDH
0,222,0,0,720,WDH
0,101,823,276,720,WDH
0,123,418,552,720,WDH
0,101,823,554,720,WDH
0,24,14,606,884,WDH
0,31,912,1,884,WDH
0,153,441,9,884,WDH
0,208,79,268,884,WDH
0,153,65,9,884,WDH
0,208,448,268,884,WDH
0,78,817,519,884,WDH
0,78,817,198,884,WDH
0,124,293,593,884,WDH
0,191,786,0,1015,WDH
0,191,393,0,1015,WDH
0,191,0,0,1015,WDH
0,191,0,288,1015,WDH
0,162,843,576,1015,WDH
0,191,786,288,1015,WDH
0,140,0,576,1015,WDH
0,191,393,288,1015,WDH
0,114,457,576,1015,WDH
0,103,786,301,1161,WDH
0,180,843,598,1161,WDH
0,191,0,288,1161,WDH
0,191,0,0,1161,WDH
0,103,393,13,1161,WDH
0,191,393,288,1161,WDH
0,103,786,26,1161,WDH
0,217,0,583,1166,WDH
0,17,379,635,1168,WDH
0,48,659,591,1168,DWH
0,17,379,583,1246,WDH
0,108,952,0,1307,DWH
0,3,364,364,1307,WDH
0,120,476,0,1307,WDH
0,76,952,436,1307,DWH
0,43,659,583,1307,WDH
0,120,0,364,1307,DWH
0,120,0,0,1307,WDH
0,1,364,573,1324,DWH
0,13,589,601,1419,WDH
0,50,373,637,1419,WDH
0,77,383,52,1419,WDH
0,77,52,381,1419,DWH
0,112,871,1,1419,DWH
0,59,2,72,1419,WDH
0,72,974,464,1423,DWH
0,13,364,364,1426,WDH
0,62,727,436,1426,WDH
0,164,995,0,1527,DWH
0,164,364,593,1527,WDH
0,217,971,436,1527,DWH
0,47,756,593,1527,WDH
0,156,578,0,1527,WDH
0,156,0,307,1527,DWH
0,225,0,0,1527,WDH
0,25,364,369,1528,WDH
0,62,727,436,1543,WDH
0,116,482,307,1661,WDH
0,3,0,597,1661,WDH
0,160,0,307,1661,WDH
0,56,482,616,1661,WDH
0,56,1013,0,1661,DWH
0,188,578,0,1661,WDH
0,121,0,8,1665,WDH
0,19,917,379,1665,WDH
0,65,839,616,1665,WDH
0,4,431,29,1665,DWH
0,90,426,0,1776,WDH
0,90,833,309,1776,WDH
0,90,833,0,1776,WDH
0,34,495,590,1776,WDH
0,108,397,309,1776,WDH
0,143,27,309,1776,WDH
0,76,32,0,1776,WDH
0,56,883,618,1776,WDH
0,71,0,640,1780,WDH
0,47,333,630,1780,DWH
0,103,0,275,1895,WDH
0,81,389,0,1895,WDH
0,103,0,0,1895,WDH
0,93,833,274,1895,WDH
0,93,833,0,1895,WDH
0,20,925,590,1895,WDH
0,157,389,267,1895,WDH
0,157,495,590,1895,WDH
0,71,0,630,1907,WDH
0,4,333,562,1914,DWH
0,22,82,550,2034,WDH
0,24,313,18,2048,WDH
0,24,592,18,2048,WDH
0,71,907,21,2048,WDH
0,209,520,546,2048,WDH
0,208,871,515,2048,WDH
0,209,520,252,2048,WDH
0,209,889,221,2048,WDH
0,18,19,48,2048,WDH
0,145,177,257,2048,WDH
0,70,0,578,2085,WDH
1,14,937,633,0,WDH
1,137,975,0,0,DWH
1,14,668,633,0,WDH
1,148,0,0,0,WDH
1,172,412,380,0,WDH
1,172,0,380,0,WDH
1,10,334,633,0,WDH
1,10,0,633,0,WDH
1,83,581,0,0,WDH
1,137,824,380,0,WDH
1,148,0,190,0,WDH
1,115,0,310,186,WDH
1,115,0,54,186,WDH
1,115,388,54,186,WDH
1,115,388,310,186,WDH
1,93,0,566,186,WDH
1,110,776,320,186,WDH
1,110,776,74,186,WDH
1,110,758,594,186,WDH
1,115,370,584,186,WDH
1,201,0,551,344,WDH
1,36,1007,534,344,DWH
1,201,356,283,344,WDH
1,30,685,0,344,WDH
1,166,655,534,344,WDH
1,131,690,283,344,WDH
1,69,1004,0,344,DWH
1,185,0,268,344,WDH
1,185,356,0,344,WDH
1,168,356,534,344,WDH
1,146,0,0,344,WDH
1,57,1040,283,344,DWH
1,1,423,283,498,WDH
1,1,388,534,498,WDH
1,1,1027,529,498,DWH
1,42,750,0,498,WDH
1,54,3,551,498,WDH
1,45,4,0,498,WDH
1,54,359,15,500,WDH
1,54,3,283,500,WDH
1,19,690,283,501,WDH
1,64,655,534,503,WDH
1,53,1020,254,515,DWH
1,23,431,379,588,DWH
1,21,1020,510,588,DWH
1,217,431,0,588,DWH
1,216,0,329,588,WDH
1,216,0,0,588,WDH
1,5,688,0,590,WDH
1,18,693,216,602,DWH
1,145,897,221,602,WDH
1,207,681,542,606,WDH
1,52,0,661,588,WDH
1,23,693,6,726,WDH
1,21,1020,510,726,DWH
1,164,431,389,726,DWH
1,130,431,13,726,DWH
1,216,0,3,726,WDH
1,216,0,332,726,WDH
1,68,693,216,728,WDH
1,68,952,216,728,WDH
1,34,706,442,740,DWH
1,69,0,661,750,WDH
1,27,365,510,863,DWH
1,127,1,277,863,DWH
1,74,268,277,863,WDH
1,190,60,0,863,WDH
1,74,534,510,863,WDH
1,75,820,0,863,WDH
1,74,754,277,863,WDH
1,104,413,0,863,WDH
1,147,1020,502,864,DWH
1,11,1,626,903,WDH
1,33,15,486,1033,WDH
1,63,309,502,1033,DWH
1,74,754,0,1033,WDH
1,74,754,225,1033,WDH
1,74,43,0,1033,DWH
1,74,268,225,1033,WDH
1,74,534,502,1033,WDH
1,74,268,0,1033,WDH
1,52,1061,513,1040,DWH
1,53,0,620,1040,WDH
1,53,15,616,1119,WDH
1,91,185,0,1203,WDH
1,91,176,550,1203,WDH
1,194,8,0,1203,DWH
1,94,905,0,1203,WDH
1,91,200,242,1203,WDH
1,94,905,275,1203,WDH
1,97,546,242,1203,WDH
1,97,881,550,1203,WDH
1,97,522,550,1203,WDH
1,186,531,0,1203,WDH
1,12,8,359,1203,DWH
1,170,589,0,1422,WDH
1,117,910,0,1422,WDH
1,170,42,0,1422,DWH
1,170,268,0,1422,WDH
1,170,277,234,1422,WDH
1,170,277,460,1422,WDH
1,170,598,460,1422,WDH
1,170,919,234,1422,WDH
1,170,598,234,1422,WDH
1,170,919,460,1422,WDH
1,37,428,686,1422,WDH
1,51,964,686,1422,WDH
1,37,696,686,1422,WDH
1,37,160,686,1422,WDH
1,8,8,359,1426,DWH
1,68,18,460,1570,WDH
1,74,754,0,1664,WDH
1,127,530,496,1664,WDH
1,190,526,225,1664,WDH
1,88,131,225,1664,WDH
1,63,301,458,1664,DWH
1,165,898,503,1664,WDH
1,187,359,0,1664,WDH
1,101,879,225,1664,WDH
1,166,0,0,1664,WDH
1,20,18,460,1698,DWH
1,35,884,400,1829,DWH
1,35,800,44,1834,WDH
1,35,360,44,1834,WDH
1,179,348,419,1834,WDH
1,72,0,464,1847,DWH
1,53,104,180,1834,WDH
1,35,884,400,1906,DWH
1,35,800,44,1911,WDH
1,35,360,44,1911,WDH
1,136,266,427,1912,WDH
1,19,104,86,1913,DWH
1,72,0,427,1941,DWH
1,11,697,400,1912,DWH
1,181,697,0,1988,WDH
1,163,941,345,1988,DWH
1,181,344,297,2006,DWH
1,60,356,0,1988,WDH
1,56,104,43,2014,DWH
1,34,0,427,2035,WDH
1,181,697,0,2077,WDH
1,181,352,248,2089,DWH
1,59,941,345,2077,DWH
2,73,848,360,0,DWH
2,198,417,0,0,WDH
2,207,841,0,0,WDH
2,156,0,0,0,WDH
2,198,0,360,0,WDH
2,198,424,360,0,WDH
2,49,89,691,0,WDH
2,49,595,691,0,WDH
2,49,342,691,0,WDH
