bin,item,x,y,z,orientation
0,173,357,646,0,WDH
0,299,357,0,0,WDH
0,243,1018,0,0,DWH
0,243,1018,312,0,DWH
0,299,357,213,0,WDH
0,299,0,0,0,WDH
0,299,0,426,0,WDH
0,299,0,213,0,WDH
0,173,0,639,0,WDH
0,174,714,440,0,WDH
0,173,714,660,0,WDH
0,174,357,426,0,WDH
0,174,714,0,0,WDH
0,174,714,220,0,WDH
0,20,1050,743,0,WDH
0,20,1050,646,0,WDH
0,248,1018,288,262,DWH
0,172,861,1,262,WDH
0,462,0,286,262,WDH
0,462,0,563,262,WDH
0,414,0,42,262,WDH
0,457,461,16,262,WDH
0,457,606,570,262,WDH
0,457,606,300,262,WDH
0,39,1007,660,276,WDH
0,63,804,572,443,DWH
0,308,804,293,443,WDH
0,242,0,302,443,WDH
0,242,402,0,443,WDH
0,413,0,604,443,WDH
0,242,402,302,443,WDH
0,223,424,604,443,WDH
0,242,0,0,443,WDH
0,388,804,0,443,WDH
0,21,1003,572,453,DWH
0,431,849,501,604,WDH
0,194,823,294,604,WDH
0,194,7,625,604,WDH
0,409,406,271,604,WDH
0,286,383,7,604,WDH
0,409,8,271,604,WDH
0,278,22,18,604,WDH
0,108,446,647,605,WDH
0,281,809,0,610,WDH
0,47,494,604,714,WDH
0,192,824,509,749,WDH
0,464,841,0,749,DWH
0,108,91,604,749,WDH
0,108,438,0,749,WDH
0,227,8,243,752,WDH
0,42,478,209,752,DWH
0,141,8,6,752,WDH
0,118,552,609,772,WDH
0,195,426,0,858,WDH
0,140,72,612,858,WDH
0,96,446,325,858,DWH
0,410,1,325,858,WDH
0,195,19,0,858,WDH
0,136,945,325,858,WDH
0,195,833,0,858,WDH
0,136,650,325,858,WDH
0,332,833,525,859,WDH
0,162,446,588,864,WDH
0,227,471,251,1002,WDH
0,25,819,661,1002,WDH
0,228,941,165,1002,DWH
0,227,1,251,1002,WDH
0,2,377,6,1002,WDH
0,2,1,6,1002,WDH
0,155,941,8,1002,WDH
0,78,426,625,1002,WDH
0,101,753,11,1002,DWH
0,100,0,613,1005,WDH
0,112,1084,643,1002,DWH
0,442,394,514,1107,WDH
0,214,902,444,1107,WDH
0,442,394,0,1107,WDH
0,442,394,257,1107,WDH
0,107,793,643,1107,WDH
0,218,28,257,1107,WDH
0,218,28,0,1107,WDH
0,218,28,514,1107,WDH
0,348,782,222,1107,WDH
0,348,782,0,1107,WDH
0,57,1084,643,1131,DWH
0,201,261,590,1305,WDH
0,201,261,340,1305,WDH
0,201,0,4,1305,DWH
0,210,682,262,1305,WDH
0,210,261,51,1305,WDH
0,210,682,551,1305,WDH
0,84,1055,4,1305,DWH
0,371,682,3,1305,WDH
0,83,1043,298,1305,DWH
0,59,1043,547,1305,DWH
0,204,0,425,1305,DWH
0,445,438,270,1498,WDH
0,172,63,540,1498,WDH
0,457,840,0,1498,WDH
0,457,440,0,1498,WDH
0,267,18,0,1498,WDH
0,445,838,540,1498,WDH
0,186,51,270,1498,WDH
0,445,436,540,1498,WDH
0,457,840,270,1498,WDH
0,316,949,311,1680,DWH
0,71,638,23,1680,WDH
0,316,949,7,1680,DWH
0,451,0,8,1680,WDH
0,451,341,2,1680,WDH
0,209,359,624,1680,WDH
0,209,0,399,1680,WDH
0,250,0,615,1680,WDH
0,316,341,393,1680,WDH
0,316,700,618,1680,WDH
0,316,341,171,1680,WDH
0,316,0,177,1680,WDH
0,316,645,393,1680,WDH
0,316,645,171,1680,WDH
0,60,1004,670,1680,WDH
0,60,1004,618,1802,DWH
0,324,385,295,1929,WDH
0,119,28,615,1929,WDH
0,62,886,610,1929,WDH
0,98,14,0,1929,DWH
0,159,718,610,1929,DWH
0,377,255,0,1929,WDH
0,224,782,295,1929,WDH
0,358,730,0,1929,WDH
0,163,0,390,1930,WDH
0,123,359,611,1930,WDH
0,311,823,337,2055,WDH
0,432,818,0,2055,WDH
0,456,11,0,2055,WDH
0,282,425,301,2055,WDH
0,76,968,666,2055,WDH
0,163,18,615,2055,WDH
0,375,390,0,2055,WDH
0,112,778,666,2055,WDH
0,30,32,342,2066,WDH
0,123,359,611,2066,WDH
0,30,98,334,2128,WDH
1,181,0,538,0,WDH
1,181,469,0,0,WDH
1,350,469,572,0,WDH
1,416,469,284,0,WDH
1,328,0,0,0,WDH
1,207,909,403,0,DWH
1,328,0,269,0,WDH
1,246,909,0,0,DWH
