bin,item,x,y,z,orientation
0,463,664,0,0,WDH
0,463,664,291,0,WDH
0,463,0,291,0,WDH
0,463,332,0,0,WDH
0,463,0,0,0,WDH
0,679,342,582,0,WDH
0,679,0,582,0,WDH
0,677,684,582,0,WDH
0,677,996,0,0,DWH
0,435,996,313,0,DWH
0,435,997,582,0,DWH
0,463,332,291,0,WDH
0,509,996,0,210,DWH
0,61,0,1,210,WDH
0,382,838,538,210,DWH
0,361,838,9,210,DWH
0,31,838,252,210,DWH
0,678,419,604,210,WDH
0,678,419,132,210,WDH
0,678,0,604,210,WDH
0,678,419,368,210,WDH
0,678,0,368,210,WDH
0,426,257,24,210,WDH
0,678,0,132,210,WDH
0,534,997,473,214,DWH
0,47,997,313,214,WDH
0,89,607,1,210,WDH
0,89,425,1,210,WDH
0,487,167,313,408,WDH
0,533,10,0,408,WDH
0,74,11,313,408,DWH
0,510,577,313,408,WDH
0,533,399,0,408,WDH
0,399,331,642,408,WDH
0,399,664,642,408,WDH
0,135,6,642,408,WDH
0,518,788,0,408,WDH
0,244,998,483,411,DWH
0,96,999,309,414,WDH
0,128,525,525,530,WDH
0,72,3,12,530,WDH
0,10,703,322,530,WDH
0,254,337,367,530,WDH
0,424,333,585,530,DWH
0,289,25,285,530,DWH
0,289,431,3,530,WDH
0,292,998,496,532,DWH
0,5,0,653,532,WDH
0,63,1016,192,533,DWH
0,5,811,56,533,DWH
0,96,998,18,533,WDH
0,597,505,30,609,WDH
0,15,19,6,609,DWH
0,597,156,566,609,WDH
0,31,954,200,609,WDH
0,612,155,316,609,WDH
0,492,183,57,609,WDH
0,501,489,572,609,WDH
0,501,489,304,609,WDH
0,373,11,577,609,DWH
0,288,6,348,609,DWH
0,549,838,596,609,WDH
0,549,838,352,609,WDH
0,438,838,30,609,DWH
0,196,954,6,640,WDH
0,421,990,0,740,WDH
0,181,990,186,812,WDH
0,598,0,562,812,WDH
0,474,394,536,812,WDH
0,668,394,0,812,WDH
0,668,394,268,812,WDH
0,623,838,563,812,WDH
0,623,838,307,812,WDH
0,649,0,0,812,WDH
0,649,0,281,812,WDH
0,364,802,0,814,DWH
0,100,991,28,816,WDH
0,200,7,21,991,DWH
0,275,45,399,991,WDH
0,634,735,563,991,WDH
0,634,735,286,991,WDH
0,528,257,73,991,WDH
0,57,1005,8,991,DWH
0,528,446,362,991,DWH
0,556,9,562,993,WDH
0,57,770,8,993,DWH
0,655,623,21,1125,WDH
0,655,623,539,1125,WDH
0,655,623,280,1125,WDH
0,18,1084,274,1125,DWH
0,648,257,402,1125,WDH
0,638,7,362,1125,DWH
0,18,1084,21,1125,DWH
0,648,257,21,1125,WDH
0,18,1084,527,1125,DWH
0,122,0,0,1126,DWH
0,162,40,21,1215,DWH
0,664,744,409,1269,WDH
0,664,744,0,1269,WDH
0,460,273,0,1269,WDH
0,610,208,359,1269,WDH
0,131,455,667,1269,WDH
0,223,5,359,1269,DWH
0,349,228,667,1269,WDH
0,453,5,9,1270,DWH
0,615,332,174,1367,WDH
0,463,0,549,1367,WDH
0,615,0,36,1367,WDH
0,615,332,396,1367,WDH
0,615,332,618,1367,WDH
0,463,0,258,1367,WDH
0,345,332,3,1367,WDH
0,568,663,78,1367,WDH
0,568,663,332,1367,WDH
0,546,952,10,1367,WDH
0,568,663,586,1367,WDH
0,568,952,262,1367,DWH
0,568,952,551,1367,DWH
0,672,625,434,1579,WDH
0,201,35,657,1579,WDH
0,412,934,663,1579,WDH
0,633,920,434,1579,WDH
0,666,213,0,1579,WDH
0,633,545,0,1579,WDH
0,666,293,434,1579,WDH
0,666,189,229,1579,WDH
0,277,649,666,1579,WDH
0,344,32,0,1579,DWH
0,500,305,631,1579,WDH
0,530,8,434,1579,WDH
0,525,865,217,1579,WDH
0,525,865,0,1579,WDH
0,514,521,229,1579,WDH
0,428,8,217,1579,DWH
0,428,8,217,1702,DWH
0,528,478,262,1826,WDH
0,91,1052,51,1826,DWH
0,528,478,551,1826,WDH
0,528,0,262,1826,WDH
0,591,534,6,1826,WDH
0,667,956,340,1826,DWH
0,503,0,8,1826,WDH
0,528,0,551,1826,WDH
0,610,704,308,1963,WDH
0,610,168,0,1963,WDH
0,610,704,0,1963,WDH
0,610,168,308,1963,WDH
0,252,189,616,1963,WDH
0,252,520,616,1963,WDH
0,126,30,0,1963,DWH
0,223,851,616,1963,WDH
0,313,1,267,1963,DWH
0,274,1,620,1963,DWH
0,528,762,289,2058,WDH
0,528,284,0,2058,WDH
0,528,762,0,2058,WDH
0,667,262,289,2058,WDH
0,263,15,289,2058,DWH
0,556,855,578,2058,WDH
0,337,57,0,2058,DWH
0,240,198,613,2067,WDH
0,29,466,584,2067,WDH
0,120,0,620,2075,DWH
1,487,0,321,0,WDH
1,81,410,650,0,WDH
1,487,0,0,0,WDH
1,434,734,650,0,WDH
1,471,796,0,0,WDH
1,471,410,0,0,WDH
1,471,410,325,0,WDH
1,471,796,325,0,WDH
1,135,0,642,0,WDH
1,158,1007,650,0,WDH
1,82,760,662,116,WDH
1,661,818,0,123,WDH
1,661,818,239,123,WDH
1,661,0,239,123,WDH
1,661,0,0,123,WDH
1,661,409,0,123,WDH
1,405,1031,478,123,WDH
1,661,409,239,123,WDH
1,396,748,478,123,WDH
1,79,374,478,123,WDH
1,79,0,478,123,WDH
1,322,55,637,124,WDH
1,138,1007,682,126,WDH
1,75,374,645,126,WDH
1,105,705,654,218,WDH
1,171,18,398,302,DWH
1,588,9,9,302,DWH
1,107,978,26,302,WDH
1,330,22,647,302,WDH
1,653,278,143,302,WDH
1,372,479,5,302,WDH
1,655,980,221,302,DWH
1,655,719,193,302,DWH
1,589,224,398,302,WDH
1,58,711,19,302,WDH
1,406,302,4,302,WDH
