bin,item,x,y,z,orientation
0,244,672,221,0,WDH
0,217,336,444,0,WDH
0,244,672,0,0,WDH
0,106,0,666,0,WDH
0,106,271,666,0,WDH
0,167,0,444,0,WDH
0,187,963,0,0,DWH
0,187,992,444,0,DWH
0,167,336,222,0,WDH
0,167,336,0,0,WDH
0,167,0,0,0,WDH
0,187,645,444,0,WDH
0,167,0,222,0,WDH
0,187,645,628,0,WDH
0,236,861,567,248,WDH
0,172,534,265,248,WDH
0,172,207,265,248,WDH
0,184,483,11,248,WDH
0,71,28,277,248,DWH
0,165,871,13,248,DWH
0,221,89,596,248,WDH
0,221,90,21,248,WDH
0,236,482,567,248,WDH
0,57,861,362,248,WDH
0,51,908,366,334,WDH
0,228,0,7,436,WDH
0,228,430,7,436,WDH
0,174,391,226,436,WDH
0,55,860,3,436,WDH
0,174,391,533,436,WDH
0,174,0,226,436,WDH
0,174,782,533,436,WDH
0,204,782,232,436,WDH
0,174,0,533,436,WDH
0,171,802,6,590,WDH
0,171,91,307,590,WDH
0,194,123,25,590,WDH
0,13,1,79,590,DWH
0,120,12,584,590,DWH
0,197,450,10,590,WDH
0,185,185,604,590,WDH
0,168,550,538,590,WDH
0,168,895,538,590,WDH
0,177,462,263,590,WDH
0,13,805,354,593,DWH
0,163,927,271,593,WDH
0,91,293,622,791,WDH
0,201,848,0,791,WDH
0,161,0,0,791,WDH
0,41,620,622,791,WDH
0,41,927,667,791,WDH
0,230,927,271,791,DWH
0,233,293,329,791,WDH
0,233,410,0,791,WDH
0,233,0,329,791,DWH
0,109,731,329,794,DWH
0,202,460,0,935,WDH
0,200,911,248,935,WDH
0,210,139,329,935,WDH
0,210,510,329,935,WDH
0,88,9,329,935,DWH
0,242,892,555,935,WDH
0,175,145,598,935,WDH
0,126,27,598,935,DWH
0,247,828,0,935,WDH
0,28,528,598,935,WDH
0,101,15,11,936,WDH
0,66,9,80,1035,WDH
0,201,0,401,1102,DWH
0,166,254,254,1102,WDH
0,43,929,532,1102,WDH
0,43,621,532,1102,WDH
0,43,604,254,1102,WDH
0,43,912,254,1102,WDH
0,205,254,0,1102,WDH
0,246,254,532,1102,WDH
0,205,0,0,1102,DWH
0,246,655,0,1102,WDH
0,22,1035,9,1102,DWH
0,129,758,611,1248,WDH
0,182,391,270,1248,WDH
0,182,391,0,1248,WDH
0,14,1056,611,1248,DWH
0,24,758,0,1248,DWH
0,24,391,540,1248,WDH
0,50,1049,351,1248,DWH
0,55,0,602,1248,WDH
0,204,0,0,1248,WDH
0,204,0,301,1248,WDH
0,124,758,351,1248,WDH
0,31,977,0,1255,DWH
0,80,742,545,1405,WDH
0,80,413,545,1405,WDH
0,90,789,0,1405,DWH
0,2,413,0,1405,WDH
0,51,0,606,1405,WDH
0,76,977,338,1405,WDH
0,144,0,303,1405,WDH
0,46,811,301,1405,DWH
0,137,413,301,1405,WDH
0,46,1071,545,1405,DWH
0,144,0,0,1405,WDH
0,57,1035,0,1414,DWH
0,237,891,559,1504,WDH
0,237,891,278,1504,WDH
0,212,503,309,1504,WDH
0,126,20,332,1504,DWH
0,237,542,559,1504,WDH
0,173,53,41,1504,WDH
0,63,969,13,1504,WDH
0,242,194,568,1504,WDH
0,113,10,590,1504,DWH
0,175,138,318,1504,WDH
0,96,587,8,1506,WDH
0,148,413,27,1506,DWH
0,128,579,27,1589,WDH
0,213,503,309,1668,WDH
0,116,503,658,1668,WDH
0,23,969,468,1668,DWH
0,155,0,0,1668,WDH
0,215,20,559,1668,WDH
0,215,969,13,1668,DWH
0,147,347,0,1671,DWH
0,215,0,285,1671,WDH
0,18,616,13,1672,WDH
0,203,873,151,1792,WDH
0,160,18,56,1792,WDH
0,160,189,394,1792,WDH
0,241,518,592,1792,WDH
0,164,609,33,1792,DWH
0,122,983,2,1792,WDH
0,241,518,344,1792,WDH
0,77,6,637,1792,DWH
0,186,860,368,1792,WDH
0,186,860,604,1792,WDH
0,198,0,302,1792,DWH
0,203,151,623,1792,WDH
0,75,375,161,1793,WDH
0,97,408,8,1793,WDH
0,50,372,185,1874,WDH
0,12,189,289,1792,WDH
0,109,354,0,2011,WDH
0,60,746,656,2011,WDH
0,94,873,151,2011,WDH
0,30,469,656,2011,WDH
0,209,0,0,2011,WDH
0,208,621,394,2011,WDH
0,29,1024,394,2011,DWH
0,176,189,394,2011,WDH
0,115,189,656,2011,WDH
0,81,629,24,2015,DWH
0,10,955,0,2014,WDH
0,136,0,286,2015,DWH
0,136,0,548,2015,DWH
0,157,371,223,2021,WDH
0,37,1019,707,2011,WDH
1,194,0,0,0,WDH
1,70,671,0,0,WDH
1,70,341,608,0,WDH
1,240,0,238,0,WDH
1,178,327,0,0,WDH
1,178,341,238,0,WDH
1,111,685,238,0,WDH
1,44,930,238,0,WDH
1,98,685,450,0,WDH
1,44,932,629,0,WDH
1,44,685,646,0,WDH
1,134,0,464,0,WDH
1,44,932,450,0,WDH
1,134,0,633,0,WDH
1,44,921,0,0,WDH
1,134,341,439,0,WDH
1,193,327,0,197,WDH
1,226,685,450,197,WDH
1,26,341,238,197,WDH
1,231,757,0,197,WDH
1,100,930,238,197,WDH
1,231,341,608,197,WDH
1,48,1070,450,197,DWH
1,139,624,219,202,WDH
1,226,41,438,202,DWH
1,139,21,7,202,WDH
1,48,369,469,202,WDH
1,103,79,269,202,WDH
1,175,720,241,369,WDH
1,175,720,482,369,WDH
1,8,1085,504,369,DWH
1,8,1085,241,369,DWH
1,173,360,0,369,WDH
1,28,341,608,369,WDH
1,173,0,0,369,WDH
1,28,341,269,369,WDH
1,175,720,0,369,WDH
1,105,0,262,372,WDH
1,107,0,516,372,WDH
1,88,341,467,372,WDH
1,238,258,358,533,DWH
1,238,0,358,533,DWH
1,136,516,578,533,DWH
1,3,379,65,533,WDH
1,132,0,63,533,WDH
1,213,891,382,538,DWH
1,116,721,414,538,DWH
1,220,760,74,538,WDH
1,46,533,358,533,DWH
1,16,25,469,642,DWH
1,116,295,362,642,WDH
1,220,241,532,642,WDH
1,18,26,80,642,WDH
1,80,392,67,645,WDH
1,83,934,683,656,WDH
1,80,911,0,656,WDH
1,83,750,295,656,DWH
1,102,905,295,656,WDH
1,102,905,489,656,WDH
1,153,722,57,656,DWH
1,114,721,601,656,DWH
1,11,379,80,743,WDH
1,18,26,80,759,WDH
1,220,721,293,759,WDH
1,215,721,26,759,WDH
1,156,905,606,759,WDH
1,116,295,362,760,WDH
1,220,241,532,760,WDH
1,16,25,469,760,DWH
1,15,721,611,764,DWH
1,75,538,26,873,DWH
1,27,331,582,879,WDH
1,119,1030,26,879,DWH
1,95,660,324,879,WDH
1,95,721,26,879,WDH
1,81,26,80,879,WDH
1,32,26,609,879,WDH
1,95,969,324,879,DWH
1,87,26,324,879,WDH
1,27,331,324,879,WDH
1,35,880,646,879,WDH
1,15,660,591,888,DWH
1,151,391,146,873,DWH
1,90,538,26,954,DWH
1,195,0,572,1014,WDH
1,86,393,331,1014,WDH
1,165,0,52,1014,WDH
1,133,1061,19,1014,DWH
1,179,660,545,1014,WDH
1,179,709,13,1014,WDH
1,86,982,557,1014,DWH
1,130,1061,256,1014,DWH
1,86,388,599,1014,WDH
1,221,0,328,1014,WDH
1,235,660,340,1014,WDH
1,78,399,117,1020,DWH
1,50,526,87,1055,DWH
1,3,74,35,1194,WDH
1,62,471,326,1194,WDH
1,62,706,9,1194,WDH
1,67,24,573,1194,WDH
1,169,826,571,1194,WDH
1,67,425,573,1194,WDH
1,169,826,302,1194,WDH
1,64,13,328,1197,WDH
1,157,1069,0,1197,DWH
1,152,393,35,1202,WDH
1,181,514,163,1306,WDH
1,181,168,633,1306,WDH
1,159,187,419,1306,WDH
1,143,620,5,1306,WDH
1,143,23,124,1306,DWH
1,131,3,397,1306,DWH
1,196,520,605,1306,WDH
1,159,181,156,1306,WDH
1,223,953,126,1306,WDH
1,196,520,370,1306,WDH
1,224,866,394,1306,WDH
1,224,866,617,1306,WDH
1,141,1033,0,1306,WDH
1,77,214,5,1306,WDH
1,77,417,5,1306,WDH
1,97,0,639,1306,DWH
1,239,586,417,1501,WDH
1,239,931,217,1501,WDH
1,33,21,48,1501,DWH
1,150,627,40,1501,WDH
1,82,562,218,1501,WDH
1,82,253,441,1501,WDH
1,232,895,440,1501,WDH
1,130,16,344,1501,DWH
1,232,895,640,1501,WDH
1,69,209,647,1501,WDH
1,232,550,640,1501,WDH
1,17,217,229,1501,WDH
1,151,16,633,1526,WDH
1,37,1019,0,1526,WDH
1,145,291,5,1528,WDH
1,214,930,601,1682,WDH
1,72,236,639,1682,WDH
1,72,583,438,1682,WDH
1,72,583,237,1682,WDH
1,72,583,639,1682,WDH
1,72,1039,15,1682,DWH
1,125,267,217,1682,WDH
1,125,267,428,1682,WDH
1,158,645,10,1682,WDH
1,100,65,330,1682,DWH
1,19,1,113,1682,WDH
1,214,930,362,1682,WDH
1,127,20,639,1682,WDH
1,145,267,18,1688,WDH
1,12,930,180,1682,DWH
1,25,1035,40,1851,DWH
1,25,901,378,1851,WDH
1,35,236,646,1851,WDH
1,94,20,321,1851,DWH
1,94,583,335,1851,WDH
1,32,267,1,1851,WDH
1,154,892,587,1851,WDH
1,154,583,82,1851,WDH
1,95,583,573,1851,WDH
1,49,20,27,1851,DWH
1,49,289,217,1854,WDH
1,25,261,450,1854,WDH
1,114,0,656,1871,WDH
1,85,0,559,1986,DWH
1,34,261,22,1986,WDH
1,129,261,237,1986,WDH
1,14,583,37,1986,WDH
1,34,583,195,1986,WDH
1,34,0,63,1986,WDH
1,34,583,410,1986,WDH
1,34,583,625,1986,WDH
1,89,236,658,1986,WDH
1,85,0,278,1986,DWH
1,123,844,414,1986,WDH
1,123,844,627,1986,WDH
1,89,844,232,1986,WDH
1,157,981,40,1986,WDH
1,110,236,458,1989,WDH
1,83,924,56,2092,WDH
1,76,303,450,2104,WDH
2,40,988,565,0,DWH
2,93,319,0,0,WDH
2,93,0,293,0,WDH
2,157,987,0,0,WDH
2,157,987,171,0,WDH
2,157,987,342,0,WDH
2,3,0,0,0,WDH
2,62,313,293,0,WDH
2,7,668,293,0,WDH
2,62,632,0,0,WDH
2,110,355,584,0,WDH
2,62,0,584,0,WDH
2,79,668,565,0,WDH
2,4,976,256,109,DWH
2,4,632,58,109,WDH
2,121,976,27,109,WDH
2,121,988,569,109,DWH
2,58,313,340,109,WDH
2,58,0,596,109,WDH
2,23,621,305,115,WDH
2,1,1,48,115,DWH
2,23,633,566,115,WDH
2,180,205,10,115,WDH
2,54,27,369,115,WDH
2,156,305,605,115,WDH
2,103,289,169,241,WDH
2,103,289,0,241,WDH
2,103,0,214,241,WDH
2,61,0,0,241,WDH
2,142,621,305,241,WDH
2,142,621,489,241,WDH
2,142,313,584,241,WDH
2,8,621,673,241,WDH
2,103,0,383,241,WDH
2,135,632,58,255,WDH
2,135,289,338,255,WDH
2,89,901,480,255,WDH
2,135,0,552,255,WDH
2,135,901,58,255,WDH
2,89,901,298,255,WDH
2,50,1003,681,255,WDH
2,39,0,682,411,WDH
2,227,0,474,411,WDH
2,39,961,0,411,DWH
2,227,289,0,411,WDH
2,245,610,0,411,DWH
2,207,672,474,411,DWH
2,216,294,214,411,WDH
2,216,0,214,411,WDH
2,146,784,0,411,DWH
2,245,321,474,411,WDH
2,21,802,283,412,WDH
2,20,995,274,412,WDH
2,73,984,656,412,WDH
2,20,995,465,412,WDH
2,38,32,33,412,WDH
2,104,321,648,411,WDH
2,10,321,648,593,WDH
2,18,887,562,664,WDH
2,79,920,301,664,WDH
2,36,610,0,666,WDH
2,23,0,0,666,DWH
2,36,617,208,666,DWH
2,156,289,208,666,WDH
2,64,237,429,673,WDH
2,117,976,0,666,DWH
2,8,0,682,666,WDH
2,142,617,574,666,WDH
2,117,0,355,673,DWH
2,117,260,0,673,WDH
2,89,318,646,699,WDH
2,128,866,541,781,WDH
2,128,866,301,781,WDH
2,5,294,433,781,WDH
2,159,0,22,790,DWH
2,229,617,272,790,DWH
2,229,617,55,790,WDH
2,229,294,216,790,WDH
2,6,0,675,835,WDH
2,53,260,0,835,WDH
2,53,0,355,835,DWH
2,68,976,0,835,DWH
2,133,617,574,835,WDH
2,33,270,663,856,WDH
2,52,1022,398,864,WDH
2,9,1045,590,864,DWH
2,121,270,434,904,WDH
2,127,863,374,864,DWH
2,131,861,604,864,DWH
2,152,0,0,980,DWH
2,150,259,256,980,WDH
2,68,575,364,980,WDH
2,68,644,85,980,DWH
2,138,617,574,1018,DWH
2,183,251,0,1018,WDH
2,149,1045,590,1018,DWH
2,218,976,0,1018,DWH
2,218,0,291,1018,DWH
2,234,0,612,1018,WDH
2,99,260,664,1029,WDH
2,99,1022,324,1029,DWH
2,150,259,434,1048,WDH
2,8,876,324,1053,DWH
2,42,842,590,1059,DWH
2,8,105,28,1083,DWH
