bin,item,x,y,z,orientation
0,63,618,0,0,WDH
0,30,927,0,0,WDH
0,63,309,255,0,WDH
0,6,927,416,0,WDH
0,30,927,208,0,WDH
0,63,309,0,0,WDH
0,63,309,510,0,WDH
0,63,618,510,0,WDH
0,63,0,0,0,WDH
0,63,0,510,0,WDH
0,63,0,255,0,WDH
0,63,618,255,0,WDH
0,46,927,565,0,WDH
0,38,484,0,234,WDH
0,38,862,0,234,WDH
0,35,7,510,234,WDH
0,61,481,252,234,WDH
0,72,626,510,234,WDH
0,72,325,510,234,WDH
0,44,149,252,234,WDH
0,44,152,0,234,WDH
0,38,862,252,234,WDH
0,74,927,504,245,WDH
0,14,0,47,234,DWH
0,2,44,563,421,WDH
0,2,44,286,421,WDH
0,11,108,29,421,WDH
0,2,401,563,421,WDH
0,2,401,286,421,WDH
0,66,758,518,421,WDH
0,23,971,41,428,WDH
0,65,401,7,428,WDH
0,8,758,316,428,WDH
0,33,6,38,527,DWH
0,1,434,307,527,WDH
0,33,6,439,527,DWH
0,33,357,489,527,WDH
0,47,848,557,527,WDH
0,26,821,307,531,WDH
0,65,401,7,544,WDH
0,23,983,0,547,WDH
0,26,758,307,602,WDH
0,70,369,324,654,WDH
0,22,286,648,654,WDH
0,22,0,648,654,WDH
0,19,572,648,654,WDH
0,37,0,0,654,WDH
0,37,0,324,654,WDH
0,47,848,557,657,WDH
0,22,380,0,660,DWH
0,45,572,0,660,WDH
0,18,983,3,666,DWH
0,50,825,283,673,WDH
0,33,380,286,791,WDH
0,1,0,648,791,WDH
0,1,324,648,791,WDH
0,50,825,547,791,WDH
0,70,9,0,792,WDH
0,70,9,315,792,WDH
0,50,380,22,797,WDH
0,79,796,188,801,WDH
0,1,916,0,801,WDH
0,33,380,286,918,WDH
0,51,796,188,918,WDH
0,1,9,630,918,WDH
0,50,796,533,918,WDH
0,17,380,637,918,WDH
0,23,528,0,924,WDH
0,34,0,244,924,WDH
0,40,0,0,924,WDH
0,5,879,3,928,WDH
0,23,528,0,1043,WDH
0,34,404,259,1043,DWH
0,40,996,312,1043,DWH
0,40,752,312,1043,DWH
0,80,9,59,1046,WDH
0,79,9,374,1046,DWH
0,22,466,648,1046,WDH
0,9,879,3,1065,WDH
0,36,922,354,1164,WDH
0,35,318,328,1164,WDH
0,36,636,354,1164,WDH
0,35,0,328,1164,WDH
0,36,752,605,1164,WDH
0,35,0,67,1164,WDH
0,3,604,24,1164,DWH
0,4,1038,591,1164,DWH
0,44,0,589,1164,WDH
0,48,318,83,1164,WDH
0,21,375,648,1183,WDH
0,2,879,3,1187,WDH
0,26,788,24,1293,WDH
0,27,0,0,1351,DWH
0,23,0,515,1351,WDH
0,50,318,576,1351,WDH
0,17,727,576,1351,WDH
0,17,833,328,1351,WDH
0,27,318,328,1351,WDH
0,57,248,0,1358,WDH
0,25,1049,535,1354,DWH
0,58,882,0,1364,WDH
0,7,0,570,1472,WDH
0,55,0,0,1472,WDH
0,77,395,289,1472,WDH
0,77,385,0,1472,WDH
0,28,0,289,1472,WDH
0,24,833,310,1479,WDH
0,24,671,625,1479,WDH
0,20,318,630,1479,WDH
0,45,759,0,1512,WDH
0,7,993,566,1499,DWH
0,16,780,289,1638,WDH
0,12,780,556,1638,DWH
0,74,0,570,1638,WDH
0,78,385,0,1638,WDH
0,29,0,0,1638,WDH
0,29,395,556,1638,WDH
0,29,395,289,1638,WDH
0,77,21,286,1639,WDH
0,59,888,0,1645,WDH
0,76,990,542,1665,DWH
0,34,0,297,1803,WDH
0,50,780,25,1803,WDH
0,69,378,530,1818,WDH
0,69,378,297,1818,WDH
0,56,0,0,1818,WDH
0,69,731,297,1818,WDH
0,69,0,570,1818,WDH
0,49,731,530,1818,DWH
0,69,345,0,1818,WDH
0,36,950,530,1832,WDH
0,34,0,277,1924,WDH
0,68,698,0,1928,WDH
0,32,715,271,2018,WDH
0,41,378,269,2018,WDH
0,41,378,516,2018,WDH
0,41,0,593,2018,WDH
0,76,950,533,2018,DWH
0,76,378,19,2018,WDH
0,32,0,0,2022,WDH
0,16,715,516,2022,DWH
0,58,0,299,2045,WDH
1,49,673,219,0,WDH
1,49,974,0,0,DWH
1,49,673,0,0,WDH
1,69,0,0,0,WDH
1,49,974,301,0,DWH
1,69,0,233,0,WDH
1,49,353,472,0,WDH
1,49,673,438,0,WDH
1,62,353,0,0,WDH
1,31,0,466,0,DWH
1,62,353,236,0,WDH
1,73,673,657,0,WDH
1,42,974,602,0,WDH
1,15,345,704,0,WDH
1,15,220,501,0,DWH
1,73,48,501,204,DWH
1,73,66,0,204,WDH
1,43,956,0,204,WDH
1,73,784,287,204,DWH
1,42,977,406,204,WDH
1,43,956,203,204,WDH
1,73,784,0,204,DWH
1,73,386,472,204,WDH
1,73,66,172,204,WDH
